Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceraspyris antarctica,Stylatractus universus,Prunopyle titan,Lychnocanium grande,Lampromitra coronata,Helotholus vema,Eucyrtidium calvertense,Desmospyris spongiosa,Cycladophora pliocenica,Cycladophora davisiana,Antarctissa cylindrica,Amphymenium challengerae,Acrosphaera labrata,Saturnalis circularis,Comment
  IR,                 ,                 ,                  ,              ,178,1097,A, 24,R,CC,  18.00,    188.6800,Weinheimer,Radiolarians                                 ,F              ,M                 ,-                       ,-                     ,-              ,F                  ,-                   ,F              ,-                      ,T                    ,-                      ,-                     ,-                     ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 25,R, 1, 147.00,    199.5700,Weinheimer,Radiolarians                                 ,F              ,M                 ,-                       ,-                     ,T              ,-                  ,-                   ,R              ,-                      ,-                    ,-                      ,-                     ,T                     ,                        ,                   ,-                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 27,R, 2,  72.00,    219.2500,Weinheimer,Radiolarians                                 ,R              ,P                 ,-                       ,-                     ,T              ,-                  ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,-                     ,                        ,                   ,-                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 32,R,CC,  26.00,    265.5600,Weinheimer,Radiolarians                                 ,T              ,P                 ,-                       ,-                     ,-              ,-                  ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,-                     ,-                       ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 34,R,CC,   9.00,    288.7900,Weinheimer,Radiolarians                                 ,R              ,P                 ,T                       ,-                     ,-              ,F                  ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,R                     ,-                       ,T                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 35,R,CC,  24.00,    296.2000,Weinheimer,Radiolarians                                 ,R              ,P                 ,-                       ,-                     ,-              ,F                  ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,-                     ,-                       ,-                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 36,R,CC,  20.00,    308.7900,Weinheimer,Radiolarians                                 ,T              ,P                 ,-                       ,-                     ,-              ,T                  ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,-                     ,-                       ,-                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 37,R,CC,  15.00,    316.1500,Weinheimer,Radiolarians                                 ,T              ,P                 ,-                       ,-                     ,-              ,-                  ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,T                     ,-                       ,-                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
