Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus gracilipes tetracanthus,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Liriospyris cricus,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Hexacontium pachydermum,Euphysetta  elegans,Eucyrtidium saccoi,Eucyrtidium calvertense,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella japonica,Cyrtocapsella eldholmi,Cyrtocapsella ampullacea,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris sandellae,Challengeron diodon,Ceratocyrtis stoermeri,Ceratocyrtis histricosa,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Antarctissa whitei,Actinomma plasticum,Actinomma mirabile,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 10,H, 4,  63.00,     68.6300,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,R                                         ,-                           ,R                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,C                      ,R                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,R                          ,R                     ,SP                ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 10,H, 5,  63.00,     70.1300,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,SP                                        ,-                           ,R                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,R                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,-                          ,SP                    ,SP                ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 10,H, 6,  63.00,     71.6300,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,-                         ,T                                         ,-                           ,SP               ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,R                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,-                          ,T                     ,C                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 10,H,CC,  16.00,     72.9700,Goll     ,Radiolarians                                 ,A              ,P                 ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,T                                         ,-                           ,R                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,T                      ,T                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,R                          ,-                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 11,H, 1,  70.00,     73.7000,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,T                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,C                                         ,-                           ,R                ,-                    ,C                                ,-                 ,-                 ,-                 ,-                     ,T                      ,T                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,T                  ,-                     ,R                      ,-                     ,-                          ,-                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 11,H, 2,  70.00,     75.2000,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,SP                                        ,-                           ,R                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,T                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,                       ,-                     ,-                          ,T                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 11,H, 3,  70.00,     76.7000,Goll     ,Radiolarians                                 ,F              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,C                                         ,-                           ,-                ,-                    ,C                                ,-                 ,-                 ,-                 ,-                     ,T                      ,R                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,SP                     ,-                     ,-                          ,T                     ,C                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 11,H, 4,  70.00,     78.2000,Goll     ,Radiolarians                                 ,R              ,P                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,-                          ,-                     ,SP                ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 11,H, 5,  70.00,     79.7000,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,VA                 ,-                    ,-                         ,-                                         ,-                           ,SP               ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,SP                     ,-                     ,D                          ,-                     ,VA                ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 11,H, 6,  70.00,     81.2000,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,C                      ,-                     ,D                          ,-                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 11,H,CC,  30.00,     82.7700,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,R                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,VA                     ,-                     ,VA                         ,-                     ,C                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H, 1,  68.00,     83.1800,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,SP                     ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,SP                     ,-                     ,D                          ,-                     ,SP                ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H, 2,  68.00,     84.6800,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,T                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,C                ,-                    ,C                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,SP                     ,-                     ,-                          ,-                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H, 3,  68.00,     86.1800,Goll     ,Radiolarians                                 ,A              ,G                 ,-                   ,                        ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                                         ,-                           ,C                ,-                    ,T                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,C                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H, 4,  68.00,     87.6800,Goll     ,Radiolarians                                 ,A              ,G                 ,-                   ,                        ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,C                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,A                      ,-                     ,SP                         ,-                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H, 5,  68.00,     89.1800,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,T                       ,-                ,-                      ,-                ,R                  ,T                    ,-                         ,-                                         ,-                           ,A                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,-                      ,R                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,C                          ,T                     ,R                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H, 6,  68.00,     90.6800,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,C                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. whitei         ,              ,104, 642,C, 12,H,CC,  21.00,     92.0800,Goll     ,Radiolarians                                 ,A              ,M                 ,T                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                                         ,-                           ,A                ,-                    ,A                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,D                          ,-                     ,C                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. cricus         ,              ,104, 642,C, 13,H, 1,  70.00,     92.7000,Goll     ,Radiolarians                                 ,A              ,G                 ,A                   ,T                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,SP               ,-                    ,                                 ,R                 ,-                 ,-                 ,-                     ,T                      ,-                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,SP                         ,T                     ,A                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. cricus         ,              ,104, 642,C, 13,H, 2,  70.00,     94.2000,Goll     ,Radiolarians                                 ,A              ,G                 ,A                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,C                ,-                    ,SP                               ,SP                ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,SP                         ,-                     ,T                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. cricus         ,              ,104, 642,C, 13,H,CC,  19.00,     95.6300,Goll     ,Radiolarians                                 ,A              ,G                 ,VA                  ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,SP                ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. cricus         ,              ,104, 642,C, 14,H, 1,  70.00,    102.2000,Goll     ,Radiolarians                                 ,C              ,G                 ,A                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,C                ,-                    ,-                                ,SP                ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,C                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,L. cricus         ,              ,104, 642,C, 14,H, 2,  70.00,    103.7000,Goll     ,Radiolarians                                 ,C              ,G                 ,VA                  ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,-                                ,SP                ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,A                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 14,H, 3,  70.00,    105.2000,Goll     ,Radiolarians                                 ,C              ,G                 ,VA                  ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,R                ,-                    ,T                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,C                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 14,H, 4,  70.00,    106.7000,Goll     ,Radiolarians                                 ,F              ,M                 ,VA                  ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,SP               ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,T                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,SP                         ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 14,H, 5,  24.00,    107.7400,Goll     ,Radiolarians                                 ,F              ,M                 ,A                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,T                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 14,H, 6,  24.00,    109.2400,Goll     ,Radiolarians                                 ,F              ,M                 ,A                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,-                      ,-                  ,-                 ,T                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 14,H, 7,  24.00,    110.7400,Goll     ,Radiolarians                                 ,R              ,M                 ,A                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,T                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. thiedei        ,              ,104, 642,C, 14,H,CC,  33.00,    111.3200,Goll     ,Radiolarians                                 ,A              ,M                 ,VA                  ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                 ,-                     ,A                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,-                      ,-                     ,-                          ,-                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
