Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Poseidonamicus? sp.,Krithe spp.,Henryhowella? reticulata,Actinocythereis orientalis,Abyssocypris sp.,Eucythere sp.,Cytherella spp.,Actinocythereis n.s. sp.,Pelecocythere sp.,Henryhowella sp.,Cytherelloidea sp.,Bradleya ossa,Bairdioidea (inspecified taxon or taxa),Rockallia sp.,Cytheropteron sp.,Pseudocythere sp.,Bythoceratina sp.,Bradleya cf. B. thomasi,Comment
  SR,                 ,                 ,                  ,              ,122, 763,A,  6,H, 3,  83.00,     46.7300,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,           ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  8,H, 3,  72.00,     65.6200,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,           ,                        ,                          ,+               ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  9,H, 5,  77.00,     78.1700,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 11,H, 5,  81.00,     97.2100,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 12,H, 5,  85.00,    106.7500,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 13,H, 3,  90.00,    113.3000,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 14,H, 4,  81.00,    124.2100,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 16,H, 4,  82.00,    143.2200,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,+          ,+                       ,                          ,                ,             ,+              ,+                       ,                 ,                ,                  ,             ,+                                      ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 17,H, 2,  66.00,    149.5600,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,+          ,                        ,+                         ,                ,             ,               ,+                       ,+                ,                ,                  ,+            ,+                                      ,+            ,+                ,+                ,+                ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 18,H, 2,  70.00,    159.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,+                       ,+                         ,+               ,             ,+              ,+                       ,+                ,                ,                  ,+            ,+                                      ,+            ,+                ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 19,H, 3,  60.00,    169.2900,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,+                       ,+                         ,+               ,             ,+              ,+                       ,+                ,+               ,+                 ,+            ,+                                      ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 20,H, 1,  80.00,    176.7000,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,           ,+                       ,                          ,+               ,+            ,+              ,+                       ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A, 21,H, 6,  60.00,    193.5000,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,+                       ,+                         ,+               ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
