Sample,top depth,bottom depth,Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus petterssoni,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis nigriniae,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys wolffii,Theocorythium trachelium
321-U1337C-12X-CC,249.49,249.54,RN5,A,G,,,,,R,R,R,,,,,,,,,R,,R,,,R,,,,,,,,,,,,,,R,,R,,R,R,,,R,R,
321-U1337C-13X-CC,259.61,259.66,RN5,A,G,,,,,,R,R,,,,,,R,,,,,C,,,R,,,,,,,,,,,,,R,R,,,,R,,,,C,R,
321-U1337C-14X-CC,269.1,269.15,RN5,A,G,,,,,R,F,R,,,,,,R,,,R,,C,,,R,,,,,,,,,,,,,R,R,,R,,R,R,,,C,R,
321-U1337C-15X-CC,276.52,276.57,RN5,A,G,,,,,R,F,R,,,,,,R,,,R,,C,,,,,,,,,,,,,,,,,R,,R,,,,,,C,,
321-U1337C-16X-CC,287,287.05,RN5,A,M,,,,,R,,R,,R,,,,R,,,,,C,,,R,R,,,,,,,,,,R,,,R,,,,,R,,,C,R,
321-U1337C-17X-CC,297.97,298.16,RN5,A,M,,,,,R,R,R,,R,,,,R,,,R,,C,,,,R,,,,,,,,,,R,,,R,,,,R,R,,,C,,
321-U1337C-18X-CC,307.59,307.64,RN4,A,G,,R,,,,R,R,R,R,R,R,,R,,,,,C,,,,R,,,R,R,R,,,,,R,,,,,R,,R,R,,,R,,
321-U1337C-19X-CC,316.84,316.89,RN4,C,M,,R,,,,,,R,R,R,,,R,,,R,,C,,,,R,,,R,R,R,,,,,R,,,,,,,R,R,,R,R,,
321-U1337C-20X-CC,326.87,326.92,RN4,C,M,,,,,,R,,R,R,R,,R,,,,R,,C,,,,R,R,,R,R,,,,,,,R,,,,R,,,,,,R,,
321-U1337C-21X-CC,336.38,336.43,RN4,A,M,,,,,,R,,R,R,R,R,R,,,,R,,C,,,,,R,,,R,R,,,,,,,,,,R,,R,R,,,C,R,
321-U1337C-22X-CC,345.88,345.93,RN4,A,M,,,,,,,,R,R,R,R,R,,,,R,,C,,R,,,R,,R,R,R,,,,,,R,,,,,,R,R,,,C,,
321-U1337C-23X-CC,354.26,354.31,RN4,A,M,,,,,,,,R,R,R,R,R,,,,R,,C,,,,,R,,R,R,R,R,,,,,R,,,,R,,R,,,,R,R,
321-U1337C-24X-CC,365.31,365.36,RN3,A,M,,,,,,R,,,R,R,,,,R,,R,,C,,R,,,R,,R,R,,R,,,,,,,,R,,,R,,,,F,R,
321-U1337C-25X-CC,374.87,374.92,RN3,A,M,,,,,R,,,,R,,,R,,,,R,,R,,,,,R,,R,R,,,,,,,,,,R,,,R,,,,F,R,
321-U1337C-26X-CC,384.37,384.42,RN2,A,M,,,,,R,R,,,R,R,,R,,,,R,,R,,,,,R,,R,,,,,,,,,,,R,,,,,,,F,,
321-U1337C-27X-CC,391.14,391.19,RN2,A,M,,,,,R,,,,R,R,,R,,,,F,,C,,R,,,R,,R,,,,R,,,,,,,R,,,R,,,,F,,
321-U1337C-28X-CC,403.26,403.31,RN2,A,M,,,,,R,R,,,R,R,,R,,,,F,,F,,R,,,R,,R,,,,R,R,,,,,,R,,,,,,,F,,
321-U1337C-29X-CC,412.86,412.91,RN2,A,M,,,,,R,R,,,R,,,,,,,R,,R,,,,,R,,,,,,R,R,,,,,,R,R,,R,,,,F,,
321-U1337C-30X-CC,420.27,420.32,RN2,A,M,,,,,R,,,,R,,,,,,,F,,R,,R,,,R,,,,,,R,R,,,,,,R,,,,,,,,,
321-U1337C-31X-CC,432.01,432.06,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337C-32X-CC,437.57,437.62,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
