Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocotylissa ficus	Theocotyle venezuelensis	Theocotyle cryptocephala	Theocotyle conica	Sethochytris bablylonis	Podocyrtis sinuosa	Podocyrtis dorus	Phormocyrtis striata striata	Periphaena tripyramis triangula	Lophocyrtis biaurita	Lithocyclia ocellus	Lithochytris vespertilio	Lamptonium fabaeforme fabaeforme	Lamptonium fabaeforme constrictum	Lamptonium fabaeforme chaunothorax	Eusyringium lagena	Dictyoprora mongolfieri	Calocyclas hispida	Lychnocanoma bellum	Eusyringium fistuligerum	Podocyrtis fasciolata	Sethochytris triconiscus	Podocyrtis mitra	Podocyrtis trachodes	Podocyrtis chalara	Cryptoprora ornata	Podocyrtis goetheana	Lithocyclia aristotelis	Carpocanistrum azyx	Calocyclas turris	Lophocyrtis jacchia	Dictyoprora pirum	Calocyclas bandyca	Lithocyclia angusta	Artophormis barbadensis	Lithocyclia crux	Artophormis gracilis	Comment
  SR	                 	                 	T. bromia         	              	115	 711	A	 17	X	 2	  70.00	    155.2000	Johnson  	Radiolarians                                 	F              	P                 	                   	                        	                        	                 	R                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	F                      	-                 	R                  	-                       	                     	                        	                	                    	                  	R                 	                    	R                      	-                  	-                	F                  	R                	-                 	VR                 	F                      	                	R                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 17	X	 4	  70.00	    158.2000	Johnson  	Radiolarians                                 	C              	G                 	                   	                        	                        	                 	C                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	R                      	-                 	R                  	-                       	                     	                        	                	                    	                  	R                 	                    	F                      	-                  	-                	F                  	R                	-                 	VR                 	R                      	F               	-                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 17	X	 6	  70.00	    161.2000	Johnson  	Radiolarians                                 	F              	M                 	                   	                        	                        	                 	F                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	F                      	-                 	R                  	-                       	                     	                        	                	                    	                  	R                 	                    	R                      	-                  	-                	R                  	R                	-                 	-                  	R                      	R               	-                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 17	X	CC	  10.00	    162.3900	Johnson  	Radiolarians                                 	C              	G                 	                   	                        	                        	                 	C                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	C                      	-                 	R                  	-                       	                     	                        	                	                    	                  	F                 	                    	R                      	-                  	-                	R                  	F                	-                 	-                  	R                      	F               	-                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 18	X	 2	  70.00	    164.9000	Johnson  	Radiolarians                                 	C              	G                 	                   	                        	                        	                 	R                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	C                      	-                 	                   	R                       	                     	                        	                	                    	                  	F                 	-                   	F                      	C                  	C                	F                  	R                	C                 	-                  	R                      	                	-                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 18	X	 4	  70.00	    167.9000	Johnson  	Radiolarians                                 	C              	G                 	-                  	                        	                        	                 	C                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	C                      	-                 	                   	R                       	                     	                        	                	                    	                  	F                 	-                   	R                      	C                  	C                	R                  	R                	F                 	-                  	R                      	R               	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 18	X	CC	   0.00	    168.6200	Johnson  	Radiolarians                                 	C              	G                 	-                  	                        	                        	                 	C                      	                  	                	                            	                               	                    	                   	-                       	                                	                                 	                                  	                  	C                      	VR                	R                  	F                       	                     	                        	                	                    	                  	R                 	-                   	                       	C                  	C                	R                  	R                	R                 	R                  	R                      	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 19	X	 2	  70.00	    174.6000	Johnson  	Radiolarians                                 	C              	G                 	-                  	                        	                        	                 	F                      	                  	                	                            	                               	                    	-                  	-                       	                                	                                 	                                  	                  	C                      	R                 	                   	R                       	                     	-                       	                	                    	-                 	R                 	R                   	R                      	F                  	C                	R                  	R                	-                 	-                  	R                      	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. bromia         	              	115	 711	A	 19	X	 4	  70.00	    177.6000	Johnson  	Radiolarians                                 	C              	G                 	-                  	                        	                        	                 	F                      	                  	                	R                           	                               	                    	-                  	-                       	                                	                                 	                                  	                  	F                      	C                 	R                  	R                       	                     	-                       	-               	                    	-                 	R                 	R                   	F                      	R                  	F                	R                  	R                	-                 	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. goetheana      	              	115	 711	A	 19	X	 6	  70.00	    180.6000	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	C                      	                  	                	                            	                               	                    	-                  	-                       	                                	                                 	                                  	                  	C                      	C                 	                   	C                       	                     	-                       	-               	-                   	-                 	R                 	R                   	R                      	-                  	-                	F                  	-                	-                 	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP15              	              	115	 711	A	 19	X	CC	  15.00	    181.5000	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	F                      	-                 	                	                            	                               	                    	R                  	-                       	                                	                                 	                                  	                  	F                      	F                 	R                  	C                       	-                    	R                       	-               	-                   	R                 	R                 	-                   	-                      	-                  	-                	-                  	-                	-                 	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP15              	              	115	 711	A	 20	X	 2	  70.00	    184.3000	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	F                      	-                 	                	                            	                               	                    	R                  	R                       	                                	                                 	                                  	                  	C                      	F                 	R                  	F                       	-                    	R                       	-               	-                   	R                 	R                 	VR                  	-                      	-                  	-                	-                  	-                	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP15              	              	115	 711	A	 20	X	 4	  70.00	    187.3000	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	C                      	-                 	                	F                           	                               	-                   	C                  	R                       	                                	                                 	                                  	-                 	C                      	F                 	                   	C                       	-                    	R                       	-               	F                   	F                 	R                 	-                   	-                      	-                  	-                	-                  	-                	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 20	X	CC	   9.00	    188.6300	Johnson  	Radiolarians                                 	C              	G                 	R                  	                        	                        	                 	C                      	-                 	                	                            	                               	-                   	R                  	F                       	                                	                                 	                                  	-                 	C                      	C                 	                   	C                       	-                    	C                       	F               	C                   	R                 	-                 	-                   	-                      	-                  	-                	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 21	X	 2	  70.00	    193.9000	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	C                      	-                 	                	                            	                               	-                   	F                  	F                       	                                	                                 	                                  	-                 	C                      	C                 	                   	C                       	-                    	F                       	F               	C                   	-                 	-                 	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 21	X	 4	  70.00	    196.9000	Johnson  	Radiolarians                                 	C              	G                 	R                  	                        	                        	                 	C                      	-                 	                	                            	                               	-                   	R                  	F                       	                                	                                 	                                  	-                 	F                      	C                 	                   	F                       	-                    	F                       	C               	C                   	-                 	-                 	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 21	X	CC	  22.00	    199.1500	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	F                      	R                 	                	                            	                               	R                   	R                  	R                       	                                	                                 	                                  	-                 	C                      	R                 	                   	C                       	F                    	R                       	F               	C                   	-                 	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 22	X	 2	  70.00	    203.6000	Johnson  	Radiolarians                                 	C              	G                 	F                  	                        	                        	                 	C                      	-                 	                	                            	                               	R                   	F                  	R                       	                                	                                 	                                  	-                 	C                      	C                 	                   	F                       	R                    	R                       	R               	F                   	-                 	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 22	X	 4	  70.00	    206.6000	Johnson  	Radiolarians                                 	C              	G                 	F                  	-                       	                        	                 	F                      	-                 	                	                            	                               	R                   	C                  	F                       	                                	                                 	                                  	-                 	C                      	C                 	                   	C                       	F                    	VR                      	F               	C                   	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. mitra          	              	115	 711	A	 22	X	CC	   8.00	    206.9700	Johnson  	Radiolarians                                 	C              	G                 	F                  	-                       	                        	                 	C                      	-                 	-               	F                           	                               	R                   	F                  	F                       	                                	                                 	                                  	R                 	C                      	F                 	                   	C                       	C                    	R                       	F               	-                   	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. ampla          	              	115	 711	A	 23	X	 2	  70.00	    213.3000	Johnson  	Radiolarians                                 	C              	G                 	F                  	-                       	                        	-                	F                      	C                 	-               	R                           	                               	R                   	R                  	R                       	                                	                                 	                                  	R                 	C                      	C                 	                   	F                       	R                    	-                       	-               	-                   	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. ampla          	              	115	 711	A	 23	X	 4	  70.00	    216.3000	Johnson  	Radiolarians                                 	C              	G                 	F                  	-                       	                        	-                	F                      	C                 	-               	R                           	                               	R                   	R                  	F                       	                                	                                 	                                  	C                 	C                      	F                 	                   	R                       	-                    	-                       	-               	-                   	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. ampla          	              	115	 711	A	 23	X	 6	  70.00	    219.3000	Johnson  	Radiolarians                                 	C              	G                 	F                  	R                       	                        	-                	F                      	C                 	-               	F                           	                               	F                   	R                  	F                       	                                	                                 	                                  	F                 	C                      	F                 	                   	R                       	-                    	-                       	-               	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	P. ampla          	              	115	 711	A	 23	X	CC	  15.00	    220.1500	Johnson  	Radiolarians                                 	C              	G                 	C                  	R                       	                        	-                	C                      	C                 	R               	R                           	                               	R                   	F                  	F                       	                                	                                 	                                  	F                 	F                      	F                 	                   	R                       	-                    	-                       	-               	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. triacantha     	              	115	 711	A	 24	X	 2	  70.00	    222.9000	Johnson  	Radiolarians                                 	C              	G                 	C                  	R                       	-                       	C                	C                      	C                 	R               	R                           	                               	R                   	R                  	F                       	                                	                                 	                                  	R                 	C                      	F                 	                   	-                       	-                    	                        	                	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. triacantha     	              	115	 711	A	 24	X	 4	  70.00	    225.9000	Johnson  	Radiolarians                                 	C              	G                 	R                  	R                       	-                       	F                	F                      	C                 	R               	F                           	R                              	R                   	R                  	F                       	                                	                                 	                                  	F                 	C                      	F                 	                   	-                       	                     	                        	                	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. triacantha     	              	115	 711	A	 24	X	CC	   0.00	    227.7300	Johnson  	Radiolarians                                 	C              	G                 	C                  	R                       	-                       	F                	F                      	C                 	F               	F                           	                               	R                   	R                  	C                       	-                               	-                                	-                                 	F                 	C                      	C                 	                   	-                       	                     	                        	                	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. triacantha     	              	115	 711	A	 25	X	 2	  70.00	    232.5000	Johnson  	Radiolarians                                 	C              	G                 	R                  	R                       	-                       	R                	F                      	C                 	R               	F                           	R                              	R                   	F                  	F                       	-                               	-                                	-                                 	R                 	F                      	R                 	R                  	-                       	                     	                        	                	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	T. triacantha     	              	115	 711	A	 25	X	 4	  70.00	    235.5000	Johnson  	Radiolarians                                 	C              	G                 	R                  	R                       	-                       	F                	F                      	C                 	R               	F                           	                               	R                   	R                  	F                       	-                               	-                                	-                                 	VR                	C                      	R                 	                   	                        	                     	                        	                	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP11              	              	115	 711	A	 25	X	CC	  23.00	    237.1800	Johnson  	Radiolarians                                 	C              	G                 	R                  	R                       	F                       	R                	F                      	F                 	R               	F                           	R                              	-                   	R                  	F                       	F                               	R                                	R                                 	-                 	C                      	R                 	                   	                        	                     	                        	                	                    	                  	                  	                    	                       	                   	                 	                   	                 	                  	                   	                       	                	                    	from 115 SR. Chapter 22. Table 6. page 400.

