Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist		Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia pseudoampliapertura/increbescens	Turborotalia pseudoampliapertura	Turborotalia increbescens	Tenuitella munda	Tenuitella gemma	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina utilisindex	Subbotina angiporoides angiporoides	Subbotina angiporoides	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides variabilis	Globorotaloides suteri	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax unicavus	Catapsydrax sp.	Catapsydrax dissimilis dissimilis	Subbotina praeturritilina	Paragloborotalia sp.	Paragloborotalia siakensis	Globorotaloides sp. 1	Globorotalia obesa	Globigerina venezuelana	Globigerina sp. aff. G. ampliapertura	Globigerina sp. 1	Globigerina prasaepis	Globigerina ciperoensis	Globigerina ampliapertura	Dentoglobigerina larmeui	Dentoglobigerina globularis	Catapsydrax martini	Cassigerinella chipolensis	Globorotaloides permicus	Globigerina officinalis	Catapsydrax dissimilis ciperoensis	Subbotina brazieri	Globigerina praebulloides	Dentoglobigerina globularis/altispira globosa	Protentella sp.	Paragloborotalia semivera	Globorotaloides sp. 2	Globorotalia pseudokugleri (ancestral form)	Globigerinita juvenilis	Dentoglobigerina altispira globosa	Protentella sp. aff. P. prolixa	Protentella clavaticamerata	Globorotalia pseudokugleri	Globorotalia obesa/praesiphonifera	Globigerinella? sp.	Globigerina ouachitaensis	Globigerina ciperoensis ottnangiensis	Globigerina anguliofficinalis	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Catapsydrax dissimilis	Globorotalia opima nana	Globoquadrina binaiensis	Globoquadrina praedehiscens/dehiscens	Globoquadrina dehiscens	Globigerina woodi	Globigerina anguliofficinalis/angulisuturalis	Globorotalia kugleri	Dentoglobigerina altispira altispira	Globigerinoides primordius	Catapsydrax stainforthi	Globigerinoides quadrilobatus s.l.	Sphaeroidinellopsis disjuncta	Praeorbulina sp.	Globorotalia praescitula	Globigerinoides bisphericus	Globigerinatella insueta	Globoquadrina baroemoenensis	Globorotalia fohsi fohsi	Orbulina sp.	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotalia limbata	Globigerinoides obliquus obliquus	Globigerinella siphonifera	Globigerinoides obliquus extremus	Neogloboquadrina acostaensis	Neogloboquadrina humerosa	Globorotalia plesiotumida	Globigerinoides conglobatus	Sphaeroidinella dehiscens	Pulleniatina sp.	Globorotalia tumida tumida	Globigerinoides elongatus	Globorotalia crassaformis	Globigerinoides ruber s.l.	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia scitula	Globoquadrina conglomerata	Globorotaloides hexagona	Globorotalia tosaensis	Candeina nitida	Globorotalia menardii s.l.	Globorotalia truncatulinoides	Globorotalia inflata	Comment

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  8	H	 5	 105.00	     74.1500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+                        	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	+                             	+                           	+                   	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. radiolarians common. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  8	H	 6	 105.00	     75.6500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+                        	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+?                                	                             	                	                        	                           	                        	                            	                        	+           	+                             	+                           	+                   	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians abundant. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  8	H	CC	  19.00	     76.2200	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+                        	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+?                                	                             	                	                        	                           	                        	                            	                        	+?          	+                             	+?                          	                    	+?                               	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians few. sponge spicules common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	 1	 105.00	     77.6500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+?                       	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+?                                	                             	                	                        	                           	                        	                            	                        	+?          	+                             	+?                          	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians abundant. sponge spicules abundant. fish remains rare. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	 2	 105.00	     79.1500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	+?                                  	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	+?                            	+?                          	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers abundant. radiolarians abundant. sponge spicules abundant. fish remains rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	 3	 105.00	     80.6500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	+?                            	+?                          	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians abundant. sponge spicules abundant. fish remains few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	 4	 105.00	     82.1500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	+                             	+                           	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers abundant. radiolarians abundant. sponge spicules abundant. fish remains few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	 5	 105.00	     83.6500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	                             	                	                        	                           	                        	                            	                        	            	+?                            	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians abundant. sponge spicules abundant. fish remains common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	 6	 105.00	     85.1500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+                        	                      	                       	                        	                                     	                       	                 	                                             	                    	+?                                  	                          	                       	+                                 	                             	                	                        	                           	                        	+                           	                        	+           	+                             	+                           	+                   	+?                               	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians few. sponge spicules few. fish remains rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Miocene     	                 	N15               	N17           	115	 710	A	  9	H	CC	  24.00	     86.4600	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	+?                       	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	+?                           	                	                        	                           	                        	                            	                        	+           	+                             	+                           	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. radiolarians few. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	Middle Miocene   	N13               	N14           	115	 710	A	 10	H	 1	 105.00	     87.2500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	+?                           	                	                        	                           	                        	                            	                        	            	+                             	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	reworked eocene planktonic foraminifers extremely rare or presents some taxonomic ambiguity. benthic foraminifers abundant. radiolarians common. sponge spicules abundant. fish remains common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	Middle Miocene   	N13               	N14           	115	 710	A	 10	H	 2	 105.00	     88.7500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+?                           	+?                       	                      	                       	                        	                                     	+?                     	                 	                                             	                    	                                    	                          	                       	                                  	+                            	                	                        	                           	                        	                            	                        	            	+                             	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. ostracodes rare. sponge spicules common. fish remains rare. calcareous aggregates common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	Middle Miocene   	N13               	N14           	115	 710	A	 10	H	 4	 105.00	     91.7500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	                                  	+?                           	                	                        	                           	                        	                            	                        	            	                              	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers abundant. sponge spicules abundant. fish remains common. calcareous aggregates abundant. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Early Miocene    	Middle Miocene   	N13               	N14           	115	 710	A	 10	H	 5	 105.00	     93.2500	Vincent  		Planktonic Foraminifers                      	               	P                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	+                            	+                        	                      	                       	                        	                                     	                       	                 	                                             	                    	+                                   	                          	                       	                                  	+                            	                	                        	                           	                        	+                           	                        	+?          	+                             	                            	                    	                                 	                          	                                 	                            	                         	                         	                           	                         	                	                          	                         	                         	                          	                          	                          	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers common. fish remains rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.
