Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Uvigerina spp.,Uvigerina cf. proboscidea,Trifarina occidentalis,Stilostomella subspinosa,Stilostomella spp.,Stilostomella lepidula,Stilostomella cf. antillea,Saracenaria spp.,Rectuvigerina striata,Ramulina spp.,Pullenia quinqueloba,Pullenia osloensis,Pullenia bulloides,Planulina spp.,Osangularia mexicana,Orthomorphina himerensis,Oridorsalis umbonatus,Oolina spp.,Nonionella spp.,Nonion havanensis,Nodosaria spp.,Nodosarella spp.,Martinottiella scabra,Lenticulina spp.,Lagena spp.,Hanzawaia ammophila,Gyroidina soldanii,Globocassidulina subglobosa (s.l.)+globosa,Ellipsoidina spp.,Dentalina spp.,Cibicidoides spp.,Cibicidoides mexicanus,Cibicidoides laurisae,Cibicidoides havanensis,Cibicidoides cf. mundulus,Cibicidoides alazanensis,Bulimina tuxpamensis,Bulimina impendens,Anomalinoides semicribratus,Allomorphina sp.,Uvigerina proboscidea,Stilostomella fistuca,Pullenia spp.,Pleurostomella spp.,Pleurostomella acuta,Orthomorphina spp.,Marginulinopsis spp.,Marginulina spp.,Karreriella bradyi,Eggerella spp.,Cibicides spp.,Anomalinoides cf. flintii,Valvulineria sp.,Uvigerina havanensis,Orthomorphina glandigena,Gyroidina spp.,Dorothia brevis,Astacolus spp.,Stilostomella cf. annulifera,Pleurostomella alternans,Heronallenina spp.,Glandulina spp.,Epistominella spp.,Bulimina spp.,Anomalinoides pseudogrosserugosus,Vaginulina spp.,Pleurostomella bierigi,Planulina costata,Orthomorphina richardsi,Orthomorphina challengeriana,Fissurina spp.,Ellipsoidella spp.,Dorothia cf. brevis,Bulimina rostrata,Brizalina pusilla,Bulimina sp. B,Astrononion echolsi,Anomalinoides spp.,Valvulineria cf. V. laevigata,Stilostomella modesta,Pullenia subcarinata,Paracassidulina spp.,Lingulina spp.,Epistominella cf. umbonifera,Dorothia spp.,Sphaeroidina bulloides,Pleurostomella obtusa,Pleurostomella acuminata,Planulina renzi,Orthomorphina perversa,Epistominella umbonifera,Anomalina spp.,Stilostomella antillea,Quinqueloculina sp.,Parafissurina spp.,Lenticulina subcarinata,Laticarinina pauperata,Kyphopyxa spp.,Uvigerina spinulosa,Cibicidina cf. walli,Uvigerina sp. A,Spiroplectammina spp.,Eggerella bradyi,Cibicidoides mundulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  5,X, 5,  70.00,    114.1600,Nomura   ,Benthic Foraminifers                         ,               ,                  ,6                ,              ,                         ,3                     ,                        ,1                 ,1                     ,4                         ,1               ,                     ,             ,2                   ,                  ,5                 ,              ,                    ,                        ,19                   ,1          ,               ,3                ,5             ,                ,2                    ,9               ,2          ,                   ,19                ,34                                        ,                 ,8             ,3                ,                      ,4                    ,3                      ,29                       ,                        ,                    ,11                ,4                          ,                ,                     ,                     ,             ,1                  ,                    ,                  ,                    ,1               ,                  ,              ,              ,                         ,                ,                    ,                        ,1             ,               ,1             ,                            ,                        ,1                 ,               ,                  ,             ,                                 ,               ,                      ,2                ,                       ,1                           ,              ,                  ,                   ,1                ,                 ,              ,2                  ,                  ,3                            ,2                    ,6                   ,1                   ,1             ,1                           ,1            ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 208  Calcareous misc. 3 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  5,X, 7,  70.00,    116.3100,Nomura   ,Benthic Foraminifers                         ,               ,                  ,14               ,              ,                         ,1                     ,                        ,7                 ,1                     ,                          ,2               ,                     ,             ,4                   ,                  ,14                ,              ,                    ,                        ,18                   ,           ,1              ,6                ,4             ,2               ,                     ,26              ,2          ,                   ,19                ,24                                        ,                 ,8             ,4                ,18                    ,4                    ,3                      ,30                       ,                        ,6                   ,4                 ,                           ,                ,                     ,                     ,             ,2                  ,                    ,                  ,                    ,                ,6                 ,1             ,              ,                         ,                ,                    ,                        ,              ,               ,4             ,                            ,1                       ,1                 ,               ,                  ,             ,3                                ,               ,1                     ,                 ,                       ,1                           ,              ,                  ,                   ,10               ,                 ,1             ,5                  ,1                 ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 265  Calcareous misc. 2 Agglutinated misc. 4 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,2,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  6,X, 1,  70.00,    120.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,8                ,              ,                         ,6                     ,                        ,3                 ,5                     ,4                         ,                ,                     ,             ,2                   ,                  ,6                 ,              ,1                   ,2                       ,37                   ,1          ,               ,11               ,              ,2               ,3                    ,25              ,5          ,11                 ,13                ,29                                        ,                 ,6             ,13               ,35                    ,                     ,1                      ,24                       ,                        ,4                   ,                  ,                           ,                ,                     ,                     ,             ,                   ,                    ,                  ,                    ,                ,                  ,              ,              ,4                        ,                ,                    ,                        ,              ,               ,              ,                            ,3                       ,1                 ,               ,                  ,             ,8                                ,2              ,1                     ,6                ,2                      ,2                           ,2             ,3                 ,3                  ,1                ,4                ,              ,                   ,                  ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 305  Calcareous misc. 3 Agglutinated misc. 3 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,3,3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  6,X, 3,  70.00,    123.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,7                ,              ,                         ,                      ,                        ,                  ,16                    ,                          ,2               ,                     ,             ,6                   ,6                 ,8                 ,              ,                    ,4                       ,27                   ,           ,               ,6                ,2             ,                ,3                    ,10              ,2          ,                   ,20                ,17                                        ,                 ,6             ,                 ,12                    ,1                    ,4                      ,45                       ,                        ,1                   ,3                 ,7                          ,                ,                     ,                     ,             ,                   ,                    ,                  ,2                   ,1               ,                  ,              ,1             ,7                        ,                ,                    ,                        ,              ,4              ,              ,3                           ,7                       ,1                 ,1              ,2                 ,1            ,3                                ,               ,                      ,                 ,                       ,                            ,              ,                  ,                   ,                 ,                 ,              ,                   ,                  ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 252  Calcareous misc. 4 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  7,X, 1,  70.00,    130.5000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,6                ,              ,                         ,1                     ,                        ,                  ,4                     ,                          ,1               ,                     ,             ,9                   ,                  ,4                 ,              ,12                  ,                        ,10                   ,1          ,               ,9                ,1             ,5               ,3                    ,18              ,1          ,                   ,                  ,13                                        ,1                ,3             ,8                ,9                     ,10                   ,                       ,3                        ,3                       ,2                   ,3                 ,2                          ,                ,                     ,                     ,2            ,1                  ,1                   ,                  ,3                   ,                ,3                 ,              ,2             ,                         ,1               ,1                   ,2                       ,10            ,2              ,2             ,                            ,                        ,                  ,               ,                  ,             ,                                 ,               ,                      ,                 ,                       ,                            ,              ,                  ,                   ,                 ,                 ,              ,                   ,                  ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 175 Agglutinated misc. 3 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  7,X, 3,  70.00,    133.5000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,5                ,              ,46                       ,                      ,                        ,21                ,5                     ,18                        ,1               ,                     ,             ,6                   ,                  ,18                ,              ,2                   ,2                       ,39                   ,4          ,               ,15               ,              ,6               ,2                    ,15              ,           ,1                  ,12                ,17                                        ,                 ,4             ,9                ,1                     ,2                    ,4                      ,20                       ,2                       ,                    ,2                 ,1                          ,                ,5                    ,2                    ,2            ,2                  ,1                   ,1                 ,2                   ,2               ,4                 ,1             ,1             ,1                        ,                ,                    ,                        ,              ,               ,              ,                            ,                        ,                  ,               ,                  ,             ,                                 ,               ,                      ,                 ,                       ,                            ,              ,                  ,                   ,                 ,                 ,              ,                   ,                  ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 305  Agglutinated misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  7,X, 5,  70.00,    136.5000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,6                ,5             ,1                        ,1                     ,3                       ,2                 ,10                    ,2                         ,4               ,1                    ,1            ,6                   ,1                 ,15                ,1             ,10                  ,2                       ,17                   ,1          ,1              ,11               ,2             ,1               ,5                    ,27              ,4          ,6                  ,14                ,24                                        ,3                ,2             ,6                ,9                     ,3                    ,1                      ,14                       ,5                       ,5                   ,2                 ,3                          ,1               ,                     ,                     ,             ,                   ,                    ,                  ,                    ,                ,                  ,              ,              ,                         ,                ,                    ,                        ,              ,               ,              ,                            ,                        ,                  ,               ,                  ,             ,                                 ,               ,                      ,                 ,                       ,                            ,              ,                  ,                   ,                 ,                 ,              ,                   ,                  ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,                        ,              ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 242  Calcareous misc. 2 Agglutinated misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,2,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
