Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera minor,Periphaena (?) duplus,Stylotrochus charlestonensis,Spongurus spatulaeformis,Stichocorys greeni,Spongodiscus cruciferus,Spongatractus balbis,Lychnocanoma aff. trifolium,Theocorys robusta,Lychnocanoma conica,Lophophaena tekopua,Lamprocyclas matakohe,Eucyrtidium antiquum,Cycladophora cosma cosma,Axoprunum irregularis,Theocorys saginata,Lithomelissa gelasinus,Zealithapium mitra,Theocorys semipolita,Dictyocoryne gibsoni,Buryella aff. kaikoura,Comment
  IR,                 ,                 ,                  ,              ,189,1170,D,  8,R,CC,   0.00,    488.3500,rads     ,Radiolarians                                 ,F              ,P                 ,                  ,                     ,F                           ,                        ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  9,R,CC,  10.00,    497.6600,rads     ,Radiolarians                                 ,F              ,P                 ,                  ,                     ,F                           ,                        ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 10,R,CC,  10.00,    506.4100,rads     ,Radiolarians                                 ,R              ,P                 ,                  ,                     ,F                           ,                        ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 16,R,CC,  20.00,    567.2900,rads     ,Radiolarians                                 ,F              ,P                 ,T                 ,                     ,                            ,                        ,                  ,F                      ,T                   ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,Reworked balbis. Range 49.0-52.9Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 18,R,CC,   0.00,    585.1000,rads     ,Radiolarians                                 ,F              ,P                 ,                  ,                     ,                            ,                        ,                  ,R                      ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 20,R,CC,  12.00,    606.5500,rads     ,Radiolarians                                 ,C              ,P                 ,                  ,                     ,                            ,                        ,                  ,F                      ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 21,R,CC,   0.00,    615.1700,rads     ,Radiolarians                                 ,C              ,P                 ,                  ,                     ,                            ,                        ,R                 ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 22,R,CC,  18.00,    625.9200,rads     ,Radiolarians                                 ,C              ,P                 ,                  ,                     ,                            ,R                       ,R                 ,T                      ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 23,R,CC,  10.00,    635.2200,rads     ,Radiolarians                                 ,C              ,P                 ,                  ,                     ,R                           ,C                       ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 24,R,CC,  11.00,    645.0200,rads     ,Radiolarians                                 ,R              ,P                 ,R                 ,T                    ,R                           ,                        ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 25,R,CC,  15.00,    654.6600,rads     ,Radiolarians                                 ,F              ,P                 ,                  ,R                    ,R                           ,R                       ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 26,R,CC,   8.00,    664.3200,rads     ,Radiolarians                                 ,F              ,P                 ,                  ,R                    ,                            ,                        ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 28,R,CC,   9.00,    681.9600,rads     ,Radiolarians                                 ,F              ,P                 ,R                 ,                     ,                            ,                        ,                  ,                       ,                    ,                           ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
