Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira spp. (native type),Sponge spicules,Rhizosolenia barboi,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Thalassiothrix longissima,Coscinodiscus marginatus,Grammatophora sp.,Coscinodiscus temperei,Denticulopsis hustedtii,Coscinodiscus nodulifer,Thalassionema nitzschioides,Denticulopsis hyalina,Synedra sp.,Denticulopsis lauta s.l.,Stephanopyxis turris,Diploneis sp.,Coscinodiscus cf. C. marginatus,Denticulopsis sp.,Coscinodiscus sp.,Synedra jouseana,Denticulopsis lauta,Coscinodiscus radiatus,Actinocyclus tsugaruensis,Thalassionema schraderi,Neodenticula seminae,Denticulopsis dimorpha,Aulacosira granulata,Comment
  IR,                 ,                 ,                  ,              ,167,1014,B,  5,H,CC,  27.00,     41.5100,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  6,H,CC,  34.00,     51.3300,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,R              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,+                      ,                       ,                           ,                     ,           ,+                       ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,+                     ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  7,H,CC,  18.00,     60.7000,Maruyama ,Diatoms                                      ,T              ,P                 ,+                               ,+              ,                   ,+                  ,                               ,                         ,+                       ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,+                      ,+                   ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  8,H,CC,  46.00,     70.2000,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,+                  ,+                     ,+                        ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  9,H,CC,  18.00,     79.5800,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,+               ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 10,H,CC,  18.00,     89.2600,Maruyama ,Diatoms                                      ,T              ,P                 ,+                               ,+              ,                   ,                   ,+                              ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 11,H,CC,  20.00,     98.7700,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,+                  ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,+                   ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 12,H,CC,  19.00,    105.2800,Maruyama ,Diatoms                                      ,T              ,P                 ,+                               ,+              ,                   ,+                  ,                               ,                         ,+                       ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,+               ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 13,H,CC,  40.00,    110.8800,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,                   ,                   ,                               ,                         ,+                       ,                 ,                      ,+                      ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 14,X,CC,  18.00,    120.7600,Maruyama ,Diatoms                                      ,T              ,P                 ,+                               ,+              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,+                ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 15,X,CC,  20.00,    129.5200,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,C              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,+                              ,+                ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 16,X,CC,  26.00,    139.2000,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,A              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,+                    ,           ,                        ,+                   ,+            ,+                              ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 17,X,CC,  21.00,    148.7100,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,A              ,F                  ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 18,X,CC,  64.00,    156.3900,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,C              ,+                  ,                   ,                               ,+                        ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,+          ,+                       ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 19,X,CC,  16.00,    165.8500,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,C              ,                   ,+                  ,+                              ,                         ,+                       ,                 ,                      ,                       ,                       ,+                          ,+                    ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 20,X,CC,  30.00,    176.8200,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,C              ,                   ,                   ,                               ,                         ,+                       ,                 ,                      ,+                      ,+                      ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 21,X,CC,  27.00,    185.3900,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,F              ,+                  ,                   ,                               ,                         ,                        ,+                ,+                     ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 22,X,CC,  20.00,    192.8800,Maruyama ,Diatoms                                      ,C              ,P                 ,                                ,F              ,                   ,                   ,+                              ,                         ,A                       ,F                ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments common. from IR. Ch 8. Tables 6+10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 23,X,CC,  32.00,    206.5200,Maruyama ,Diatoms                                      ,C              ,P                 ,                                ,               ,C                  ,                   ,                               ,                         ,C                       ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 24,X,CC,  23.00,    216.2400,Maruyama ,Diatoms                                      ,C              ,P                 ,                                ,A              ,F                  ,                   ,                               ,R                        ,C                       ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 25,X,CC,  36.00,    223.9500,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,F              ,C                  ,R                  ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 26,X,CC,  27.00,    231.3600,Maruyama ,Diatoms                                      ,F              ,P                 ,+                               ,C              ,                   ,                   ,+                              ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B, 27,X,CC,  20.00,    239.8600,Maruyama ,Diatoms                                      ,T              ,P                 ,+                               ,A              ,F                  ,+                  ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
