Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys spp. group,Stichocorys peregrina,Stichocorys delmontensis,Spongoplegma churchii,Lychnocanoma grande,Axoprunum angelinum,Anthocyrtidium ehrenbergi,Acrosphaera murrayana,Stylacontarium acquilonium,Theocorys semipolita,Stylosphaera minor,Phormostichoartus fistula,Lipmanella deflandrei,Haliommetta miocenica,Eucyrtidium biconicum,Druppatractus irregularis,Dictyophimus splendens,Theocorythium vetulum,Sphaeropyle langii,Lithelius nautiloides,Eucyrtidium teuscheri group,Stylatractus neptunus,Spongoplegma variabile,Saturnalis circularis,Eucyrtidium cienkowskii,Cycladophora pliocenica,Carpocanistrum ob,Cycladophora spongothorax,Cycladophora davisiana,Botryostrobus bramlettei pretumidulus,Spongoplegma medianum,Pterocanium charybdeum trilobum,Lamprocyrtis heteroporos,Cycladophora humerus,Botryostrobus auritus/australis,Thecosphaera japonica,Spongoplegma antarcticum,Sphaeropyle robusta,Desmospyris spongiosa,Stylatractus universus,Lamprocyrtis neoheteroporos,Spongotrochus glacialis,Eucyrtidium calvertense,Triceraspyris antarctica,Pseudocubus vema,Eucyrtidium teuscheri orthoporus,Botryostrobus bramlettei tumidulus,Botryostrobus aquilonaris,Actinomma popofskii,Saccospyris antarctica,Antarctissa strelkovi,Antarctissa sp. G,Antarctissa denticulata,Sphaeropyle boreale,Lamprocyrtis nigriniae,Botryostrobus bramlettei seriatus,Sphaeropyle antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  5,H,CC,  10.00,     47.1300,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,                   ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,                     ,                     ,R                        ,                      ,R                    ,T                 ,R                    ,                           ,                     ,                      ,R                    ,                       ,R                      ,                 ,R                        ,R                     ,R                                    ,                     ,                               ,                        ,T                   ,                               ,                     ,C                       ,                   ,                     ,                      ,                           ,                       ,                       ,R                       ,                ,                                ,                                  ,                         ,                   ,R                     ,F                    ,R                ,F                      ,F                  ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  6,H,CC,   9.00,     56.8200,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,                   ,                         ,                     ,                          ,                    ,                  ,                         ,                     ,                     ,C                    ,                         ,                      ,R                    ,T                 ,                     ,                           ,                     ,                      ,R                    ,R                      ,R                      ,                 ,R                        ,R                     ,                                     ,                     ,                               ,                        ,                    ,R                              ,                     ,F                       ,                   ,                     ,T                     ,                           ,                       ,                       ,R                       ,R               ,R                               ,                                  ,F                        ,                   ,R                     ,R                    ,F                ,C                      ,F                  ,T                     ,R                                ,                      ,5/6 LO P. vema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  7,H,CC,  15.00,     65.5800,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,                   ,                         ,                     ,T                         ,                    ,                  ,                         ,                     ,                     ,C                    ,R                        ,                      ,R                    ,                  ,                     ,T                          ,                     ,                      ,                     ,                       ,F                      ,                 ,R                        ,                      ,                                     ,                     ,F                              ,R                       ,R                   ,                               ,                     ,F                       ,                   ,T                    ,                      ,R                          ,R                      ,                       ,                        ,R               ,                                ,                                  ,C                        ,R                  ,T                     ,R                    ,R                ,R                      ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  8,H,CC,   9.00,     76.0700,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,T                  ,                         ,                     ,T                         ,                    ,                  ,                         ,T                    ,                     ,C                    ,                         ,                      ,R                    ,                  ,R                    ,R                          ,R                    ,                      ,T                    ,                       ,F                      ,                 ,R                        ,                      ,                                     ,                     ,                               ,R                       ,                    ,                               ,                     ,F                       ,                   ,C                    ,R                     ,                           ,R                      ,                       ,R                       ,R               ,R                               ,R                                 ,F                        ,R                  ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  9,H,CC,  18.00,     85.6200,rads     ,Radiolarians                                 ,C              ,P                 ,                      ,                     ,                        ,                     ,                   ,                   ,                         ,                     ,                          ,                    ,                  ,                         ,                     ,R                    ,C                    ,R                        ,                      ,                     ,                  ,R                    ,                           ,                     ,                      ,                     ,R                      ,                       ,                 ,                         ,                      ,                                     ,                     ,                               ,F                       ,R                   ,T                              ,                     ,                        ,                   ,R                    ,                      ,                           ,                       ,R                      ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,8/9 FO P. vema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 10,H,CC,   0.00,     94.7600,rads     ,Radiolarians                                 ,C              ,M                 ,                      ,                     ,                        ,                     ,                   ,R                  ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,F                    ,C                    ,                         ,                      ,R                    ,R                 ,                     ,R                          ,                     ,                      ,R                    ,                       ,R                      ,                 ,F                        ,                      ,                                     ,                     ,                               ,R                       ,                    ,R                              ,R                    ,                        ,                   ,C                    ,                      ,                           ,R                      ,R                      ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 11,H,CC,  18.00,    104.3000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,R                  ,                         ,                     ,R                         ,                    ,                  ,                         ,T                    ,C                    ,C                    ,R                        ,                      ,R                    ,R                 ,R                    ,R                          ,                     ,                      ,T                    ,R                      ,R                      ,F                ,R                        ,                      ,                                     ,                     ,                               ,R                       ,R                   ,T                              ,R                    ,R                       ,                   ,R                    ,T                     ,R                          ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 12,H,CC,  22.00,    113.9800,rads     ,Radiolarians                                 ,C              ,P                 ,                      ,                     ,                        ,R                    ,                   ,F                  ,                         ,                     ,                          ,                    ,                  ,                         ,                     ,                     ,C                    ,                         ,                      ,                     ,C                 ,R                    ,                           ,T                    ,                      ,                     ,R                      ,                       ,F                ,                         ,                      ,                                     ,                     ,                               ,                        ,                    ,                               ,R                    ,R                       ,F                  ,R                    ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,Poor assemblage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 13,H,CC,  19.00,    122.9600,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,T                    ,                        ,                     ,                   ,                   ,                         ,                     ,R                         ,                    ,                  ,                         ,T                    ,F                    ,C                    ,R                        ,                      ,R                    ,                  ,R                    ,R                          ,                     ,                      ,                     ,R                      ,                       ,T                ,                         ,                      ,                                     ,T                    ,T                              ,R                       ,F                   ,T                              ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 14,H,CC,  16.00,    132.5900,rads     ,Radiolarians                                 ,C              ,M                 ,                      ,T                    ,R                       ,                     ,R                  ,T                  ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,R                    ,F                    ,R                        ,T                     ,R                    ,                  ,R                    ,R                          ,R                    ,R                     ,                     ,                       ,                       ,R                ,R                        ,T                     ,T                                    ,                     ,                               ,                        ,                    ,                               ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 15,H,CC,  16.00,    142.4900,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,T                    ,                        ,                     ,R                  ,T                  ,                         ,                     ,R                         ,T                   ,                  ,                         ,                     ,F                    ,R                    ,R                        ,                      ,R                    ,                  ,F                    ,R                          ,R                    ,R                     ,T                    ,R                      ,R                      ,R                ,                         ,                      ,                                     ,                     ,                               ,                        ,                    ,                               ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 16,H,CC,  16.00,    150.6300,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,T                    ,                        ,                     ,R                  ,R                  ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,F                    ,                     ,C                        ,                      ,R                    ,T                 ,R                    ,R                          ,                     ,                      ,                     ,                       ,                       ,                 ,                         ,                      ,                                     ,                     ,                               ,                        ,                    ,                               ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 17,H,CC,  11.00,    161.2400,rads     ,Radiolarians                                 ,C              ,G                 ,A                     ,C                    ,A                       ,                     ,R                  ,                   ,                         ,                     ,F                         ,T                   ,T                 ,C                        ,T                    ,F                    ,T                    ,R                        ,T                     ,                     ,                  ,                     ,                           ,                     ,                      ,                     ,                       ,                       ,                 ,                         ,                      ,                                     ,                     ,                               ,                        ,                    ,                               ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 18,H,CC,   7.00,    170.0900,rads     ,Radiolarians                                 ,C              ,G                 ,A                     ,C                    ,A                       ,                     ,R                  ,                   ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,                     ,                     ,                         ,                      ,                     ,                  ,                     ,                           ,                     ,                      ,                     ,                       ,                       ,                 ,                         ,                      ,                                     ,                     ,                               ,                        ,                    ,                               ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C, 19,H,CC,  13.00,    180.4400,rads     ,Radiolarians                                 ,C              ,G                 ,A                     ,C                    ,A                       ,T                    ,R                  ,T                  ,T                        ,R                    ,                          ,                    ,                  ,                         ,                     ,                     ,                     ,                         ,                      ,                     ,                  ,                     ,                           ,                     ,                      ,                     ,                       ,                       ,                 ,                         ,                      ,                                     ,                     ,                               ,                        ,                    ,                               ,                     ,                        ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,                         ,                   ,                      ,                     ,                 ,                       ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
