"Expedition, site, hole, core, section, interval (cm):",Bottom Depth [m],Top Depth [m],Age:,Agglutinated indet.,Cyclammina,Eggerella bradyi,Haeuslerella,Karreriella bradyi,Karreriella cylindrica,Martinottiella,Sigmoilopsis,Sigmoilopsis gavini (cf.),Sigmoilopsis schlumbergeri,Siphonaperta,Siphonaperta macbeathi,Siphotextularia,Siphotextularia subcylindrica,Textularia,Alabamina tenuimarginata,Ammonia beccarii,Amphicoryna,Amphicoryna scalaris,Anomalina spherica,Anomalinoides parvumbilius,Anomalinoides subnonionoides,Astrononion kickinskii,Astrononion parki,Bolivina,Bolivina affiliata,Bolivina alata,Bolivina albatrossi,Bolivina lapsus,Bolivinita pliozea,Bolivinita pohana,Bolivinita pohana (cf.),Bolivinita quadrilatera,Bulimina,Bulimina aculeata,Bulimina aculeata (cf. smooth),Bulimina marginata,Bulimina pyrula spinescens,Bulimina striata,Bulimina striata (cf.),Bulimina truncanella,Cassidulina,Cassidulina neocarinata,Chilostomella ovoidea,Cibicides,Cibicides deliquatus,Cibicides molestus,Cibicides neoperforatus,Cibicides robertsonianus,Cornuspira,Dentalina,Discorbinella,Discorbinella bertheloti,Dyocibicides primitiva,Ehrenbergina,Elphidium,Elphidium charlottensis,Euuvigerina,Euuvigerina miozea,Euuvigerina miozea (cf.),Euuvigerina peregrina,Euuvigerina peregrina (cf.),Euuvigerina pliozea,Euuvigerina rodleyi (cf.),Evolvocassidulina orientalis,Fissurina,Fursenkoina,Gavelinopsis,Gavelinopsis hamatus,Globobulimina pacifica,Globocassidulina cuneata,Globocassidulina subglobosa,Gyroidina,Gyroidina danvillensis,Gyroidinoides,Gyroidinoides zelandicus,Haynesina depressula,Hoeglundina elegans,Hopkinsina mioindex,Lagena,Lagena distoma,Lagena striata,Laticarinina altocamerata,Laticarinina pauperata,Lenticulina,Lenticulina calcar,Lenticulina orbicularis,Lenticulina peregrina,Loxostomum karrerianum,Loxostomum truncatum,Marginulina,Marginulinopsis,Melonis barleeanum,Nodosaria,Nodosaria acuminata,Nodosaria longiscata,Nonionella flemingi,Nonionella magnalingua,Notorotalia,Notorotalia finlayi,Notorotalia finlayi (cf.),Notorotalia hurupiensis,Notorotalia pliozea,Notorotalia taranakia,Oolina,Oolina hexagona,Oolina squamosa,Oridorsalis tenera,Oridorsalis umbonatus,Osangularia bengalensis,Pandaglandulina,Patellinella inconspicua,Pileolina,Planulina wuellerstorfi,Planulina wuellerstorfi (cf.),Plectofrondicularia pohana,Proxifrons advena,Pseudonodosaria,Pseudonodosaria symmetrica,Pullenia,Pullenia bulloides,Pullenia quadriloba,Pullenia quinqueloba,Pyrgo,Quinqueloculina,Rosalina bradyi,Rectobolivina maoria,Rectobolivina striatula,Rosalina bradyi.1,Saracenaria italica,Siphouvigerina,Siphouvigerina canariensis,Sphaeroidina bulloides,Spiroloculina,Stilostomella,Trifarina,Trifarina bradyi,Triloculina,Vaginulina,Vaginulinopsis,Virgulopsis,Virgulopsis petiae,Virgulopsis turris,Zeaflorilus parri,Sample,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
"372-U1517C-7F-CC, 21-26",38.71,38.66,,,,,X,,,,,,,,,,,,?,X,,,X,X,,X,F,,,,,,,,,,,,X,,,,,,,X,,F,,(X),,CF,,X,,,X,X,,F,,F,,,,,,,,,,,,,X,,,X,X,X,X,,,,X,,,X,,,,,,,,,,,,F,,F,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,X,,,X,,,,,,,,,X,372-U1517C-7F-CC,21,26,372,U1517,C,7,F,CC,,5ec5618e77ff482f06ecb3baac5551e1
"372-U1517C-8F-CC, 21-26",43.4,43.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,F,,,,,,,X,,,,,,,X,,,X,,,,,X,,F,,X,,,X,,,,,X,,,X,,X,,,,,,,X,,,,,,,,F,F,,F,X,,,X,,,,X,,,,,,,,,,,,,,,,X,F,,,,,,,,,,,,,,X,,,,,X,372-U1517C-8F-CC,21,26,372,U1517,C,8,F,CC,,62edcf458e5e1cbe7cc222f5e7a35a8d
"372-U1517C-9F-CC, 23-28",48.02,47.97,,,,,,,,,,,,,,,,,,X,,,,X,,,X,,,F,,,,X,,,,,F,X,,,,,,F,,,,,,,,,,,,,,X,,X,,,,,,F,X,,,,,,X,,,,X,X,,,,,,,,,,,,X,,,,,,,,A,,,,A,,,,,X,X,,,,,,,,,,,,,,,,,X,C,,,X,,,,,,,,,,,,,,,,X,372-U1517C-9F-CC,23,28,372,U1517,C,9,F,CC,,1c25f935441f7fed2c4bc80ca7e92c45
"372-U1517C-10F-CC, 27-32",52.8,52.75,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,,,,X,,,X,,,,,,X,F,,X,,,,,,,,,,,,X,,X,,,,,,F,,,,,,,,,,,,X,,,XX,,,,,X,,,,X,,,,,,,,C,,,,A,,,,,X,X,,,,,,X,,,,,,,,,,,,F,,,,X,,,X,X,,,,,,,,,,,,372-U1517C-10F-CC,27,32,372,U1517,C,10,F,CC,,0a2de16d295fd20fa0c48299823f4fa3
"372-U1517C-11F-CC, 26-31",57.47,57.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,X,,,,,F,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,XX,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,X,,,,,,,,372-U1517C-11F-CC,26,31,372,U1517,C,11,F,CC,,90c3203821087fb90cdcb0a89b2b2a46
"372-U1517C-12F-CC, 26-31",61.7,61.65,,,,F,,,,,F,,,,,,,,,,,,,X,,,X,,,,,,,,X,F,,F,,,,X,,,,X,X,XX,,,,,,,,,,,,F,,,,C,,,,F,XX,,,X,X,,,,,X,,X,X,,,,X,,,,,,,X,,,,,,,,C,X,,,A,,,F,XX,,,,,,,,,,,,,,,,X,,,X,F,,,,,,,,X,,,,,,,,,,,X,372-U1517C-12F-CC,26,31,372,U1517,C,12,F,CC,,06259a95f91ed06cbb155075e088d9f1
"372-U1517C-13F-CC, 23-28",66.66,66.61,,,,F,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,F,X,X,,,,F,,,,X,,,,,,,,,,,,,,,,,,C,,,,,X,X,,,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,X,F,,,,,,A,,,,F,,,X,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,372-U1517C-13F-CC,23,28,372,U1517,C,13,F,CC,,2bebdc511500d403b354c48a7bfd6e2c
"372-U1517C-14F-CC, 37-42",71.6,71.55,,,,F,,,,,X,,,,,,,,,,,,,,,,,,,F,,,,,,F,,F,,,,X,,,,X,,X,,,,,,,,,,,,,,,,X,,,,X,XX,F,X,,,,,X,,,,,X,,,,X,,,X,,,,,,,,,,,,X,F,,,,,,A,,X,,X,,,X,,,X,,,,,,,,,,X,X,,,,,,,,F,,,,,,X,,,,,X,372-U1517C-14F-CC,37,42,372,U1517,C,14,F,CC,,dc0b2689102148a71fcb8d360b8c1528
"372-U1517C-15H-CC, 0-5",80.85,80.8,,X,,F,,,,,F,,,,,,CF,X,,,,,,,,,,,,X,,,,,,F,,F,,X,,F,,X,,X,F,F,,,,,,XX,,,,,,,,,,C,,,,X,X,X,X,,F,,,X,,,,,F,,X,,X,,,X,,,,,,,,,,,,,X,,,,,,C,,,,X,,,X,,,X,,,,,,,,,,F,X,,,,,,,,F,,,,,,X,X,,,,,372-U1517C-15H-CC,0,5,372,U1517,C,15,H,CC,,be1b7db8bd7b3e8a27e994bed9252683
"372-U1517C-16H-CC, 0-5",90.6,90.55,,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,F,,F,,,,X,,,,X,,,X,,,,,X,,,,,,,,,,C,,,,,X,,X,,X,,,XX,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,C,,,,X,,,,,,,,,,,,,,,,XX,F,,,,,,,,F,,,,,,X,,,,,,372-U1517C-16H-CC,0,5,372,U1517,C,16,H,CC,,fe69097bb06aa969163ed57834762e00
"372-U1517C-17H-CC, 44-49",99.6,99.55,,,,F,,,X,,F,,,,,,,X,,,,,,,,,X,,X,X,,,,,,X,,X,,X,X,F,,X,,,,X,X,,,,,X,,,,,,,,,,C,,,,X,X,,,,X,X,,X,,X,,,X,,XX,,,,,X,,,X,X,,,,,,,,,,X,,,,,,,,,F,,X,,,,,,,X,,,,X,,,X,X,,,,,,,F,F,,,,,,,,,,,,372-U1517C-17H-CC,44,49,372,U1517,C,17,H,CC,,41d6125b90d709eb8340edaacf21d018
"372-U1517C-18H-CC, 0-5",108.3,108.25,Middle Pleistocene,,,F,,X,,,X,,,,,,,,,,,,,X,,,X,,,,,,,,,F,,,,,,,,,,,X,X,,,,,,,,F,,,,F,X,,,X,,,,F,,,F,,X,,,,X,,,F,,,XX,,,,,,,,,X,,,,,,,,F,,,F,,,,F,,,,X,,,,,,,,,,,,,X,,,F,F,,,,,,,,X,,,,,X,X,,,,,F,372-U1517C-18H-CC,0,5,372,U1517,C,18,H,CC,,eb70013020ec91231909cee2e0e45801
"372-U1517C-19F-CC, 38-43",112.44,112.39,,,,F,,,,,X,,X,,,,,F,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,X,X,,,,,,,,,X,,,X,X,,,,,,,F,,X,X,,F,,,X,,X,,X,F,,,,X,,,XX,,X,,F,,,,X,,,,X,X,F,F,,,?,,,,,X,,,X,,,,,,,,,,F,,,XX,XX,,,,,,,,X,,,,,,,,,,,X,372-U1517C-19F-CC,38,43,372,U1517,C,19,F,CC,,cf1924c91bc673d9e5b88614a41f55a8
"372-U1517C-20F-CC, 51-56",117.71,117.66,,,,F,,,,,F,,F,,,,,,,X,,,,X,,,X,,,,,,,,,F,,,,X,X,X,,X,,X,,X,,,F,,,XX,,X,X,,,X,,,,C,,,,X,,,X,,,X,X,F,?,X,,X,,,XX,X,,,,XX,,,,X,,,,,,,,F,,,,,,,X,,,,X,,,,,,,,,,X,,X,X,,X,X,X,,X,,,,,,X,,,,,,X,,,,,,372-U1517C-20F-CC,51,56,372,U1517,C,20,F,CC,,aa190365471f00927d389c5e9fcec7e0
"372-U1517C-21F-CC, 16-21",122.26,122.21,,,,F,X,,X,,X,,,,,,,,,,X,,,,,,X,,X,X,,,,,,F,,X,,,,X,,X,,X,,XX,,,F,,,X,,,,,,,X,,,F,,,,F,X,,X,,,,X,X,X,X,,,,,X,,,,,XX,X,,,F,,,,F,,,,,,,X,,,,X,,,,F,,X,,,,,,,X,,,X,F,,,X,XX,,,,,,,X,X,,,,,,,,,,,,372-U1517C-21F-CC,16,21,372,U1517,C,21,F,CC,,d33e3bec2dba4b46eaabe20fb6c81356
"372-U1517C-22F-CC, 13-18",127.1,127.05,,,,F,,,X,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,X,,,,,,,XX,,,,,,,,,,F,,,,,X,,,,X,,F,X,,F,,,F,,,,,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,XX,F,,,,,,,,X,,,,,,X,,,,,,372-U1517C-22F-CC,13,18,372,U1517,C,22,F,CC,,496c78785dcf8ba840010dff22b834cd
"372-U1517C-24F-CC, 47-52",136.51,136.46,,,,F,X,,,,X,,F,,,,,XX,,,,,X,,,,X,X,,X,,,,,,F,,C,,,,F,,,,,X,X,,,F,,,X,,,X,,,F,X,,,C,,,,F,X,X,,,F,X,,F,,X,,X,,,X,,,,,,,,,F,,,X,,,,,F,,,C,,,,,,X,,F,,,,,,,,,,,,,X,,,XX,XX,,,,,,,X,X,,,,,,X,,,,,X,372-U1517C-24F-CC,47,52,372,U1517,C,24,F,CC,,21bcb80fa687a86a7b2814352d19669b
"372-U1517C-25F-CC, 38-43",140.76,140.71,,,,X,,,,,F,,F,,,,,X,,,,,,X,,,,,,,,,,,,F,,F,,,,,,,,X,,,X,,F,,,XX,,,,,X,X,,,,F,,,,XX,XX,,,,X,,F,,X,X,,X,F,,,,,,,XX,,,,,,,,,,,,,,,,X,,,,,,,F,,,,,,,,,,,,,F,,X,X,XX,,,,,,,,X,,,,,,X,,,,,,372-U1517C-25F-CC,38,43,372,U1517,C,25,F,CC,,93f3175589812683e389433dc9c85483
"372-U1517C-26F-CC, 12-17",144.96,144.91,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,X,,F,,,,X,,,,X,,,X,,,,,,,,X,,,X,,,,F,,,,X,XX,,,,,F,,X,,,,X,,,XX,,,,,,,,,,,,,,,,,F,,,X,,,,,,X,,F,,,X,,,X,,,,,,,,,,X,C,,,,,,,,,,,X,,,,,,,,,372-U1517C-26F-CC,12,17,372,U1517,C,26,F,CC,,d8c2b5adc73c81f50bf896d953d2eda5
"372-U1517C-27F-CC, 37-42",150.1,150.05,,,,,,,,,,,,,,,,X,,X,,,,X,,,X,,,F,,,X,,,F,,F,,,,X,,,,X,,X,F,,,,,X,,,X,,X,F,X,,,C,,,X,F,X,X,X,,X,F,,F,?,X,,F,,,,CF,,,,X,,,,X,,,,,,X,,F,,F,F,,,,,,X,X,F,,,?,,,X,,,X,,,X,,,,XX,XX,,,,,,,X,X,,X,,,,,,X,,X,F,372-U1517C-27F-CC,37,42,372,U1517,C,27,F,CC,,97b68af9ad44a1d4f8fb9fae316b5f92
"372-U1517C-28F-CC, 29-34",154.8,154.75,,,,,,,,,,,R,,,,,,,,,,,,,,X,,,X,,,,,,X,,F,,,,,,X,,X,F,F,F,,X,,,X,,,F,,,X,,,X,C,,,,F,,X,X,,X,X,,F,,F,,F,,,X,,,,,X,,,,X,,,,,,,,F,,,F,,,,X,,,,X,,,X,,,,,,,,,X,,,,XX,F,,,,,,,,X,,,X,,,,,,,,X,372-U1517C-28F-CC,29,34,372,U1517,C,28,F,CC,,5e5d396ee9bbab6ab355a85688efee62
"372-U1517C-29F-CC, 16-21",159.3,159.25,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,X,,F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,F,X,F,,X,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,X,,,,,,,,,,,,,XX,F,,,,,,,,X,,,,,X,,,,,,X,372-U1517C-29F-CC,16,21,372,U1517,C,29,F,CC,,fd8f4062f62722ba8fe4b5bf7209e005
"372-U1517C-30F-CC, 7-12",159.97,159.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372-U1517C-30F-CC,7,12,372,U1517,C,30,F,CC,,584840b54ff64e2a850eedde54e9116f
"372-U1517C-31F-CC, 12-17",163.78,163.73,,,,,,,,,,,,,,,,X,,,X,,,,,,X,,,X,,,,,,,,F,,,,,,,,F,,,,,,,,,,?,,,,C,,,,X,,X,,F,,,,,X,,,,X,,,X,,,,,,,,X,,,,X,,,,,,X,,C,,,X,,,,,,,X,,,,X,,,,,,,,,,X,,,X,F,,,,,,,,X,,,X,,,,,,,X,X,372-U1517C-31F-CC,12,17,372,U1517,C,31,F,CC,,9ac71dc2ce83b6975cf90dd4e5f32b10
"372-U1517C-32F-CC, 6-11",167.18,167.13,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,F,X,,,F,,,,X,,,X,,,,,,,,,,,X,F,,,F,,,,XX,XX,,X,,,,,X,,F,,X,,,,,X,,,,,,,,,,,,X,,,F,,,X,,,,,,,,X,,,,,,,,,,,X,,X,X,X,F,F,,,,,,,,X,,,,,,,,,,,,372-U1517C-32F-CC,6,11,372,U1517,C,32,F,CC,,a2143398db602b5c630ad42e3c214fbb
"372-U1517C-33F-CC, 11-16",173.04,172.99,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,X,,X,,,,X,,,,X,,,X,,XX,,,,,,X,X,,,,,C,,X,,,,,,X,,X,,,,,,,,,X,C,,,X,,X,,,,,,,,,,,,X,,,C,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,X,,372-U1517C-33F-CC,11,16,372,U1517,C,33,F,CC,,daae6c0549f1430e30f0e292035d5793
"372-U1517C-34F-CC, 25-30",174.7,174.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,C,,,,F,,F,,X,,,X,,,,,,,,?,,,,,,,X,,,,X,,F,,,,X,,X,,F,,,,,X,,,,,,,,,,,X,,,,,,X,,,X,,,,,,X,,X,,,X,,,,,,,,,,,,,X,XX,,,,,,,,,,,,,,,,,,,,372-U1517C-34F-CC,25,30,372,U1517,C,34,F,CC,,c58aa38542fc5045f7f8fb78f0a10a79
"372-U1517C-36F-CC, 15-20",187.58,187.53,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,372-U1517C-36F-CC,15,20,372,U1517,C,36,F,CC,,fa4951a6f8c02ebb9dd60224a31fd0dd
