Exp,Site,Hole,"Core, section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Amphora spp.,Asteromphalus brookei,Asteromphalus robustus,Aulacoseira spp.,Bacterosira fragilis,Cocconeis californica cf. kerguerensis,Cocconeis costata,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema spp.,Eunotia praerupta,Eunotia spp.,Fragilaria spp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Grammatophora angulata,Navicula distans,Navicula spp.,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula turris,Pyxidicula spp.,Pyxilla americana,Raphoneis amphiceros,Rhabdonema spp.,Rhizosolenia barboi,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia spp.,Stauroneis spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira cf. leptopus,Thalassiosira decipiens,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1344,D,11H-CC,97.76,97.86,C,M,F,,,,,,,,C,R,,,,F,,R,F,,,,,,F,C,R,R,,,F,F,F,R,C,,,R,,,,,,,,,,,F,,,,A,F,R,,,F,C,,,,F,,Neodenticula seminae (NPD12),11,CC,H,,,,323-U1344D-11H-CC,00c7dfaec0ee65a488582a4ed1264470
323,U1344,D,12H-CC,107.27,107.37,A,G,,,,,,,,R,A,,,,,,,,,,,,,,F,,,R,,,C,C,,F,,,,,,,,,,,,F,,,R,,,R,C,,,F,R,C,C,,,R,,F,Proboscia curvirostris (NPD11),12,CC,H,,,,323-U1344D-12H-CC,e8ed4c18de2c048f586bcd4551a630a3
323,U1344,D,13H-CC,116.60,116.70,A,G,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,A,F,,,C,,,,R,,,,,,R,,,,,,,C,A,,,,F,A,C,,R,F,C,,Proboscia curvirostris (NPD11),13,CC,H,,,,323-U1344D-13H-CC,6f67b92c9ac7e7d0524bdb8b2dab7c66
323,U1344,D,14H-CC,126.28,126.38,C,M,C,,,,,,,R,F,,R,R,,R,,,F,R,,F,,,F,F,,,,,F,F,,C,C,,,F,,,,F,,F,F,,,,,R,,,A,,,,,,F,,,,F,F,Proboscia curvirostris (NPD11),14,CC,H,,,,323-U1344D-14H-CC,bcba9c98dbfc857140cb1527eaf811a3
323,U1344,D,15H-CC,135.67,135.77,C,M,C,,,,,,,,F,,,F,R,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,C,A,,,,,F,C,,,,,,Proboscia curvirostris (NPD11),15,CC,H,,,,323-U1344D-15H-CC,03bf6f7b12926ec95055db68f2859ad0
323,U1344,D,16H-CC,145.30,145.40,A,M-G,C,,,,,,,,C,,,C,,,,,,,,,,,,F,,,,,C,R,F,,C,,,R,F,C,,R,,,,,,,,,,,C,R,,F,R,C,C,,,F,F,R,Proboscia curvirostris (NPD11),16,CC,H,,,,323-U1344D-16H-CC,683c5cd951987a63cdb5503a03cfaf0b
323,U1344,D,17H-CC,155.02,155.12,A,G,F,R,,,,,,,C,,R,F,,,F,F,,,,,,,C,C,,,,,F,C,,R,A,,,R,R,,,,,,,,R,,,,,F,C,,,,,F,F,,,C,R,R,Proboscia curvirostris (NPD11),17,CC,H,,,,323-U1344D-17H-CC,be997c02eabf9754aff304b45a2688a6
323,U1344,D,18H-CC,164.29,164.39,C,M,C,,,,,,R,,R,,,R,,,,,,,,,,,F,,,,,,C,,,,,,,F,F,,,,,,,,,,,,,C,A,,,,,F,C,R,,,,F,Proboscia curvirostris (NPD11),18,CC,H,,,,323-U1344D-18H-CC,7d7d9f8722ccf30e9d73a3818d97912e
323,U1344,D,19H-CC,174.31,174.41,,,F,,,,,,,,C,,R,R,,F,,F,,,,,,,C,C,,,,,C,F,,C,A,,,F,,,,F,C,,,R,,,,,R,F,A,,,,,C,C,,,,C,R,Proboscia curvirostris (NPD11),19,CC,H,,,,323-U1344D-19H-CC,d0723d75630020646ea9ee8b49d747f4
323,U1344,D,20H-CC,182.98,183.08,C,G,F,,R,,,,,,F,,,F,,,R,,,,,,,,,F,,,F,,C,C,,,A,R,,,F,F,,,,,,,R,,,,,C,A,,,,,R,F,,,,R,R,Proboscia curvirostris (NPD11),20,CC,H,,,,323-U1344D-20H-CC,76eaf5a7d329002da73387fd30d5ec03
323,U1344,D,21H-CC,192.83,192.93,C,G,F,,,,,,,,,,,R,R,,,,,,,,,R,R,F,,,R,,F,F,,,R,R,R,F,,,,,,,R,,R,,,,,R,A,,,,,F,C,,,R,,C,Proboscia curvirostris (NPD11),21,CC,H,,,,323-U1344D-21H-CC,2ab744cd0d4f1404a8775e6bfbb8d81b
323,U1344,D,22H-CC,201.79,201.89,C,M,,,,C,,,,,R,,,,,,R,,R,,,,,,F,,,,,,R,C,,F,A,,,R,,,,,,R,R,R,R,,,,,C,A,,,,,F,R,,,F,,,Proboscia curvirostris (NPD11),22,CC,H,,,,323-U1344D-22H-CC,2218fbe4a0bb51432d67a95b27501a4b
323,U1344,D,23H-CC,211.14,211.24,C,G,C,,,,,,R,,C,,,R,C,,F,,R,,,,,,C,F,,,,,C,F,,,C,,F,F,,,,,,,,,F,,,,,,A,,,,,F,C,,,R,,,Proboscia curvirostris (NPD11),23,CC,H,,,,323-U1344D-23H-CC,85710df91e08ff106836b55fa1ae3b1e
323,U1344,D,24H-CC,221.05,221.15,C,M,C,,,R,F,,,,,,,R,,,,F,,,,,,,,C,,R,,,F,F,,C,C,,F,,,,,,,,F,,,,,,R,F,A,,,,,R,C,,,,,F,Proboscia curvirostris (NPD11),24,CC,H,,,,323-U1344D-24H-CC,2fb6a93f2b1232eb81b16483299230c6
323,U1344,D,25H-CC,224.41,224.51,C,M,C,,,,,,,,C,,R,R,,,,,,,,,C,R,F,R,,,,,C,,,F,,,R,F,,,,,,R,R,,,,,,,,A,,,,,C,C,,,,R,,Proboscia curvirostris (NPD11),25,CC,H,,,,323-U1344D-25H-CC,085c88a60385ff61aabb512aa2263a1f
323,U1344,D,26H-CC,233.99,234.09,A,G,F,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,C,,F,,C,,,R,F,R,,,,,F,R,,,,,R,F,A,R,,F,,C,F,,,,R,,Proboscia curvirostris (NPD11),26,CC,H,,,,323-U1344D-26H-CC,7a535bf8e45b1172992911ea51b10f15
323,U1344,D,28H-CC,248.28,248.38,C,M,F,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,F,C,,C,C,,F,R,,,,,,,,,,F,,,,F,D,,,,,,,,,,,,Proboscia curvirostris (NPD11),28,CC,H,,,,323-U1344D-28H-CC,2d66f18d9ffc74a1bc5dce7b7ecfe26f
323,U1344,D,29H-CC,258.31,258.41,A,G,C,,,,,,,,F,,,,,F,,,F,,,,,,R,C,,,,,A,C,,R,,,F,R,,,R,,,,F,R,R,,R,,,R,A,,,,R,C,F,,,,C,C,Proboscia curvirostris (NPD11),29,CC,H,,,,323-U1344D-29H-CC,2b3e807a5e5d6d4974c32e1827446818
323,U1344,D,30H-CC,267.3,267.40,C,M,F,,,,,,,,R,,,R,,,,R,F,,,,,,,,,,,,C,F,,,C,,R,R,F,,,,,,C,,F,,R,,,C,C,,,,R,A,,,,R,,F,Proboscia curvirostris (NPD11),30,CC,H,,,,323-U1344D-30H-CC,9b770f63c27445e3d50644bf5398841d
323,U1344,D,31H-CC,277.86,277.96,A,G,F,,,,,R,,,F,,,R,,,,,,,,,,,R,F,,,,,C,,,R,,,R,F,F,C,,,,,C,,,,,,,,A,,,R,,R,C,,,,,,Proboscia curvirostris (NPD11),31,CC,H,,,,323-U1344D-31H-CC,113fbb27134072187ff110abbe018e0a
323,U1344,D,32H-CC,286.17,286.27,A,G,F,,,,,,,,F,,,,,,,,,,,,,,F,F,,,,,C,,,R,R,,R,,R,R,,,,,,,,,,,,,A,,,R,R,C,C,,,,,,Proboscia curvirostris (NPD11),32,CC,H,,,,323-U1344D-32H-CC,9aba5f35f383ba8daa53ce5959b999ad
