Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina primalis	Pulleniatina obliquiloculata	Orbulina universa	Orbulina bilobata	Neogloboquadrina pseudopima/dutertrei	Neogloboquadrina pseudopima	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Neogloboquadrina cf. N. dutertrei	Hastigerina pelagica	Globorotaloides hexagona	Globorotalia wilesi	Globorotalia viola	Globorotalia ungulata	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia scitula	Globorotalia ronda	Globorotalia puncticulata	Globorotalia menardii	Globorotalia inflata	Globorotalia incisa	Globorotalia hirsuta	Globorotalia hessi	Globorotalia fimbriata	Globorotalia exilis	Globorotalia crassula	Globorotalia crassaformis	Globorotalia bermudezi	Globorotalia aff. G. cavernula	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina umbilicata	Globigerina rubescens	Globigerina quinqueloba	Globigerina falconensis	Globigerina decoraperta	Globigerina cf. G. foliata	Globigerina bulloides	Candeina nitida	Bolliella calida	Beella digitata	Comment

  SR	                 	                 	                  	              	164	 997	A	  2	H	 1	  39.00	      3.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	2.2%                 	1.1%                        	1.1%             	.0%              	.0%                                  	.0%                        	1.4%                       	11.5%                     	.0%                              	.0%                 	.0%                     	.0%                	.6%               	.0%                  	.0%                	5.6%                         	.0%                   	.0%                 	.0%               	.0%                      	3.6%                 	5.0%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.1%                     	.0%                   	.0%                           	.0%                       	1.4%                    	12.6%                     	32.7%                	.0%                          	.0%                     	.0%                     	.0%                        	8.9%                   	2.5%                         	.0%                   	.6%                  	1.7%                   	4.7%                   	.0%                    	.0%                       	1.1%                 	.0%            	.6%             	.0%            	Total Foram Count 358. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 1	 114.00	      4.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	1.3%             	.0%              	.0%                                  	.0%                        	.0%                        	19.7%                     	.0%                              	.0%                 	.0%                     	.0%                	.6%               	.0%                  	.0%                	6.8%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	22.6%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	1.3%                 	4.8%                     	.0%                   	.0%                           	.0%                       	.0%                     	5.5%                      	22.9%                	.0%                          	.0%                     	.0%                     	1.0%                       	2.6%                   	8.7%                         	.0%                   	.3%                  	.0%                    	.6%                    	.0%                    	.0%                       	1.0%                 	.0%            	.3%             	.0%            	Total Foram Count 310. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 2	  39.00	      4.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.4%                 	2.1%                        	2.8%             	.0%              	.0%                                  	.0%                        	.0%                        	8.7%                      	.0%                              	.0%                 	.0%                     	.0%                	1.0%              	.0%                  	2.1%               	.7%                          	.0%                   	.0%                 	.3%               	.0%                      	1.4%                 	4.9%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.7%                     	.0%                   	.0%                           	.0%                       	.0%                     	7.0%                      	39.0%                	.0%                          	.0%                     	.0%                     	1.0%                       	10.8%                  	4.2%                         	.0%                   	1.7%                 	.0%                    	6.3%                   	.0%                    	.0%                       	1.4%                 	.0%            	1.4%            	.0%            	Total Foram Count 287. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 2	 114.00	      5.5400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	.0%                  	.0%                         	.0%              	.0%              	.0%                                  	.0%                        	.0%                        	11.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	9.3%                         	.0%                   	.3%                 	.0%               	.0%                      	.3%                  	22.3%               	.0%                	.3%                 	.0%               	.0%                   	.0%                	.0%                  	3.2%                     	.3%                   	.0%                           	.0%                       	.5%                     	11.7%                     	26.1%                	.0%                          	.0%                     	.0%                     	1.1%                       	2.7%                   	6.6%                         	.0%                   	.8%                  	.0%                    	.8%                    	.0%                    	.0%                       	1.9%                 	.0%            	.5%             	.0%            	Total Foram Count 376. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 3	  39.00	      6.2900	Okada    	Planktonic Foraminifers                      	               	                  	.5%                      	.5%                  	.2%                         	2.4%             	.0%              	.0%                                  	.0%                        	.0%                        	13.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	10.1%                        	.0%                   	.2%                 	.0%               	.0%                      	.2%                  	1.7%                	.0%                	8.4%                	.0%               	.0%                   	.0%                	.0%                  	.5%                      	.0%                   	.0%                           	.0%                       	.2%                     	8.9%                      	33.2%                	.0%                          	.0%                     	.0%                     	1.0%                       	5.5%                   	7.7%                         	.0%                   	.7%                  	.0%                    	3.8%                   	.0%                    	.0%                       	.7%                  	.0%            	.0%             	.2%            	Total Foram Count 416. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 3	 114.00	      7.0400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	4.2%                 	.3%                         	4.5%             	.0%              	.0%                                  	.0%                        	.0%                        	25.6%                     	.0%                              	.3%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	.0%                          	.0%                   	.0%                 	.3%               	3.2%                     	.0%                  	.0%                 	.0%                	12.2%               	.0%               	.0%                   	.0%                	.0%                  	.0%                      	.0%                   	.0%                           	.0%                       	.0%                     	5.4%                      	21.8%                	.0%                          	.0%                     	.0%                     	.3%                        	11.9%                  	5.1%                         	.0%                   	.6%                  	.0%                    	2.9%                   	.3%                    	.0%                       	.0%                  	.0%            	.6%             	.0%            	Total Foram Count 312. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 4	  39.00	      7.7900	Okada    	Planktonic Foraminifers                      	               	                  	.4%                      	.0%                  	.0%                         	4.0%             	.0%              	.0%                                  	.0%                        	.0%                        	23.0%                     	7.1%                             	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	4.9%                         	.4%                   	.0%                 	.4%               	2.2%                     	.0%                  	.0%                 	.0%                	9.3%                	.0%               	.0%                   	.0%                	.0%                  	3.5%                     	.0%                   	.0%                           	.0%                       	1.3%                    	7.5%                      	19.9%                	.0%                          	.0%                     	.0%                     	.9%                        	4.4%                   	4.0%                         	.0%                   	.0%                  	.0%                    	1.3%                   	2.2%                   	.0%                       	3.1%                 	.0%            	.0%             	.0%            	Total Foram Count 226. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 4	 114.00	      8.5400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	2.2%             	.0%              	.0%                                  	.0%                        	.4%                        	16.6%                     	.0%                              	.7%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	2.9%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	5.1%                	.0%                	7.2%                	.0%               	.0%                   	.0%                	1.8%                 	.0%                      	.0%                   	.0%                           	.0%                       	.4%                     	7.9%                      	38.6%                	.0%                          	.0%                     	.0%                     	.0%                        	3.2%                   	6.1%                         	.0%                   	.4%                  	.0%                    	5.8%                   	.0%                    	.0%                       	.0%                  	.0%            	.7%             	.0%            	Total Foram Count 277. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 5	  39.00	      9.2900	Okada    	Planktonic Foraminifers                      	               	                  	.5%                      	.9%                  	.0%                         	1.4%             	.0%              	.0%                                  	.0%                        	.0%                        	19.2%                     	.0%                              	.0%                 	.0%                     	.0%                	7.0%              	.0%                  	.0%                	.0%                          	.0%                   	.0%                 	.0%               	1.4%                     	.0%                  	.9%                 	.0%                	3.8%                	.0%               	.0%                   	.0%                	.0%                  	.0%                      	.0%                   	.0%                           	.0%                       	.0%                     	3.8%                      	36.2%                	.0%                          	.5%                     	.0%                     	1.4%                       	13.6%                  	2.8%                         	.0%                   	.9%                  	.0%                    	5.2%                   	.0%                    	.0%                       	.0%                  	.5%            	.0%             	.0%            	Total Foram Count 213. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 5	 114.00	     10.0400	Okada    	Planktonic Foraminifers                      	               	                  	.5%                      	.0%                  	.0%                         	3.2%             	.0%              	.0%                                  	.0%                        	.0%                        	14.7%                     	.0%                              	.5%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.5%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	2.8%                	.0%                	6.0%                	.0%               	.0%                   	.0%                	.0%                  	.9%                      	.0%                   	.0%                           	.0%                       	.0%                     	10.1%                     	33.9%                	.0%                          	.0%                     	.0%                     	1.4%                       	6.0%                   	9.6%                         	.0%                   	.9%                  	.0%                    	.5%                    	.0%                    	.0%                       	2.8%                 	.0%            	.9%             	.0%            	Total Foram Count 218. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 6	  39.00	     10.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.8%                 	.9%                         	1.2%             	.0%              	.3%                                  	.3%                        	.0%                        	8.6%                      	.0%                              	.3%                 	.0%                     	.0%                	1.5%              	.0%                  	.0%                	6.7%                         	.0%                   	.3%                 	.6%               	.3%                      	.0%                  	2.4%                	.0%                	6.4%                	.0%               	.0%                   	.0%                	.0%                  	1.2%                     	.0%                   	.0%                           	.9%                       	.3%                     	8.6%                      	33.6%                	.0%                          	.0%                     	.0%                     	.0%                        	10.7%                  	4.9%                         	.0%                   	.0%                  	.0%                    	5.5%                   	.0%                    	.0%                       	.9%                  	.6%            	.9%             	.0%            	Total Foram Count 327. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  2	H	 6	 114.00	     11.5400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.4%                  	1.5%                        	1.9%             	.0%              	.0%                                  	.0%                        	.0%                        	12.7%                     	.0%                              	.0%                 	.0%                     	.0%                	11.2%             	.0%                  	.0%                	3.9%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	2.7%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	.8%                      	.0%                   	.0%                           	.0%                       	1.2%                    	6.2%                      	27.4%                	.0%                          	.0%                     	.0%                     	.0%                        	9.3%                   	12.4%                        	.0%                   	.0%                  	.0%                    	7.7%                   	.0%                    	.0%                       	.4%                  	.0%            	.4%             	.0%            	Total Foram Count 259. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 1	  39.00	     12.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.7%                 	.6%                         	3.4%             	.0%              	.0%                                  	.0%                        	.3%                        	4.5%                      	1.1%                             	.3%                 	.3%                     	.0%                	.3%               	.0%                  	.0%                	8.2%                         	.3%                   	.0%                 	.0%               	.0%                      	.0%                  	7.1%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	4.8%                     	.0%                   	.0%                           	.3%                       	1.4%                    	9.6%                      	24.9%                	.0%                          	.0%                     	.0%                     	.8%                        	12.4%                  	8.2%                         	.0%                   	.0%                  	.0%                    	5.4%                   	.0%                    	.0%                       	3.1%                 	.0%            	1.1%            	.0%            	Total Foram Count 354. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 1	 114.00	     13.5400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	2.5%                 	.6%                         	3.7%             	.0%              	.0%                                  	.0%                        	.0%                        	7.0%                      	2.3%                             	.2%                 	.0%                     	.0%                	.2%               	.0%                  	.0%                	5.5%                         	.0%                   	.0%                 	.2%               	.6%                      	.0%                  	5.3%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.5%                     	.0%                   	.0%                           	.0%                       	.0%                     	8.2%                      	38.8%                	.0%                          	.2%                     	.0%                     	1.2%                       	9.4%                   	7.2%                         	.0%                   	.0%                  	.0%                    	1.8%                   	.0%                    	.0%                       	1.4%                 	.0%            	.0%             	.0%            	Total Foram Count 487. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 2	  39.00	     14.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.6%                 	1.9%                        	1.9%             	.0%              	.0%                                  	.0%                        	.0%                        	3.7%                      	.0%                              	.0%                 	.0%                     	.0%                	.3%               	.0%                  	.0%                	2.5%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	4.0%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.5%                     	.0%                   	.0%                           	3.1%                      	.3%                     	8.4%                      	43.9%                	.0%                          	.0%                     	.0%                     	.0%                        	11.2%                  	7.5%                         	.0%                   	.0%                  	.0%                    	4.4%                   	.0%                    	.0%                       	2.8%                 	.0%            	.0%             	.0%            	Total Foram Count 321. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 2	 114.00	     15.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.7%                 	1.7%                        	3.9%             	.0%              	.0%                                  	.0%                        	.0%                        	9.2%                      	.0%                              	.0%                 	.0%                     	.0%                	.3%               	.0%                  	.0%                	1.1%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	8.7%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.8%                     	.0%                   	.0%                           	.0%                       	.0%                     	8.9%                      	37.4%                	.0%                          	.0%                     	.0%                     	.8%                        	9.5%                   	9.8%                         	.0%                   	.0%                  	.0%                    	2.0%                   	.6%                    	.0%                       	1.7%                 	.0%            	.0%             	.0%            	Total Foram Count 358. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 3	  39.00	     15.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.5%                 	.7%                         	2.2%             	.0%              	.0%                                  	.0%                        	.0%                        	12.4%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	3.9%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	2.7%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.5%                     	.2%                   	.2%                           	.2%                       	.0%                     	4.9%                      	44.4%                	.0%                          	.0%                     	.0%                     	.7%                        	11.7%                  	4.4%                         	.0%                   	.0%                  	.7%                    	5.6%                   	.0%                    	.0%                       	2.2%                 	.0%            	.0%             	.0%            	Total Foram Count 412. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 3	 114.00	     16.5400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	1.6%             	.0%              	.0%                                  	.0%                        	.0%                        	22.7%                     	.0%                              	.0%                 	.0%                     	.0%                	3.0%              	.0%                  	.0%                	2.2%                         	.0%                   	.3%                 	.0%               	.0%                      	.5%                  	11.7%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	6.3%                     	.0%                   	.0%                           	.0%                       	.3%                     	10.1%                     	17.8%                	.0%                          	.0%                     	.0%                     	.5%                        	6.6%                   	7.9%                         	.0%                   	.0%                  	.0%                    	4.9%                   	.5%                    	.0%                       	3.0%                 	.0%            	.0%             	.0%            	Total Foram Count 366. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 4	  39.00	     17.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	1.3%                 	2.1%                        	1.3%             	.0%              	.0%                                  	.0%                        	.0%                        	21.8%                     	.0%                              	.0%                 	.0%                     	.0%                	.3%               	.0%                  	.0%                	3.6%                         	.3%                   	.0%                 	.0%               	.0%                      	.0%                  	9.0%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.5%                     	.0%                   	.0%                           	.0%                       	3.6%                    	14.1%                     	16.9%                	.0%                          	.0%                     	.0%                     	1.5%                       	7.2%                   	6.7%                         	.0%                   	.0%                  	.0%                    	6.9%                   	.0%                    	.0%                       	2.1%                 	.0%            	.0%             	.0%            	Total Foram Count 390. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 4	 114.00	     18.0400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.8%                  	.8%                         	1.8%             	.0%              	.0%                                  	.0%                        	.0%                        	18.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	1.8%                         	.0%                   	.0%                 	.3%               	.0%                      	.0%                  	12.0%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.3%                     	.0%                   	.0%                           	.0%                       	.0%                     	1.8%                      	32.3%                	.0%                          	.0%                     	.0%                     	1.3%                       	8.1%                   	10.7%                        	.0%                   	.0%                  	.0%                    	4.2%                   	1.8%                   	.0%                       	1.3%                 	.5%            	.0%             	.0%            	Total Foram Count 384. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 5	  39.00	     18.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.9%                  	2.0%                        	2.3%             	.0%              	.0%                                  	.0%                        	.0%                        	5.4%                      	.0%                              	.0%                 	.0%                     	.0%                	.5%               	.0%                  	.0%                	5.2%                         	.0%                   	.0%                 	.7%               	.0%                      	.0%                  	.7%                 	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.9%                     	.0%                   	.0%                           	.0%                       	1.6%                    	16.1%                     	30.2%                	.0%                          	.0%                     	.0%                     	1.6%                       	10.2%                  	10.0%                        	.0%                   	.0%                  	.0%                    	7.0%                   	.0%                    	.0%                       	2.7%                 	.0%            	.0%             	.0%            	Total Foram Count 441. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 5	 114.00	     19.5400	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	1.7%                 	2.8%                        	1.7%             	.0%              	.0%                                  	.0%                        	.0%                        	9.8%                      	.0%                              	.3%                 	.0%                     	.0%                	1.1%              	.0%                  	.0%                	2.0%                         	.0%                   	.3%                 	.0%               	.0%                      	.0%                  	5.3%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.2%                     	.0%                   	.0%                           	.0%                       	.3%                     	15.7%                     	35.4%                	.0%                          	.0%                     	.0%                     	3.7%                       	5.1%                   	5.9%                         	.0%                   	.0%                  	.0%                    	4.5%                   	.8%                    	.0%                       	1.1%                 	.0%            	.0%             	.0%            	Total Foram Count 356. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 6	  39.00	     20.2900	Okada    	Planktonic Foraminifers                      	               	                  	.4%                      	1.8%                 	.4%                         	2.2%             	.0%              	.0%                                  	.0%                        	.0%                        	12.0%                     	.0%                              	.2%                 	.2%                     	.0%                	1.1%              	.0%                  	.0%                	7.6%                         	.0%                   	.0%                 	.2%               	.2%                      	.0%                  	10.0%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.3%                     	.0%                   	.0%                           	.0%                       	.2%                     	12.2%                     	34.3%                	.0%                          	.0%                     	.0%                     	2.9%                       	2.4%                   	3.8%                         	.0%                   	.2%                  	.0%                    	3.3%                   	.2%                    	.0%                       	2.4%                 	.0%            	.0%             	.0%            	Total Foram Count 449. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 6	 114.00	     21.0400	Okada    	Planktonic Foraminifers                      	               	                  	.7%                      	1.7%                 	.4%                         	2.8%             	.2%              	.0%                                  	.0%                        	.0%                        	10.7%                     	.4%                              	.4%                 	.0%                     	.0%                	1.1%              	.0%                  	.0%                	6.6%                         	.2%                   	.0%                 	.0%               	.0%                      	.0%                  	3.3%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.2%                     	.0%                   	.0%                           	.0%                       	.7%                     	9.0%                      	32.3%                	.0%                          	.0%                     	.0%                     	1.7%                       	5.7%                   	13.1%                        	.0%                   	.0%                  	.0%                    	4.1%                   	.0%                    	.0%                       	2.6%                 	.0%            	.0%             	.0%            	Total Foram Count 458. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  3	H	 7	  39.00	     21.7900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	3.3%             	.0%              	.0%                                  	.0%                        	.0%                        	14.2%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.9%                         	.0%                   	.0%                 	.2%               	.0%                      	1.8%                 	10.5%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.6%                     	.0%                   	.0%                           	.0%                       	.0%                     	14.1%                     	26.4%                	.2%                          	.0%                     	.0%                     	1.0%                       	2.5%                   	9.7%                         	.0%                   	.3%                  	.0%                    	5.7%                   	.0%                    	.0%                       	1.8%                 	.0%            	.0%             	.0%            	Total Foram Count 611. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  4	H	 1	  39.00	     22.2900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.3%                  	1.0%                        	.7%              	.0%              	.0%                                  	.0%                        	.0%                        	6.8%                      	.0%                              	.0%                 	.3%                     	.0%                	1.4%              	.0%                  	.0%                	3.7%                         	.0%                   	.0%                 	.3%               	.0%                      	5.4%                 	1.7%                	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.0%                     	1.0%                  	.0%                           	.3%                       	.0%                     	11.9%                     	33.7%                	.0%                          	.0%                     	.0%                     	.0%                        	15.6%                  	5.8%                         	.0%                   	4.4%                 	.0%                    	.7%                    	.0%                    	.0%                       	3.7%                 	.0%            	.0%             	.0%            	Total Foram Count 294. From 164SR.Ch 34.Table 1.

