Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Stradneria crenulata	Quadrum eptabrachium	Prediscosphaera intercisa	Micula decussata 2	Micula decussata 1	Micula concava	Microrhabdulus decoratus	Marthasterites furcatus	Manivitella pemmatoidea	Lithastrinus septenarius	Lithastrinus grillii	Gartnerago obliquum	Gartnerago diversum	Eiffellithus turriseiffelii	Eiffellithus eximius	Cribrosphaerella ehrenbergii	Tribrachiatus orthostylus	Discoaster multiradiatus	Discoaster binodosus	Discoaster barbadiensis	Coccolithus eopelagicus	Sphenolithus radians	Discoaster kuepperi	Discoaster elegans	Discoaster diastypus	Coccolithus formosus	Chiasmolithus grandis	Toweius magnicrassus	Discoaster lodoensis	Discoaster gemmifer	Cyclicargolithus gammation	Coccolithus pelagicus	Reticulofenestra dictyoda	Neococcolithes dubius	Helicosphaera seminulum	Discoaster mirus	Discoaster cruciformis	Chiasmolithus solitus	Chiasmolithus expansus	Chiasmolithus eograndis	Chiasmolithus consuetus	Campylosphaera dela	Sphenolithus elongatus	Helicosphaera lophota	Discoaster sublodoensis	Discoaster strictus	Discoaster saipanensis	Discoaster nodifer	Chiasmolithus gigas	Coccolithus staurion	Reticulofenestra samodurovii	Discoaster wemmelensis	Discoaster praebifax	Nannotetrina pappii	Nannotetrina fulgens	Cyclicargolithus luminis	Sphenolithus furcatolithoides	Nannotetrina cristata	Discoaster delicatus	Chiasmolithus bidens	Transversopontis pulcher	Sphenolithus orphanknollensis	Markalius inversus	Triquetrorhabdulus carinatus	Cyclicargolithus floridanus	Triquetrorhabdulus auritus	Sphenolithus moriformis	Sphenolithus ciperoensis	Reticulofenestra lockerii	Reticulofenestra gartneri	Helicosphaera truempyi	Discoaster druggii (small)	Discoaster deflandrei	Cyclicargolithus abisectus	Triquetrorhabdulus milowii	Discoaster sp. cf. D. variabilis	Discoaster saundersi	Discoaster nephados	Coronocyclus nitescens (circular)	Reticulofenestra minutula	Helicosphaera obliqua	Helicosphaera kamptneri/carteri	Helicosphaera granulata	Discoaster obtusus	Discoaster druggii	Coccolithus miopelagicus	Helicosphaera intermedia	Helicosphaera ampliaperta	Discoaster sp. cf. D. adamanteus	Triquetrorhabdulus milowii/auritus	Reticulofenestra haqii	Helicosphaera euphratis	Clausicoccus sp. cf. C. fenestratus	Pontosphaera multipora	Orthorhabdus serratus	Discoaster sp. cf. D. exilis	Reticulofenestra minuta	Geminilithella rotula	Discoaster calculosus	Coccolithus pelagicus (w/ bar)	Sphenolithus belemnos	Pontosphaera plana	Discoaster lidzi	Calcidiscus leptoporus	Helicosphaera recta	Sphenolithus heteromorphus	Sphenolithus dissimilis	Solidopons petrae	Helicosphaera acuta	Discoaster variabilis	Reticulofenestra pseudoumbilicus	Calcidiscus macintyrei	Hayaster perplexus	Discoaster sanmiguelensis	Discoaster petaliformis	Discoaster exilis	Sphenolithus abies	Helicosphaera rhomba	Discoaster signus	Discoaster braarudii	Triquetrorhabdulus rugosus	Triquetrorhabdulus farnsworthii	Discoaster challengeri	Discoaster bollii	Catinaster mexicanus	Catinaster coalitus	Discoaster sp. cf. D. bolli	Discoaster pseudovariabilis	Discoaster brouweri	Discoaster surculus	Discoaster hamatus	Catinaster calyculus	Discoaster triradiatus	Discoaster calcaris	Discoaster quadramus	Discoaster prepentaradiatus	Discoaster neorectus	Sphenolithus neoabies	Rhabdosphaera clavigera	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster quinqueramus	Amaurolithus delicatus	Gephyrocapsa spp. (small)	Discoaster asymmetricus	Discoaster berggrenii	Amaurolithus primus	Pontosphaera indooceanica	Discoaster blackstockae	Scapholithus fossilis	Florisphaera profunda	Pontosphaera japonica	Ceratolithus armatus	Ceratolithus acutus	Ceratolithus separatus/rugosus	Ceratolithus rugosus	Amaurolithus tricorniculatus	Discoaster icarus	Ceratolithus armatus/rugosus	Helicosphaera elongata	Helicosphaera wallichii	Pseudoemiliania lacunosa (small)	Ceratolithus cristatus	Helicosphaera sellii	Pseudoemiliania lacunosa	Gephyrocapsa aperta	Scyphosphaera pulcherrima	Discoaster tamalis	Ceratolithus separatus	Umbilicosphaera sibogae	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Syracosphaera pulchra	Helicosphaera neogranulata	Helicosphaera inversa	Helicosphaera burkei	Micrantholithus sp.	Comment

  SR	Late Miocene     	                 	CN9b              	              	159	 960	A	  7	R	 3	  30.00	     52.4000	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	A                        	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	R                     	                     	                            	A                      	C                    	                     	F                             	                     	                  	                	F                     	                   	                          	                       	                 	+                  	C                    	C                               	                      	                  	                         	                       	                 	A                 	                    	                 	                    	R                         	                               	                      	                 	                    	                   	                           	                           	C                  	C                  	                  	                    	R                     	                   	                    	                           	                    	A                    	R                      	                   	A                       	                     	C                      	                      	                         	+                      	                     	                   	                         	                       	R                    	VR                   	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN9b              	              	159	 960	A	  7	R	CC	  13.00	     53.7300	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	R                             	                     	                  	                	                      	                   	                          	                       	                 	                   	C                    	C                               	                      	                  	                         	                       	                 	C                 	                    	                 	                    	+                         	                               	                      	                 	                    	                   	                           	                           	C                  	F                  	                  	                    	+                     	                   	                    	                           	                    	C                    	                       	                   	C                       	                     	C                      	                      	                         	                       	                     	+                  	+                        	+                      	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN9b              	              	159	 960	A	  8	R	 1	  30.00	     59.2000	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	A                        	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	A                      	C                    	                     	R                             	                     	                  	                	F                     	                   	                          	                       	                 	C                  	F                    	A                               	F                     	                  	                         	                       	                 	A                 	                    	                 	                    	F                         	                               	                      	                 	                    	                   	                           	                           	F                  	C                  	                  	                    	                      	                   	                    	                           	                    	A                    	+                      	                   	F                       	                     	R                      	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN9b              	              	159	 960	A	  8	R	 3	  29.00	     62.1900	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	A                        	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	A                      	C                    	                     	F                             	                     	                  	                	F                     	                   	                          	                       	                 	                   	F                    	A                               	F                     	+                 	                         	                       	                 	A                 	                    	                 	                    	R                         	                               	                      	                 	                    	                   	                           	                           	                   	C                  	                  	                    	                      	                   	                    	                           	                    	A                    	R                      	                   	R                       	                     	A                      	F                     	                         	+                      	R                    	R                  	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN9a              	              	159	 960	A	  8	R	CC	  15.00	     63.8400	Shafik   	Nannofossils                                 	A              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	R                        	                     	+                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	A                      	C                    	                     	+                             	                     	                  	                	+                     	                   	                          	                       	                 	                   	+                    	F                               	                      	                  	                         	                       	                 	A                 	R                   	                 	                    	+                         	                               	                      	                 	                    	                   	                           	                           	+                  	                   	                  	                    	+                     	C                  	+                   	                           	                    	A                    	                       	C                  	+                       	+                    	R                      	                      	?                        	+                      	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN9a              	              	159	 960	A	  9	R	 1	   3.00	     68.6300	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	A                        	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	C                      	R                    	                     	                              	                     	                  	                	R                     	                   	                          	                       	                 	                   	+                    	F                               	                      	                  	                         	                       	                 	A                 	                    	                 	                    	R                         	                               	+                     	                 	                    	                   	                           	                           	R                  	+                  	                  	                    	+                     	                   	                    	                           	                    	A                    	                       	                   	R                       	                     	A                      	VR                    	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN8b              	              	159	 960	A	  9	R	 1	  19.00	     68.7900	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	R                        	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	C                    	                     	                              	                     	                  	                	R                     	                   	                          	                       	                 	                   	R                    	R                               	R                     	                  	                         	                       	                 	C                 	                    	                 	                    	R                         	                               	                      	                 	                    	                   	                           	                           	R                  	                   	                  	                    	                      	C                  	                    	A                          	                    	C                    	                       	A                  	R                       	R                    	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN8b              	              	159	 960	A	  9	R	 1	  29.00	     68.8900	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	C                      	                  	                  	                        	                        	                         	                                	                                  	                      	R                      	                                   	                      	                     	                            	                       	C                    	                     	F                             	                     	                  	                	C                     	                   	                          	                       	                 	C                  	C                    	A                               	F                     	R                 	                         	                       	                 	C                 	                    	                 	                    	R                         	                               	                      	                 	                    	                   	                           	                           	F                  	+                  	                  	                    	R                     	C                  	                    	A                          	C                   	C                    	R                      	C                  	R                       	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN7b              	              	159	 960	A	  9	R	 1	 131.00	     69.9100	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	+                    	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	                               	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	+                    	C                               	+                     	                  	                         	                       	                 	                  	                    	                 	+                   	+                         	                               	                      	C                	                    	                   	                           	                           	                   	+                  	F                 	                    	R                     	                   	                    	+                          	+                   	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Late Miocene     	                 	CN7b              	              	159	 960	A	  9	R	 2	  10.00	     70.2000	Shafik   	Nannofossils                                 	A              	M                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	                      	                   	                          	                       	                 	                   	F                    	C                               	F                     	                  	                         	                       	                 	                  	                    	                 	F                   	                          	                               	                      	F                	                    	                   	                           	                           	                   	                   	F                 	                    	R                     	                   	R                   	F                          	                    	                     	                       	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	                    	                        	                   	                         	                  	                      	                       	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3
