Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Haplophragmoides spp.,Angulogerina spp.,Angulogerina sp. A,Spirosigmoilinella compressa,Martinottiella communis,Cyclammina cancellata,Martinottiella gracilima,Martinottiella nodulosa,Miliammina echigoensis,Valvulineria sadonica,Uvigerina yabei,Uvigerina spp.,Sphaeroidina bulloides,Sigmoilopsis schlumbergeri,Cassidulina norcrossi,Oridorsalis tener,Melonis nicobarense,Uvigerina akitaensis & var.,Quadrimorphina laevigata,Pullenia salisburyi,Pullenia apertura,Parafissurina sp. B,Nonionellina labradorica,Nodosariidae (taxa),Frondicularia sp. A,Fissurina marginata,Cibicides spp.,Bulimina striata,Astrononion hamadaense,Uvigerina wakimotoensis,Pseudoparrella takayanagii,Parafissurina  sp. A,Parafissurina fersinea,Lenticulina spp.,Lagena substriata,Lagena sp. A,Lagena nebulosa,Lagena flatulenta,Lagena apiopleura,Lagena amphora,Globobulimina auriculata,Fissurina spp.,Fissurina orbignyana,Fissurina annectens,Eilohedra rotunda,Dentalina sp.,Cassidulina cushmani,Buliminella tenuata,Oridorsalis umbonatus,Cibicides wuellerstorfi,Trifarina kokozuraensis,Stainforthia complanata,Quinqueloculina sp.,Pyrgo murrhina,Pseudoparrella naraensis,Parafissurina costata,Lagena sp.,Gavelinopsis hatakeyamai,Epistominella pulchella,Cibicides asanoi,Cassidulina sp. A,Cassidulina norvangi,Bolivina pacifica,Bolivina decussata,Bolivina cf. subspinescens,Quinqueloculina vulgaris,Parafissurina lateralis crassa,Pandaglandulina sp. A,Oolina melo,Nonionella(?) fragilis   ,Lagena gracilis,Dentalina frobisherensis,Cassidulina japonica,Karreriella baccata japonica,Fissurina lucida,Textularia sp. A,Oolina striatopunctata,Lagena semilineata,Lagena distoma,Fissurina fimbriata,Fissurina cucurbitasema,Bolivinita quadrilatera,Stilostomella lepidula,Lagena tricaritortuosa,Glandulina laevigata,Cassidulina cf. japonica,Fissurina echigoensis,Planorbulina sp.,Globobulimina subaffinis,Fissurina ventricosa,Elphidium subarcticum,Planularia asanoi,Pyrgo spp.,Fissurina lagenoides,Rotaliid taxa,Cassidulina spp.,Parafrondicularia sp. A,Lagena sulcata,Bulimina marginata,Amphicoryna spp.,Stainforthia fusiformis,Lagena elongata,Globobulimina pacifica,Pararotalia sp. A,Elphidium schmitti,Anomalinoides glabrata,Pseudonodosalia appressa,Echigoina hataii,Buccella inusitata,Stilostomella ketienziensis,Stilostomella japonica,Dentalina setanaensis,Dentalina ittai ,Chilostomellina frimbriata,Lagena striata,Lagena setigera,Lagena gracillima,Uvigerina lobulata,Eponides sp. A,Cibicides sp. A,Gaudryina spp.,Elphidium clavatum,Astacolus echigoensis,Nonion japonicum,Fissurina sublagenoides,Glandulina spp.,Bolivina spp.,Pseudononion grateloupi,Buccella nipponica,Fissurina cf. wallerina,Heronallenia cf. parva,Triloculina tricarinata,Miliolinella oblonga,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 5,  43.00,    129.3300,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,T              ,              ,                      ,                          ,39                   ,4                ,                   ,23                         ,                        ,                   ,                 ,T                  ,2                       ,                   ,                   ,                   ,              ,                ,                      ,                       ,                          ,                    ,                      ,                ,                 ,            ,T              ,                 ,                 ,              ,                        ,              ,T                   ,                   ,13               ,             ,                    ,                   ,                     ,                       ,2                      ,2                      ,                   ,              ,                        ,                     ,          ,                        ,                       ,                ,                 ,6                   ,T                ,3                 ,                          ,                        ,T                             ,                     ,T          ,                         ,               ,                        ,T                   ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,                        ,T                    ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,T                ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,T                      ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 6,  43.00,    130.8300,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,3              ,              ,                      ,                          ,22                   ,13               ,                   ,44                         ,                        ,                   ,                 ,                   ,T                       ,                   ,                   ,T                  ,              ,                ,                      ,                       ,5                         ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,              ,                        ,              ,                    ,                   ,                 ,             ,                    ,                   ,                     ,                       ,T                      ,3                      ,                   ,              ,                        ,                     ,T         ,                        ,                       ,                ,                 ,3                   ,                 ,1                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,T                       ,T                   ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,T                   ,                        ,                     ,                ,                        ,                    ,                     ,T                ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,T                    ,                ,                          ,T             ,               ,T                ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,T                      ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 7,  52.00,    132.4200,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,               ,              ,                      ,                          ,34                   ,19               ,                   ,30                         ,T                       ,                   ,                 ,                   ,2                       ,                   ,                   ,T                  ,              ,                ,                      ,T                      ,                          ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,              ,                        ,              ,                    ,                   ,                 ,             ,                    ,                   ,                     ,                       ,2                      ,2                      ,                   ,              ,                        ,                     ,          ,                        ,                       ,                ,                 ,5                   ,                 ,2                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,                        ,2                   ,T                           ,                ,                ,                      ,                  ,              ,                   ,T                      ,                       ,                      ,                      ,                    ,                        ,                     ,                ,                        ,                    ,                     ,T                ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 8,  40.00,    133.8000,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,               ,64            ,                      ,                          ,2                    ,                 ,                   ,                           ,                        ,                   ,                 ,                   ,                        ,                   ,                   ,                   ,              ,                ,                      ,                       ,                          ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,              ,4                       ,              ,                    ,                   ,                 ,             ,                    ,                   ,                     ,                       ,                       ,                       ,                   ,              ,                        ,                     ,          ,                        ,                       ,                ,                 ,                    ,                 ,                  ,                          ,                        ,                              ,6                    ,           ,                         ,               ,                        ,23                  ,2                           ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,                        ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 15,H, 1,  40.00,    133.3000,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,T                     ,                     ,10             ,              ,                      ,                          ,13                   ,14               ,                   ,                           ,                        ,T                  ,1                ,                   ,4                       ,                   ,                   ,T                  ,              ,                ,                      ,                       ,                          ,                    ,                      ,                ,                 ,T           ,T              ,                 ,                 ,T             ,2                       ,              ,2                   ,                   ,                 ,             ,                    ,                   ,                     ,T                      ,37                     ,3                      ,                   ,              ,                        ,                     ,          ,                        ,                       ,                ,                 ,2                   ,                 ,T                 ,                          ,                        ,                              ,2                    ,           ,                         ,               ,                        ,5                   ,                            ,                ,                ,                      ,                  ,T             ,                   ,                       ,                       ,                      ,T                     ,1                   ,T                       ,T                    ,                ,T                       ,                    ,T                    ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 15,H, 3,  39.00,    135.9500,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,               ,              ,                      ,                          ,                     ,T                ,                   ,13                         ,                        ,                   ,                 ,                   ,                        ,                   ,                   ,                   ,              ,                ,                      ,3                      ,                          ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,              ,2                       ,              ,                    ,                   ,2                ,             ,                    ,2                  ,                     ,                       ,                       ,T                      ,                   ,              ,                        ,                     ,          ,                        ,33                     ,                ,                 ,5                   ,34               ,T                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,                        ,                    ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,                        ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 15,H, 4,  40.00,    137.4600,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,11             ,              ,                      ,                          ,33                   ,15               ,                   ,                           ,                        ,                   ,2                ,                   ,T                       ,T                  ,                   ,                   ,              ,                ,                      ,                       ,2                         ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,T             ,T                       ,              ,T                   ,                   ,5                ,             ,                    ,                   ,                     ,                       ,11                     ,3                      ,                   ,              ,                        ,T                    ,          ,                        ,6                      ,T               ,                 ,5                   ,T                ,                  ,                          ,                        ,                              ,T                    ,           ,                         ,               ,                        ,1                   ,                            ,                ,                ,                      ,T                 ,              ,T                  ,                       ,                       ,                      ,                      ,                    ,T                       ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,T                    ,                ,                          ,              ,               ,                 ,                  ,              ,T              ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 15,H, 5,  38.00,    138.9400,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,T                     ,                     ,7              ,              ,                      ,                          ,33                   ,                 ,                   ,                           ,                        ,                   ,3                ,                   ,                        ,                   ,                   ,                   ,              ,                ,                      ,                       ,T                         ,                    ,                      ,                ,                 ,T           ,               ,                 ,                 ,              ,T                       ,              ,T                   ,T                  ,7                ,             ,                    ,                   ,                     ,                       ,21                     ,4                      ,                   ,              ,                        ,                     ,          ,                        ,                       ,                ,                 ,9                   ,4                ,T                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,T                       ,T                   ,                            ,                ,                ,                      ,                  ,              ,T                  ,T                      ,                       ,                      ,                      ,T                   ,T                       ,T                    ,                ,                        ,                    ,2                    ,                 ,          ,                    ,T            ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,T                    ,                ,                          ,              ,               ,                 ,                  ,              ,T              ,              ,                  ,                     ,T               ,                       ,               ,             ,T                      ,T                 ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 15,H, 6,  40.00,    140.4600,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,1                     ,                     ,13             ,              ,                      ,                          ,23                   ,                 ,                   ,                           ,                        ,                   ,3                ,                   ,2                       ,                   ,                   ,                   ,              ,                ,                      ,                       ,1                         ,                    ,                      ,                ,                 ,T           ,               ,                 ,                 ,              ,                        ,              ,                    ,                   ,4                ,             ,                    ,                   ,                     ,T                      ,25                     ,T                      ,                   ,              ,                        ,                     ,          ,                        ,3                      ,T               ,                 ,17                  ,1                ,                  ,                          ,                        ,                              ,2                    ,           ,                         ,               ,                        ,                    ,                            ,                ,                ,                      ,                  ,T             ,                   ,                       ,                       ,                      ,                      ,T                   ,                        ,                     ,                ,T                       ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,T                 ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,T                ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,T            ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
