original_abundance,expedition,taxon_group,normalized_abundance,definition,notes,type
R?,321,planktic_forams,R?,"questionable, rare (>1% to <5% of foraminifer assemblage)",?,taxa
R?,321,diatoms,R?,"questionable, rare (≤1 valve per counted transect)",?,taxa
R?,318,diatoms,R?,"questionable, rare (≥3 valves per traverse and <1 valve per 10 fields of view)",?,taxa
?R,350,nannofossils,R?,"questionable, rare (1 specimen per >10 fields of view)",?,taxa
R?,350,nannofossils,R?,"questionable, rare (1 specimen per >10 fields of view)",?,taxa
R?,369,planktic_forams,R?,"questionable, rare (1%–5% of the planktonic foraminiferal assemblage)",?,taxa
?R,350,planktic_forams,R?,"questionable, rare (1%-5% of total assemblage)",?,taxa
R?,371,planktic_forams,R?,"questionable, rare (2%–9% species on the tray)",?,taxa
(R?),375,planktic_forams,R?,"questionable, rare (foraminifers compose <1% of the washed sample)",?,taxa
R?,375,planktic_forams,R?,"questionable, rare (foraminifers compose <1% of the washed sample)",?,taxa
?X,318,diatoms,X?,"questionable, trace (<3 valves per traverse, including fragments)",?,taxa
X?,318,diatoms,X?,"questionable, trace (<3 valves per traverse, including fragments)",?,taxa
x?,318,diatoms,X?,"questionable, trace (<3 valves per traverse, including fragments)",?,taxa
VR?,320,radiolarians,VR?,"questionable, very rare (1–2 specimens per slide)",?,taxa
vR?,320,radiolarians,VR?,"questionable, very rare (1–2 specimens per slide)",?,taxa
*?,350,nannofossils,*?,"reworked, questionable",?,taxa
?*,350,nannofossils,*?,"reworked, questionable",?,taxa
P*?,350,planktic_forams,P*?,"reworked, questionable, present (<1% of total assemblage)",?,taxa
1?,371,nannofossils,1?,"undefined, suggest questionable, count",?,taxa
?,371,nannofossils,?,"undefined, suggest questionable",?,taxa
??,371,nannofossils,?,"undefined, suggest questionable",?,taxa
2RW?,371,nannofossils,2*?,"undefined, suggest questionable, reworked, 2 individuals",?,taxa
rw?,369,planktic_forams,rw?,"undefined, suggest questionable reworked",?,taxa
1rw?,369,planktic_forams,1rw?,"undefined, suggest questionable reworked individual",?,taxa
vR,320,radiolarians,VR,"questionable, very rare (1–2 specimens per slide)",?,taxa
aff.X,318,diatoms,X,"trace (<3 valves per traverse, including fragments)",affinity,taxa
Xaff.,318,diatoms,X,"trace (<3 valves per traverse, including fragments)",affinity,taxa
3cf,371,nannofossils,3,"count, cf",cf.,taxa
4cf,371,nannofossils,4,"count, cf",cf.,taxa
cf. P,321,planktic_forams,P,present (<1% of foraminifer assemblage),cf.,taxa
cf. R,321,planktic_forams,R,rare (>1% to <5% of foraminifer assemblage),cf.,taxa
1cf,371,nannofossils,1,count,cf.,taxa
cf,342,nannofossils,,,cf.,taxa
cf.,342,nannofossils,,,cf.,taxa
cf,369,planktic_forams,,,cf.,taxa
cf.,369,planktic_forams,,,cf.,taxa
2cf,371,nannofossils,2,count,cf.,taxa
cf,371,nannofossils,,,cf.,taxa
3.57,371,nannofossils,,,Depth/age in wrong cell,taxa
19.03,371,nannofossils,,,Depth/age in wrong cell,taxa
22.6,371,nannofossils,,,Depth/age in wrong cell,taxa
,320,radiolarians,,,Discard/blank,taxa
,353,diatoms,,,Discard/blank,taxa
M,318,diatoms,,,Either preservation or diatom abundance value massive (>>10 valuves per counted transect),taxa
M,321,diatoms,,,Either preservation or diatom abundance value massive (>>50 valuves per counted transect),taxa
G,318,diatoms,,,Preservation,taxa
Cc,344,radiolarians,C,common (>6–30 specimens per slide traverse),"This could be either a typo, or the next header could be missing data. Would need Hole/species info to check",taxa
CC,359,nannofossils,C,common (>1–10 specimens per field of view),This looks like poorly formatted data. I suspect that the assemblage file is incorrectly processed and that the header to the right of this entry is missing what should be a 'R' for the value,taxa
FR,342,planktic_forams,F,few (10–19 specimens on the tray),This looks like poorly formatted data. I suspect that the assemblage file is incorrectly processed and that the header to the right of this entry is missing what should be a 'R' for the value,taxa
RR,342,nannofossils,R,rare (<1 specimen per 10 fields of view),This looks like poorly formatted data. I suspect that the assemblage file is incorrectly processed and that the header to the right of this entry is missing what should be a 'R' for the value,taxa
RRR,342,nannofossils,R,rare (<1 specimen per 10 fields of view),This looks like poorly formatted data. I suspect that the assemblage file is incorrectly processed and that the header to the right of this entry is missing what should be a 'R' for the value,taxa
RR,346,diatoms,R,rare (<2 valves in two slide transects),This looks like poorly formatted data. I suspect that the assemblage file is incorrectly processed and that the header to the right of this entry is missing what should be a 'R' for the value,taxa
RR,356,benthic_forams,R,rare (1%−5% benthic foraminifer specimens in total assemblage),This looks like poorly formatted data. I suspect that the assemblage file is incorrectly processed and that the header to the right of this entry is missing what should be a 'R' for the value,taxa
R,355,diatoms,R,rare (≥3 valves per traverse and <1 valve per 10 field of view),,taxa
D,340,benthic_forams,D,dominant (>30 specimens),,taxa
-,318,diatoms,-,"undefined, suggest barren",,taxa
-,320,radiolarians,-,"undefined, suggest barren",,taxa
-,342,nannofossils,-,"undefined, suggest barren",,taxa
-,363,nannofossils,-,"undefined, suggest barren",,taxa
-,371,nannofossils,-,"undefined, suggest barren",,taxa
A,342,nannofossils,A,abundant (>10 specimens per field of view),,taxa
A,361,nannofossils,A,abundant (>10 specimens per field of view),,taxa
A,359,nannofossils,A,abundant (>10 specimens per field of view),,taxa
A,362,nannofossils,A,abundant (>10 specimens per field of view),,taxa
A,318,diatoms,A,abundant (>10 valves per field of view),,taxa
A,318,dinoflagellates,A,abundant (>10 valves per field of view),,taxa
A,341,diatoms,A,abundant (>10 valves per field of view),,taxa
A,353,diatoms,A,abundant (>10 valves per field of view),,taxa
A,356,benthic_forams,A,abundant (>10%−30% benthic foraminifer specimens in total assemblage),,taxa
A,342,benthic_forams,A,abundant (>10%–30% of benthic assemblage),,taxa
A,320,planktic_forams,A,abundant (>10%–30% of foraminifer assemblage),,taxa
A,321,planktic_forams,A,abundant (>10%–30% of foraminifer assemblage),,taxa
A,323,planktic_forams,A,abundant (>10%–30% of foraminifer assemblage),,taxa
A,369,benthic_forams,A,abundant (>10%–30% of sediment particles),,taxa
A,374,benthic_forams,A,abundant (>10%–30% of species on the tray),,taxa
A,374,planktic_forams,A,abundant (>10%–30% of species on the tray),,taxa
A,368,planktic_forams,A,abundant (>10%−30% of the assemblage),,taxa
A,341,benthic_forams,A,abundant (>10%–30% of total assemblage),,taxa
A,341,planktic_forams,A,abundant (>10%–30% of total assemblage),,taxa
A,367,planktic_forams,A,abundant (>10%−30%),,taxa
A,330,planktic_forams,A,abundant (>10%–30%),,taxa
A,339,benthic_forams,A,abundant (>10%–30%),,taxa
A,339,planktic_forams,A,abundant (>10%–30%),,taxa
A,340,planktic_forams,A,abundant (>10%–30%),,taxa
A,318,benthic_forams,A,abundant (>10%–50% of total assemblage),,taxa
A,318,planktic_forams,A,abundant (>10%–50% of total assemblage),,taxa
A,320,nannofossils,A,abundant (>10–100 specimens per field of view),,taxa
A,323,nannofossils,A,abundant (>10–100 specimens per field of view),,taxa
A,324,nannofossils,A,abundant (>10–100 specimens per field of view),,taxa
A,330,nannofossils,A,abundant (>10–100 specimens per field of view),,taxa
A,375,nannofossils,A,abundant (>10–100 specimens per field of view),,taxa
A,355,nannofossils,A,abundant (>10–100 specimens per field of view),,taxa
A,340,benthic_forams,A,abundant (>10–30 specimens),,taxa
A,346,radiolarians,A,abundant (>16% of the radiolarian assemblage),,taxa
A,341,radiolarians,A,abundant (>20 specimens per 300 counts),,taxa
A,363,planktic_forams,A,abundant (>20% of the planktonic foraminifer assemblage),,taxa
A,369,planktic_forams,A,abundant (>20% of the planktonic foraminiferal assemblage),,taxa
A,339,palynology,A,abundant (>2000/cm3),,taxa
A,321,diatoms,A,abundant (>20–50 valves per counted transect),,taxa
A,362,planktic_forams,A,abundant (>25 specimens),,taxa
A,354,planktic_forams,A,abundant (>25% of the assemblage),,taxa
A,344,radiolarians,A,abundant (>30 specimens per slide traverse),,taxa
A,359,benthic_forams,A,abundant (>30% of the assemblage),,taxa
A,359,planktic_forams,A,abundant (>30% of the assemblage),,taxa
A,356,planktic_forams,A,abundant (>30% planktonic foraminifer specimens in total assemblage),,taxa
A,374,diatoms,A,abundant (>5 and <10 valves per field of view),,taxa
A,346,diatoms,A,abundant (>5 valves in two slide transects),,taxa
a,346,diatoms,A,abundant (>5 valves in two slide transects),,taxa
A,362,diatoms,A,abundant (>5 valves per field of view),,taxa
A,342,planktic_forams,A,abundant (>50 specimens on the tray),,taxa
A,371,benthic_forams,A,abundant (>50% species on the tray),,taxa
A,371,planktic_forams,A,abundant (>50% species on the tray),,taxa
A,371,dinoflagellates,A,abundant (>50%–90% of palynomorphs),,taxa
A,371,palynology,A,abundant (>50%–90% of palynomorphs),,taxa
A,374,dinoflagellates,A,abundant (>50%–90% of palynomorphs),,taxa
A,374,palynology,A,abundant (>50%–90% of palynomorphs),,taxa
A,324,benthic_forams,A,abundant (≥11 specimens),,taxa
A,324,planktic_forams,A,abundant (≥11 specimens),,taxa
A,374,radiolarians,A,abundant (≥2 specimens per field of view),,taxa
A,349,planktic_forams,A,abundant (10%–30% of ~400 specimens),,taxa
A,346,benthic_forams,A,abundant (10%–30% of foraminiferal assemblage),,taxa
a,346,planktic_forams,A,abundant (10%–30% of foraminiferal assemblage),,taxa
A,346,planktic_forams,A,abundant (10%–30% of foraminiferal assemblage),,taxa
A,361,benthic_forams,A,abundant (10%–30% of the benthic foraminifer assemblage),,taxa
A,361,planktic_forams,A,abundant (10%–30% of the planktonic foraminifer assemblage),,taxa
A,353,planktic_forams,A,abundant (10%-30% of the planktonic foraminiferal assemblage),,taxa
A,355,planktic_forams,A,abundant (10%–30% of the total planktonic foraminifer assemblage),,taxa
A,350,benthic_forams,A,abundant (10%-30% of total assemblage),,taxa
A,350,planktic_forams,A,abundant (10%-30% of total assemblage),,taxa
A,351,planktic_forams,A,abundant (10%-30% of total biogenic assemblage),,taxa
A,349,nannofossils,A,"abundant (10%–50%, or 10–100 specimens per field of view)",,taxa
A,367,nannofossils,A,"abundant (10%–50%, or 10–100 specimens per field of view)",,taxa
A,368,nannofossils,A,"abundant (10%–50%, or 10–100 specimens per field of view)",,taxa
A,344,nannofossils,A,abundant (10–100 specimens per field of view at 1000× magnification),,taxa
A,350,nannofossils,A,abundant (10-100 specimens per field of view),,taxa
A,353,nannofossils,A,abundant (10–100 specimens per field of view at 1000× magnification),,taxa
A,354,nannofossils,A,abundant (10–100 specimens per field of view at 1000× magnification),,taxa
A,356,nannofossils,A,abundant (10–100 specimens per field of view at 1000× magnification),,taxa
A,346,nannofossils,A,abundant (10–100 specimens per field of view),,taxa
a,363,nannofossils,A,abundant (10–100 specimens per field of view),,taxa
A,363,nannofossils,A,abundant (10–100 specimens per field of view),,taxa
A,369,nannofossils,A,abundant (10–100 specimens per field of view),,taxa
A,340,nannofossils,A,abundant (1–10 specimens per field of view),,taxa
A,339,nannofossils,A,abundant (11–20 specimens per field of view),,taxa
A,352,nannofossils,A,abundant (15%-30% of slide),,taxa
(A),375,planktic_forams,A,abundant (foraminifers compose >20%–50% of the washed sample),,taxa
A,375,benthic_forams,A,abundant (foraminifers compose >20%–50% of the washed sample),,taxa
A,375,planktic_forams,A,abundant (foraminifers compose >20%–50% of the washed sample),,taxa
A,318,palynology,A,abundant (qualitative),,taxa
B,318,dinoflagellates,B,barren,,taxa
B,318,palynology,B,barren,,taxa
0,320,radiolarians,B,barren,,taxa
B,321,diatoms,B,barren,,taxa
B,339,planktic_forams,B,barren,,taxa
B,342,benthic_forams,B,barren,,taxa
B,342,planktic_forams,B,barren,,taxa
B,346,benthic_forams,B,barren,,taxa
B,349,planktic_forams,B,barren,,taxa
B,353,diatoms,B,barren,,taxa
B,362,planktic_forams,B,barren,,taxa
B,367,planktic_forams,B,barren,,taxa
B,371,dinoflagellates,B,barren,,taxa
B,371,palynology,B,barren,,taxa
B,374,dinoflagellates,B,barren,,taxa
B,374,palynology,B,barren,,taxa
BR,374,dinoflagellates,BR,barren to rare (few specimens identified in two slides),,taxa
BR,374,palynology,BR,barren to rare (few specimens identified in two slides),,taxa
C,318,benthic_forams,C,common (>1%–10% of total assemblage),,taxa
C,318,planktic_forams,C,common (>1%–10% of total assemblage),,taxa
C,363,planktic_forams,C,common (>10%–20% of the planktonic foraminifer assemblage),,taxa
C,369,planktic_forams,C,common (>10%–20% of the planktonic foraminiferal assemblage),,taxa
C,371,dinoflagellates,C,common (>10%–50% of palynomorphs),,taxa
C,371,palynology,C,common (>10%–50% of palynomorphs),,taxa
C,374,dinoflagellates,C,common (>10%–50% of palynomorphs),,taxa
C,374,palynology,C,common (>10%–50% of palynomorphs),,taxa
C,320,radiolarians,C,common (>100 specimens per slide),,taxa
C,321,radiolarians,C,common (>100 specimens per slide),,taxa
A,323,radiolarians,A,abundant (>30 specimens per slide traverse),,taxa
C,323,radiolarians,C,common (>100 specimens per slide),,taxa
C,321,diatoms,C,common (>10–20 valves per counted transect),,taxa
C,368,diatoms,C,common (>10–20 valves per counted transect),,taxa
C,320,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,323,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,324,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,359,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,371,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,375,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,342,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C-A,342,nannofossils,C-A,"undefined, suggest ~10 specimens per field of view",,taxa
C,361,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,362,nannofossils,C,common (>1–10 specimens per field of view),,taxa
C,342,radiolarians,C,common (>4%–16% of census),,taxa
C,344,radiolarians,C,common (>6–30 specimens per slide traverse),,taxa
C,318,diatoms,C,common (≥1–10 valves per field of view),,taxa
C,318,dinoflagellates,C,common (≥1–10 valves per field of view),,taxa
C,361,diatoms,C,common (≥1–10 valves per field of view),,taxa
C,340,nannofossils,C,common (1 specimen per 2–10 fields of view),,taxa
C,374,radiolarians,C,common (1 specimen per field of view),,taxa
C,367,nannofossils,C,"common (1%−10%, or 1–10 specimens per field of view)",,taxa
C,368,nannofossils,C,"common (1%−10%, or 1–10 specimens per field of view)",,taxa
C,349,nannofossils,C,"common (1%–10%, or 1–10 specimens per field of view)",,taxa
C,359,benthic_forams,C,common (10%−30% of the assemblage),,taxa
C,359,planktic_forams,C,common (10%−30% of the assemblage),,taxa
C,349,radiolarians,C,common (10%–30% of the total sample),,taxa
C,341,radiolarians,C,common (10–20 specimens per 300 counts),,taxa
c,341,radiolarians,C,common (10–20 specimens per 300 counts),,taxa
C,354,planktic_forams,C,common (11%−25% of the assemblage),,taxa
C,344,nannofossils,C,common (1–10 specimens per field of view at 1000× magnification),,taxa
c,350,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,350,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,351,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,355,nannofossils,C,common (1–10 specimens per field of view),,taxa
c,355,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,330,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,339,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,354,nannofossils,C,common (1–10 specimens per field of view at 1000× magnification),,taxa
C,346,nannofossils,C,common (1–10 specimens per field of view),,taxa
C,341,diatoms,C,common (1–10 specimens per field of view),,taxa
C,353,diatoms,C,common (1–10 specimens per field of view),,taxa
C,362,planktic_forams,C,common (11−25 specimens),,taxa
C,374,diatoms,C,common (1–5 valves per field of view),,taxa
C,356,nannofossils,C,common (1-9 specimens per field of view at 1000x magnification),,taxa
C,353,nannofossils,C,common (1-9 specimens per field of view at 1000x magnification),,taxa
C,363,nannofossils,C,common (1–9 specimens per field of view),,taxa
c,363,nannofossils,C,common (1–9 specimens per field of view),,taxa
C,369,nannofossils,C,common (1–9 specimens per field of view),,taxa
C,371,planktic_forams,C,common (20%–49% species on the tray),,taxa
C,342,planktic_forams,C,common (20–49 specimens on the tray),,taxa
c,346,diatoms,C,common (3–5 valves in two slide transects),,taxa
C,346,diatoms,C,common (3–5 valves in two slide transects),,taxa
C,362,diatoms,C,common (3–5 valves per field of view),,taxa
C,346,radiolarians,C,common (4%–16% of the radiolarian assemblage),,taxa
C,353,planktic_forams,C,common (5%-10% of the planktonic foraminiferal assemblage),,taxa
C,352,nannofossils,C,common (5%-15% of slide),,taxa
C,339,palynology,C,common (500–2000/cm3),,taxa
C,324,benthic_forams,C,common (6–10 specimens),,taxa
C,324,planktic_forams,C,common (6–10 specimens),,taxa
C,362,radiolarians,C,common (6–30 specimens per slide traverse),,taxa
(C),375,planktic_forams,C,common (foraminifers compose >5%–20% of the washed sample),,taxa
C,375,benthic_forams,C,common (foraminifers compose >5%–20% of the washed sample),,taxa
C,375,planktic_forams,C,common (foraminifers compose >5%–20% of the washed sample),,taxa
C,318,palynology,C,common (qualitative),,taxa
C-A,318,diatoms,C-A,"undefined, suggest ~10 valves per field of view",,taxa
XX,374,dinoflagellates,C-A,common to abundant (10%-90% of palynomorphs),,taxa
XX,374,palynology,C-A,common to abundant (10%-90% of palynomorphs),,taxa
0,363,planktic_forams,0,count,,taxa
0,371,nannofossils,0,count,,taxa
0,375,planktic_forams,0,count,,taxa
1,318,palynology,1,count,,taxa
1,321,benthic_forams,1,count,,taxa
1,339,palynology,1,count,,taxa
1,344,benthic_forams,1,count,,taxa
1,363,planktic_forams,1,count,,taxa
1,371,nannofossils,1,count,,taxa
1,375,planktic_forams,1,count,,taxa
2,318,palynology,2,count,,taxa
2,321,benthic_forams,2,count,,taxa
2,339,palynology,2,count,,taxa
2,344,benthic_forams,2,count,,taxa
2,363,planktic_forams,2,count,,taxa
2,371,nannofossils,2,count,,taxa
2,375,planktic_forams,2,count,,taxa
3,321,benthic_forams,3,count,,taxa
3,339,palynology,3,count,,taxa
3,344,benthic_forams,3,count,,taxa
3,363,planktic_forams,3,count,,taxa
3,371,nannofossils,3,count,,taxa
3,375,planktic_forams,3,count,,taxa
4,321,benthic_forams,4,count,,taxa
4,344,benthic_forams,4,count,,taxa
4,363,planktic_forams,4,count,,taxa
4,371,nannofossils,4,count,,taxa
4,375,planktic_forams,4,count,,taxa
5,321,benthic_forams,5,count,,taxa
5,344,benthic_forams,5,count,,taxa
5,363,planktic_forams,5,count,,taxa
5,371,nannofossils,5,count,,taxa
5,375,planktic_forams,5,count,,taxa
6,321,benthic_forams,6,count,,taxa
6,344,benthic_forams,6,count,,taxa
6,363,planktic_forams,6,count,,taxa
6,371,nannofossils,6,count,,taxa
6,375,planktic_forams,6,count,,taxa
7,321,benthic_forams,7,count,,taxa
7,344,benthic_forams,7,count,,taxa
7,354,planktic_forams,7,count,,taxa
7,363,planktic_forams,7,count,,taxa
7,371,nannofossils,7,count,,taxa
7,375,planktic_forams,7,count,,taxa
8,321,benthic_forams,8,count,,taxa
8,344,benthic_forams,8,count,,taxa
8,363,planktic_forams,8,count,,taxa
8,371,nannofossils,8,count,,taxa
8,375,planktic_forams,8,count,,taxa
9,321,benthic_forams,9,count,,taxa
9,344,benthic_forams,9,count,,taxa
9,363,planktic_forams,9,count,,taxa
9,375,planktic_forams,9,count,,taxa
10,321,benthic_forams,10,count,,taxa
10,344,benthic_forams,10,count,,taxa
10,363,planktic_forams,10,count,,taxa
10,371,nannofossils,10,count,,taxa
10,375,planktic_forams,10,count,,taxa
11,321,benthic_forams,11,count,,taxa
11,344,benthic_forams,11,count,,taxa
11,363,planktic_forams,11,count,,taxa
11,371,nannofossils,11,count,,taxa
11,375,planktic_forams,11,count,,taxa
12,321,benthic_forams,12,count,,taxa
12,344,benthic_forams,12,count,,taxa
12,363,planktic_forams,12,count,,taxa
12,371,nannofossils,12,count,,taxa
12,375,planktic_forams,12,count,,taxa
13,321,benthic_forams,13,count,,taxa
13,344,benthic_forams,13,count,,taxa
13,363,planktic_forams,13,count,,taxa
13,375,planktic_forams,13,count,,taxa
14,321,benthic_forams,14,count,,taxa
14,344,benthic_forams,14,count,,taxa
14,363,planktic_forams,14,count,,taxa
14,371,nannofossils,14,count,,taxa
14,375,planktic_forams,14,count,,taxa
15,321,benthic_forams,15,count,,taxa
15,344,benthic_forams,15,count,,taxa
15,363,planktic_forams,15,count,,taxa
15,371,nannofossils,15,count,,taxa
15,375,planktic_forams,15,count,,taxa
16,321,benthic_forams,16,count,,taxa
16,344,benthic_forams,16,count,,taxa
16,363,planktic_forams,16,count,,taxa
16,375,planktic_forams,16,count,,taxa
17,321,benthic_forams,17,count,,taxa
17,344,benthic_forams,17,count,,taxa
17,363,planktic_forams,17,count,,taxa
17,375,planktic_forams,17,count,,taxa
18,321,benthic_forams,18,count,,taxa
18,344,benthic_forams,18,count,,taxa
18,363,planktic_forams,18,count,,taxa
18,375,planktic_forams,18,count,,taxa
19,321,benthic_forams,19,count,,taxa
19,344,benthic_forams,19,count,,taxa
19,363,planktic_forams,19,count,,taxa
19,375,planktic_forams,19,count,,taxa
20,321,benthic_forams,20,count,,taxa
20,344,benthic_forams,20,count,,taxa
20,363,planktic_forams,20,count,,taxa
20,375,planktic_forams,20,count,,taxa
21,321,benthic_forams,21,count,,taxa
21,344,benthic_forams,21,count,,taxa
21,363,planktic_forams,21,count,,taxa
21,375,planktic_forams,21,count,,taxa
22,321,benthic_forams,22,count,,taxa
22,344,benthic_forams,22,count,,taxa
22,363,planktic_forams,22,count,,taxa
22,375,planktic_forams,22,count,,taxa
23,321,benthic_forams,23,count,,taxa
23,344,benthic_forams,23,count,,taxa
23,363,planktic_forams,23,count,,taxa
24,321,benthic_forams,24,count,,taxa
24,344,benthic_forams,24,count,,taxa
24,363,planktic_forams,24,count,,taxa
24,375,planktic_forams,24,count,,taxa
25,321,benthic_forams,25,count,,taxa
25,344,benthic_forams,25,count,,taxa
25,363,planktic_forams,25,count,,taxa
25,375,planktic_forams,25,count,,taxa
26,321,benthic_forams,26,count,,taxa
26,344,benthic_forams,26,count,,taxa
26,363,planktic_forams,26,count,,taxa
26,375,planktic_forams,26,count,,taxa
27,321,benthic_forams,27,count,,taxa
27,344,benthic_forams,27,count,,taxa
27,363,planktic_forams,27,count,,taxa
27,371,nannofossils,27,count,,taxa
27,375,planktic_forams,27,count,,taxa
28,321,benthic_forams,28,count,,taxa
28,344,benthic_forams,28,count,,taxa
28,363,planktic_forams,28,count,,taxa
28,375,planktic_forams,28,count,,taxa
29,321,benthic_forams,29,count,,taxa
29,344,benthic_forams,29,count,,taxa
29,363,planktic_forams,29,count,,taxa
29,375,planktic_forams,29,count,,taxa
30,321,benthic_forams,30,count,,taxa
30,344,benthic_forams,30,count,,taxa
30,363,planktic_forams,30,count,,taxa
31,321,benthic_forams,31,count,,taxa
31,344,benthic_forams,31,count,,taxa
31,363,planktic_forams,31,count,,taxa
32,321,benthic_forams,32,count,,taxa
32,344,benthic_forams,32,count,,taxa
32,363,planktic_forams,32,count,,taxa
32,375,planktic_forams,32,count,,taxa
33,344,benthic_forams,33,count,,taxa
33,363,planktic_forams,33,count,,taxa
33,375,planktic_forams,33,count,,taxa
34,344,benthic_forams,34,count,,taxa
34,363,planktic_forams,34,count,,taxa
34,375,planktic_forams,34,count,,taxa
35,321,benthic_forams,35,count,,taxa
35,344,benthic_forams,35,count,,taxa
35,363,planktic_forams,35,count,,taxa
35,375,planktic_forams,35,count,,taxa
36,321,benthic_forams,36,count,,taxa
36,344,benthic_forams,36,count,,taxa
36,363,planktic_forams,36,count,,taxa
36,375,planktic_forams,36,count,,taxa
37,321,benthic_forams,37,count,,taxa
37,344,benthic_forams,37,count,,taxa
37,363,planktic_forams,37,count,,taxa
37,375,planktic_forams,37,count,,taxa
38,321,benthic_forams,38,count,,taxa
38,344,benthic_forams,38,count,,taxa
38,363,planktic_forams,38,count,,taxa
38,375,planktic_forams,38,count,,taxa
39,321,benthic_forams,39,count,,taxa
39,344,benthic_forams,39,count,,taxa
39,363,planktic_forams,39,count,,taxa
39,375,planktic_forams,39,count,,taxa
40,321,benthic_forams,40,count,,taxa
40,344,benthic_forams,40,count,,taxa
40,363,planktic_forams,40,count,,taxa
40,375,planktic_forams,40,count,,taxa
41,344,benthic_forams,41,count,,taxa
41,363,planktic_forams,41,count,,taxa
41,375,planktic_forams,41,count,,taxa
42,321,benthic_forams,42,count,,taxa
42,344,benthic_forams,42,count,,taxa
42,363,planktic_forams,42,count,,taxa
42,375,planktic_forams,42,count,,taxa
43,321,benthic_forams,43,count,,taxa
43,344,benthic_forams,43,count,,taxa
43,363,planktic_forams,43,count,,taxa
44,321,benthic_forams,44,count,,taxa
44,344,benthic_forams,44,count,,taxa
44,363,planktic_forams,44,count,,taxa
45,321,benthic_forams,45,count,,taxa
45,344,benthic_forams,45,count,,taxa
45,363,planktic_forams,45,count,,taxa
46,344,benthic_forams,46,count,,taxa
46,363,planktic_forams,46,count,,taxa
46,375,planktic_forams,46,count,,taxa
47,344,benthic_forams,47,count,,taxa
47,363,planktic_forams,47,count,,taxa
