Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus elegans,Zeugrhabdotus erectus,Zeugrhabdotus embergeri,Watznaueria fossacincta,Watznaueria biporta,Watznaueria barnesae,Speetonia colligata,Rotelapillus laffittei,Rhagodiscus asper,Rhagodiscus achylostaurion,Retecapsa angustiforata,Reinhardtites scutula,Percivalia fenestrata,Nannoconus steinmannii steinmannii,Nannoconus ligius,Nannoconus kamptneri kamptneri,Nannoconus globulus,Nannoconus bermudezi,Microstaurus quadratus,Microstaurus chiastius,Micrantholithus obtusus,Micrantholithus hoschulzii,Markalius ellipticus,Lithraphidites carniolensis,Hayesites irregularis,Flabellites oblongus,Cruciellipsis cuvillieri,Conusphaera rothii,Conusphaera mexicana minor,Conusphaera mexicana mexicana,Chiastozygus tenuis,Calcicalathina sp. A,Assipetra terebrodentarius,Assipetra infracretacea,Rhagodiscus angustus,Lucianorhabdus salomonii,Markalius circumradiatus,Manivitella pemmatoidea,Ellipsagelosphaera britannica,Cyclagelosphaera margerelii,Diadorhombus rectus,Zygodiscus xenotus,Zeugrhabdotus trivectis,Vagalapilla sp. 1,Tubodiscus jurapelagicus,Rhagodiscus pseudoangustus,Palaeopontosphaera salebrosa,Hexapodorhabdus cuvillieri,Diazomatolithus lehmanii,Braarudosphaera bigelowii,Biscutum rotatorium,Zygrhablithus bijugatus,Thoracosphaera spp.,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra spp. small,Reticulofenestra hillae,Pyrocyclus hermosus,Lanternithus minutus,Isthmolithus recurvus,Helicosphaera compacta,Discoaster tanii tanii,Discoaster tanii nodifer,Discoaster saipanensis,Discoaster binodosus,Discoaster barbadiensis,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus formosus,Coccolithus eopelagicus,Clausicoccus fenestratus,Chiasmolithus oamaruensis,Bramletteius serraculoides,Blackites spinosus,Sphenolithus predistentus,Reticulofenestra stavensis,Reticulofenestra hesslandii,Reticulofenestra hampdenensis,Reticulofenestra bisecta filewiczii,Pontosphaera spp.,Pemma papillatum,Pedinocyclus larvalis,Helicosphaera reticulata,Ericsonia formosa,Discoaster tanii ornatus,Discoaster tanii,Discoaster spp. (6 rays),Discoaster deflandrei,Cyclicargolithus floridanus (< 9 microns),Coronocyclus nitescens,Clausicoccus obrutus,Blackites tenuis,Dictyococcites retiformis,Calcidiscus protoannulus,Pontosphaera multipora,Helicosphaera bramlettei,Chiasmolithus titus,Transversopontis pulcheroides,Thoracosphaera saxea,Sphenolithus radians,Reticulofenestra daviesii,Orthozygus aureus,Helicosphaera seminulum,Helicosphaera euphratis,Geminilithella bramlettei,Clausicoccus subdistichus,Chiasmolithus altus,Bicolumnus ovatus,Sphenolithus distentus,Sphenolithus conicus,Helicosphaera recta,Helicosphaera lophota,Ericsonia detecta,Discoaster adamanteus,Cyclicargolithus abisectus (> 10 microns),Coccolithus miopelagicus,Helicosphaera wilcoxonii,Chiasmolithus spp.,Chiasmolithus medius,Sphenolithus akropodus,Ilselithina fusa,Helicosphaera intermedia,Ericsonia sp. 1,Sphenolithus umbrellus,Rhabdosphaera clavigera,Helicosphaera perch-nielseniae,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Reticulofenestra circus,Reticulofenestra bisecta bisecta,Helicosphaera obliqua,Helicosphaera aff. H. carteri,Helicosphaera limasera,Corannulus germanicus,Reticulofenestra cf. R. haqii,Pyrocyclus orangensis,Micrantholithus aequalis,Helicosphaera truempyi,Helicosphaera elongata,Sphenolithus dissimilis,Helicosphaera carteri,Umbilicosphaera jafari,Syracosphaera lamina,Sphenolithus grandis,Reticulofenestra moguntina,Reticulofenestra lockerii,Reticulofenestra haqii,Pyrocyclus inversus,Pontosphaera segmenta,Pontosphaera longiforaminis,Hughesius tasmaniae,Helicosphaera euphratis (< 8 microns),Discoaster obtusus,Cyclicargolithus floridanus (9-10 microns),Calcidiscus radiatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Reticulofenestra producta,Coronocyclus nitescens (thick),Camuralithus pelliculatus,Pontosphaera enormis,Calcidiscus fuscus,Tetralithoides symeonidesii,Coccolithus streckerii,Reticulofenestra minutula,Coronocyclus aff. C. prionion,Rhabdosphaera procera,Reticulofenestra minuta,Pontosphaera callosa,Pontosphaera anisotrema,Discoaster deflandrei (5 ray),Coccolithus sp. 1,Calcidiscus pataecus,Coronocyclus nitescens (elliptical),Discoaster lautus,Sphenolithus aubryae,Discoaster druggii (< 15 microns),Discoaster aulakos,Discoaster druggii,Cryptococcolithus mediaperforatus,Calcidiscus tropicus (< 6 microns),Sphenolithus cometa,Helicosphaera mediterranea,Sphenolithus abies,Helicosphaera granulata,Discoaster calculosus,Calcidiscus tropicus (> 6 microns),Reticulofenestra perplexa,Geminilithella rotula,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,NP19/20           ,              ,149, 899,B, 14,R, 3,  94.00,    354.5400,Liu      ,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,C                      ,F                  ,C                      ,F                        ,F                          ,C                      ,R                  ,F                   ,F                    ,F                     ,R                     ,F                       ,R                     ,R                   ,R                      ,A                          ,A                    ,C                   ,F                      ,F                       ,F                        ,F                         ,R                 ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,R                    ,F                       ,                 ,                        ,                ,                        ,                     ,                                         ,R                     ,                    ,R               ,R                        ,R                       ,R                     ,R                       ,R                  ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 3. Table 5. page 69.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,NP19/20           ,              ,149, 899,B, 14,R, 4,  23.00,    355.3300,Liu      ,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,F                  ,C                      ,C                        ,F                          ,C                      ,                   ,                    ,F                    ,F                     ,F                     ,F                       ,F                     ,R                   ,F                      ,A                          ,A                    ,C                   ,F                      ,F                       ,R                        ,F                         ,R                 ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,R                     ,                    ,                ,R                        ,R                       ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 3. Table 5. page 69.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,NP19/20           ,              ,149, 899,B, 14,R, 4, 105.00,    356.1500,Liu      ,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,F                  ,F                      ,F                        ,F                          ,C                      ,                   ,F                   ,F                    ,R                     ,R                     ,R                       ,R                     ,R                   ,+                      ,C                          ,A                    ,C                   ,F                      ,F                       ,R                        ,F                         ,R                 ,R                        ,F                         ,R                          ,F                            ,+                                  ,R                ,+               ,R                    ,+                       ,C                ,+                       ,+               ,R                       ,+                    ,A                                        ,F                     ,+                   ,R               ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 3. Table 5. page 69.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,NP19/20           ,              ,149, 899,B, 14,R, 5, 120.00,    357.8000,Liu      ,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,F                  ,C                      ,C                        ,F                          ,C                      ,R                  ,R                   ,R                    ,F                     ,F                     ,F                       ,F                     ,R                   ,C                      ,C                          ,C                    ,C                   ,F                      ,F                       ,R                        ,R                         ,R                 ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 3. Table 5. page 69.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Aptian     ,                 ,CC7a              ,              ,149, 899,B, 26,R, 1,  85.00,    465.0500,de Kaenel,Nannofossils                                 ,A              ,X                 ,R                 ,F                    ,R                      ,                       ,R                  ,C                   ,                   ,                      ,C                ,                          ,R                      ,R                    ,R                    ,R                                 ,R                ,                              ,F                  ,                    ,F                     ,R                     ,                       ,R                         ,+                   ,F                          ,+                    ,                    ,+                       ,R                 ,+                         ,R                            ,                   ,R                   ,R                         ,+                      ,R                   ,                        ,                        ,R                      ,+                            ,R                          ,                   ,R                 ,+                      ,+                ,+                       ,+                         ,R                           ,+                         ,R                       ,+                        ,R                  ,                       ,                   ,                       ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,                     ,                    ,                       ,                        ,                         ,                          ,                  ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 2. Table 5. page 41.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Aptian     ,                 ,CC7a              ,              ,149, 899,B, 27,R, 1,  64.00,    474.2400,de Kaenel,Nannofossils                                 ,C              ,M                 ,                  ,                     ,                       ,                       ,R                  ,F                   ,                   ,                      ,F                ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,R                     ,+                     ,                       ,+                         ,                    ,+                          ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,R                   ,R                         ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,+                  ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,                       ,                   ,                       ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,                     ,                    ,                       ,                        ,                         ,                          ,                  ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 2. Table 5. page 41.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Aptian     ,                 ,CC7a              ,              ,149, 899,B, 27,R, 1,  97.00,    474.5700,de Kaenel,Nannofossils                                 ,F              ,P                 ,                  ,                     ,                       ,                       ,                   ,F                   ,                   ,                      ,R                ,                          ,                       ,                     ,                     ,R                                 ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,                       ,                   ,                       ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,                     ,                    ,                       ,                        ,                         ,                          ,                  ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 2. Table 5. page 41.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Aptian     ,                 ,CC7a              ,              ,149, 899,B, 28,R, 1, 132.00,    484.2200,de Kaenel,Nannofossils                                 ,C              ,P                 ,                  ,                     ,R                      ,                       ,                   ,C                   ,                   ,                      ,F                ,                          ,R                      ,R                    ,                     ,                                  ,                 ,                              ,                   ,                    ,F                     ,+                     ,                       ,                          ,                    ,F                          ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,R                      ,                    ,                        ,+                       ,+                      ,R                            ,R                          ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,                       ,                   ,                       ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,                     ,                    ,                       ,                        ,                         ,                          ,                  ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 2. Table 5. page 41.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Aptian     ,                 ,CC7a              ,              ,149, 899,B, 29,R, 1,  21.00,    492.3100,de Kaenel,Nannofossils                                 ,A              ,M                 ,                  ,                     ,R                      ,                       ,                   ,C                   ,                   ,                      ,C                ,                          ,R                      ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,C                     ,                      ,                       ,                          ,                    ,F                          ,                     ,                    ,                        ,                  ,+                         ,+                            ,                   ,                    ,R                         ,                       ,                    ,+                       ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,                       ,                   ,                       ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,                     ,                    ,                       ,                        ,                         ,                          ,                  ,                         ,                          ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,                        ,                     ,                                         ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,                         ,                 ,                       ,                       ,                         ,                         ,                   ,                 ,                      ,                    ,                   ,                     ,                 ,                     ,                                         ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,                        ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 2. Table 5. page 41.
