Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
362-U1480F-3H-2-A,67,109,108.97,109.39,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,poor,,,Severe coring disturbance. Soupy sand,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A,,,,13
362-U1480F-3H-2-A,109,147,109.39,109.77,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,poor,,,,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A,,,,14
362-U1480F-3H-2-A,147,150,109.77,109.8,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,silt,2,non-graded,poor,,,,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A,,,,15
362-U1480F-3H-3-A,0,6,109.8,109.86,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 4/N (dark gray),planar,gradational,planar gradational,horizontal,thick lamina,unlithified,fine sand,4,normal grading,moderate,clay,silt,,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,16
362-U1480F-3H-3-A,6,19,109.86,109.99,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,fine sand,4,normal grading,moderate,fine sand,silt,,planar lamination,absent,1,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,17
362-U1480F-3H-3-A,19,23.5,109.99,110.035,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),wavy,sharp,wavy sharp,sub-horizontal,thin lamina,unlithified,clay,1,non-graded,,,,,planar lamination,slight,3,Nereites,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,18
362-U1480F-3H-3-A,23.5,30.5,110.035,110.105,IIA,,silt,,silt,silt,silt,,GLEY 1 8/N (white gray),irregular,sharp,irregular sharp,inclined,thin bed,unlithified,fine sand,4,normal grading,well,fine sand,silt,very well sorted silt,planar lamination,absent,1,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,19
362-U1480F-3H-3-A,30.5,53,110.105,110.33,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin bed,unlithified,fine sand,4,non-graded,moderate,,,,planar lamination,slight,3,Nereites,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,20
362-U1480F-3H-3-A,53,63.5,110.33,110.435,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),irregular,sharp,irregular sharp,sub-horizontal,,unlithified,fine sand,4,non-graded,moderate,,,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,21
362-U1480F-3H-3-A,63.5,131,110.435,111.11,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 5/N (gray),,,,,,unlithified,fine sand,4,non-graded,,,,Severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,3,A,,,,22
362-U1480F-3H-4-A,0,131,111.3,112.61,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,moderate,,,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,3,H,4,A,,,,23
362-U1480F-3H-5-A,0,77.5,112.8,113.575,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,moderate,,,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,3,H,5,A,,,,24
362-U1480F-3H-5-A,77.5,150,113.575,114.3,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,5,A,,,,25
362-U1480F-3H-6-A,0,150,114.3,115.8,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,6,A,,,,26
362-U1480F-3H-7-A,0,70,115.8,116.5,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,7,A,,,,27
362-U1480F-3H-CC-A,0,21,116.5,116.71,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,,,,Severe coring disturbance. Soupy sand with clay-rich beds,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,CC,A,,,,28
362-U1480F-4H-1-A,0,67,116.3,116.97,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4,non-graded,poor,,,Core disturbance is moderately severe. Beds sheared into pods/lenses of clay and sand.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,1,A,,,,29
362-U1480F-4H-1-A,67,120.5,116.97,117.505,IIA,,silty clay,with sand,silty clay,silty clay with sand,silty clay with sand,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4,normal grading,poor,clay,fine sand,Core disturbance.,planar lamination,sparse,2,Nereites,,,,,,,,,,,,,,,362,U1480,F,4,H,1,A,,,,30
362-U1480F-4H-1-A,120.5,130,117.505,117.6,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4,non-graded,poor,,,,planar lamination,sparse,2,Nereites,,,,,,,,,,,,,,,362,U1480,F,4,H,1,A,,,,31
362-U1480F-4H-2-A,0,14,117.8,117.94,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4,non-graded,poor,,,,planar lamination,sparse,2,Nereites,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A,,,,32
362-U1480F-4H-2-A,14,23,117.94,118.03,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,silt,2,non-graded,poor,,,Matrix-supported clay-clast rich deposit.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A,,,,33
362-U1480F-4H-2-A,23,82,118.03,118.62,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4,non-graded,poor,,,Angular clay clasts at 25 cm. Probably drilling induced.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A,,,,34
362-U1480F-4H-2-A,82,87,118.62,118.67,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),irregular,sharp,irregular sharp,inclined,,unlithified,silt,2,non-graded,moderate,,,Coring disturbance at both margins of lithology.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A,,,,35
362-U1480F-4H-2-A,87,150,118.67,119.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4,non-graded,poor,,,Angular clay clasts at 89-99 cm. Probably drilling induced.,,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,2,A,,,,36
362-U1480F-4H-3-A,0,150,119.3,120.8,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,3,A,,,,37
362-U1480F-4H-4-A,0,150,120.8,122.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,4,A,,,,38
362-U1480F-4H-5-A,0,150,122.3,123.8,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,5,A,,,,39
362-U1480F-4H-6-A,0,150,123.8,125.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,6,A,,,,40
362-U1480F-4H-7-A,0,70,125.3,126,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,7,A,,,,41
362-U1480F-4H-CC-A,0,6,126,126.06,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,4,H,CC,A,,,,42
362-U1480F-5H-1-A,0,15,125.8,125.95,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,silt,2,non-graded,poor,,,Some coring disturbance.,,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A,,,,43
362-U1480F-5H-1-A,15,37,125.95,126.17,IIA,,very fine sand,with clay,very fine sand,very fine sand with clay,very fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4,normal grading,poor,silt,fine sand,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A,,,,44
362-U1480F-5H-1-A,37,82,126.17,126.62,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,medium bed,unlithified,silt,2,normal grading,moderate,clay,silt,"Normally graded silt beds show lower ripple lamination (light colored mm-scale layer) overlain by cm-scale dark layer with greater amount of pyrite, overlain by structureless mud. Lower silt is well sorted and upper part of silt is poorly sorted. Reduced organic mater in dark layers. Clays at 47cm are clays with calcite (see smear slides descriptions and XRD measurements).",planar lamination,slight,3,Nereites,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A,,,,45
362-U1480F-5H-1-A,82,129,126.62,127.09,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,thick bed,unlithified,fine sand,4,normal grading,moderate,silt,fine sand,87-98 shows climbing ripple lamination picked out by alternating dark/light colored laminae. Darker layers are coarser an dcontain pyrite and 5% micas.,cross-lamination,absent,1,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A,,,,46
362-U1480F-5H-1-A,129,130,127.09,127.1,IIA,,clay,,clay,clay,clay,,GLEY 1 5/N (gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,,,non-graded,poor,,,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,5,H,1,A,,,,47
362-U1480F-5H-2-A,0,9,127.3,127.39,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,inclined,thin bed,unlithified,silt,2,normal grading,moderate,clay,silt,,planar lamination,sparse,2,Nereites,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A,,,,48
362-U1480F-5H-2-A,9,22.5,127.39,127.525,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4,normal grading,moderate,fine sand,silt,"this sand bed is similar to the one of section1 82-129 cm, except that it has been truncated on top (irregular sharp inclined boundary). Clay clasts from 14-19 cm. Potential internal boundary (planar sharp horizontal) at 19.5 cm",planar lamination,absent,1,,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A,,,,49
362-U1480F-5H-2-A,22.5,110,127.525,128.4,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin bed,unlithified,silt,2,normal grading,moderate,silt,clay,The alternating beds are normally graded. The boundary description applies for all beds of this interval,planar lamination,sparse,2,Nereites,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A,,,,50
362-U1480F-5H-2-A,110,150,128.4,128.8,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,normal grading,poor,clay,fine sand,Severe coring disturbance at 110-120 cm as lithology changes. Probably applies to the entire interval.,,absent,1,,,,,,,,,,,,,,,,362,U1480,F,5,H,2,A,,,,51
362-U1480F-5H-3-A,0,126,128.8,130.06,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,Severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,3,A,,,,52
362-U1480F-5H-4-A,0,134,130.06,131.4,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,Severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,4,A,,,,53
362-U1480F-5H-5-A,0,132,131.4,132.72,IIA,,very fine sand,,very fine sand,very fine sand,very fine sand,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,"Severe coring disturbance. Remnant clay beds at 18-20, 39-42, 52-53, 60-70, 77-82, 113-118 cm.",,,,,,,,,,,,,,,,,,,362,U1480,F,5,H,5,A,,,,54
362-U1480F-6H-1-A,0,8,132.9,132.98,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,silt,2,non-graded,moderate,,,coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A,,,,55
362-U1480F-6H-1-A,8,16.5,132.98,133.065,IIA,,fine sand,with silt,fine sand,fine sand with silt,fine sand with silt,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,,unlithified,fine sand,4,non-graded,moderate,,,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A,,,,56
362-U1480F-6H-1-A,16.5,22,133.065,133.12,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,silt,2,non-graded,moderate,,,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A,,,,57
362-U1480F-6H-1-A,22,53.5,133.12,133.435,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin bed,unlithified,silt,2,normal grading,moderate,clay,silt,Each bed is normally graded from silt to clay. The boundary details apply for all bed boundaries.,planar lamination,absent,1,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A,,,,58
362-U1480F-6H-1-A,53.5,74,133.435,133.64,IIA,,silt,with clay,silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,sub-horizontal,,unlithified,fine sand,4,normal grading,moderate,silt,fine sand,,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A,,,,59
362-U1480F-6H-1-A,74,150,133.64,134.4,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),,,,,,unlithified,fine sand,4,,,,,severe coring disturbance. Remnant of pyritized burrows at 116 and 144 cm.,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,1,A,,,,60
362-U1480F-6H-2-A,0,110,134.4,135.5,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),,,,,,unlithified,fine sand,4,,,,,"severe coring disturbance. Remnant of pyritized burrows at 19, 22 and 28 cm.",,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,2,A,,,,61
362-U1480F-6H-2-A,110,119,135.5,135.59,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,poor,,,Possible coring disturbance,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,6,H,2,A,,,,62
362-U1480F-6H-3-A,0,60,135.9,136.5,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,silt,2,normal grading,moderate,clay,silt,"Alternation of normally graded, very thin beds to lamina. Description of the basal boundary applies for all beds. Basal bed (52-60 cm) is thicker than average and grades from fine sands to clays",planar lamination,sparse,2,Nereites,,,,,,,,,,,,,,,362,U1480,F,6,H,3,A,,,,63
362-U1480F-6H-3-A,60,150,136.5,137.4,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,3,A,,,,64
362-U1480F-6H-4-A,0,119,137.4,138.59,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,4,A,,,,65
362-U1480F-6H-5-A,0,133,138.59,139.92,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,5,A,,,,66
362-U1480F-6H-6-A,0,50,139.92,140.42,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,6,A,,,,67
362-U1480F-6H-CC-A,0,13,140.42,140.55,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,non-graded,well,,,severe coring disturbance,,,,,,,,,,,,,,,,,,,362,U1480,F,6,H,CC,A,,,,68
362-U1480F-7H-1-A,0,18,140.6,140.78,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/N (very dark gray),,,,,very thick bed,unlithified,medium sand,5,non-graded,well,,,very strongly disturbed by drilling,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,7,H,1,A,,,,69
362-U1480F-7H-1-A,18,25,140.78,140.85,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 3/N (very dark gray),,,,,thin bed,unlithified,fine sand,4,non-graded,poor,,,Remnant clay be probably not insitu,structureless,slight,3,,,,,,,,,,,,,,,,362,U1480,F,7,H,1,A,,,,70
362-U1480F-7H-1-A,25,150,140.85,142.1,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/N (very dark gray),,,,,very thick bed,unlithified,medium sand,5,non-graded,well,,,very strongly disturbed by drilling,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,7,H,1,A,,,,71
362-U1480F-7H-CC-A,0,49,142.1,142.59,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/N (very dark gray),,,,,very thick bed,unlithified,medium sand,5,non-graded,well,,,very strongly disturbed by drilling,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,7,H,CC,A,,,,72
362-U1480F-8H-1-A,0,135,142.6,143.95,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/N (very dark gray),,,,,very thick bed,unlithified,medium sand,5,non-graded,well,,,very strongly disturbed by drilling,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,8,H,1,A,,,,73
362-U1480F-8H-2-A,0,133,143.95,145.28,IIA,,fine sand,,fine sand,fine sand,fine sand,,GLEY 1 3/N (very dark gray),,,,,very thick bed,unlithified,medium sand,5,non-graded,well,,,very strongly disturbed by drilling,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,8,H,2,A,,,,74
