Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
341-U1418F-5R-2-A,141,151,292.01,292.11,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1418,F,5,R,2,A,,,
341-U1418F-5R-3-A,0,150,292.11,293.61,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,"- muddy, clast-poor diamict
- slight colour banding between N 4 and ""towards"" 10Y 4/1
- varying clast contents
- mostly clasts <1 mm
- occasionally fine/medium sand laminae <3 mm thick with gradational boundaries -> both within dark grey and greenish grey beds/laminae

- ~9 - ~35 cm: lamination with up to 5 mm thick laminae; there could be more lamination, but it is not visible due to possible disturbance related to cutting of the core.
- occasional mud clasts, e.g. ~60 cm, ~102 cm
- 66-67: granitoid pebble
- ~107-~135: occasional lamination/very thin bedding
- enhanced sand content between ~110 and ~120 cm might be due to flow in.
- ~125: red sand grain
- ~128: siltstone or basalt pebble(?) - not possible to distinguish

",,,,,,341,U1418,F,5,R,3,A,,,
341-U1418F-5R-4-A,0,150,293.61,295.11,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"clay rich mud with diamicts; color variations from N4 to 10Y 4/1; grains of lithics, quartz and feldspar are dispersed throughout section; outsized lonestones include a 2cm well rounded granitoid (qz, fsp, biot), 3 cm subangular, dark greengray coarse grained metamorphic rock; intervals with higher clast abundance may occur",,,,,,341,U1418,F,5,R,4,A,,,
341-U1418F-5R-5-A,0,101,295.11,296.12,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"clay rich mud with diamicts; color variations from N4 to 10Y 4/1; grains of lithics, quartz and feldspar are dispersed throughout section; intervals with higher clast abundance may occur; thin laminae of darker color may occur",,,,,,341,U1418,F,5,R,5,A,,,
341-U1418F-5R-6-A,0,68,296.12,296.8,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"clay rich mud with diamicts, color banding is very subtle, clast rich intervals may occur at the bottom of this section; thin darker laminae occur",,,,,,341,U1418,F,5,R,6,A,,,
341-U1418F-5R-CC-A,0,15,296.8,296.95,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,,N 4 (dark gray),,,,,,,,,,,,,,"medium sized grains of qz, fsp, biotite at bottom",,,,,,341,U1418,F,5,R,CC,A,,,
341-U1418F-5R-CC-A,15,20,296.95,297,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1418,F,5,R,CC,A,,,
341-U1418F-6R-1-A,0,135,298.8,300.15,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,"- muddy, clast-poor diamict
- slight colour banding between N 4 and ""towards"" 10Y 4/1
- varying clast contents -> generally few clasts compared to surrounding sections
- mostly clasts <1 mm (mostly black)
- occasionally fine/medium sand laminae gradational boundaries -> could also be flow in?
- some mud clasts, e.g. ~20 cm; 43-44 cm
- 11-16.5: siltstone, partly altered -> fall in?
- occasional lamination (sub-mm), e.g. ~44 cm, ~48 cm, 63 cm, ~79-80 cm
",,,,,,341,U1418,F,6,R,1,A,,,
341-U1418F-6R-1-A,135,150,300.15,300.3,,,,,,,,,,,,,,,,,,,,,,Sample OJIM,,,,,,341,U1418,F,6,R,1,A,,,
341-U1418F-6R-2-A,0,150,300.3,301.8,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,"- muddy, clast-poor diamict
- slight colour banding between N 4 and ""towards"" 10Y 4/1
- varying clast contents
- mostly clasts <1 mm (mostly black)
- occasionally fine/medium sand laminae with gradational boundaries -> could occasionally also be flow in?
- no mud clasts
- granule & pebble clasts of sandstone, siltstone/claystone(?) & granitoid(?) fragments
- occasional lamination <5 mm, e.g. ~14 cm, ~65-70 cm, ~114-120 cm, ~125-130 cm",,,,,,341,U1418,F,6,R,2,A,,,
341-U1418F-6R-3-A,0,150,301.8,303.3,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,"- muddy, clast-poor diamict
- slight colour banding between N 4 and ""towards"" 10Y 4/1
- varying clast contents
- mostly clasts <1 mm (mostly black)
- occasional lamination
- few mud clasts, e.g. ~39.5 cm , ~110 cm
78-80: pebble of siltstone(?)",,,,,,341,U1418,F,6,R,3,A,,,
341-U1418F-6R-4-A,0,140,303.3,304.7,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"muddy diamict with very fine grained clasts (lithics, qz, fsp, biotite) dispersed throughout section; very slight color banding and very fine laminations (mm), outsized clasts inlude a 2 cm liemstone and a subangular black metasediment",,,,,,341,U1418,F,6,R,4,A,,,
341-U1418F-6R-4-A,140,150,304.7,304.8,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,,,341,U1418,F,6,R,4,A,,,
341-U1418F-6R-5-A,0,100,304.8,305.8,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"muddy diamict with very fine grained clasts (lithics, qz, fsp, biotite) dispersed throughout section; very slight and narrow color bands and very fine laminations (mm)",,,,,,341,U1418,F,6,R,5,A,,,
341-U1418F-6R-6-A,0,79,305.8,306.59,muddy [Leg339],clast-poor diamict [M89m],with sand [Leg339],muddy  clast-poor diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"muddy diamict with fine to medium sized grains (lithics, qz, fsp, biotite) dispersed throughout section; outsized clasts inlude a 5 cm metasandstone or gneiss; flow in at 44 - 46 cm",,,,,,341,U1418,F,6,R,6,A,,,
341-U1418F-6R-CC-A,0,15,306.59,306.74,muddy [Leg339],clast-poor diamict [M89m],with sand [Leg339],muddy  clast-poor diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,6,R,CC,A,,,
341-U1418F-6R-CC-A,15,20,306.74,306.79,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1418,F,6,R,CC,A,,,
341-U1418F-7R-1-A,0,13,308.5,308.63,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,pebble [W22_2],angular,,,,,,"black and grey banded chert 3 cm, angular",,,,,,341,U1418,F,7,R,1,A,,,
341-U1418F-7R-1-A,13,100,308.63,309.5,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"faintly laminated dark grey (N 4) with dark greenish grey (10Y 4/1); clast abundance varies,; sandstone 6cm, subrounded, at 22 cm, greenstone (basalt?) granule at 35 cm, black chert with quartz vein 0.8 cm at 40 cm, meta-diorite 0.8 cm, subrounded, at 77 cm, siltstone 2 cm, subrounded, at 87 cm, coarse sand clasts dispersed in mud matrix; ",,,,,,341,U1418,F,7,R,1,A,,,
341-U1418F-7R-1-A,100,150,309.5,310,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,faintly laminated dark grey (N 4) with dark greenish grey (10Y 4/1),,,,,,341,U1418,F,7,R,1,A,,,
341-U1418F-7R-2-A,0,150,310,311.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"; clast rich layers at 43 and 92 cm, ms to cs; black chert granule at 47 cm, angular; meta-diorite 2 cm, angular, at 86; siltstone 0.8 cm, subrounded, at 96 cm; black chert granules at 198 and 132 cm;",,,,,,341,U1418,F,7,R,2,A,,,
341-U1418F-7R-3-A,0,43,311.5,311.93,sandy,mud [Leg210],with dispersed clasts,sandy mud  with dispersed clasts,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,faintly laminated dark grey (N 4) with dark greenish grey (10Y 4/1),,,,,,341,U1418,F,7,R,3,A,,,
341-U1418F-7R-3-A,43,61,311.93,312.11,muddy [Leg339],clast-poor diamict [M89m],with sand [Leg339],muddy  clast-poor diamict  with sand ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,faintly laminated dark grey (N 4) with dark greenish grey (10Y 4/1); at 114 and 119 cm two 1 cm thick cycles of upward increasing abundance of sand grained clasts ,,,,,,341,U1418,F,7,R,3,A,,,
341-U1418F-7R-3-A,61,140,312.11,312.9,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,faintly laminated dark grey (N 4) with dark greenish grey (10Y 4/1),,,,,,341,U1418,F,7,R,3,A,,,
341-U1418F-7R-3-A,140,150,312.9,313,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,7,R,3,A,,,
341-U1418F-7R-4-A,0,100,313,314,silty,mud [Leg210],with dispersed clasts,silty mud  with dispersed clasts,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],4,,,,,pebble [W22_2],subrounded,,,,"greenish gray color bands (up to 1cm thick);
siltstones (1-1.5cm) @ 15, 37cm",,,,,,341,U1418,F,7,R,4,A,,,
341-U1418F-7R-5-A,0,91,314,314.91,silty,mud [Leg210],with dispersed clasts,silty mud  with dispersed clasts,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"greenish gray color bands (up to 1cm thick);
granule clasts",,,,,,341,U1418,F,7,R,5,A,,,
341-U1418F-7R-CC-A,0,30,314.91,315.21,silty,mud [Leg210],with dispersed clasts,silty mud  with dispersed clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,granule clasts,,,,,,341,U1418,F,7,R,CC,A,,,
341-U1418F-7R-CC-A,30,35,315.21,315.26,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,7,R,CC,A,,,
341-U1418F-8R-1-A,0,60,318.2,318.8,silty,mud [Leg210],with dispersed clasts,silty mud  with dispersed clasts,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,pebble [W22_2],subrounded,,,,"greenish gray color bands (most < 5mm thick);
11cm: fine grained 'granite', with metamorphic fabric (mica foliation), 1cm size",,,,,,341,U1418,F,8,R,1,A,,,
341-U1418F-8R-CC-A,0,13,318.8,318.93,silty,mud [Leg210],with dispersed clasts,silty mud  with dispersed clasts,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"greenish gray color bands (mms thick);
granule clasts",,,,,,341,U1418,F,8,R,CC,A,,,
341-U1418F-8R-CC-A,13,18,318.93,318.98,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,8,R,CC,A,,,
341-U1418F-9R-1-A,0,12,327.9,328.02,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],1,,,cobble [W22_2],rounded,,,,,,"2 cobbles, sandstone, rounded",,,,,,341,U1418,F,9,R,1,A,,,
341-U1418F-9R-1-A,12,150,328.02,329.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"faintly laminated dark grey (N 4) with dark greenish grey (5GY 4/1); dispersed clasts in mud matrix mostly medium to coarse sand, a few granules: brown siltstone 2 cm at 30 cm, rounded; blackchert 0.6 cm, subangular, at 86 cm; granite 0.8 cm at 146, rounded",,,,,,341,U1418,F,9,R,1,A,,,
341-U1418F-9R-2-A,0,100,329.4,330.4,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"clasts mostly coarse sand, some granules",,,,,,341,U1418,F,9,R,2,A,,,
341-U1418F-9R-2-A,100,150,330.4,330.9,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,color banding,5GY 3/1 (very dark greenish gray),,,,,,,,,,,,,,"faintly laminated very dark greenish grey (5GY 3/1) with dark grey (N 4); dispersed clasts in mud matrix mostly coarse sand, a few granules",,,,,,341,U1418,F,9,R,2,A,,,
341-U1418F-9R-3-A,0,66.5,330.9,331.565,,mud [Leg210],with sand [Leg339],mud  with sand ,,,,5GY 3/1 (very dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,,341,U1418,F,9,R,3,A,,,
341-U1418F-9R-3-A,66.5,150,331.565,332.4,,mud [Leg210],,mud ,,,color banding,5GY 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,faintly laminated dark greenish grey (5GY 4/1) with dark grey (N 4); ,,,,,,341,U1418,F,9,R,3,A,,,
341-U1418F-9R-4-A,0,67,332.4,333.07,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10GY 4/1 (dark greenish gray),moderate [DB86],2,present [A79],2,,,,,,,,,,"1cm clast @ 15cm;
granules present",,,,,,341,U1418,F,9,R,4,A,,,
341-U1418F-9R-4-A,67,139,333.07,333.79,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],3,,,,,pebble [W22_2],subrounded,,,,1cm metasandstone @76cm,,,,,,341,U1418,F,9,R,4,A,,,
341-U1418F-9R-4-A,139,150,333.79,333.9,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,9,R,4,A,,,
341-U1418F-9R-5-A,0,70,333.9,334.6,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,F,9,R,5,A,,,
341-U1418F-9R-5-A,70,101.5,334.6,334.915,,mud [Leg210],,mud ,,,parallel lamination,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"greenish gray color bands/laminations, 1-5mm thick",,,,,,341,U1418,F,9,R,5,A,,,
341-U1418F-9R-5-A,101.5,150,334.915,335.4,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,,,,,,,341,U1418,F,9,R,5,A,,,
341-U1418F-9R-6-A,0,60,335.4,336,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,granules,,,,,,341,U1418,F,9,R,6,A,,,
341-U1418F-9R-6-A,60,66.5,336,336.065,,mud [Leg210],with common clasts,mud  with common clasts,,,,5G 4/1 (dark greenish gray),moderate [DB86],2,present [A79],,,,,,,,,,,,,,,,,341,U1418,F,9,R,6,A,,,
341-U1418F-9R-6-A,66.5,74,336.065,336.14,,mud [Leg210],,mud ,,,,N 4 (dark gray),moderate [DB86],2,present [A79],,,,,,,,,,,granules,,,,,,341,U1418,F,9,R,6,A,,,
341-U1418F-9R-6-A,74,94,336.14,336.34,,mud [Leg210],with common clasts,mud  with common clasts,,,,5G 4/1 (dark greenish gray),heavy [DB86],3,present [A79],,,,,,,,,,,,,,,,,341,U1418,F,9,R,6,A,,,
341-U1418F-9R-CC-A,0,17,336.34,336.51,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),moderate [DB86],2,present [A79],1,,,,,,,,,,,,,,,,341,U1418,F,9,R,CC,A,,,
341-U1418F-9R-CC-A,17,22,336.51,336.56,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,9,R,CC,A,,,
341-U1418F-10R-1-A,0,34,337.6,337.94,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,"clasts coarse sand, a few granules",sharp contact,planar,,,,341,U1418,F,10,R,1,A,,,
341-U1418F-10R-1-A,34,68,337.94,338.28,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,5GY 4/1 (dark greenish gray),moderate [DB86],2,,,,,,,,,,,,bioturbation with cf. zoophycos; ,gradational contact,,,,,341,U1418,F,10,R,1,A,,,
341-U1418F-10R-1-A,68,143,338.28,339.03,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,5GY 4/1 (dark greenish gray),,,,,,,,,,,,,,parallel lamination 5GY 4/1 with N 4,sharp contact,,,,,341,U1418,F,10,R,1,A,,,
341-U1418F-10R-1-A,143,150,339.03,339.1,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,1,A,,,
341-U1418F-10R-2-A,0,65,339.1,339.75,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,2,A,,,
341-U1418F-10R-2-A,65,82,339.75,339.92,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,5GY 4/1 (dark greenish gray),,,,,,,,,,,,,,mud parallel laminated with dropstones,gradational contact,,,,,341,U1418,F,10,R,2,A,,,
341-U1418F-10R-2-A,82,100,339.92,340.1,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,5GY 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,sharp contact,,,,,341,U1418,F,10,R,2,A,,,
341-U1418F-10R-2-A,100,140,340.1,340.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,2,A,,,
341-U1418F-10R-2-A,140,150,340.5,340.6,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,F,10,R,2,A,,,
341-U1418F-10R-3-A,0,102,340.6,341.62,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,3,A,,,
341-U1418F-10R-3-A,102,119.5,341.62,341.795,,mud [Leg210],,mud ,,,,N 4 (dark gray),moderate [DB86],2,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,3,A,,,
341-U1418F-10R-3-A,119.5,144,341.795,342.04,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,5GY 4/1 (dark greenish gray),heavy [DB86],3,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,3,A,,,
341-U1418F-10R-3-A,144,150,342.04,342.1,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,F,10,R,3,A,,,
341-U1418F-10R-4-A,0,40,342.1,342.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,20-22cm: siltstone (2cm),gradational contact,,,,,341,U1418,F,10,R,4,A,,,
341-U1418F-10R-4-A,40,57,342.5,342.67,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,,,irregular,,,,341,U1418,F,10,R,4,A,,,
341-U1418F-10R-4-A,57,66,342.67,342.76,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,,,,,,341,U1418,F,10,R,4,A,,,
341-U1418F-10R-4-A,66,150,342.76,343.6,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,parallel lamination,N 4 (dark gray),slight [DB86],1,present [A79],6,,,,,pebble [W22_2],subrounded,,,,"clast-rich muddy diamict, with parallel laminated mud;
some diamict beds reverse graded;
beds 2-3cm",,,,,,341,U1418,F,10,R,4,A,,,
341-U1418F-10R-5-A,0,93,343.6,344.53,,mud [Leg210],with common clasts,mud  with common clasts,,,parallel lamination,N 4 (dark gray),moderate [DB86],2,present [A79],3,,,,,,,,,,,gradational contact,,,,,341,U1418,F,10,R,5,A,,,
341-U1418F-10R-5-A,93,105,344.53,344.65,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,parallel lamination,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,"clast rich muddy diamict, with parallel laminated mud;
~2cm beds",gradational contact,,,,,341,U1418,F,10,R,5,A,,,
341-U1418F-10R-5-A,105,129,344.65,344.89,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,granules,,,,,,341,U1418,F,10,R,5,A,,,
341-U1418F-10R-CC-A,0,25,344.89,345.14,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,,,,,,,341,U1418,F,10,R,CC,A,,,
341-U1418F-10R-CC-A,25,30,345.14,345.19,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,F,10,R,CC,A,,,
