Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
356-U1463D-2H-CC-A,17,22,10.97,11.02,,,,,,,,,,,,,,,,,PAL,,,,356,U1463,D,2,H,CC,A,,,
356-U1463D-3H-1-A,0,137,10.9,12.27,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,beige,scaphopod,,,,moderate [B06],3,bioturbated,horizontal,"Beige, wackestone with medium to coarse grains. The contact to the underling interval is strongly bioturbated.",,,,356,U1463,D,3,H,1,A,,,
356-U1463D-3H-1-A,0,137,10.9,12.27,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1463,D,3,H,1,A,,,
356-U1463D-3H-1-A,137,150,12.27,12.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,cream,,,,,common [B06],4,,,"Cream colored mudstone, strongly bioturbated.",,,,356,U1463,D,3,H,1,A,,,
356-U1463D-3H-2-A,0,30,12.4,12.7,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,cream,,,,,common [B06],4,bioturbated,sub-horizontal,"Cream colored mudstone, commonly bioturbated",,,,356,U1463,D,3,H,2,A,,,
356-U1463D-3H-2-A,30,150,12.7,13.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,moderate [B06],3,,,Greenish grey mudstone,,,,356,U1463,D,3,H,2,A,,,
356-U1463D-3H-3-A,0,150,13.9,15.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,moderate [B06],3,,,Greenish grey mudstone with large beige colored bioturbation trace visible by color change between 17 and 50 cm.,,,,356,U1463,D,3,H,3,A,,,
356-U1463D-3H-4-A,0,150,15.4,16.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,3,H,4,A,,,
356-U1463D-3H-5-A,0,150,16.9,18.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,3,H,5,A,,,
356-U1463D-3H-6-A,0,150,18.4,19.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,3,H,6,A,,,
356-U1463D-3H-7-A,0,70,19.9,20.6,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,3,H,7,A,,,
356-U1463D-3H-CC-A,0,21,20.6,20.81,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,3,H,CC,A,,,
356-U1463D-4H-1-A,0,150,20.4,21.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,4,H,1,A,,,
356-U1463D-4H-2-A,0,150,21.9,23.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0,,,Greenish grey wackestone with fine sand sized grains with few larger unidentified bioclasts.,,,,356,U1463,D,4,H,2,A,,,
356-U1463D-4H-3-A,0,80,23.4,24.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,intraclasts,,,absent [B06],0,,,"Greenish grey packstone with fine sand sized grains with few larger unidentified bioclasts and common very fine sand sized black grains, likely pyrite. Some larger black intraclasts occur in this unit.",,,,356,U1463,D,4,H,3,A,,,
356-U1463D-4H-3-A,80,150,24.2,24.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,Greenish grey packstone with an downcore increase in grain size from fine to medium grained sand. The contetn of black grains also increases downcore in this interval.,,,,356,U1463,D,4,H,3,A,,,
356-U1463D-4H-4-A,0,150,24.9,26.4,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,dark gray,,,,,slight [B06],2,,,"Dark grey packstone with coarse sand sized bioclasts, calcified worm tubes and black clasts, probably pyritized bioclasts.",,,,356,U1463,D,4,H,4,A,,,
356-U1463D-4H-5-A,0,45,26.4,26.85,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,dark gray,,,,,common [B06],4,bioturbated,inclined,"Dark grey packstone with coarse sand sized bioclasts and black clasts, probably pyritized bioclasts.",,,,356,U1463,D,4,H,5,A,,,
356-U1463D-4H-5-A,45,150,26.85,27.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light gray,pteropod,,,,common [B06],4,bioturbated,inclined,"Dark grey packstone with coarse sand sized bioclasts and black clasts, probably pyritized bioclasts.",,,,356,U1463,D,4,H,5,A,,,
356-U1463D-4H-5-A,45,150,26.85,27.9,,,,,,,,,bivalve,,,,,,,,,,,,356,U1463,D,4,H,5,A,,,
356-U1463D-4H-5-A,45,150,26.85,27.9,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1463,D,4,H,5,A,,,
356-U1463D-4H-6-A,0,110,27.9,29,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,4,H,6,A,,,
356-U1463D-4H-7-A,0,64,29,29.64,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,"Greenish grey wackestone with fine sand sized grains, between 10 and 15 cm there is bioturbation tube filled with bioclastic packstone.",,,,356,U1463,D,4,H,7,A,,,
356-U1463D-4H-CC-A,0,17,29.64,29.81,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,bryozoa,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,4,H,CC,A,,,
356-U1463D-5H-1-A,0,68,29.9,30.58,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with medium sand sized grains.,,,,356,U1463,D,5,H,1,A,,,
356-U1463D-5H-1-A,68,150,30.58,31.4,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,scaphopod,,,,slight [B06],2,,,Greenish grey packstone with medium to coarse sand sized grains. Bioclasts include scaplopoda and bivalves.,,,,356,U1463,D,5,H,1,A,,,
356-U1463D-5H-1-A,68,150,30.58,31.4,,,,,,,,,bivalve,,,,,,,,,,,,356,U1463,D,5,H,1,A,,,
356-U1463D-5H-2-A,0,51,31.4,31.91,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,bivalve,,,,moderate [B06],3,bioturbated,sub-horizontal,Greenish grey packstone with medium to coarse sand sized grains. Black fine sand sized grains are possibly pyrite.,,,,356,U1463,D,5,H,2,A,,,
356-U1463D-5H-2-A,51,150,31.91,32.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,greenish gray,,,,,moderate [B06],3,,,Greenish grey packstone with medium to coarse sand sized grains. Black fine sand sized grains are possibly pyrite.,,,,356,U1463,D,5,H,2,A,,,
356-U1463D-5H-3-A,0,150,32.9,34.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,scaphopod,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,5,H,3,A,,,
356-U1463D-5H-4-A,0,150,34.4,35.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,5,H,4,A,,,
356-U1463D-5H-5-A,0,150,35.9,37.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,5,H,5,A,,,
356-U1463D-5H-6-A,0,140,37.4,38.8,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,5,H,6,A,,,
356-U1463D-5H-7-A,0,56,38.8,39.36,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,5,H,7,A,,,
356-U1463D-5H-CC-A,0,25,39.36,39.61,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,Greenish grey wackestone with fine sand sized grains.,,,,356,U1463,D,5,H,CC,A,,,
356-U1463D-6H-1-A,0,150,39.4,40.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous mudstone with silt to very fine sand size grains,",,,,356,U1463,D,6,H,1,A,,,
356-U1463D-6H-2-A,0,150,40.9,42.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous mudstone with silt to very fine sand size grains,",,,,356,U1463,D,6,H,2,A,,,
356-U1463D-6H-3-A,0,150,42.4,43.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous mudstone with silt to very fine sand size grains,",,,,356,U1463,D,6,H,3,A,,,
356-U1463D-6H-4-A,0,65,43.9,44.55,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,bryozoa,,,,moderate [B06],3,,,"Unlithified, homogeneous mudstone with silt to fine sand size grains. It contains bivalve fragments, bryzoas.",,,,356,U1463,D,6,H,4,A,,,
356-U1463D-6H-4-A,65,120,44.55,45.1,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,bivalve,,,,moderate [B06],3,,,"Unlithified, light greenish gray wackestone with bivalve fragments, possibly oyster shell.",,,,356,U1463,D,6,H,4,A,,,
356-U1463D-6H-4-A,65,150,44.55,45.4,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1463,D,6,H,4,A,,,
356-U1463D-6H-4-A,120,150,45.1,45.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,bivalve,,,,,,,,"Unlithified, light greenish gray wackestone with bivalve fragments, possibly oyster shell.",,,,356,U1463,D,6,H,4,A,,,
356-U1463D-6H-5-A,0,150,45.4,46.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light greenish gray,foraminifera (small benthic),,,,moderate [B06],3,,,"Unlithified, light greenish gray packstone with bivalve fragments, possibly oyster shell.",,,,356,U1463,D,6,H,5,A,,,
356-U1463D-6H-5-A,0,150,45.4,46.9,,,,,,,,,bivalve,,,,,,,,,,,,356,U1463,D,6,H,5,A,,,
356-U1463D-6H-6-A,0,120,46.9,48.1,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light greenish gray,bivalve,,concretion [BJ80],,moderate [B06],3,,,"Unlithified, light greenish gray packstone with bivalve fragments, possibly oyster shell.",,,,356,U1463,D,6,H,6,A,,,
356-U1463D-6H-6-A,0,120,46.9,48.1,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1463,D,6,H,6,A,,,
356-U1463D-6H-6-A,120,150,48.1,48.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray wackestone.",,,,356,U1463,D,6,H,6,A,,,
356-U1463D-6H-7-A,0,73,48.4,49.13,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,moderate [B06],3,,,"Unlithified, homogeneous greenish gray wackestone with fine sand size grains. Moderate bioturbation.",,,,356,U1463,D,6,H,7,A,,,
356-U1463D-6H-CC-A,0,20,49.13,49.33,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, homogeneous greenish gray wackestone with fine sand size grains.",,,,356,U1463,D,6,H,CC,A,,,
356-U1463D-7H-1-A,0,150,48.9,50.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with fine sand size grains and very sparse black/green grains. Tube fragment",,,,356,U1463,D,7,H,1,A,,,
356-U1463D-7H-2-A,0,150,50.4,51.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with fine sand size fragments. Occasional shell fragments",,,,356,U1463,D,7,H,2,A,,,
356-U1463D-7H-3-A,0,150,51.9,53.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with fine sand size grains. Occasional shell fragments. A t112 cm sub-horizontal fractures spaced every 5-10 cm",,,,356,U1463,D,7,H,3,A,,,
356-U1463D-7H-4-A,0,150,53.4,54.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous wackestone with fine sand size grains. Sub-horizontal fracures every 5-10 cm common. Occasional shell fragment",,,,356,U1463,D,7,H,4,A,,,
356-U1463D-7H-5-A,0,100,54.9,55.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,beige,,,,,,,,,"Unlithified, beige homogeneous wackestone with fine and size grains. Occasional shell fragments",,,,356,U1463,D,7,H,5,A,,,
356-U1463D-7H-5-A,100,150,55.9,56.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,beige,,,,,,,,,"Unlithified, beige homogeneous wackestone with sparse coarse sand size grains and very coarse sand size shell fragments. Slight bioturbation and burrows",,,,356,U1463,D,7,H,5,A,,,
356-U1463D-7H-6-A,0,50,56.4,56.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,beige,,,,,,,sharp,sub-horizontal,"Unlithified, beige packstone with very coarse up to pebble size shell fragments (bivalve, scaphopod) benthic foraminfers and lithic grains (carbonate, glauconite and black grains)",,,,356,U1463,D,7,H,6,A,,,
356-U1463D-7H-6-A,50,130,56.9,57.7,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,sharp,sub-horizontal,"Unlithified, creamy gray packstone with very coarse sand size grains. The grains include carbonate and very sparse sand size shells. One large bivalve (up to 2 cm)",,,,356,U1463,D,7,H,6,A,,,
356-U1463D-7H-6-A,130,150,57.7,57.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray, homogeneous wackestone with fine sand size grains and sparse sand size shell fragments",,,,356,U1463,D,7,H,6,A,,,
356-U1463D-7H-7-A,0,72,57.9,58.62,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray wackestone with fine sand size grains",,,,356,U1463,D,7,H,7,A,,,
356-U1463D-7H-CC-A,0,22,58.62,58.84,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with fine sand size grains. Granule size carbonate cemented fragments of bivalve",,,,356,U1463,D,7,H,CC,A,,,
356-U1463D-8H-1-A,0,137,58.4,59.77,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone. Very sparse vf sand size black specks",,,,356,U1463,D,8,H,1,A,,,
356-U1463D-8H-1-A,137,150,59.77,59.9,unlithified [Leg194],,,,,,,,,,,,,,,,void,,,,356,U1463,D,8,H,1,A,,,
356-U1463D-8H-2-A,0,150,59.9,61.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous mudstone. Tube",,,,356,U1463,D,8,H,2,A,,,
356-U1463D-8H-3-A,0,150,61.4,62.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,Unlithified creamy gray homogeneous mudstone with vf sand size grains and sparse black grains,,,,356,U1463,D,8,H,3,A,,,
356-U1463D-8H-4-A,0,150,62.9,64.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray mudstone with fine sand size grains and vf sand size black grains scattered throuhout. These disseminated specks are denser",,,,356,U1463,D,8,H,4,A,,,
356-U1463D-8H-5-A,0,86,64.4,65.26,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,beige,,,,,,,,,"Unlithified, beige homogeneous mudstone with fine sand size grains",,,,356,U1463,D,8,H,5,A,,,
356-U1463D-8H-5-A,86,150,65.26,65.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,beige,,,,,,,,,"Unlithified, beige mudstone with sparse very coarse sand size grains including shell fragments and cement. Also up to 5 mm gastropod",,,,356,U1463,D,8,H,5,A,,,
356-U1463D-8H-6-A,0,64,65.9,66.54,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,beige,,,,,,,,,Unlithified beige packstone with sand size grains and shell fragments,,,,356,U1463,D,8,H,6,A,,,
356-U1463D-8H-6-A,64,150,66.54,67.4,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified creamy gray packstone with sand, coarse sand and very coarse sand size grains. The grains include bioclasts and cement. The bioclasts range in size from sand to pebble. A gastropod is up to 2 cm and bivalve up to 5 cm. Main component are shell fragments. There is also an abundance of vf sand size black/green grains",,,,356,U1463,D,8,H,6,A,,,
356-U1463D-8H-7-A,0,59,67.4,67.99,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand, coarse sand and up to pebble size bioclasts and grains. The grains are composed of cement and there are abundant vf sand size black and green grains. The bioclasts are composed of up to coarse sand bivalve and gastropod fragments. Up to 5 cm long bivalves",,,,356,U1463,D,8,H,7,A,,,
356-U1463D-8H-CC-A,0,27,67.99,68.26,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,beige,,,,,,,,,"Unlithified, beige homogeneous wackestone with sand size grains and partly lithified zones",,,,356,U1463,D,8,H,CC,A,,,
356-U1463D-9H-1-A,0,150,67.9,69.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous wackestone with sand size grains and bivalve fragments up to 3 mm long",,,,356,U1463,D,9,H,1,A,,,
356-U1463D-9H-2-A,0,150,69.4,70.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray homogeneous wackestone with fine sand to sand size grains and sparse bivalve fragments",,,,356,U1463,D,9,H,2,A,,,
356-U1463D-9H-3-A,0,76,70.9,71.66,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,gradational,sub-horizontal,Unlithified creamy gray homogeneous wackestone with fine sand to sand size grains. Occasional sand size bivalve fragment,,,,356,U1463,D,9,H,3,A,,,
356-U1463D-9H-3-A,76,150,71.66,72.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with vf sand size grains and sub-horizonal fractures every 10-15 cm",,,,356,U1463,D,9,H,3,A,,,
356-U1463D-9H-4-A,0,150,72.4,73.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with very fine sand size grains. Traces of green in burrows and disseminated vf sand size grains black/green",,,,356,U1463,D,9,H,4,A,,,
356-U1463D-9H-5-A,0,150,73.9,75.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone with vf sand size grains and disseminated black/green grains",,,,356,U1463,D,9,H,5,A,,,
356-U1463D-9H-6-A,0,110,75.4,76.5,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,,,gradational,sub-horizontal,"Unlithified, greenish gray homogeneous mudstone with fine sand size grains and vf sand size black/green grains",,,,356,U1463,D,9,H,6,A,,,
356-U1463D-9H-6-A,110,150,76.5,76.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,,,,,Unlithified creamy gray wackestone with fine to sand size grains. Scattered macrofossils the dominant size is sand but there are up to cm fragments of bivalves,,,,356,U1463,D,9,H,6,A,,,
356-U1463D-9H-7-A,0,72,76.9,77.62,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,"Unlithified, creamy gray packstone with sand to coarse sand size grains. Grains consist of macrofossils and carbonate cements. Macros are bivalves common up to 3 mm",,,,356,U1463,D,9,H,7,A,,,
