Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
374-U1521A-1R-4-A,40.0,61.0,3.9,4.11,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,N 6 (gray),none [DB86],0,absent [A79],,,,,,,,,,,,374,U1521,A,1,R,4,A,,,
374-U1521A-1R-CC-A,0.0,12.0,4.11,4.23,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,N 6 (gray),none [DB86],0,absent [A79],,,,,,,,,,,,374,U1521,A,1,R,CC,A,,,
374-U1521A-2R-1-A,0.0,104.0,7.4,8.44,,clast-rich muddy diamict [M89m],,clast-rich muddy diamict,post-sedimentary microfault (normal),2.5Y 4/1 (dark gray),,,abundant [A79],,,,,mud clast,,,24-80 cm inclined irregular grey mud zones with post-sedimentary microfaults. Clasts subangular to subrounded.,,,,374,U1521,A,2,R,1,A,,,
374-U1521A-2R-CC-A,0.0,7.0,8.44,8.51,,clast-rich muddy diamict [M89m],,clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,374,U1521,A,2,R,CC,A,,,
374-U1521A-3R-1-A,0.0,133.0,17.0,18.33,,clast-rich muddy diamict [M89m],,clast-rich muddy diamict,post-sedimentary microfault (normal),2.5Y 4/1 (dark gray),,,abundant [A79],,,,,mud clast,,,50-80 cm and 92-108 cm irregular grey to dark grey zones with post-sedimentary microfaults. Clasts subangular to subrounded. Physically intermixed lithologies of diamictite (major and mudstone minor). Brecciated in places with a clasts halo/shadow feature at 57 cm.,,,,374,U1521,A,3,R,1,A,,,
374-U1521A-3R-2-A,0.0,60.0,18.46,19.06,,clast-rich muddy diamict [M89m],,clast-rich muddy diamict,post-sedimentary microfault (normal),2.5Y 4/1 (dark gray),,,abundant [A79],,,,,,inclined boundary or contact,irregular,Lower contact sharp and inclined with intermixed zones of diatom ooze from below at 57-63 cm. Clasts subangular to subrounded. High angle faulting. Diatom-rich mud clasts at 48 cm and 82 cm.,,,,374,U1521,A,3,R,2,A,,,
374-U1521A-3R-2-A,60.0,75.0,19.06,19.21,muddy,diatomite,,muddy diatomite,interlamination,2.5Y 6/2 (light brownish gray),,2,absent [A79],,,,,,inclined boundary or contact,irregular,Lenses of grey mud. Mottled.,,,,374,U1521,A,3,R,2,A,,,
374-U1521A-3R-CC-A,0.0,15.0,19.21,19.36,muddy,diatomite,,muddy diatomite,,2.5Y 6/2 (light brownish gray),,2,absent [A79],,,,,,,,Mottled,,,,374,U1521,A,3,R,CC,A,,,
374-U1521A-4R-1-A,0.0,150.0,26.6,28.1,muddy,diatomite,,muddy diatomite,post-sedimentary microfault (normal),5Y 6/2 (light olive gray),heavy [DB86],3,abundant [A79],,,,shell fragment,,,,"~70 cm and ~100 cm obvious microfaulting, shell fragments fragments at ~120 cm and ~140 cm. Mottled",,,,374,U1521,A,4,R,1,A,,,
374-U1521A-4R-2-A,0.0,33.0,28.1,28.43,muddy,diatomite,,muddy diatomite,post-sedimentary microfault (normal),5Y 6/2 (light olive gray),heavy [DB86],3,abundant [A79],,,,,,,,~18 cm obvious microfaulting. Mottled,,,,374,U1521,A,4,R,2,A,,,
374-U1521A-4R-2-A,33.0,73.0,28.43,28.83,diatom rich,mudstone,with dispersed clasts,diatom rich mudstone with dispersed clasts,,,heavy [DB86],3,,,,,,,,,,,,,374,U1521,A,4,R,2,A,,,
374-U1521A-4R-2-A,73.0,140.0,28.83,29.5,diatom rich,mudstone,with dispersed clasts,diatom rich mudstone with dispersed clasts,post-sedimentary microfault (normal),5Y 6/2 (light olive gray),heavy [DB86],3,abundant [A79],,,,,,,,~115 cm obvious microfaulting. Mottled,,,,374,U1521,A,4,R,2,A,,,
374-U1521A-4R-3-A,1.0,53.0,29.61,30.13,muddy,diatomite,,muddy diatomite,post-sedimentary microfault (normal),5Y 5/1 (gray),heavy [DB86],3,present [A79],,,,,,,,Mottled,,,,374,U1521,A,4,R,3,A,,,
374-U1521A-4R-3-A,53.0,82.0,30.13,30.42,diatom rich,mudstone,with dispersed clasts,diatom rich mudstone with dispersed clasts,,,heavy [DB86],3,,,,,shell fragment,,,,,,,,374,U1521,A,4,R,3,A,,,
374-U1521A-4R-3-A,82.0,141.0,30.42,31.01,diatom rich,mudstone,with dispersed clasts,diatom rich mudstone with dispersed clasts,post-sedimentary microfault (normal),5Y 5/1 (gray),heavy [DB86],3,present [A79],,,,shell fragment,,,,"~87 cm shell fragments, ~110 cm microfaulting, ~135 cm microfaulting. Mottled.",,,,374,U1521,A,4,R,3,A,,,
374-U1521A-4R-CC-A,0.0,13.0,31.01,31.14,muddy,diatomite,,muddy diatomite,,,heavy [DB86],3,present [A79],,,,,,,,Mottled,,,,374,U1521,A,4,R,CC,A,,,
374-U1521A-5R-1-A,0.0,78.0,36.2,36.98,muddy,diatomite,,muddy diatomite,post-sedimentary microfault (normal),5Y 6/2 (light olive gray),complete [DB86],4,present [A79],,,,,lonestone,gradational boundary or contact,,"Mottled with 5Y 4/1, lonestone at 3 cm, 17-20 cm fall in(?)",,,,374,U1521,A,5,R,1,A,,,
374-U1521A-5R-1-A,78.0,129.0,36.98,37.49,muddy,diatomite,,muddy diatomite,post-sedimentary microfault (normal),5Y 5/1 (gray),complete [DB86],4,present [A79],,,,,,,,,,,,374,U1521,A,5,R,1,A,,,
374-U1521A-5R-1-A,129.0,141.0,37.49,37.61,muddy,diatomite,,muddy diatomite,,5y 4/1 (dark gray),heavy [DB86],3,abundant [A79],,,,,lonestone,inclined boundary or contact,,"lonestone at 133-134 cm, increasing sand downcore",,,,374,U1521,A,5,R,1,A,,,
374-U1521A-5R-2-A,0.0,4.0,37.7,37.74,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,GLEY 1 5/N (gray),heavy [DB86],3,absent [A79],,,,,,inclined boundary or contact,,inclined from 4-14 cm with gradation,,,,374,U1521,A,5,R,2,A,,,
374-U1521A-5R-2-A,4.0,14.0,37.74,37.84,,clast-rich sandy diamict [M89m],,clast-rich sandy diamict,,GLEY 1 5/N (gray),,,abundant [A79],,,,,,,,,,,,374,U1521,A,5,R,2,A,,,
374-U1521A-5R-2-A,14.0,66.0,37.84,38.36,,clast-poor muddy diamict [M89m],,clast-poor muddy diamict,vein network,GLEY 1 5/N (gray),,,absent [A79],,cement,carbonate,,,inclined boundary or contact,,"color listed is predominant. Also GLEY 1 5/10y, 1 7/n, 1 5/10y, 1 6/n",,,,374,U1521,A,5,R,2,A,,,
374-U1521A-5R-2-A,66.0,150.0,38.36,39.2,,clast-rich sandy diamict [M89m],,clast-rich sandy diamict,,GLEY 1 4/N (dark gray),,,abundant [A79],,,,,mud clast,,,"diatomaceous mud clast at 97-98 cm, lonestone with halo at 109-110 cm",,,,374,U1521,A,5,R,2,A,,,
374-U1521A-5R-3-A,0.0,84.0,39.2,40.04,,clast-rich sandy diamict [M89m],,clast-rich sandy diamict,,GLEY 1 4/N (dark gray),,,abundant [A79],,,,,mud clast,,,"Lonestone at 50-51 cm may not be in situ(?), diatom mud clast at 65 and 78 cm",,,,374,U1521,A,5,R,3,A,,,
374-U1521A-5R-CC-A,0.0,10.0,40.04,40.14,,clast-rich sandy diamict [M89m],,clast-rich sandy diamict,,GLEY 1 4/N (dark gray),,,abundant [A79],,,,,mud clast,,,,,,,374,U1521,A,5,R,CC,A,,,
374-U1521A-6R-CC-A,0.0,10.0,45.8,45.9,,clast-poor muddy diamict [M89m],,clast-poor muddy diamict,,GLEY 1 4/N (dark gray),,,absent [A79],,cement,carbonate,,,,,,,,,374,U1521,A,6,R,CC,A,,,
374-U1521A-8R-1-A,0.0,132.0,65.0,66.32,,clast-poor sandy diamict [M89m],,clast-poor sandy diamict,,GLEY 1 4/N (dark gray),,,present [A79],,,,,lonestone,,,"lonestones at 21, 25, 37, 91-92, and 96-97 cm",,,,374,U1521,A,8,R,1,A,,,
374-U1521A-8R-2-A,0.0,121.0,66.32,67.53,,clast-poor sandy diamict [M89m],,clast-poor sandy diamict,,Gley 1 4/n (dark gray),,,present [A79],,,,,lonestone,,,"lonestones at 2, 7, 17, 42, 46, 47, 48, 53, 55, 57, 64, 79, 81, 85, 90, 92, 95, 97, 108, 113, 115, 116cm",,,,374,U1521,A,8,R,2,A,,,
374-U1521A-8R-CC-A,0.0,22.0,67.53,67.75,,clast-poor sandy diamict [M89m],,clast-poor sandy diamict,,Gley 1 4/n (dark gray),,,present [A79],,,,,lonestone,,,"lonestones at 2, 3, 6, 11, 15, 16, 18 cm",,,,374,U1521,A,8,R,CC,A,,,
374-U1521A-9R-1-A,0.0,40.0,74.6,75.0,,clast-poor muddy diamict [M89m],,clast-poor muddy diamict,,Gley 1 4/n (dark gray),,,present [A79],,,,,lonestone,,,"lonestones at 34-38, 38-42 cm",,,,374,U1521,A,9,R,1,A,,,
374-U1521A-9R-1-A,40.0,47.0,75.0,75.07,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],,diatom rich sandy mud(stone) to muddy sand(stone),,5Y 5/2 (olive gray),,,abundant [A79],,,,,,,,,,,,374,U1521,A,9,R,1,A,,,
374-U1521A-9R-1-A,47.0,61.0,75.07,75.21,diatom rich,mudstone,,diatom rich mudstone,interlamination,GLEY 2 3/5BG (very dark greenish gray),,,,,,,,,,,interbedded olive gray + greenish gray diatom bearing mud with very dark bluish gray wavy laminations,,,,374,U1521,A,9,R,1,A,,,
374-U1521A-9R-1-A,61.0,87.0,75.21,75.47,muddy,diatomite,,muddy diatomite,,5Y 5/2 (olive gray),,,,,,,,,,,,,,,374,U1521,A,9,R,1,A,,,
374-U1521A-9R-1-A,87.0,94.0,75.47,75.54,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 2 5/5BG (greenish gray),slight [DB86],1,present [A79],,,,,,gradational boundary or contact,,Chaotic and sheared interval at 94-97 cm,,,,374,U1521,A,9,R,1,A,,,
374-U1521A-9R-1-A,94.0,134.0,75.54,75.94,muddy,diatomite,,muddy diatomite,,5Y 5/2 (olive gray),,,,,,,,,,,,,,,374,U1521,A,9,R,1,A,,,
374-U1521A-9R-2-A,0.0,40.0,76.04,76.44,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,GLEY 1 6/10Y (greenish gray),moderate [DB86],2,abundant [A79],,,,shell fragment,,chaotic boundary or contact,,"Chaotic boundary, shell fragments at 15 cm",,,,374,U1521,A,9,R,2,A,,,
374-U1521A-9R-2-A,40.0,149.0,76.44,77.53,,clast-poor sandy diamict [M89m],,clast-poor sandy diamict,,Gley 1 4/n (dark gray),,,,,,,shell fragment,lonestone,,,"shell fragments at 81, 88 cm. lonestones at 40, 65, 89, 123, 126, 137-140, 146-149 cm",,,,374,U1521,A,9,R,2,A,,,
374-U1521A-9R-CC-A,0.0,16.0,77.53,77.69,,clast-poor sandy diamict [M89m],,clast-poor sandy diamict,,Gley 1 4/n (dark gray),,,,,concretion,carbonate,,,,,Carbonate nodule at 0-4 cm,,,,374,U1521,A,9,R,CC,A,,,
374-U1521A-10R-1-A,0.0,115.0,84.2,85.35,diatom bearing,interbedded mud(stone) and diamict [McKW53],,diatom bearing interbedded mud(stone) and diamict,,GLEY 1 4/10Y (dark greenish gray),,,abundant [A79],,,,,,,,"physically disturbed clast poor sandy diamictite with irregularly interbedded with diatom rich mud. wavy, irregular boundary: at 13, 20, 24, 57, 66, 70, 80, 112, 115 cm. shell fragments at 71, 86, 115 cm",,,,374,U1521,A,10,R,1,A,,,
374-U1521A-10R-1-A,115.0,134.0,85.35,85.54,diatom rich,mudstone,,diatom rich mudstone,,GLEY 1 5/10Y (greenish gray),,2,absent [A79],,,,shell fragment,mud clast,,,diatom bearing (?) mud clast. shell fragment at 117 cm.,,,,374,U1521,A,10,R,1,A,,,
374-U1521A-10R-CC-A,0.0,12.0,85.55,85.67,diatom rich,mudstone,,diatom rich mudstone,,GLEY 1 5/10Y (greenish gray),,,absent [A79],,,,,,,,,,,,374,U1521,A,10,R,CC,A,,,
374-U1521A-11R-1-A,0.0,101.0,93.8,94.81,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,0-2 cm fall in,,,,374,U1521,A,11,R,1,A,,,
374-U1521A-11R-2-A,0.0,67.0,94.81,95.48,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,lonestone,,,67 cm limestone clast,,,,374,U1521,A,11,R,2,A,,,
374-U1521A-12R-1-A,0.0,94.0,103.4,104.34,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,gradational boundary or contact,,,,,,374,U1521,A,12,R,1,A,,,
374-U1521A-12R-1-A,94.0,100.0,104.34,104.4,diatom bearing,mudstone,,diatom bearing mudstone,,5y 8/3 (pale yellow),moderate [DB86],2,absent [A79],,cement,carbonate,,,gradational boundary or contact,,*Authigenic carbonate accounts for 25-50%,,,,374,U1521,A,12,R,1,A,,,
374-U1521A-12R-1-A,100.0,134.0,104.4,104.74,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,1,A,,,
374-U1521A-12R-2-A,0.0,105.0,104.74,105.79,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,2,A,,,
374-U1521A-12R-3-A,0.0,20.0,105.79,105.99,diatom rich,mudstone,,diatom rich mudstone,,5Y 7/3 (pale yellow),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,3,A,,,
374-U1521A-12R-3-A,20.0,141.0,105.99,107.2,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,3,A,,,
374-U1521A-12R-4-A,0.0,151.0,107.3,108.81,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,shell fragment,,,,Shell fragment at 71 cm,,,,374,U1521,A,12,R,4,A,,,
374-U1521A-12R-5-A,0.0,150.0,108.81,110.31,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,5,A,,,
374-U1521A-12R-6-A,0.0,145.0,110.31,111.76,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,6,A,,,
374-U1521A-12R-CC-A,0.0,18.0,111.76,111.94,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,12,R,CC,A,,,
374-U1521A-13R-1-A,0.0,110.0,113.0,114.1,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,Shell fragment at 34 and 90 cm.,,,,374,U1521,A,13,R,1,A,,,
374-U1521A-13R-2-A,0.0,150.0,114.1,115.6,diatom bearing,mudstone,,diatom bearing mudstone,parallel lamination,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,"Fine laminae at 4.5 cm. Shelf fragment at 18.5. 72-74 cm: large burrow. 97-110 cm: huge 3 cm wide burrow. Bivalve (on end) from 93-94 cm. cross section of shell (bivalve) at 125, 130, 137 cm. Gray burrow above the shell at135 cm.",,,,374,U1521,A,13,R,2,A,,,
374-U1521A-13R-3-A,0.0,141.0,115.6,117.01,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,"Shell fragments at 34, 96, 97, 98, 99 cm.",,,,374,U1521,A,13,R,3,A,,,
374-U1521A-13R-4-A,0.0,150.0,117.11,118.61,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,"Shell fragments at 31, 50, 87, 95, 120, 122 cm. 76-77 cm and 81 cm: whiter stringer with sharp top and bottom contact",,,,374,U1521,A,13,R,4,A,,,
374-U1521A-13R-5-A,0.0,102.0,118.61,119.63,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,"Shell fragments at 76, 79 cm.",,,,374,U1521,A,13,R,5,A,,,
374-U1521A-13R-6-A,0.0,69.0,119.63,120.32,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,Shell fragment at 63.,,,,374,U1521,A,13,R,6,A,,,
374-U1521A-13R-CC-A,0.0,13.0,120.32,120.45,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,cement,carbonate,,,,,Carbonate cemented diatom bearing mud.,,,,374,U1521,A,13,R,CC,A,,,
374-U1521A-14R-1-A,0.0,22.5,122.6,122.825,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,14,R,1,A,,,
374-U1521A-15R-1-A,0.0,24.0,132.2,132.44,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,15,R,1,A,,,
374-U1521A-16R-1-A,0.0,112.0,141.8,142.92,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,bivalve,,,,"Shell fragments at 12-14, and 45 cm (bivalves)",,,,374,U1521,A,16,R,1,A,,,
374-U1521A-16R-2-A,0.0,108.0,142.92,144.0,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,16,R,2,A,,,
374-U1521A-16R-3-A,0.0,58.0,144.1,144.68,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,16,R,3,A,,,
374-U1521A-16R-3-A,58.0,105.0,144.68,145.15,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,,,,,374,U1521,A,16,R,3,A,,,
374-U1521A-16R-4-A,0.0,50.0,145.15,145.65,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,16,R,4,A,,,
374-U1521A-16R-4-A,50.0,55.0,145.65,145.7,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,shell fragment,,,,,,,,374,U1521,A,16,R,4,A,,,
374-U1521A-16R-4-A,55.0,100.0,145.7,146.15,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,shell fragment,,,,Shell fragment at 55 cm,,,,374,U1521,A,16,R,4,A,,,
374-U1521A-16R-5-A,0.0,73.0,146.15,146.88,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,"Shell fragments at 3, and 57 cm",,,,374,U1521,A,16,R,5,A,,,
374-U1521A-16R-CC-A,0.0,14.0,146.88,147.02,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,16,R,CC,A,,,
374-U1521A-17R-1-A,0.0,123.0,151.4,152.63,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,"Shell fragments at 8, and 87 cm (bivavles)",,,,374,U1521,A,17,R,1,A,,,
374-U1521A-17R-2-A,0.0,95.0,152.63,153.58,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,17,R,2,A,,,
374-U1521A-17R-3-A,0.0,120.0,153.58,154.78,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,17,R,3,A,,,
374-U1521A-17R-4-A,0.0,138.0,154.78,156.16,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,17,R,4,A,,,
374-U1521A-17R-5-A,0.0,87.0,156.16,157.03,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,Shell fragments at ~17 cm,,,,374,U1521,A,17,R,5,A,,,
374-U1521A-17R-CC-A,0.0,15.0,157.03,157.18,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,17,R,CC,A,,,
374-U1521A-18R-1-A,0.0,125.0,161.0,162.25,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,18,R,1,A,,,
374-U1521A-18R-2-A,0.0,90.0,162.25,163.15,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,Shell fragment at ~20 cm,,,,374,U1521,A,18,R,2,A,,,
374-U1521A-18R-3-A,0.0,89.0,163.15,164.04,diatom rich,mudstone,,diatom rich mudstone,,5Y 5/2 (olive gray),heavy [DB86],3,absent [A79],,,,shell fragment,,,,Gradual color change from 88-89 cm. Physically intermixing of olive grey clay at 52-80 cm (shear zone ?). Shell fragment at ~75 cm.,,,,374,U1521,A,18,R,3,A,,,
374-U1521A-18R-3-A,89.0,98.0,164.04,164.13,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 4/1 (dark gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,18,R,3,A,,,
374-U1521A-18R-4-A,0.0,66.0,164.13,164.79,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 4/1 (dark gray),heavy [DB86],3,absent [A79],,,,,,,,,,,,374,U1521,A,18,R,4,A,,,
374-U1521A-18R-5-A,0.0,117.0,164.89,166.06,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 4/1 (dark gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,18,R,5,A,,,
374-U1521A-18R-5-A,117.0,127.0,166.06,166.16,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 7/3 (pale yellow),slight [DB86],1,present [A79],,cement,carbonate,,,,,Pale yellow carbonate cemented clay with common clasts,,,,374,U1521,A,18,R,5,A,,,
374-U1521A-18R-5-A,127.0,150.0,166.16,166.39,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 4/1 (dark gray),moderate [DB86],2,absent [A79],,,,,,,,,,,,374,U1521,A,18,R,5,A,,,
374-U1521A-18R-6-A,0.0,125.0,166.39,167.64,diatom bearing,mudstone,,diatom bearing mudstone,,5Y 5/2 (olive gray),moderate [DB86],2,absent [A79],,,,shell fragment,lonestone,,,"Lonestone at 37 cm, shell fragments at 116 cm",,,,374,U1521,A,18,R,6,A,,,
