Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Archaeodictyomitra simplex,Acaeniotyle diaphorogona,gen. et sp. indet 2,gen. et sp. indet 1,Xitus spinosus,Stichomitra stocki,Stichomitra communis,Rhopalosyringium sp. cf. R. euganeum,Pseudodictyomitra lodogaensis,Orbiculiforma sp.,Novixitus mclaughlini,Cryptamphorella crepida,Cryptamphorella conara,Archaeospongoprunum sp.,Archaeospongoprunum carrierensis,Alievum sculptus,?Xitus sp. cf. X. spicularius,Theocampe apicata,Rhopalosyringium mosquense,Orbiculiforma maxima,Cryptamphorella sp.,Triactoma sp.,Acaeniotyle umbilicata,Dicroa rara,Cavaspongia sphaerica,Tubilastrum sp. cf. T. transmontanum,Savoryella quadra,Patellula heroica,Mita gracilis,Dactyliosphaera lepta,Crucella messinae,Crucella irwini,Acanthocircus multidentalus,Acaeniotyle amplissima,?Hiscocapsa sp.,Torculum coronatum,Patulibracchium sp.,Patellula verteroensis,Napora praespinifera,Guttacapsa biacuta,Angulobracchia digita,Dactyliosphaera silviae,Cavaspongia euganea,Archaeodictyomitra crebrisulcata,Xitus spicularius,Vitorfus morini,Rhopalosyringium hispidum,Guttacapsa gutta,Dictyomitra napaensis,Dictyomitra multicostata,Dictyomitra densiocosta,?Krempelinella sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 5,  34.00,     70.8400,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,                        ,                   ,F                  ,              ,                  ,R                   ,S                                   ,                             ,                 ,                     ,                       ,                      ,R                      ,S                               ,                ,                             ,                 ,                          ,S                   ,                   ,R            ,S                     ,           ,R                    ,S                                   ,R                ,                 ,R            ,R                    ,                 ,S              ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,R                      ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 5,  65.00,     71.1500,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,                   ,R                  ,              ,S                 ,F                   ,S                                   ,                             ,                 ,                     ,                       ,                      ,                       ,R                               ,                ,                             ,                 ,                          ,R                   ,                   ,S            ,                      ,           ,                     ,S                                   ,S                ,                 ,S            ,R                    ,S                ,               ,                           ,                      ,R              ,S                 ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,S. stocki identification questionable. from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 6,  80.00,     72.8000,Erbacher ,Radiolarians                                 ,C              ,M                 ,C                         ,                        ,                   ,S                  ,              ,                  ,C                   ,S                                   ,                             ,                 ,                     ,                       ,                      ,F                      ,S                               ,                ,                             ,                 ,                          ,R                   ,                   ,F            ,S                     ,           ,S                    ,                                    ,R                ,                 ,R            ,F                    ,                 ,               ,S                          ,S                     ,S              ,                  ,S                  ,                      ,                    ,                  ,                     ,S                      ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 6, 137.00,     73.3700,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,                        ,                   ,R                  ,              ,S                 ,C                   ,                                    ,                             ,                 ,                     ,                       ,S                     ,F                      ,S                               ,                ,                             ,                 ,                          ,R                   ,                   ,F            ,                      ,           ,S                    ,R                                   ,F                ,S                ,R            ,F                    ,                 ,S              ,S                          ,R                     ,F              ,S                 ,S                  ,S                     ,S                   ,S                 ,S                    ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,T. coronatum identification questionable. from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 7,   3.00,     73.5300,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,                   ,                   ,              ,                  ,F                   ,S                                   ,                             ,                 ,                     ,                       ,                      ,R                      ,                                ,                ,                             ,                 ,                          ,S                   ,                   ,R            ,R                     ,           ,                     ,S                                   ,S                ,                 ,R            ,R                    ,                 ,               ,R                          ,R                     ,S              ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 7,  68.00,     74.1800,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,                        ,                   ,S                  ,              ,S                 ,F                   ,                                    ,                             ,                 ,                     ,                       ,                      ,S                      ,R                               ,                ,                             ,                 ,                          ,F                   ,                   ,F            ,R                     ,           ,S                    ,S                                   ,R                ,                 ,S            ,F                    ,                 ,               ,S                          ,S                     ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H,CC,  14.00,     74.3900,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,                   ,R                  ,              ,S                 ,C                   ,S                                   ,                             ,                 ,                     ,                       ,S                     ,S                      ,S                               ,                ,                             ,                 ,                          ,R                   ,                   ,S            ,S                     ,           ,S                    ,S                                   ,R                ,S                ,S            ,F                    ,S                ,R              ,S                          ,F                     ,S              ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 1, 118.00,     75.1800,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,                   ,                   ,              ,                  ,                    ,                                    ,                             ,                 ,                     ,                       ,                      ,                       ,S                               ,                ,                             ,                 ,                          ,                    ,                   ,             ,S                     ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 2,  88.00,     76.3800,Erbacher ,Radiolarians                                 ,C              ,M                 ,F                         ,                        ,S                  ,R                  ,              ,R                 ,S                   ,S                                   ,S                            ,F                ,                     ,F                      ,F                     ,S                      ,                                ,S               ,R                            ,R                ,S                         ,R                   ,                   ,S            ,S                     ,           ,S                    ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 3,  36.00,     77.3600,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,                   ,F                  ,              ,R                 ,R                   ,S                                   ,                             ,                 ,                     ,R                      ,R                     ,                       ,                                ,                ,S                            ,                 ,                          ,                    ,                   ,             ,                      ,S          ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 4,  30.00,     78.8000,Erbacher ,Radiolarians                                 ,C              ,M                 ,                          ,                        ,                   ,S                  ,              ,                  ,                    ,                                    ,S                            ,                 ,                     ,                       ,                      ,S                      ,                                ,S               ,R                            ,                 ,R                         ,                    ,                   ,             ,S                     ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 5,  92.00,     80.9200,Erbacher ,Radiolarians                                 ,C              ,M                 ,F                         ,S                       ,                   ,F                  ,              ,                  ,                    ,                                    ,R                            ,                 ,                     ,                       ,                      ,R                      ,S                               ,R               ,                             ,                 ,                          ,                    ,S                  ,R            ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 5, 142.00,     81.4200,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,                        ,                   ,F                  ,              ,                  ,                    ,                                    ,                             ,                 ,                     ,                       ,                      ,                       ,R                               ,                ,S                            ,                 ,R                         ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 6,  36.00,     81.8600,Erbacher ,Radiolarians                                 ,C              ,M                 ,                          ,                        ,                   ,F                  ,              ,                  ,                    ,                                    ,S                            ,                 ,                     ,S                      ,S                     ,                       ,                                ,                ,                             ,                 ,                          ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H, 6,  84.00,     82.3400,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,                   ,R                  ,              ,R                 ,                    ,                                    ,S                            ,                 ,                     ,S                      ,S                     ,S                      ,                                ,                ,S                            ,S                ,S                         ,F                   ,C                  ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H,CC,  11.00,     82.9500,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,                        ,                   ,F                  ,              ,R                 ,                    ,S                                   ,                             ,                 ,                     ,                       ,                      ,S                      ,                                ,                ,R                            ,                 ,                          ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B, 10,H,CC,  19.00,     83.6900,Erbacher ,Radiolarians                                 ,C              ,M                 ,R                         ,                        ,S                  ,F                  ,S             ,F                 ,S                   ,S                                   ,S                            ,R                ,S                    ,F                      ,F                     ,S                      ,S                               ,S               ,S                            ,                 ,                          ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B, 10,H,CC,  31.00,     83.8100,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,S                       ,                   ,                   ,              ,                  ,                    ,                                    ,                             ,                 ,                     ,                       ,                      ,                       ,                                ,                ,                             ,                 ,                          ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
