Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax ,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme ,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla ,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata ,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis ,Pterocodon (?) ampla ,Pterocodon (?) anteclinata,Pterocodon (?) poculum ,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis ,Sethochytris triconiscus,Spongatractus balbis ,Spongatractus pachystylus,Stylotrochus nitidus ,Theocorys acroria,Theocorys anaclasta ,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus ,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon ,Thyrsocyrtis tensa ,Comments,File Data,Ship File Links,Shore File Links
342-U1406A-13H-7-PAL,0,15,119.98,120.13,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-14H-CC-PAL,0,6,128.52,128.58,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-15H-CC-PAL,0,7,139.64,139.71,RP21,RP21 - Dorcadospyris ateuchus,,M [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-16H-CC-PAL,0,13,147.97,148.1,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-17H-CC-PAL,0,7,157.23,157.3,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-18H-CC-PAL,0,5,164.68,164.73,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-19H-6-PAL,0,5,173.74,173.79,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-20H-CC-PAL,0,6,181.7,181.76,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-21H-CC-PAL,0,5,191.48,191.53,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-22H-CC-PAL,0,5,199.26,199.31,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-23H-6-PAL,0,23,207.93,208.16,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-25H-CC-PAL,0,15,217.6,217.75,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-26X-CC-PAL,0,5,221.74,221.79,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-27X-CC-PAL,0,9,232.26,232.35,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-28X-CC-PAL,0,6,242.27,242.33,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-29X-3-W 20/22-RADS,0,2,245.1,245.12,RP12,RP12 - Thyrsocyrtis triacantha,T Theocotyle conica (Gradstein et al. 2012),P [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-29X-3-W 98/100-RADS,0,2,245.88,245.9,RP12,RP12 - Thyrsocyrtis triacantha,B Eusyringium lagena (Gradstein et al. 2012),M [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-29X-4-W 16/18-RADS,0,2,246.26,246.28,RP11,RP11 - Dictyoprora mongolfieri,B Dictyoprora mongolfieri (Gradstein et al. 2012),G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-29X-CC-PAL,0,8,250.75,250.83,,,,P [P22],F [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-30X-CC-PAL,0,7,254.64,254.71,,,,P [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-31X-1-W 15/17-RADS,0,2,255.95,255.97,,,,P [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-31X-2-W 99/101-RADS,0,2,258.29,258.31,RP7,RP07 - Bekoma bidartensis,,M [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-31X-3-W 97/99-RADS,0,2,259.77,259.79,,,,P [P22],F [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-31X-CC-PAL,0,6,260.41,260.47,RP7,RP07 - Bekoma bidartensis,,M [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-32X-1-W 129/130-RAD,0,1,262.29,262.3,,,,P [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-32X-3-W 14/15-RAD,0,1,264.14,264.15,,,,P [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-32X-CC-PAL,0,5,266.16,266.21,RP7,RP07 - Bekoma bidartensis,,M [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-33X-4-W 102/103-RAD,0,1,275.88,275.89,,,,P [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-33X-CC-PAL,0,5,278.6,278.65,,,,M [P22],F [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-34X-1-W 84/85-RAD,0,1,279.44,279.45,,,,P [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406A-34X-CC-PAL,0,5,281,281.05,,,,M [P22],F [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
