Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Zone name,Zone name (short)
342-U1404A-7H-4-W 115/117-PAL,342,U1404,A,7,7-4,H,4,W,115/117-PAL,0,2,57.85,57.87,57.86,G,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,F,,,,,,,,,,,,
342-U1404A-7H-5-W 60/62-PAL,342,U1404,A,7,7-5,H,5,W,60/62-PAL,0,2,58.8,58.82,58.81,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-7H-CC-PAL,342,U1404,A,7,7-CC,H,CC,PAL,,0,5,59.08,59.13,59.11,P,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"only 3 specimens, so all rated present",,,
342-U1404A-8H-1-W 115/117-FORAM,342,U1404,A,8,8-1,H,1,W,115/117-FORAM,0,2,62.85,62.87,62.86,VG,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-8H-2-W 115/117-FORAM,342,U1404,A,8,8-2,H,2,W,115/117-FORAM,0,2,64.35,64.37,64.36,G,R,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,P,F,,,,,,,,P,,,,
342-U1404A-8H-3-W 115/117-FORAM,342,U1404,A,8,8-3,H,3,W,115/117-FORAM,0,2,65.85,65.87,65.86,VG,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,"few specimens, so all rated present",,,
342-U1404A-8H-4-W 115/117-FORAM,342,U1404,A,8,8-4,H,4,W,115/117-FORAM,0,2,67.35,67.37,67.36,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,fraction 125-150ym,,,
342-U1404A-8H-5-W 115/117-FORAM,342,U1404,A,8,8-5,H,5,W,115/117-FORAM,0,2,68.85,68.87,68.86,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-8H-6-W 115/117-FORAM,342,U1404,A,8,8-6,H,6,W,115/117-FORAM,0,2,70.35,70.37,70.36,VG,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,F,,,,F,,,,,,,,F,,,,
342-U1404A-8H-CC-PAL,342,U1404,A,8,8-CC,H,CC,PAL,,0,1,71.29,71.3,71.3,G,P,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,F,,,,,,,,D,,,,,P,,,,,,P,,A,,,,,,,,,,,,,,,,,F,,,,,,F,,F,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,
342-U1404A-9H-1-W 115/117-FORAM,342,U1404,A,9,9-1,H,1,W,115/117-FORAM,0,2,72.35,72.37,72.36,G,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,P,,,,,,,,A,,,,,,P,,D,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,P,,,,,,,,,P,,,,A,,,,,,,,P,,,,
342-U1404A-9H-2-W 115/117-FORAM,342,U1404,A,9,9-2,H,2,W,115/117-FORAM,0,2,73.85,73.87,73.86,G,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-9H-3-W 115/117-FORAM,342,U1404,A,9,9-3,H,3,W,115/117-FORAM,0,2,75.35,75.37,75.36,VG,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,F,,,P,,,P,,D,,,,,,F,,D,,,,,,,,,,,,,,,,,,,,F,,P,,,F,,,P,,,,,,,,,,,,,A,,,,,,,,,,,,
342-U1404A-9H-4-W 115/117-FORAM,342,U1404,A,9,9-4,H,4,W,115/117-FORAM,0,2,76.85,76.87,76.86,VG,P,,,,,,,,P,,,,,,,,,,F,F,,,,,,,,,,,P,,,A,,,,,P,,,P,,,P,,A,,,,,,P,,A,,,,,,,,,,,,,,,,,F,,,A,,,,,,,,F,,,,P,,,F,,F,,,P,A,,,,,,,,P,,,,
342-U1404A-9H-5-W 115/117-FORAM,342,U1404,A,9,9-5,H,5,W,115/117-FORAM,0,2,78.35,78.37,78.36,VG,P,,,,,,,,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-9H-6-W 115/117-FORAM,342,U1404,A,9,9-6,H,6,W,115/117-FORAM,0,2,79.85,79.87,79.86,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-9H-CC-PAL,342,U1404,A,9,9-CC,H,CC,PAL,,0,5,81.03,81.08,81.06,M,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,only 4 specimens so all rated present,,,
342-U1404A-10H-1-W 115/117-FORAM,342,U1404,A,10,10-1,H,1,W,115/117-FORAM,0,2,81.85,81.87,81.86,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,
342-U1404A-10H-2-W 115/117-FORAM,342,U1404,A,10,10-2,H,2,W,115/117-FORAM,0,2,83.35,83.37,83.36,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-10H-3-W 115/117-FORAM,342,U1404,A,10,10-3,H,3,W,115/117-FORAM,0,2,84.85,84.87,84.86,G,P,,,,,,,,P,,,,,,,,,,,A,,,,,,,,,,,,,,F,F,,,,P,,,A,,,,,A,,,,,,A,,D,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,F,P,,,,,,,,,,,P,,,,
342-U1404A-10H-4-W 115/117-FORAM,342,U1404,A,10,10-4,H,4,W,115/117-FORAM,0,2,86.35,86.37,86.36,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,F,P,P,,,,,,P,,A,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,,,,,,,P,,,,,,,,,,,,,,P,,,,
342-U1404A-10H-5-W 115/117-FORAM,342,U1404,A,10,10-5,H,5,W,115/117-FORAM,0,2,87.85,87.87,87.86,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,"few specimens, so all rated present",,,
342-U1404A-10H-6-W 115/117-FORAM,342,U1404,A,10,10-6,H,6,W,115/117-FORAM,0,2,89.35,89.37,89.36,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,D,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-10H-CC-PAL,342,U1404,A,10,10-CC,H,CC,PAL,,0,5,90.54,90.59,90.57,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,P,,,,P,,,,,,,,A,,,,,,F,,D,,,,,,P,,,,,,,,,,,P,,,P,,,,,F,,,P,,,,,,,,,F,,,,F,,,,,,,,,,,,
342-U1404A-11H-1-W 100/102-FORAM,342,U1404,A,11,11-1,H,1,W,100/102-FORAM,0,2,91.2,91.22,91.21,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,fraction 125-150ym,,,
342-U1404A-11H-2-W 100/102-FORAM,342,U1404,A,11,11-2,H,2,W,100/102-FORAM,0,2,92.53,92.55,92.54,VG,P,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,D,,,,P,F,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,
342-U1404A-11H-3-W 100/102-FORAM,342,U1404,A,11,11-3,H,3,W,100/102-FORAM,0,2,94.06,94.08,94.07,G,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-11H-4-W 100/102-FORAM,342,U1404,A,11,11-4,H,4,W,100/102-FORAM,0,2,95.52,95.54,95.53,G,P,,,,,,,,,,,,,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,F,,P,,,,,,,,,,,,,,,,,F,,,,,,,,,,,A,,,,,,,,,,A,,,A,P,,,,,,,P,,,,
342-U1404A-11H-CC-PAL,342,U1404,A,11,11-CC,H,CC,PAL,,0,5,96.21,96.26,96.24,VG,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,P,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,,P,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-12H-1-W 100/102-FORAM,342,U1404,A,12,12-1,H,1,W,100/102-FORAM,0,2,97.2,97.22,97.21,,P,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-12H-2-W 100/102-FORAM,342,U1404,A,12,12-2,H,2,W,100/102-FORAM,0,2,98.65,98.67,98.66,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,D,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,
342-U1404A-12H-3-W 100/102-FORAM,342,U1404,A,12,12-3,H,3,W,100/102-FORAM,0,2,100.1,100.12,100.11,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-12H-4-W 100/102-FORAM,342,U1404,A,12,12-4,H,4,W,100/102-FORAM,0,2,101.55,101.57,101.56,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-12H-5-W 100/102-FORAM,342,U1404,A,12,12-5,H,5,W,100/102-FORAM,0,2,103.0,103.02,103.01,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-12H-6-W 100/102-FORAM,342,U1404,A,12,12-6,H,6,W,100/102-FORAM,0,2,104.5,104.52,104.51,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-12H-CC-PAL,342,U1404,A,12,12-CC,H,CC,PAL,,0,5,106.03,106.08,106.06,M,P,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-13H-2-W 100/102-FORAM,342,U1404,A,13,13-2,H,2,W,100/102-FORAM,0,2,107.22,107.24,107.23,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-13H-3-W 100/102-FORAM,342,U1404,A,13,13-3,H,3,W,100/102-FORAM,0,2,108.73,108.75,108.74,M,P,,,,F,,,,P,,,,F,,,,,,A,F,,,,,,F,P,,,,A,,,F,,,,,,,,,,,,P,F,,,,P,,,,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,,,,,,,,,,,
342-U1404A-13H-4-W 100/102-FORAM,342,U1404,A,13,13-4,H,4,W,100/102-FORAM,0,2,110.23,110.25,110.24,,F,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-13H-5-W 100/102-FORAM,342,U1404,A,13,13-5,H,5,W,100/102-FORAM,0,2,111.73,111.75,111.74,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-13H-6-W 100/102-FORAM,342,U1404,A,13,13-6,H,6,W,100/102-FORAM,0,2,113.23,113.25,113.24,M,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-13H-7-W 90/92-FORAM,342,U1404,A,13,13-7,H,7,W,90/92-FORAM,0,2,114.63,114.65,114.64,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-13H-CC-PAL,342,U1404,A,13,13-CC,H,CC,PAL,,0,6,115.04,115.1,115.07,VG,P,,,,,,P,,,,,,P,,,,P,,A,,,,,,,,,,,,A,,,P,,,P,,,,,,,,F,P,F,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,F,,,,,,,,F,,,,,F,,,,P,,,,,,,,
342-U1404A-14H-1-W 90/92-FORAM,342,U1404,A,14,14-1,H,1,W,90/92-FORAM,0,2,116.1,116.12,116.11,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-14H-2-W 55/57-FORAM,342,U1404,A,14,14-2,H,2,W,55/57-FORAM,0,2,117.25,117.27,117.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-14H-3-W 90/92-FORAM,342,U1404,A,14,14-3,H,3,W,90/92-FORAM,0,2,119.1,119.12,119.11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-14H-4-W 95/97-FORAM,342,U1404,A,14,14-4,H,4,W,95/97-FORAM,0,2,120.65,120.67,120.66,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-14H-5-W 67/69-FORAM,342,U1404,A,14,14-5,H,5,W,67/69-FORAM,0,2,121.87,121.89,121.88,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-14H-6-W 75/77-FORAM,342,U1404,A,14,14-6,H,6,W,75/77-FORAM,0,2,123.45,123.47,123.46,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,
342-U1404A-14H-7-W 50/52-FORAM,342,U1404,A,14,14-7,H,7,W,50/52-FORAM,0,2,124.2,124.22,124.21,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
342-U1404A-14H-CC-PAL,342,U1404,A,14,14-CC,H,CC,PAL,,0,5,124.84,124.89,124.87,M,P,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1404A-15H-1-W 100/102-FORAM,342,U1404,A,15,15-1,H,1,W,100/102-FORAM,0,2,125.7,125.72,125.71,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,"few specimens, so all rated present",,,
