Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Extra Sample ID Data,Zone name,Zone name (short)
342-U1411B-12H-CC-PAL,342,U1411,B,12,12-CC,H,CC,PAL,0,8,105.32,105.4,M,F,,,,,,,,,,,,,,P,,,,D,,,,,,,,,,,,,,,A,,,,,P,,,,,,P,,,,,,,,,,P,,,F,,,,,,,,,,,,F,P,,,,,,,,,,,,F,,,,,,,,,,,,,A,,,,,P,P,,,,,,,
342-U1411B-13H-CC-PAL,342,U1411,B,13,13-CC,H,CC,PAL,0,7,115.31,115.38,M,A,,,F,,,,,,,P,,,P,,,,,D,,,,,,,,,,,,,,,F,P,,,,,,,,,P,P,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,,,,,,A,P,,,P,,,P,,,,,,,,,,
342-U1411B-14H-CC-PAL,342,U1411,B,14,14-CC,H,CC,PAL,0,5,124.4,124.45,M,F,,F,,,,,,,,,,,,F,,,,A,P,,,,,,F,,,,,P,,,F,F,,,,F,,,,,P,P,,,,,P,P,,F,,,,,P,,,,,,,,,,P,,,,,,,,,F,,,P,,,P,,,,,,,,,,D,,P,F,,,,,,,,,,,,,
342-U1411B-15H-CC-PAL,342,U1411,B,15,15-CC,H,CC,PAL,0,5,133.55,133.6,G,F,,,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,F,,,,P,,,,,,P,,,,F,,,,,,,,F,,,P,,P,,,,,,,,,,,P,,F,F,,,F,,,,,,,P,P,,,,,,,,,,D,,F,P,,,,,,,,F,,,,,
342-U1411B-16H-6-PAL,342,U1411,B,16,16-6,H,6,PAL,0,27,141.11,141.38,G,P,,,,,,,,P,,,,,,F,,,,P,P,,P,F,,,,,,F,,,,,,,,,,P,,,,,P,P,,,,,,P,,A,,,F,,,,,,,,,,,,P,,,P,F,,,F,,,,,P,,,P,,,,P,,,,,P,A,,,P,P,,,,,,,P,,,,,
342-U1411B-17H-CC-PAL,342,U1411,B,17,17-CC,H,CC,PAL,0,7,153.28,153.35,G,P,,,,P,,,P,F,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,P,,,P,,,,,,,,,P,,,P,,,,,,,,,,,,,P,,P,A,,,P,,,,,,,P,F,,,,,,,,,F,A,,P,A,,,,,,,,,,,,,
342-U1411B-18H-CC-PAL,342,U1411,B,18,18-CC,H,CC,PAL,0,7,162.41,162.48,VG,P,,,,,,,P,,,,,,P,P,,,,F,,,P,F,,,P,F,,F,,,,,P,P,,,,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,P,,,,P,,,,,,,,,,,P,P,,,,,,F,,,,,,,,,P,,,,,,,
342-U1411B-19H-CC-PAL,342,U1411,B,19,19-CC,H,CC,PAL,0,7,172.34,172.41,G,P,,,,,,,F,F,,,,,,P,,,,F,,,F,P,,P,P,,,F,,,,,F,F,,,,F,,,,,F,,,,,,,,,A,,,P,,,,,,,,,,,,,F,,F,F,,,F,,F,,,,,,P,P,,,P,,,,,,F,,P,F,,,,P,,P,P,F,,,,,
342-U1411B-20H-4-PAL,342,U1411,B,20,20-4,H,4,PAL,0,5,177.37,177.42,G,P,F,,,,,,,P,,,,,,,,,,P,F,,,F,,,,,,P,,,,,F,,,,,P,,,,,F,F,,,,,,F,,P,,,P,,F,,,,,,,,,,,P,F,,P,,,F,,F,,,F,,,,,,P,F,,,,,F,A,,P,A,,,,,,,,,,,,,
342-U1411B-21X-CC-PAL,342,U1411,B,21,21-CC,X,CC,PAL,0,8,178.01,178.09,M,P,,P,,,,P,P,F,,,,,,F,,,,,,,F,F,,,P,F,,A,,,,,F,F,,,,,,,,,F,F,,,,,,,,F,,F,F,,P,,,,,,,,,,,,,,,,,,F,F,,,F,,,A,,,,,P,,,,P,F,,P,F,P,,,,,A,F,,,,,,
342-U1411B-22X-CC-PAL,342,U1411,B,22,22-CC,X,CC,PAL,0,9,187.3,187.39,G,P,,P,,,,P,,F,,,,,P,P,,,,,F,,P,F,,,,P,,F,,,,,F,,,,,P,,,,,F,,,,,,,,,P,,,P,,F,,,P,,,,,,,,,,P,,,,F,,,,,F,,,F,P,,,,,,,,F,F,,P,F,,,,,,P,P,F,,,,,
342-U1411B-23X-CC-PAL,342,U1411,B,23,23-CC,X,CC,PAL,0,10,205.2,205.3,G,P,,F,,,,,,F,,,,,,,,,,A,F,,P,,,,,P,,A,,P,,,A,F,,,,P,,,,,P,,,,,,,,,,,,,,F,,,,,,,,,F,,F,P,,F,,P,F,,P,,,P,,,A,P,,P,P,,,,,,A,,,A,,,,P,,P,,F,,,,,
342-U1411B-24X-CC-PAL,342,U1411,B,24,24-CC,X,CC,PAL,0,8,212.5,212.58,M,R,,,,,,,,,,,,,,,,,F,A,,,,P,,,,,,,,P,,,A,,,,,P,,,,,P,,,,,,,P,,,P,,P,,F,,,,,,,,,,,P,P,P,,D,A,P,,,,,F,,,,,,,P,,,,,,,,F,P,P,,,,,,,,,,,,
342-U1411B-25X-CC-PAL,342,U1411,B,25,25-CC,X,CC,PAL,0,8,222.69,222.77,G,P,,,,,,,,F,,,,F,,,,,,F,,F,F,,,,P,,,F,,P,,,F,P,,,,,,,,,,P,,,,,,,,P,F,,P,,,,,,,,,,,F,,,,,,,,F,,,,,F,,P,,,,,,,,,,P,A,,P,F,P,,,P,,,F,,N. truempyi looks like reworking??,,,,
342-U1411B-26X-CC-PAL,342,U1411,B,26,26-CC,X,CC,PAL,0,10,235.1,235.2,G,P,,,,,,,,A,,,P,,,F,,,,F,,,,F,,,F,,,A,P,P,,,,P,,,P,F,,,,,,F,,,,,,,,F,,,P,,,,,,,,,,,A,,,,,A,,,P,,,,,,,,,,,,P,,,,,P,P,,,F,,,,,,,P,P,,,,,
342-U1411B-27X-CC-PAL,342,U1411,B,27,27-CC,X,CC,PAL,0,8,243.33,243.41,G,P,,,,,,,,F,,,P,,,F,,,,A,P,,,F,,,F,,,F,F,,,,,F,,,,P,,,,,,P,,,,,,P,,F,,,P,,,,,,,,,,,A,,,,,,,,P,,,,,,,,,,,P,,P,,,,F,P,,,A,,,,,,,F,,,,,,
342-U1411B-28X-CC-PAL,342,U1411,B,28,28-CC,X,CC,PAL,0,8,254.42,254.5,G,P,P,,,,,,,,,,,,,,,,,A,,,,,,,F,,,P,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,A,,,,P,F,,,P,,,,,,,P,,,,,,,,,,F,,,,,,,,,P,F,,,,,,,
