Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1482B-8H-2-W 50/50-NANNO,0,0,60.1,60.1,,AGSF - R pseudoumbilicus <7 um present; forms similar to R. asanoi,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,8,H,2,W
363-U1482B-8H-4-W 50/50-NANNO,0,0,63.1,63.1,,AGSF - large Gephyrocapsa >5.5 um present; interval with large Gephyrocapsa spp.,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,8,H,4,W
363-U1482B-8H-CC-PAL-NANNO,0,5,67.89,67.94,NN19 [M71],TDJ -,VG [P33],D [A22],A [A23],,A [A23],C [A04],A [A23],F [A30],,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,,,R [A30],F [A30],,,,,F [A30],,,C [A04],F [A30],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,8,H,CC,PAL
363-U1482B-9H-CC-PAL-NANNO,0,5,77.64,77.69,NN19 [M71],TDJ - dominated small Gephyrocapsa,VG [P33],D [A22],A [A23],,V [A94],F [A30],C [A04],F [A30],,,,,,,,,,,F [A30],,,,,,C [A04],,,,,X [A115],,,,,,,,,,F [A30],,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,9,H,CC,PAL
363-U1482B-10H-CC-PAL-NANNO,0,5,86.79,86.84,NN19 [M71],TDJ - P. lacunosa common; H. sellii present,VG [P33],D [A22],A [A23],,V [A94],,,C [A04],,,,,,,,,,,F [A30],X [A115],,,,,C [A04],,,,,P [A30],,,,,,,,,,F [A30],,,C [A04],,,,,,,,,,,,,,X [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,10,H,CC,PAL
363-U1482B-11H-2-W 50/50-NANNO,0,0,88.56,88.56,,AGSF - rare fragments of Discoaster spp.,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,11,H,2,W
363-U1482B-11H-4-W 50/50-NANNO,0,0,91.49,91.49,,AGSF - rare reworked Discoaster and Sphenolithus,,,,,,,,A [A23],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,11,H,4,W
363-U1482B-11H-6-W 50/50-NANNO,0,0,94.43,94.43,,AGSF - reworked specimens not observed in sample,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,11,H,6,W
363-U1482B-11H-CC-PAL-NANNO,0,5,96.33,96.38,NN18 [M71],TDJ - D. brouweri; C. macintyrei present,VG [P33],D [A22],A [A23],,A [A23],,,C [A04],,,,,,,,,,,F [A30],P [A30],,,,,C [A04],,,,,p [A30],,,,,,,,,,F [A30],,,C [A04],,,,,,,,,,,,,,F [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,11,H,CC,PAL
363-U1482B-12H-CC-PAL-NANNO,0,5,105.74,105.79,NN18 [M71],TDJ - D. brouweri present,VG [P33],D [A22],A [A23],,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,12,H,CC,PAL
363-U1482B-13H-2-W 51/51-NANNO,0,0,107.57,107.57,,AGSF - no observed D pentaradiatus; D. quadramus,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,C [A04],,,x [A115],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,13,H,2,W
363-U1482B-13H-4-W 51/51-NANNO,0,0,110.46,110.46,,LB no D.surculus,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,C [A04],,,R [A30],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,13,H,4,W
363-U1482B-13H-6-W 51/51-NANNO,0,0,113.33,113.33,,AGSF - No D. surculus but LB saw few of them,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,F [A30],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,13,H,6,W
363-U1482B-13H-CC-PAL-NANNO,0,5,115.52,115.57,NN17 [M71],TDJ - D. pentaradiatus present,VG [P33],D [A22],A [A23],,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,C [A04],,,F [A30],X [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,13,H,CC,PAL
363-U1482B-14H-2-W 51/51-NANNO,0,0,117.07,117.07,,AGSF - D quadramus - 2; no D. surculus,,,,,,,,C [A04],,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,C [A04],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,14,H,2,W
363-U1482B-14H-4-W 51/51-NANNO,0,0,120,120,,AGSF - almost no Discoasters compared to the previous samples. D. pentaradiatus fragments,,,,,,,,C [A04],,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,F [A30],P [A30],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,14,H,4,W
363-U1482B-14H-6-W 51/51-NANNO,0,0,122.92,122.92,,AGSF - R. pseudoumbilicus ~5 um common in sample; D. quadramus; Airplane-like 4 rayed Discoater present - 2; D. blackstockae - 1; No observed D surculus,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,P [A30],R [A30],,C [A04],,P [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,14,H,6,W
363-U1482B-14H-CC-PAL-NANNO,0,5,125.12,125.17,NN17 [M71],TDJ - almost no discoasters; dominated by R. minuta / small retics; TDJ D. tamalis present,VG [P33],D [A22],A [A23],,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,14,H,CC,PAL
363-U1482B-15H-2-W 51/51-NANNO,0,0,126.57,126.57,,"AGSF - D. blackstockae; R. pseudoumbilicus < 7 um present in the sample; :""airplane discoaster present""; TDJ - D. surculus present",,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,R [A30],R [A30],,C [A04],R [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,15,H,2,W
363-U1482B-15H-4-W 51/51-NANNO,0,0,129.49,129.49,,AGSF - D tamalis (8); airplane like discoaster -1; no observed D. surculus,,,,,,,,C [A04],,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,F [A30],R [A30],R [A30],C [A04],,R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,15,H,4,W
363-U1482B-15H-6-W 51/51-NANNO,0,0,132.42,132.42,,AGSF - R pseudoumbilicus <7 um present; D. tamalis - 12 specimens; no D. surculus,,,,,,,,R [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,C [A04],P [A30],,C [A04],R [A30],F [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,15,H,6,W
363-U1482B-15H-CC-PAL-NANNO,0,5,134.35,134.4,NN17 [M71],TDJ - D. brouweri & pentaradiatus (later more common),VG [P33],D [A22],A [A23],,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,F [A30],,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,15,H,CC,PAL
363-U1482B-16H-1-W 51/51-NANNO,0,0,134.61,134.61,,AGSF - less Discoaster compared to previous sample; R pseudoumbilicus < 7 um present in sample. Gephyrocapsa ~4 um were also observed in the sample.,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,F [A30],,,F [A30],R [A30],P [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,16,H,1,W
363-U1482B-16H-2-W 51/51-NANNO,0,0,136.07,136.07,,"AGSF - similar to previous slide, Discoaster not common; airplane discoaster present",,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,P [A30],,,F [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,B,16,H,2,W
