Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1483A-12H-CC,0,25,113.56,113.81,E [P46],R,1,,,,6,,,,,,,,,,,4,8,5,,,,,,,,,,9,,4,,4,,,,,,,,,,,,,,,,,,,4,,,,24,,4,,,,,,,10,,,,,8,,,,,,,,,15,,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,363,U1483,A,12,H,CC,
363-U1483A-13H-CC,0,38,123.06,123.44,E [P46],R,1,,,,,,,,,,,,,,,3,,3,,,,,,,,,,11,,3,,,,,,,,,,,,,,,,5,,,3,,1,4,,,2,,,,,,,,,,,,,,3,,3,,,,,,,7,,,,,,,,,,,,5,,3,,,7,,,,,,,,,,,,,,,,,,,363,U1483,A,13,H,CC,
363-U1483A-14H-CC,0,5,132.26,132.31,E [P46],R,1,,,,,,,,,,,,,,,,14,6,,,,,,,,,,8,,,,5,,,,,,,,,,,7,,,7,,,4,3,9,,,,5,,6,,,,,,,6,,4,,,4,,,6,,,,,,6,,,,,7,,,,,,,6,,4,,,,,,,,,,,,,,5,,,,,,,,363,U1483,A,14,H,CC,
363-U1483A-15H-CC,0,23,142.09,142.32,E [P46],R,1,,,,,,,,,,,,,,,,13,5,,,,,,,,,,6,,,,4,,,,,,,,,,,8,,,9,,,5,2,8,,,,5,,6,,,,,,,7,,2,,,4,,,6,,,,,,7,,,,,5,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,363,U1483,A,15,H,CC,
363-U1483A-16H-CC,0,7,151.28,151.35,E [P46],R,1,,,,,,,,,,,,,,,,3,3,,,,,3,,,,,9,,4,,,,,,,,,,,,,,,,,,,2,,2,,,,3,,8,,,,,,,4,,,,,3,,2,,,,,,,6,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,363,U1483,A,16,H,CC,
363-U1483A-17H-CC,0,25,161.25,161.5,E [P46],R,1,,,,,,,,,,,,,,,,2,5,,1,,,2,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,5,,,3,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,363,U1483,A,17,H,CC,
363-U1483A-18H-CC,0,5,170.2,170.25,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,2,2,,,2,,2,,,,,,2,,,,,,,,,,,,3,,,2,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,363,U1483,A,18,H,CC,
363-U1483A-19H-CC,0,23,179.88,180.11,E [P46],R,1,,,,,,,,,,,,,,,2,,5,,,,,,,,,,2,,3,,2,,,,,,,,,,,6,,4,,,,,,2,3,,,,,7,,,,,,,2,,,,,4,,,4,,,,,,4,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,363,U1483,A,19,H,CC,
363-U1483A-20H-CC,0,23,189.39,189.62,E [P46],R,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,3,,,,,4,,,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,363,U1483,A,20,H,CC,
363-U1483A-21H-CC,0,6,198.79,198.85,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,2,,,1,,2,,,,,,,,,,,,10,,2,,,,,,,3,,,,,1,,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,363,U1483,A,21,H,CC,
363-U1483A-22H-CC,0,17,208.35,208.52,E [P46],R,1,,,,,,,,,,,,2,,,,6,,,,,,,,,,,,,3,,,,,,,,,,,,,6,,3,2,,,,,4,2,,,3,,2,,,,,,,,,,,,10,,1,,,,,,,3,,,,,1,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,363,U1483,A,22,H,CC,
363-U1483A-23H-CC,0,5,217.97,218.02,E [P46],R,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,3,,,3,,,,,2,,,,,,2,,,,,,,3,,1,,,6,,,3,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,363,U1483,A,23,H,CC,
363-U1483A-24H-CC,0,26,227.67,227.93,E [P46],R,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,2,,,4,,,3,,4,,,,5,,1,,,,,,,4,,2,,,8,,,4,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,363,U1483,A,24,H,CC,
363-U1483A-25H-CC,0,29,236.93,237.22,E [P46],R,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,13,,3,,,,,,,,,,,,,4,,,4,,,2,,4,,,,5,,1,,,,,,,5,,3,,,6,,,5,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,,,363,U1483,A,25,H,CC,
363-U1483A-26H-CC,0,37,246.34,246.71,E [P46],R,1,,,,,,,,,,,2,,,,,4,,,,,,3,,,,,11,,3,,,,,,,,,,,,,4,,,4,,,2,,4,4,,,4,,1,,,,,,,4,,3,,,6,,,5,,,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,363,U1483,A,26,H,CC,
363-U1483A-27H-CC,0,28,255.84,256.12,E [P46],R,1,,,,,,,,,,,1,,,,,3,,,,,,2,,,,,10,,2,,,,,,,,,,,,,3,,,4,,,2,,3,4,,,4,,1,,,,,,,3,,3,,,7,,,4,,,,,,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,363,U1483,A,27,H,CC,
363-U1483A-28H-CC,0,12,265.25,265.37,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,363,U1483,A,28,H,CC,
363-U1483A-29H-CC,0,24,274.97,275.21,E [P46],R,1,,,,,,,,,,,1,,,,,2,,,,,,2,,,,,9,,2,,,,,,,,,,,,,2,,,4,,,2,,3,4,,,4,,1,,,,,,,4,,3,,,9,,,3,,,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,363,U1483,A,29,H,CC,
363-U1483A-30H-CC,0,15,284.71,284.86,E [P46],R,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,3,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,4,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,363,U1483,A,30,H,CC,
363-U1483A-31H-CC,0,63,292.74,293.37,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,363,U1483,A,31,H,CC,
