Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira spp.,Thalassiosira oestrupii s. ampl.,Thalassiosira nidulus s. ampl.,Thalassiosira leptopus s. ampl.,Thalassiosira latimarginata,Thalassiosira jacksonii,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis spp.,Stellarima spp.,Simonseniella barboi,Rhizosolenia spp.,Paralia sulcata,Nitzschia spp.,Nitzschia reinholdii s. ampl.,Neodenticula koizumii,Neodenticula kamtschatica,Coscinodiscus marginatus,Chaetoceros spores,Actinocyclus curvatulus,Nitzschia cylindrica,Pyxidicula zabelinae,Hemidiscus cuneiformis,Nitzschia jouseae,Astl. and Astp. spp,Actinoptychus spp.,Thalassiosira convexa,Nitzschia fossilis,Benthic diatoms,Actinocyclus octonarius,Actinocyclus ellipticus,Azpeitia nodulifera,Azpeitia tabularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 1, 141.00,    183.1100,Gladenkov,Diatoms                                      ,               ,                  ,5.1%                     ,1.9%              ,2.3%                            ,                              ,2.9%                           ,                           ,.6%                    ,                        ,6.1%                       ,.3%               ,               ,                    ,.6%              ,               ,1.9%          ,.3%                          ,4.5%                 ,47.3%                    ,11.9%                   ,1.0%              ,1.6%                   ,                    ,                    ,10.3%                 ,                 ,.6%                ,                  ,                     ,.3%               ,               ,                       ,.3%                    ,                   ,                  ,Total count =  311;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 2,  22.00,    183.4200,Gladenkov,Diatoms                                      ,               ,                  ,16.5%                    ,.6%               ,.3%                             ,                              ,6.0%                           ,                           ,                       ,                        ,4.4%                       ,.3%               ,               ,1.0%                ,.3%              ,               ,              ,2.5%                         ,1.3%                 ,23.8%                    ,24.4%                   ,.3%               ,.3%                    ,                    ,                    ,15.9%                 ,                 ,.3%                ,                  ,                     ,.6%               ,               ,.6%                    ,                       ,                   ,                  ,Other =  0.3%; Total count =  315;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 2,  51.00,    183.7100,Gladenkov,Diatoms                                      ,               ,                  ,7.5%                     ,1.3%              ,.9%                             ,                              ,5.7%                           ,                           ,                       ,                        ,1.9%                       ,                  ,               ,                    ,                 ,               ,.3%           ,.3%                          ,1.3%                 ,27.0%                    ,33.0%                   ,.6%               ,.9%                    ,                    ,.3%                 ,18.6%                 ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Other =  0.3%; Total count =  318;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 2,  81.00,    184.0100,Gladenkov,Diatoms                                      ,               ,                  ,7.6%                     ,1.7%              ,1.0%                            ,                              ,3.0%                           ,                           ,                       ,.3%                     ,4.0%                       ,.7%               ,               ,.3%                 ,.7%              ,               ,.7%           ,1.0%                         ,2.0%                 ,24.2%                    ,29.8%                   ,1.3%              ,.7%                    ,                    ,                    ,20.2%                 ,                 ,.3%                ,                  ,.7%                  ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  302;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 2, 116.00,    184.3600,Gladenkov,Diatoms                                      ,               ,                  ,5.4%                     ,                  ,                                ,                              ,3.0%                           ,                           ,1.0%                   ,                        ,2.5%                       ,                  ,               ,1.0%                ,1.0%             ,               ,.5%           ,                             ,1.5%                 ,26.2%                    ,37.6%                   ,3.0%              ,                       ,                    ,                    ,12.9%                 ,                 ,1.0%               ,                  ,1.0%                 ,                  ,               ,                       ,                       ,                   ,                  ,Other =  2%; Total count =  101;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 2, 141.00,    184.6100,Gladenkov,Diatoms                                      ,               ,                  ,3.3%                     ,1.6%              ,1.6%                            ,                              ,2.3%                           ,                           ,                       ,.7%                     ,4.6%                       ,.3%               ,               ,1.0%                ,1.6%             ,               ,.3%           ,.3%                          ,6.3%                 ,55.9%                    ,11.5%                   ,.7%               ,.7%                    ,                    ,                    ,4.9%                  ,                 ,                   ,                  ,.7%                  ,                  ,1.0%           ,                       ,                       ,                   ,                  ,Other = 0.7% ; Total count =  304;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 3,  22.00,    184.9200,Gladenkov,Diatoms                                      ,               ,                  ,4.3%                     ,2.3%              ,4.0%                            ,                              ,6.6%                           ,                           ,                       ,.3%                     ,9.6%                       ,.3%               ,               ,.3%                 ,1.7%             ,               ,.7%           ,                             ,7.6%                 ,14.9%                    ,23.2%                   ,.7%               ,1.7%                   ,                    ,                    ,18.9%                 ,                 ,.7%                ,                  ,.3%                  ,                  ,.7%            ,1.0%                   ,                       ,                   ,                  ,Other = 0.3%; Total count =  302;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 3,  51.00,    185.2100,Gladenkov,Diatoms                                      ,               ,                  ,6.6%                     ,2.3%              ,2.7%                            ,                              ,2.7%                           ,.3%                        ,.7%                    ,                        ,22.3%                      ,1.0%              ,.3%            ,1.0%                ,.3%              ,               ,              ,2.7%                         ,5.6%                 ,18.9%                    ,12.6%                   ,.3%               ,1.0%                   ,                    ,                    ,13.6%                 ,                 ,                   ,.3%               ,1.7%                 ,                  ,               ,.3%                    ,.3%                    ,.7%                ,.3%               ,Other =  1.3%; Total count =  301;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 3,  81.00,    185.5100,Gladenkov,Diatoms                                      ,               ,                  ,7.4%                     ,3.0%              ,                                ,                              ,5.0%                           ,                           ,2.0%                   ,                        ,2.5%                       ,                  ,1.0%           ,                    ,                 ,               ,              ,2.0%                         ,5.4%                 ,14.4%                    ,38.6%                   ,                  ,2.0%                   ,                    ,                    ,11.9%                 ,                 ,                   ,                  ,5.0%                 ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  101;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 3, 116.00,    185.8600,Gladenkov,Diatoms                                      ,               ,                  ,7.9%                     ,3.6%              ,6.6%                            ,                              ,4.6%                           ,.3%                        ,.7%                    ,                        ,7.2%                       ,.3%               ,               ,.3%                 ,1.6%             ,               ,.3%           ,.7%                          ,5.9%                 ,30.2%                    ,17.7%                   ,1.0%              ,1.3%                   ,                    ,                    ,6.6%                  ,                 ,                   ,                  ,1.3%                 ,                  ,.3%            ,                       ,                       ,1.6%               ,                  ,Total count =  305;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 3, 141.00,    186.1100,Gladenkov,Diatoms                                      ,               ,                  ,6.2%                     ,2.3%              ,2.3%                            ,                              ,3.9%                           ,                           ,                       ,                        ,3.3%                       ,                  ,.3%            ,                    ,                 ,               ,              ,.3%                          ,3.3%                 ,25.6%                    ,29.5%                   ,.3%               ,.3%                    ,                    ,.3%                 ,17.4%                 ,                 ,                   ,                  ,3.6%                 ,                  ,               ,.3%                    ,                       ,.3%                ,                  ,Other =  0.3%; Total count =  305;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 4,  22.00,    186.4200,Gladenkov,Diatoms                                      ,               ,                  ,3.0%                     ,1.0%              ,                                ,                              ,3.0%                           ,                           ,                       ,                        ,2.0%                       ,                  ,               ,                    ,                 ,               ,              ,                             ,2.0%                 ,20.8%                    ,56.4%                   ,                  ,1.0%                   ,                    ,                    ,10.9%                 ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  101;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 4,  51.00,    186.7100,Gladenkov,Diatoms                                      ,               ,                  ,8.7%                     ,1.9%              ,.6%                             ,                              ,3.9%                           ,.3%                        ,.3%                    ,.3%                     ,3.6%                       ,                  ,               ,1.6%                ,.3%              ,               ,.3%           ,.6%                          ,2.3%                 ,28.5%                    ,26.5%                   ,2.3%              ,1.0%                   ,                    ,                    ,14.6%                 ,.3%              ,.3%                ,                  ,1.6%                 ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  309;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 4,  81.00,    187.0100,Gladenkov,Diatoms                                      ,               ,                  ,9.0%                     ,1.5%              ,4.5%                            ,                              ,6.0%                           ,                           ,.5%                    ,.5%                     ,3.7%                       ,                  ,               ,1.0%                ,.5%              ,.5%            ,              ,                             ,.5%                  ,21.9%                    ,34.3%                   ,.5%               ,3.5%                   ,                    ,                    ,8.0%                  ,                 ,                   ,                  ,2.5%                 ,                  ,               ,                       ,.5%                    ,                   ,                  ,Other =  0.5%; Total count =  201;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 4, 116.00,    187.3600,Gladenkov,Diatoms                                      ,               ,                  ,5.4%                     ,5.4%              ,7.9%                            ,                              ,6.9%                           ,                           ,.5%                    ,                        ,5.0%                       ,                  ,               ,1.5%                ,                 ,               ,.5%           ,.5%                          ,3.0%                 ,32.7%                    ,24.3%                   ,                  ,1.5%                   ,                    ,                    ,                      ,1.2%             ,                   ,                  ,2.0%                 ,                  ,               ,.5%                    ,                       ,                   ,                  ,Other =  1%; Total count =  202;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 4, 141.00,    187.6100,Gladenkov,Diatoms                                      ,               ,                  ,6.9%                     ,4.0%              ,5.0%                            ,                              ,4.0%                           ,                           ,2.0%                   ,1.0%                    ,7.9%                       ,1.0%              ,               ,                    ,1.0%             ,               ,              ,1.0%                         ,1.0%                 ,24.8%                    ,28.7%                   ,4.0%              ,2.0%                   ,                    ,                    ,                      ,                 ,1.0%               ,                  ,4.0%                 ,                  ,               ,1.0%                   ,                       ,                   ,                  ,Total count =  101;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 5,  22.00,    187.9200,Gladenkov,Diatoms                                      ,               ,                  ,4.6%                     ,2.0%              ,4.3%                            ,                              ,5.0%                           ,                           ,.3%                    ,                        ,4.6%                       ,.3%               ,               ,                    ,.7%              ,.3%            ,.3%           ,                             ,1.3%                 ,47.4%                    ,20.9%                   ,2.6%              ,2.6%                   ,                    ,                    ,                      ,.3%              ,                   ,.3%               ,1.7%                 ,                  ,.3%            ,                       ,                       ,                   ,                  ,Total count =  302;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 5,  51.00,    188.2100,Gladenkov,Diatoms                                      ,               ,                  ,5.0%                     ,2.3%              ,3.0%                            ,.7%                           ,5.3%                           ,1.0%                       ,1.0%                   ,                        ,10.9%                      ,                  ,               ,                    ,.3%              ,               ,              ,1.7%                         ,1.0%                 ,51.8%                    ,8.9%                    ,2.6%              ,1.7%                   ,                    ,                    ,                      ,                 ,                   ,.3%               ,.7%                  ,.3%               ,               ,.3%                    ,                       ,                   ,                  ,Other =  1.3%; Total count =  303;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 5,  81.00,    188.5100,Gladenkov,Diatoms                                      ,               ,                  ,7.0%                     ,1.5%              ,                                ,                              ,4.0%                           ,                           ,                       ,                        ,3.0%                       ,                  ,               ,1.5%                ,                 ,               ,.5%           ,1.5%                         ,1.0%                 ,25.9%                    ,46.8%                   ,3.0%              ,.5%                    ,                    ,.5%                 ,2.0%                  ,                 ,                   ,                  ,1.0%                 ,                  ,               ,                       ,                       ,                   ,                  ,Other =  0.5%; Total count =  201;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 5, 116.00,    188.8600,Gladenkov,Diatoms                                      ,               ,                  ,7.9%                     ,2.3%              ,1.0%                            ,                              ,3.3%                           ,                           ,.3%                    ,                        ,5.3%                       ,                  ,               ,.3%                 ,1.0%             ,.3%            ,              ,1.3%                         ,.7%                  ,44.7%                    ,22.0%                   ,.7%               ,2.3%                   ,                    ,                    ,3.9%                  ,                 ,                   ,                  ,1.6%                 ,.3%               ,.3%            ,                       ,                       ,                   ,                  ,Other =  0.3%; Total count =  304;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 6,  22.00,    189.4200,Gladenkov,Diatoms                                      ,               ,                  ,9.9%                     ,1.0%              ,.3%                             ,                              ,1.7%                           ,                           ,                       ,                        ,5.6%                       ,                  ,               ,1.0%                ,.7%              ,.3%            ,              ,.3%                          ,.3%                  ,25.2%                    ,32.5%                   ,.7%               ,2.0%                   ,                    ,1.3%                ,16.2%                 ,.7%              ,                   ,                  ,.3%                  ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  302;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 6,  52.00,    189.7200,Gladenkov,Diatoms                                      ,               ,                  ,11.7%                    ,1.9%              ,1.9%                            ,                              ,3.9%                           ,                           ,                       ,                        ,3.9%                       ,                  ,               ,2.9%                ,                 ,2.9%           ,1.0%          ,1.0%                         ,                     ,36.9%                    ,27.2%                   ,                  ,1.9%                   ,                    ,                    ,2.9%                  ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  103;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 6,  86.00,    190.0600,Gladenkov,Diatoms                                      ,               ,                  ,6.0%                     ,3.0%              ,1.0%                            ,                              ,3.0%                           ,                           ,                       ,                        ,8.5%                       ,1.0%              ,               ,1.0%                ,                 ,               ,              ,                             ,                     ,30.0%                    ,36.0%                   ,1.0%              ,1.0%                   ,                    ,3.0%                ,2.0%                  ,.5%              ,1.0%               ,2.0%              ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  100;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 6, 116.00,    190.3600,Gladenkov,Diatoms                                      ,               ,                  ,3.3%                     ,2.0%              ,1.0%                            ,.3%                           ,5.6%                           ,.3%                        ,                       ,.3%                     ,3.6%                       ,                  ,.3%            ,.3%                 ,2.3%             ,               ,              ,.2%                          ,.3%                  ,60.5%                    ,13.5%                   ,4.3%              ,.7%                    ,                    ,.3%                 ,.3%                   ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Other =  0.3%; Total count =  304;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 6, 142.00,    190.6200,Gladenkov,Diatoms                                      ,               ,                  ,2.6%                     ,2.3%              ,2.0%                            ,.3%                           ,7.3%                           ,2.6%                       ,                       ,                        ,10.6%                      ,.3%               ,.7%            ,.3%                 ,1.3%             ,               ,              ,                             ,1.0%                 ,54.0%                    ,11.6%                   ,1.7%              ,.7%                    ,.7%                 ,                    ,                      ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  302;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 7,  23.00,    190.9300,Gladenkov,Diatoms                                      ,               ,                  ,3.9%                     ,1.3%              ,2.6%                            ,.3%                           ,3.6%                           ,2.6%                       ,.7%                    ,1.0%                    ,12.4%                      ,3.9%              ,.3%            ,.3%                 ,1.0%             ,.3%            ,.3%           ,.7%                          ,.7%                  ,47.1%                    ,11.8%                   ,2.3%              ,2.3%                   ,                    ,                    ,                      ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Other =  0.7%; Total count = 306;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
