Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verucate monocolpates cf.  A,Verrucate triletes cf. A,Verrucate monocolpates cf. A,Torate triletes cf. A,Thinpore triporates cf. A &  B  ,Thickpore triporates cf. A & B,Tetrads cf. A & B ,Subequatorial triporates cf. A & B  ,Straight bisaccates cf. A,Split inaperturates cf. A & B & C,Smooth triletes cf. A & B ,Smooth monocolpates cf. A & B,Smallpore triporates cf A,Small tricolpates cf. A & B & C,Small bisaccates cf. A,Round bisaccates cf A & B ,Ribbed elipticals cf. A,Reticulate multiporates cf. A,Reticulate monocolpate cf . A,Pointed monocolpates cf. A,Palaeogene bisaccates cf A & B & C,Large tricolporates cf. A &  B,Large tricolpates cf. A &  B &  C,Large bisaccates cf. A &  B,Granular inaperturates cf. A,Frilled monosaccates cf. A & B,Clavate tricolporates cf. A & B,Bigfrilled monosaccates cf A,Baculate triletes cf. A,Azolla cf. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 14,H, 1,  32.00,    119.6200,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,R                    ,R                               ,-                             ,-                 ,-                                   ,A                        ,-                                ,-                         ,R                            ,-                        ,R                              ,R                     ,A                         ,-                      ,R                            ,-                            ,R                         ,-                                 ,R                             ,R                                ,R                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 15,H, 5,  28.00,    135.0800,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,R                       ,-                           ,-                    ,R                               ,-                             ,-                 ,-                                   ,A                        ,-                                ,R                         ,R                            ,-                        ,R                              ,R                     ,A                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,-                             ,-                                ,R                          ,?                           ,C                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 19,X, 2,  30.00,    168.6000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,A                        ,R                                ,R                         ,R                            ,-                        ,-                              ,R                     ,C                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,-                             ,-                                ,R                          ,R                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 22,X, 1,  30.00,    195.6000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,C                        ,R                                ,R                         ,R                            ,-                        ,-                              ,-                     ,A                         ,-                      ,-                            ,R                            ,C                         ,-                                 ,-                             ,R                                ,R                          ,?                           ,R                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 22,X, 4,  30.00,    200.1000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,-                             ,R                 ,-                                   ,A                        ,-                                ,-                         ,-                            ,-                        ,R                              ,C                     ,A                         ,-                      ,-                            ,-                            ,C                         ,-                                 ,R                             ,R                                ,C                          ,-                           ,R                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 24,X, 5,  30.00,    221.2000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,R                       ,-                           ,-                    ,-                               ,?                             ,R                 ,-                                   ,A                        ,-                                ,R                         ,-                            ,-                        ,-                              ,R                     ,A                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,R                          ,?                           ,-                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 25,X, 3,  30.00,    228.0000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,A                        ,-                                ,R                         ,-                            ,-                        ,-                              ,R                     ,C                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,R                          ,-                           ,R                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 25,X, 6,  30.00,    232.5000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,A                        ,-                                ,-                         ,-                            ,-                        ,-                              ,R                     ,A                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,R                          ,-                           ,R                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 34,X, 1,  30.00,    313.2000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,A                        ,R                                ,R                         ,-                            ,-                        ,R                              ,R                     ,A                         ,R                      ,-                            ,-                            ,R                         ,-                                 ,R                             ,R                                ,R                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 36,X, 2,  30.00,    334.3000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,-                             ,R                 ,-                                   ,A                        ,-                                ,-                         ,-                            ,-                        ,R                              ,R                     ,A                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,-                             ,R                                ,R                          ,R                           ,-                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 36,X, 4,  30.00,    337.3000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,A                        ,-                                ,R                         ,-                            ,-                        ,-                              ,-                     ,C                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,C                          ,-                           ,R                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 36,X, 5,  30.00,    338.8000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,A                        ,R                                ,R                         ,R                            ,-                        ,-                              ,R                     ,C                         ,-                      ,-                            ,-                            ,C                         ,-                                 ,-                             ,R                                ,C                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 36,X, 6,  30.00,    340.3000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,A                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,C                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,-                             ,R                                ,R                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 37,X, 3,  20.00,    345.5000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,A                        ,-                                ,R                         ,R                            ,-                        ,R                              ,R                     ,C                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,-                             ,-                                ,R                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 38,X, 2,  29.00,    353.8900,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,R                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,C                        ,-                                ,R                         ,-                            ,-                        ,R                              ,R                     ,A                         ,R                      ,-                            ,-                            ,R                         ,-                                 ,?                             ,-                                ,-                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 39,X, 1,  30.00,    362.1000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,R                       ,-                           ,-                    ,R                               ,?                             ,-                 ,-                                   ,C                        ,-                                ,R                         ,-                            ,-                        ,-                              ,-                     ,C                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,R                             ,-                                ,-                          ,-                           ,C                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 41,X, 1,  18.00,    381.2800,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,R                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,R                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 42,X, 1,  19.00,    390.8900,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,R                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,R                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 42,X, 4,  19.00,    395.3900,Manum    ,Pollen/Spores                                ,               ,                  ,C                           ,-                       ,-                           ,-                    ,-                               ,?                             ,R                 ,-                                   ,A                        ,R                                ,R                         ,R                            ,-                        ,R                              ,R                     ,A                         ,-                      ,R                            ,-                            ,R                         ,-                                 ,R                             ,-                                ,R                          ,-                           ,R                             ,-                              ,C                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 44,X, 3,  30.00,    413.3000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,-                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,-                         ,R                      ,-                            ,R                            ,-                         ,C                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 44,X, 7,  30.00,    419.3000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,R                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,R                        ,R                                ,-                         ,R                            ,R                        ,R                              ,-                     ,C                         ,-                      ,R                            ,R                            ,R                         ,R                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,R                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 46,X, 6,  82.00,    437.7200,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,-                        ,-                                ,-                         ,R                            ,-                        ,-                              ,-                     ,-                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 48,X, 2,  90.00,    451.1000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,R                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,-                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 51,X, 1,  30.00,    478.0000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,C                        ,R                                ,-                         ,R                            ,-                        ,-                              ,R                     ,C                         ,-                      ,-                            ,-                            ,-                         ,C                                 ,R                             ,R                                ,R                          ,?                           ,R                             ,-                              ,R                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 52,X, 2,  28.00,    489.0800,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,R                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,C                         ,-                      ,-                            ,-                            ,R                         ,C                                 ,-                             ,-                                ,R                          ,-                           ,-                             ,-                              ,C                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 54,X, 3,  30.00,    510.0000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,-                        ,-                                ,-                         ,-                            ,-                        ,-                              ,R                     ,C                         ,-                      ,-                            ,-                            ,-                         ,-                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 54,X, 5,  30.00,    513.0000,Manum    ,Pollen/Spores                                ,               ,                  ,R                           ,-                       ,-                           ,R                    ,-                               ,-                             ,-                 ,R                                   ,C                        ,R                                ,-                         ,R                            ,R                        ,-                              ,R                     ,C                         ,-                      ,-                            ,R                            ,R                         ,C                                 ,R                             ,-                                ,R                          ,-                           ,R                             ,R                              ,C                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 55,X, 2,  30.00,    518.2000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,R                           ,-                    ,R                               ,-                             ,-                 ,R                                   ,-                        ,R                                ,R                         ,-                            ,-                        ,R                              ,R                     ,A                         ,-                      ,-                            ,R                            ,R                         ,A                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 60,X, 2,  31.00,    556.7100,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,-                        ,-                                ,-                         ,-                            ,-                        ,-                              ,-                     ,C                         ,-                      ,-                            ,-                            ,-                         ,C                                 ,-                             ,-                                ,-                          ,-                           ,-                             ,-                              ,-                           ,-                      ,A           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
