Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Stichocorys delmontensis,Lychnocanoma nipponica nipponica,Eucyrtidium biconicum,Cyrtocapsella japonica,Dictyophimus splendens,Spongoplegma churchii,Ommatartus sp C,Eucyrtidium cienkowskii,Ommatartus sp D,Lychnocanoma grande,Cannartus sp. C,Ommatartus didymus,Diartus hughesi,Stylacontarium acquilonium,Didymocyrtis penultima,Didymocyrtis antepenultima,Stylatractus universus,Spongoplegma antarcticum,Comment
  IR,                 ,                 ,                  ,              ,189,1172,B, 15,H,CC,  16.00,    136.1100,rads     ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,                                ,R                    ,                      ,R                     ,                     ,               ,                       ,               ,R                  ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 16,H,CC,  30.00,    145.8200,rads     ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,                                ,R                    ,                      ,T                     ,                     ,               ,F                      ,               ,F                  ,F              ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 17,H,CC,   0.00,    154.3000,rads     ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,                                ,F                    ,                      ,                      ,T                    ,R              ,R                      ,F              ,R                  ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 18,H,CC,  14.00,    164.1200,rads     ,Radiolarians                                 ,C              ,G                 ,F                    ,R                       ,                                ,C                    ,                      ,                      ,R                    ,F              ,T                      ,               ,                   ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 19,H,CC,  16.00,    174.0300,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                                ,R                    ,                      ,T                     ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 20,H,CC,   8.00,    183.1000,rads     ,Radiolarians                                 ,F              ,G                 ,                     ,                        ,                                ,R                    ,                      ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 21,H,CC,  14.00,    192.6400,rads     ,Radiolarians                                 ,R              ,G                 ,T                    ,T                       ,                                ,R                    ,                      ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 22,H,CC,  30.00,    202.7400,rads     ,Radiolarians                                 ,C              ,G                 ,C                    ,R                       ,R                               ,R                    ,R                     ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
