Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thecosphaera sp.,Tetrapyle octacantha,Stylodictya sp.,Stylacontarium bispiculum,Stichocorys peregrina,Spongodiscus sp.,Sphaeropyle langii,Phormocyrtis striata striata,Peripyramis sp.,Lychnocanoma sp.,Lophoconus biaurita (Form C),Larcopyle sp.,Lamprocyclas maritalis maritalis,Lamprocyclas hannai,Hexacontium sp.,Heliodiscus asteriscus,Eucyrtidium calvertense,Euchitonia sp.,Didymocyrtis sp.,Dictyoprora mongolfieri,Cyrtocapsella tetrapera,Anthocyrtidium ehrenbergi,Theocorythium vetulum,Stylatractus neptunus,Stichocorys sp.,Stichocorys delmontensis,Spongodiscus osculosus,Eucyrtidium sp.,Druppatractus irregularis,Cornutella profunda,Collosphaera sp.,Carpocanistrum sp.,Botryostrobus auritus/australis,Axoprunum angelinum,Amphipyndax stocki,Actinomma sp.,Gondwanaria dogieli,Amphirhopalum ypsilon,Prunopyle antarctica,Lithelius sp.,Dictyophimus hirundo,Stylosphaera timmsi,Saturnalis circularis,Pterocanium trilobum,Lamprocyrtis heteroporos,Cycladophora davisiana davisiana,Cycladophora davisiana cornutoides,Cycladophora bicornis bicornis,Ceratocyrtis sp.,Botryostrobus aquilonaris,Pterocanium prismatium,Phorticium clevei,Eucyrtidium teuscheri teuscheri,Eucyrtidium acuminatum,Stylatractus universus,Spongotrochus glacialis,Pterocanium sp.,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Prunopyle hayesi,Gondwanaria sp.,Spongoplegma antarcticum,Pterocanium praetextum praetextum,Eucyrtidium matuyamai,Cycladophora pliocenica,Pylospira sp.,Didymocyrtis tetrathalamus tetrathalamus,Actinomma leptodermum,Pterocorys zancleus,Lithopera bacca,Lithelius nautiloides,Orodapis sp.,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  5,H,CC,   0.00,     44.1900,rads     ,Radiolarians                                 ,A              ,G                 ,C               ,                    ,C              ,C                        ,                     ,C               ,                  ,                            ,R              ,                ,                            ,F            ,C                               ,C                  ,C              ,F                     ,                       ,C             ,                ,                       ,                       ,T                        ,                     ,F                    ,               ,                        ,R                     ,               ,                         ,R                  ,                ,                  ,R                              ,                   ,                  ,A            ,                   ,R                    ,R                   ,             ,F                   ,T                  ,T                    ,C                   ,                        ,R                               ,                                  ,                              ,                ,                         ,                      ,R                ,                               ,C                     ,R                     ,                       ,               ,                       ,C                                  ,                ,               ,                        ,                                 ,                     ,R                      ,R            ,R                                       ,C                    ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  6,H,CC,   0.00,     53.7200,rads     ,Radiolarians                                 ,F              ,M                 ,F               ,                    ,C              ,R                        ,                     ,A               ,                  ,                            ,R              ,                ,                            ,C            ,R                               ,                   ,C              ,R                     ,                       ,F             ,                ,                       ,                       ,                         ,                     ,R                    ,               ,                        ,R                     ,               ,                         ,                   ,                ,                  ,T                              ,R                  ,                  ,             ,                   ,T                    ,                    ,             ,T                   ,T                  ,R                    ,                    ,                        ,R                               ,                                  ,                              ,R               ,                         ,                      ,                 ,                               ,R                     ,R                     ,                       ,R              ,                       ,                                   ,                ,               ,R                       ,R                                ,T                    ,T                      ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  7,H,CC,  11.00,     63.1500,rads     ,Radiolarians                                 ,A              ,VG                ,A               ,                    ,C              ,F                        ,                     ,A               ,                  ,                            ,R              ,                ,                            ,             ,F                               ,F                  ,               ,F                     ,R                      ,F             ,                ,                       ,                       ,                         ,                     ,F                    ,               ,                        ,R                     ,               ,                         ,                   ,                ,R                 ,R                              ,T                  ,                  ,A            ,                   ,R                    ,                    ,             ,R                   ,                   ,                     ,T                   ,                        ,T                               ,                                  ,                              ,                ,                         ,                      ,                 ,                               ,R                     ,T                     ,                       ,               ,                       ,R                                  ,T               ,R              ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  8,H,CC,  11.00,     72.0200,rads     ,Radiolarians                                 ,A              ,G                 ,C               ,                    ,C              ,C                        ,                     ,A               ,                  ,                            ,F              ,                ,                            ,             ,F                               ,                   ,A              ,R                     ,                       ,F             ,                ,                       ,                       ,                         ,F                    ,C                    ,               ,                        ,                      ,               ,                         ,                   ,                ,                  ,                               ,T                  ,                  ,             ,                   ,T                    ,                    ,             ,R                   ,                   ,                     ,R                   ,                        ,                                ,                                  ,                              ,                ,                         ,                      ,                 ,                               ,C                     ,                      ,                       ,R              ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  9,H,CC,  17.00,     82.3300,rads     ,Radiolarians                                 ,A              ,VG                ,C               ,                    ,C              ,R                        ,                     ,A               ,T                 ,                            ,R              ,                ,                            ,R            ,F                               ,F                  ,               ,R                     ,R                      ,F             ,                ,                       ,                       ,                         ,F                    ,F                    ,               ,                        ,F                     ,               ,R                        ,                   ,                ,                  ,                               ,R                  ,                  ,A            ,                   ,T                    ,                    ,             ,F                   ,                   ,T                    ,R                   ,                        ,A                               ,                                  ,                              ,                ,                         ,                      ,                 ,R                              ,                      ,R                     ,T                      ,R              ,T                      ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 10,H,CC,  15.00,     91.8800,rads     ,Radiolarians                                 ,A              ,G                 ,F               ,                    ,C              ,C                        ,                     ,A               ,                  ,                            ,R              ,                ,                            ,C            ,F                               ,C                  ,A              ,F                     ,F                      ,C             ,                ,                       ,                       ,R                        ,F                    ,F                    ,               ,                        ,F                     ,               ,F                        ,                   ,                ,R                 ,R                              ,C                  ,                  ,             ,                   ,R                    ,                    ,             ,R                   ,                   ,                     ,                    ,C                       ,R                               ,                                  ,                              ,                ,                         ,                      ,R                ,R                              ,R                     ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 11,H,CC,  11.00,    101.1400,rads     ,Radiolarians                                 ,A              ,G                 ,C               ,                    ,A              ,C                        ,                     ,A               ,T                 ,                            ,R              ,                ,                            ,F            ,R                               ,R                  ,A              ,R                     ,R                      ,C             ,                ,                       ,                       ,F                        ,R                    ,F                    ,               ,                        ,C                     ,               ,C                        ,                   ,F               ,                  ,F                              ,C                  ,                  ,             ,                   ,F                    ,                    ,             ,R                   ,                   ,R                    ,F                   ,R                       ,                                ,                                  ,                              ,                ,                         ,F                     ,                 ,F                              ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 12,H,CC,  13.00,    110.7600,rads     ,Radiolarians                                 ,A              ,VG                ,C               ,                    ,C              ,C                        ,                     ,A               ,R                 ,                            ,F              ,                ,R                           ,F            ,F                               ,C                  ,C              ,F                     ,F                      ,C             ,                ,                       ,                       ,R                        ,R                    ,C                    ,R              ,                        ,R                     ,R              ,R                        ,                   ,F               ,R                 ,F                              ,F                  ,                  ,             ,                   ,T                    ,R                   ,             ,R                   ,R                  ,T                    ,                    ,C                       ,R                               ,                                  ,                              ,                ,                         ,R                     ,R                ,                               ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 13,H,CC,  14.00,    119.6900,rads     ,Radiolarians                                 ,A              ,M                 ,C               ,                    ,C              ,C                        ,                     ,A               ,R                 ,                            ,R              ,                ,                            ,F            ,C                               ,F                  ,C              ,R                     ,R                      ,F             ,                ,                       ,                       ,R                        ,C                    ,R                    ,               ,                        ,F                     ,R              ,                         ,R                  ,F               ,R                 ,R                              ,R                  ,                  ,C            ,T                  ,                     ,                    ,             ,R                   ,T                  ,R                    ,R                   ,R                       ,R                               ,R                                 ,T                             ,R               ,R                        ,                      ,                 ,                               ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 14,H,CC,  12.00,    129.6600,rads     ,Radiolarians                                 ,A              ,M                 ,C               ,F                   ,C              ,F                        ,                     ,A               ,C                 ,                            ,R              ,                ,                            ,R            ,R                               ,R                  ,F              ,C                     ,F                      ,R             ,                ,                       ,                       ,R                        ,                     ,C                    ,R              ,                        ,C                     ,               ,R                        ,                   ,F               ,R                 ,C                              ,R                  ,                  ,             ,                   ,                     ,T                   ,T            ,R                   ,                   ,                     ,                    ,                        ,                                ,                                  ,                              ,                ,                         ,                      ,                 ,                               ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 15,H,CC,  21.00,    139.5400,rads     ,Radiolarians                                 ,A              ,M                 ,C               ,R                   ,F              ,C                        ,C                    ,A               ,R                 ,                            ,R              ,R               ,                            ,F            ,F                               ,R                  ,               ,R                     ,F                      ,R             ,                ,                       ,                       ,R                        ,R                    ,C                    ,F              ,                        ,                      ,               ,                         ,                   ,R               ,R                 ,                               ,F                  ,                  ,             ,T                  ,T                    ,                    ,             ,                    ,                   ,                     ,                    ,                        ,                                ,                                  ,                              ,                ,                         ,                      ,                 ,                               ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 16,H,CC,  21.00,    148.6600,rads     ,Radiolarians                                 ,A              ,G                 ,R               ,F                   ,A              ,R                        ,F                    ,A               ,R                 ,R                           ,R              ,F               ,C                           ,C            ,C                               ,R                  ,F              ,F                     ,R                      ,R             ,R               ,C                      ,                       ,F                        ,C                    ,C                    ,C              ,R                       ,R                     ,R              ,R                        ,R                  ,R               ,R                 ,R                              ,R                  ,R                 ,A            ,                   ,                     ,                    ,             ,                    ,                   ,                     ,                    ,                        ,                                ,                                  ,                              ,                ,                         ,                      ,                 ,                               ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 17,H,CC,  22.00,    158.5700,rads     ,Radiolarians                                 ,A              ,G                 ,F               ,F                   ,F              ,F                        ,C                    ,C               ,R                 ,R                           ,R              ,T               ,C                           ,C            ,R                               ,R                  ,R              ,R                     ,C                      ,F             ,R               ,R                      ,R                      ,R                        ,                     ,                     ,               ,                        ,                      ,               ,                         ,                   ,                ,                  ,                               ,                   ,                  ,             ,                   ,                     ,                    ,             ,                    ,                   ,                     ,                    ,                        ,                                ,                                  ,                              ,                ,                         ,                      ,                 ,                               ,                      ,                      ,                       ,               ,                       ,                                   ,                ,               ,                        ,                                 ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
