Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichomitra asymbatos,Dictyomitra sp,Amphipyndax stocki,Amphisphaera aotea,Thecosphaera sp.,Periphaena sp.,Lychnocanoma babylonis,Lychnocanoma amphitrite,Lophocyrtis sp.,Liriospyris sp.,Druppatractus sp.,Dorcadospyris sp.,Dictyoprora sp.,Carpocanistrum sp.,Stylacontarium bispiculum,Actinomma sp.,Stylodictya sp.,Spongodiscus sp.,Peripyramis sp.,Heliodiscus tunicatus,Eucyrtidium sp.,Periphaena heliasteriscus,Dorcadospyris ateuchus,Amphirhopalum ypsilon,Dorcadospyris mahurangi,Stylatractus neptunus,Lychnocanoma conica,Lychnocanium neptunei,Hexacontium sp.,Clathrocorys? sp.,Calocycletta sp.,Stichocorys negripontensis,Lychnocanoma elongata,Larcopyle sp.,Heliodiscus asteriscus,Botryostrobus hollisi,Valkyria pukapuka,Theocorys puriri,Phormocyrtis alexandrae,Lophophaena tekopua,Lophophaena sp.,Lophocyrtis inaequalis,Lophocyrtis galenum,Lithomelissa maureenae,Lamprocyclas matakohe,Gorgospyris sp.,Euchitonia sp.,Didymocyrtis prismatica,Cornutella profunda,Botryostrobus sp.,Artophormis gracilis,Anthocyrtidium marieae,Stylosphaera timmsi,Spongodiscus osculosus,Lychnocanoma sp.,Lophocyrtis cf. inaequalis,Cyrtocapsella tetrapera,Stichocorys peregrina,Didymocyrtis sp.,Ceratocyrtis sp.,Lamprocyclas maritalis maritalis,Eucyrtidium calvertense,Botryostrobus auritus/australis,Axoprunum angelinum,Theocorythium vetulum,Sphaeropyle langii,Dictyophimus hirundo,Tetrapyle octacantha,Stichocorys sp.,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Lamprocyclas hannai,Eucyrtidium teuscheri teuscheri,Didymocyrtis tetrathalamus tetrathalamus,Dictyophimus sp.,Collosphaera sp.,Anthocyrtidium ehrenbergi,Spongotrochus glacialis,Saturnalis circularis,Pterocanium trilobum,Pterocanium praetextum praetextum,Gondwanaria dogieli,Cycladophora davisiana davisiana,Actinomma medianum,Prunopyle antarctica,Phorticium clevei,Druppatractus irregularis,Actinomma leptodermum,Theocorythium trachelium trachelium,Stylacontarium acquilonium,Stylatractus sp.,Spongaster tetras tetras,Pterocorys zancleus,Pterocorys minythorax,Lithopera bacca,Lamprocyrtis nigriniae,Eucyrtidium acuminatum,Dictyophimus crisiae,Cycladophora pliocenica,Anthocyrtidium sp.,Cycladophora bicornis bicornis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  5,H,CC,  20.00,     56.0900,rads     ,Radiolarians                                 ,F              ,G                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,T                        ,             ,F              ,F               ,               ,                     ,               ,                         ,                      ,R                    ,                       ,R                    ,                   ,                     ,               ,                 ,                ,                          ,                     ,R            ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,R                     ,                ,                          ,                       ,                     ,                ,                ,T                               ,                       ,                               ,T                  ,T                    ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,T                                       ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,R                    ,T                                  ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  6,H,CC,  13.00,     65.1800,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,              ,                  ,                  ,C               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,F                        ,C            ,F              ,C               ,R              ,                     ,               ,                         ,                      ,                     ,                       ,C                    ,                   ,                     ,F              ,                 ,                ,                          ,                     ,R            ,F                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,R                     ,                ,                          ,                       ,                     ,                ,                ,R                               ,R                      ,R                              ,T                  ,T                    ,                  ,                    ,R                   ,               ,                           ,                        ,T                  ,                               ,T                                       ,                ,                ,                         ,                       ,R                    ,                    ,T                                ,                   ,                                ,                  ,R                   ,T                ,R                        ,T                    ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  7,H,CC,  21.00,     75.0900,rads     ,Radiolarians                                 ,C              ,P                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,F                        ,C            ,R              ,A               ,R              ,                     ,               ,                         ,                      ,T                    ,                       ,R                    ,                   ,                     ,C              ,                 ,                ,                          ,                     ,F            ,R                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,R                     ,                ,                          ,                       ,                     ,R               ,                ,R                               ,R                      ,                               ,T                  ,F                    ,R                 ,T                   ,R                   ,               ,                           ,R                       ,F                  ,R                              ,T                                       ,                ,                ,                         ,T                      ,T                    ,T                   ,T                                ,T                  ,R                               ,R                 ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  8,H,CC,  11.00,     84.3500,rads     ,Radiolarians                                 ,A              ,G                 ,                     ,              ,                  ,                  ,F               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,R                 ,R                        ,C            ,C              ,C               ,R              ,                     ,               ,                         ,                      ,R                    ,                       ,R                    ,                   ,                     ,C              ,                 ,                ,                          ,                     ,C            ,R                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,R                     ,                ,                          ,                       ,                     ,R               ,R               ,R                               ,C                      ,F                              ,F                  ,C                    ,R                 ,R                   ,R                   ,R              ,T                          ,R                       ,F                  ,T                              ,T                                       ,R               ,R               ,R                        ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 10,H,CC,   0.00,    102.7200,rads     ,Radiolarians                                 ,T              ,P                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,R                        ,             ,T              ,                ,T              ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,T              ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,T                  ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,T                    ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 11,H,CC,  20.00,    112.9500,rads     ,Radiolarians                                 ,R              ,P                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,R                        ,F            ,R              ,F               ,T              ,                     ,               ,                         ,                      ,                     ,                       ,T                    ,                   ,                     ,F              ,                 ,                ,                          ,                     ,             ,T                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,R                               ,                       ,                               ,                   ,T                    ,R                 ,T                   ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 13,H,CC,  13.00,    132.0100,rads     ,Radiolarians                                 ,R              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,R                        ,R            ,F              ,F               ,T              ,                     ,               ,                         ,                      ,                     ,                       ,T                    ,                   ,                     ,R              ,                 ,                ,                          ,                     ,R            ,T                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,T             ,                       ,                   ,                 ,                    ,                      ,                   ,R                     ,                ,                          ,                       ,                     ,T               ,                ,T                               ,T                      ,T                              ,R                  ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 14,H,CC,   0.00,    141.0600,rads     ,Radiolarians                                 ,T              ,G                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,T                ,                 ,               ,                  ,F                        ,             ,R              ,F               ,T              ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,T              ,                 ,                ,                          ,                     ,T            ,R                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,T               ,T               ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 15,H,CC,  10.00,    150.5500,rads     ,Radiolarians                                 ,T              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,T                 ,T                        ,             ,F              ,R               ,               ,                     ,               ,                         ,                      ,                     ,                       ,T                    ,                   ,                     ,               ,                 ,                ,                          ,                     ,T            ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,T                    ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 16,H,CC,   0.00,    159.3000,rads     ,Radiolarians                                 ,T              ,G                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,R                        ,             ,R              ,                ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,T             ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 31,X,CC,  18.00,    303.0800,rads     ,Radiolarians                                 ,T              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,T                ,                 ,               ,T                 ,R                        ,R            ,               ,R               ,               ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 32,X,CC,   0.00,    312.9000,rads     ,Radiolarians                                 ,R              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,T              ,                 ,T                ,               ,                  ,R                        ,T            ,R              ,R               ,T              ,                     ,               ,                         ,                      ,                     ,                       ,                     ,                   ,                     ,               ,                 ,                ,                          ,                     ,R            ,T                     ,                     ,                 ,                ,R                      ,                   ,               ,                      ,                   ,                      ,T                    ,               ,              ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,T                      ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 33,X,CC,   7.00,    322.6800,rads     ,Radiolarians                                 ,C              ,M                 ,                     ,              ,                  ,                  ,                ,              ,                      ,                       ,               ,               ,                 ,R                ,               ,R                 ,R                        ,             ,R              ,C               ,R              ,                     ,               ,                         ,                      ,                     ,                       ,                     ,R                  ,                     ,R              ,                 ,                ,R                         ,F                    ,R            ,T                     ,                     ,                 ,                ,F                      ,                   ,R              ,                      ,                   ,                      ,R                    ,               ,              ,                       ,                   ,                 ,                    ,T                     ,T                  ,R                     ,R               ,R                         ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 34,X,CC,  17.00,    332.4900,rads     ,Radiolarians                                 ,A              ,G                 ,                     ,              ,                  ,                  ,                ,R             ,                      ,                       ,               ,               ,F                ,                 ,               ,R                 ,F                        ,F            ,R              ,C               ,F              ,                     ,               ,                         ,F                     ,                     ,                       ,                     ,R                  ,T                    ,F              ,R                ,                ,F                         ,A                    ,R            ,F                     ,                     ,T                ,R               ,C                      ,R                  ,R              ,T                     ,R                  ,R                     ,F                    ,R              ,R             ,R                      ,R                  ,T                ,R                   ,R                     ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,                                ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,                     ,                                   ,                          ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
