Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Tectatodinium pellitum	Systematophora placacantha	Spiniferites spp.	Spiniferites pseudofurcatus	Riculacysta perforata	Reticulatosphaera actinocoronata	Pentadinium laticinctum	Palaeocystodinium golzowense	Operculodinium cf. israelianum (small)	Lingulodinium machaerophorum	Homotryblium vallum	Distatodinium paradoxum	Distatodinium biffii	Cordosphaeridium funiculatum	Cordosphaeridium cantharellus	Chiropteridium galea	Batiacasphaera sp. cf. B. sphaerica (thick wall)	Trinovantedinium? xylochoporum	Membranophoridium aspinatum	Hystrichokolpoma truncatum	Hystrichokolpoma rigaudiae	Cribroperidinium tenuitabulatum	Caligodinium amiculum	Thalassiphora pelagica	Nematosphaeropsis lemniscata	Hystrichosphaeropsis obscura	Pentadinium sp.1	Lejeunecysta sp.11	Lejeunecysta convexa	Impagidinium minor	Cyclopsiella elliptica/granosa complex	Ascostomocystis? sp.1	Apteodinium spiridoides	Sumatradinium soucouyantae	Lejeunecysta sp.7	Heteraulacacysta campanula	Dinopterygium cladoides	Batiacasphaera sphaerica	Polysphaeridium zoharyi	Dapsilidinium pseudocolligerum	Stoveracysta conerae	Lingulodinium multivirgatum	Evittosphaerula paratabulata	Cousteaudinium aubryae	Cerebrocysta satchelliae	Brigantedinium spp.	Melitasphaeridium choanophorum	Exochosphaeridium insigne	Operculodinium centrocarpum	Apteodinium tectatum	Labyrinthodinium truncatum modicum	Trinovantedinium sp.	Sumatradinium druggii	Operculodinium sp.	Operculodinium longispinigerum	Labyrinthodinium truncatum truncatum	Invertocysta lacrymosa	Unipontidinium aquaeductum	Impagidinium arachnion	Habibacysta tectata	Cyclopsiella sp. cf. C. vieta	Cerebrocysta poulsenii	Impagidinium? pallidum	Cordosphaeridium? minimum	Trinovantedinium harpagonium	Selenopemphix brevispinosa brevispinosa	Polykrikos kofoidii?	Lejeunecysta sp.8	Lejeunecysta sp.10	Lejeunecysta paratenella	Lejeunecysta mariae	Hystrichosphaeropsis sp. (serrate periblast)	Cristadinium sp.4	Batiacasphaera sp. cf. B. hirsuta	Cannosphaeropsis passio	Xandarodinium xanthum	Selenopemphix quanta	Leipokatium invisitatum	Brigantedinium? sp.5	Algidasphaeridium? sp.8	Algidasphaeridium? sp.11	Selenopemphix sp. cf. S. nephroides	Quadrina? condita	Lejeunecysta sp.9	Lejeunecysta sp.5	Selenopemphix dionaeacysta	Selenopemphix brevispinosa conspicua	Brigantedinium? sp.6	Lejeunecysta sp.3	Impagidinium patulum	Spiniferites membranosus	Cristadinium diminutivum	Algidasphaeridium? sp.9	Trinovantedinium ferugnomatum	Algidasphaeridium? sp.6	Achomosphaera ramulifera	Trinovantedinium? sp.2	Geonettia clineae	Spiniferites ramosus	Spiniferites mirabilis	Operculodinium israelianum s.l.	Operculodinium janduchenei	Trinovantedinium papulum	Impagidinium paradoxum	Cymatiosphaera invaginata	Barssidinium evangelineae	Trinovantedinium glorianum	Erymnodinium delectabile	Comment
  SR	Early Miocene    	                 	DN3               	              	150	 902	D	 58	X	CC	  35.00	    536.6000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	+                         	+                	                           	                     	+                               	+                      	+                           	                                      	+                           	                   	+                      	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	+                              	                     	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	+                         	+                	                          	                       	+                       	+                      	+                             	                    	                           	                            	+                     	+                       	                   	                              	                         	+                          	+                   	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Early Miocene    	                 	DN2               	              	150	 902	D	 61	X	CC	  43.00	    564.7700	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	+                         	+                	+                          	                     	+                               	                       	+                           	+                                     	                            	                   	+                      	                    	                            	                             	                    	                                                	                              	                           	+                         	+                         	+                              	                     	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	                          	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	+                       	                   	+                             	+                        	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Early Miocene    	                 	DN2               	              	150	 902	D	 62	X	CC	  35.00	    574.4200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	+                         	+                	                           	                     	+                               	                       	+                           	+                                     	                            	                   	                       	                    	                            	+                            	                    	                                                	+                             	                           	+                         	+                         	                               	                     	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	+                         	                 	                          	                       	+                       	                       	                              	+                   	+                          	+                           	+                     	+                       	+                  	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Early Miocene    	                 	DN2               	              	150	 902	D	 63	X	 3	  32.00	    577.7200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                     	+                         	+                	                           	                     	                                	                       	                            	+                                     	+                           	                   	+                      	                    	                            	+                            	                    	                                                	                              	                           	                          	                          	                               	                     	                      	                            	                            	                	                  	                    	                  	+                                     	                     	+                      	                          	                 	                          	                       	                        	+                      	+                             	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Early Miocene    	                 	DN2               	              	150	 902	D	 63	X	 5	  94.00	    581.3400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	+                         	+                	+                          	                     	+                               	+                      	+                           	+                                     	+                           	                   	+                      	                    	                            	+                            	                    	                                                	                              	                           	+                         	+                         	                               	                     	                      	                            	                            	                	                  	+                   	                  	                                      	                     	                       	+                         	+                	+                         	+                      	+                       	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Early Miocene    	                 	DN2               	              	150	 902	D	 65	X	 1	  38.00	    594.0800	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	+                         	                 	+                          	                     	+                               	                       	                            	                                      	+                           	                   	+                      	                    	                            	                             	                    	                                                	                              	                           	                          	+                         	                               	                     	                      	                            	                            	+               	+                 	+                   	+                 	+                                     	+                    	+                      	                          	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Late Oligocene   	                 	                  	              	150	 902	D	 65	X	 2	  43.00	    595.6300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	+                         	+                	+                          	                     	+                               	+                      	                            	                                      	+                           	+                  	+                      	+                   	                            	+                            	+                   	                                                	                              	+                          	+                         	+                         	                               	                     	+                     	+                           	+                           	                	                  	                    	                  	                                      	                     	                       	                          	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Late Oligocene   	                 	                  	              	150	 902	D	 66	X	CC	  35.00	    612.9000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	                          	+                	                           	                     	                                	                       	+                           	                                      	+                           	+                  	                       	                    	                            	                             	+                   	                                                	+                             	+                          	+                         	+                         	+                              	+                    	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	                          	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Late Oligocene   	                 	                  	              	150	 902	D	 68	X	CC	  40.00	    632.0200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	+                         	+                	+                          	+                    	+                               	+                      	+                           	+                                     	+                           	+                  	+                      	+                   	+                           	+                            	+                   	+                                               	                              	                           	                          	                          	                               	                     	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	                          	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

