Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Systematophora placacantha,Spiniferites pseudofurcatus,Reticulatosphaera actinocoronata,Operculodinium centrocarpum,Membranophoridium aspinatum,Lingulodinium multivirgatum,Lejeunecysta sp.3,Hystrichokolpoma truncatum,Hystrichokolpoma rigaudiae,Distatodinium paradoxum,Deflandrea phosphoritica,Dapsilidinium pseudocolligerum,Cristadinium cristatoserratum,Cordosphaeridium cantharellus,Chiropteridium galea,Cerebrocysta mediterranea,Batiacasphaera sp. cf. B. sphaerica (thick wall),Tuberculodinium vancampoae,Saturnodinium pansum,Palaeocystodinium golzowense,Lejeunecysta convexa,Distatodinium biffii,Dinopterygium cladoides,Cribroperidinium tenuitabulatum,Spiniferites spp.,Lingulodinium machaerophorum,Hystrichokolpoma cinctum,Distatodinium ellipticum,Caligodinium amiculum,Tectatodinium pellitum,Protoperidinium subinerme,Operculodinium crassum,Homotryblium vallum,Cordosphaeridium minimum,Batiacasphaera sphaerica,Apteodinium spiridoides,Sumatradinium druggii,Polysphaeridium zoharyi,Polykrikos kofoidii?,Labyrinthodinium truncatum truncatum,Habibacysta tectata,Cyclopsiella elliptica/granosa complex,Cerebrocysta poulsenii,Brigantedinium? sp.5,Trinovantedinium? xylochoporum,Trinovantedinium sp.,Trinovantedinium harpagonium,Sumatradinium soucouyantae,Selenopemphix brevispinosa brevispinosa,Nematosphaeropsis lemniscata,Cordosphaeridium? minimum,Capillicysta fusca,Cannosphaeropsis passio,Spiniferites solidago,Operculodinium israelianum s.l.,Lejeunecysta paratenella,Operculodinium sp.3,Hystrichosphaeropsis obscura,Brigantedinium? sp.6,Algidasphaeridium? sp.8,Xandarodinium xanthum,Trinovantedinium papulum,Nematosphaeropsis rigida,Lejeunecysta sp.9,Lejeunecysta sp.8,Dissodium? sp.,Brigantedinium spp.,Algidasphaeridium? sp.3,Algidasphaeridium? sp.11,Trinovantedinium? sp.2,Selenopemphix dionaeacysta,Melitasphaeridium choanophorum,Lejeunecysta sp.7,Batiacasphaera sp. cf. B. hirsuta,Algidasphaeridium? sp.5,Algidasphaeridium? sp.4,Algidasphaeridium? sp.2,Quadrina? condita,Lejeunecysta mariae,Artemisiocysta sp.1,Algidasphaeridium? sp.9,Selenopemphix nephroides,Lejeunecysta? sp. (lateral horns),Polykrikos schwartzii?,Cymatiosphaera invaginata,Brigantedinium? sp.2,Brigantedinium cariacoense,Algidasphaeridium? sp.1,Spiniferites mirabilis,Lejeunecysta sp.10,Hystrichosphaeropsis sp. (serrate periblast),Operculodinium sp.,Cristadinium sp.4,Selenopemphix sp. cf. S. nephroides,Sumatradinium hispidum,Trinovantedinium glorianum,Impagidinium paradoxum,Impagidinium arachnion,Erymnodinium delectabile,Algidasphaeridium? sp.6,Algidasphaeridium? minutum,Trinovantedinium ferugnomatum,Spiniferites elongatus,Quinquecuspis concreta,Leipokatium invisitatum,Invertocysta lacrymosa,Filisphaera filifera,Barssidinium evangelineae,Achomosphaera andalousiensis,Operculodinium centrocarpum,Brigantedinium simplex,Bitectatodinium tepikiense,Comment
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 31,X,CC,  35.00,    292.2700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,                            ,                    ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,+                                   ,+                  ,                                      ,                      ,                    ,+                             ,                    ,                            ,+                         ,+                                      ,                            ,                         ,                  ,+                      ,                     ,+                              ,                        ,                   ,+                           ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,+             ,+                  ,                       ,+                       ,                      ,+                         ,                              ,+                ,+                                ,                       ,+                      ,                       ,+                ,                   ,                   ,                       ,+                       ,+                                ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 33,X,CC,  34.00,    312.1400,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,                            ,                    ,                    ,                       ,                               ,+                ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,+                       ,                       ,+                    ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,+                           ,+                         ,                                       ,                            ,+                        ,                  ,+                      ,                     ,                               ,                        ,+                  ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,+                     ,                          ,+                             ,                 ,+                                ,                       ,                       ,                       ,                 ,                   ,+                  ,+                      ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 35,X,CC,  31.00,    332.3000,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,+                          ,+                               ,                           ,                           ,                           ,+                ,                          ,                          ,                       ,                        ,                              ,+                            ,                             ,                    ,                         ,                                                ,                          ,                    ,                            ,+                   ,                    ,                       ,                               ,                 ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,+                    ,                       ,+                   ,+                                   ,+                  ,                                      ,                      ,+                   ,+                             ,+                   ,+                           ,                          ,+                                      ,                            ,                         ,                  ,+                      ,                     ,+                              ,                        ,                   ,+                           ,                    ,                       ,+                    ,                        ,                        ,                 ,                 ,              ,+                  ,                       ,+                       ,                      ,+                         ,                              ,                 ,                                 ,                       ,+                      ,                       ,+                ,+                  ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 37,X,CC,  42.00,    352.0200,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,+                          ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,                                                ,+                         ,                    ,+                           ,+                   ,                    ,                       ,                               ,                 ,                            ,                        ,                        ,                     ,+                     ,                         ,                      ,                   ,                        ,                        ,                       ,+                    ,                       ,+                   ,+                                   ,+                  ,                                      ,                      ,                    ,                              ,                    ,+                           ,                          ,                                       ,+                           ,+                        ,                  ,+                      ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,+                    ,                        ,                        ,                 ,+                ,+             ,                   ,                       ,+                       ,+                     ,+                         ,+                             ,+                ,+                                ,+                      ,+                      ,+                      ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 39,X,CC,  34.00,    369.5600,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,+                          ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,+                         ,                    ,+                           ,+                   ,                    ,                       ,                               ,                 ,+                           ,                        ,                        ,                     ,+                     ,                         ,                      ,                   ,                        ,                        ,                       ,+                    ,                       ,+                   ,                                    ,+                  ,                                      ,                      ,+                   ,+                             ,+                   ,+                           ,+                         ,                                       ,                            ,                         ,+                 ,+                      ,                     ,+                              ,                        ,                   ,                            ,                    ,                       ,+                    ,+                       ,+                       ,+                ,+                ,+             ,+                  ,+                      ,+                       ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 41,X,CC,  27.00,    385.0600,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,                            ,+                   ,                    ,                       ,                               ,+                ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,                                    ,+                  ,                                      ,                      ,+                   ,                              ,                    ,                            ,                          ,+                                      ,                            ,                         ,                  ,+                      ,                     ,+                              ,                        ,+                  ,+                           ,+                   ,+                      ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 43,X,CC,  15.00,    400.4500,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,+                ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,+                           ,+                   ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,+                   ,+                             ,+                   ,                            ,                          ,+                                      ,                            ,                         ,                  ,                       ,+                    ,+                              ,+                       ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 45,X,CC,  39.00,    425.4100,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,                                ,                           ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,                              ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,                            ,                    ,                    ,                       ,                               ,+                ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,                            ,                          ,                                       ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 906,A, 47,X,CC,  34.00,    447.4400,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,+                          ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,+                         ,                    ,                            ,                    ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,+                       ,                       ,+                    ,                       ,                    ,+                                   ,+                  ,                                      ,                      ,+                   ,+                             ,+                   ,+                           ,+                         ,+                                      ,+                           ,+                        ,+                 ,+                      ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN6               ,              ,150, 906,A, 49,X,CC,  33.00,    464.8700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                           ,+                               ,+                          ,                           ,                           ,                 ,                          ,                          ,                       ,                        ,+                             ,                             ,                             ,                    ,                         ,                                                ,                          ,                    ,+                           ,+                   ,                    ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,+                       ,                       ,+                    ,+                      ,+                   ,+                                   ,+                  ,+                                     ,+                     ,+                   ,                              ,                    ,                            ,                          ,                                       ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,150, 906,A, 51,X,CC,  43.00,    485.1100,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                          ,+                               ,+                          ,+                          ,+                          ,                 ,                          ,+                         ,+                      ,                        ,+                             ,                             ,                             ,+                   ,                         ,                                                ,                          ,                    ,                            ,                    ,+                   ,                       ,                               ,+                ,+                           ,                        ,                        ,                     ,+                     ,+                        ,+                     ,+                  ,+                       ,+                       ,+                      ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,                            ,                          ,                                       ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,150, 906,A, 53,X,CC,  28.00,    506.2200,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                          ,+                               ,+                          ,                           ,                           ,                 ,+                         ,                          ,+                      ,+                       ,+                             ,                             ,                             ,+                   ,                         ,+                                               ,                          ,+                   ,                            ,+                   ,+                   ,                       ,                               ,+                ,+                           ,+                       ,+                       ,+                    ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,                            ,                          ,                                       ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,150, 906,A, 55,X,CC,  26.00,    525.3900,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                          ,+                               ,                           ,+                          ,+                          ,+                ,                          ,                          ,                       ,+                       ,+                             ,                             ,                             ,+                   ,+                        ,                                                ,+                         ,+                   ,+                           ,+                   ,+                   ,+                      ,+                              ,                 ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,                            ,                          ,                                       ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,150, 906,A, 57,X,CC,  11.00,    544.0700,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                          ,+                               ,+                          ,+                          ,+                          ,+                ,+                         ,+                         ,+                      ,+                       ,+                             ,+                            ,+                            ,+                   ,+                        ,+                                               ,                          ,                    ,                            ,                    ,                    ,                       ,                               ,                 ,                            ,                        ,                        ,                     ,                      ,                         ,                      ,                   ,                        ,                        ,                       ,                     ,                       ,                    ,                                    ,                   ,                                      ,                      ,                    ,                              ,                    ,                            ,                          ,                                       ,                            ,                         ,                  ,                       ,                     ,                               ,                        ,                   ,                            ,                    ,                       ,                     ,                        ,                        ,                 ,                 ,              ,                   ,                       ,                        ,                      ,                          ,                              ,                 ,                                 ,                       ,                       ,                       ,                 ,                   ,                   ,                       ,                        ,                                 ,                      ,                         ,                    ,                          ,                       ,                      ,                  ,                                            ,                  ,                 ,                                   ,                      ,                          ,                      ,                      ,                        ,                       ,                          ,                             ,                      ,                      ,                       ,                      ,                    ,                         ,                            ,                           ,                      ,                          ,From 150SR. Ch 27. Table 6. p  452-453.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
