Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella primula	Hedbergella delrioensis	Hedbergella planispira	Ticinella roberti	Favusella washitensis	Ticinella raynaudi	Biticinella breggiensis	Whiteinella inornata	Rotalipora greenhornensis	Globigerinelloides caseyi	Whiteinella baltica	Whiteinella archaeocretacea	Heterohelix reussi	Archaeoglobigerina blowi	Archaeoglobigerina cretacea	Contusotruncana fornicata	Heterohelix globulosa	Globigerinelloides multispinus	Rugotruncana subcircumnodifer	Rugoglobigerina rugosa	Planoglobulina carseyae	Globotruncanella pschadae	Globotruncanella petaloidea	Globotruncanella minuta	Globotruncana falsostuarti	Globotruncana arca	Globotruncana aegyptiaca	Globigerinelloides prairiehillensis	Abathomphalus intermedius	Rugoglobigerina hexacamerata	Pseudoguembelina costulata	Laeviheterohelix glabrans	Laeviheterohelix dentata	Globotruncanita stuarti	Globotruncana linneiana	Globotruncana esnehensis	Gansserina wiedenmayeri	Rugoglobigerina scotti	Heterohelix punctulata	Heterohelix labellosa	Globotruncanella citae	Globotruncanita pettersi	Globotruncanita atlantica	Globotruncana bulloides	Contusotruncana plummerae	Rugoglobigerina macrocephala	Globotruncanella havanensis	Globotruncana orientalis	Heterohelix planata	Globotruncana ventricosa	Globotruncana mariei	Subbotina triloculinoides	Parasubbotina variospira	Parasubbotina varianta	Morozovella velascoensis	Morozovella angulata	Subbotina triangularis	Morozovella pasionensis	Morozovella acutispira	Morozovella acuta	Igorina pusilla	Igorina albeari	Morozovella conicotruncata	Globanomalina pseudomenardii	Acarinina nitida	Zeauvigerina aegyptiaca	Subbotina velascoensis	Morozovella occlusa	Igorina tadjikistanensis	Globanomalina imitata	Subbotina trivialis	Globanomalina ehrenbergi	Acarinina mckannai	Acarinina soldadoensis	Subbotina cancellata	Morozovella apanthesma	Acarinina subsphaerica	Morozovella aequa	Subbotina patagonica	Acarinina coalingensis	Morozovella subbotinae	Globanomalina planoconica	Morozovella marginodentata	Morozovella gracilis	Igorina broedermanni	Chiloguembelina wilcoxensis	Chiloguembelina midwayensis	Morozovella formosa	Acarinina wilcoxensis	Acarinina primitiva	Acarinina esnaensis	Acarinina pseudotopilensis	Pseudohastigerina micra	Morozovella lensiformis	Morozovella dolabrata	Acarinina quetra	Turborotalia pseudomayeri	Turborotalia griffinae	Muricoglobigerina senni	Morozovella aragonensis	Guembelitrioides higginsi	Acarinina bullbrooki	Subbotina linaperta	Subbotina frontosa	Morozovella spinulosa	Globigerinatheka subconglobata	Globigerinatheka mexicana	Clavigerinella akersi	Chiloguembelina cubensis	Acarinina topilensis	Acarinina rohri	Turborotalia possagnoensis	Turborotalia pomeroli	Orbulinoides beckmanni	Globigerinatheka kugleri	Globigerinatheka index	Acarinina praetopilensis	Globigerina yeguaensis	Globigerinatheka tropicalis	Globigerina linaperta	Planorotalites pseudoscitulus	Turborotalia cerroazulensis	Dentoglobigerina galavisi	Subbotina praeturritilina	Subbotina cryptomphala	Turborotalia ampliapertura	Globigerina euapertura	Catapsydrax unicavus	Turborotalia pseudoampliapertura	Globigerina ouachitaensis	Cassigerinella chipolensis	Turborotalia increbescens	Pseudohastigerina naguewichiensis	Globorotaloides suteri	Tenuitella munda	Tenuitella gemma	Subbotina gortanii	Globigerina pseudovenezuelana	Paragloborotalia opima nana	Dentoglobigerina globularis	Globoquadrina tripartita	Globigerina corpulenta	Globigerinella obesa	Globigerina praebulloides	Globigerina officinalis	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotalia plesiotumida	Globorotalia menardii	Globorotalia margaritae	Globorotalia juanai	Globoquadrina altispira altispira	Globigerinoides seigliei	Globigerinoides sacculifer	Globigerinoides extremus	Globigerinella siphonifera	Candeina nitida	Comment

  IR	                 	                 	                  	              	207	1257	A	 20	X	 5	  39.00	    175.7900	forams   	Planktonic Foraminifers                      	R              	M                 	                 	P                      	                      	                 	                     	                  	                       	                    	                         	                         	                   	                           	P                 	                        	                           	P                        	P                    	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 20	X	 6	  59.00	    177.4900	forams   	Planktonic Foraminifers                      	R              	M                 	                 	P                      	                      	                 	                     	                  	                       	                    	                         	                         	                   	                           	P                 	                        	P                          	                         	P                    	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 20	X	CC	  35.00	    178.0700	forams   	Planktonic Foraminifers                      	F              	G                 	                 	P                      	                      	                 	                     	                  	                       	                    	                         	                         	                   	                           	                  	                        	                           	P                        	P                    	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 21	X	 1	  51.00	    179.5100	forams   	Planktonic Foraminifers                      	R              	P                 	                 	P                      	                      	                 	                     	                  	                       	                    	                         	                         	                   	                           	P                 	                        	P                          	                         	P                    	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 21	X	CC	   0.00	    179.9000	forams   	Planktonic Foraminifers                      	F              	M                 	                 	P                      	                      	                 	                     	                  	                       	                    	                         	                         	                   	                           	                  	                        	P                          	P                        	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 22	X	CC	  15.00	    190.8800	forams   	Planktonic Foraminifers                      	F              	M                 	                 	                       	                      	                 	                     	                  	                       	                    	                         	                         	                   	                           	                  	P                       	P                          	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 23	X	CC	  19.00	    206.6700	forams   	Planktonic Foraminifers                      	F              	M                 	                 	P                      	                      	                 	                     	                  	                       	                    	                         	                         	                   	P                          	P                 	P                       	                           	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 24	X	CC	  22.00	    212.2200	forams   	Planktonic Foraminifers                      	C              	M                 	                 	                       	                      	                 	                     	                  	                       	                    	                         	P                        	P                  	P                          	P                 	                        	                           	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 25	X	CC	  36.00	    219.2600	forams   	Planktonic Foraminifers                      	C              	M                 	                 	                       	                      	                 	                     	                  	                       	P                   	P                        	P                        	                   	                           	                  	                        	                           	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 27	X	CC	  46.00	    244.0800	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                       	                      	P                	                     	P                 	                       	                    	                         	                         	                   	                           	                  	                        	                           	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 28	X	CC	  41.00	    252.1300	forams   	Planktonic Foraminifers                      	F              	P                 	                 	P                      	                      	                 	                     	P                 	P                      	                    	                         	                         	                   	                           	                  	                        	                           	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       

  IR	                 	                 	                  	              	207	1257	A	 29	X	CC	  41.00	    265.6600	forams   	Planktonic Foraminifers                      	F              	P                 	                 	P                      	P                     	P                	P                    	                  	                       	                    	                         	                         	                   	                           	                  	                        	                           	                         	                     	                              	                             	                      	                       	                         	                           	                       	                          	                  	                        	                                   	                         	                            	                          	                         	                        	                       	                       	                        	                       	                      	                      	                     	                      	                        	                         	                       	                         	                            	                           	                        	                   	                        	                    	                         	                        	                      	                        	                    	                      	                       	                      	                 	               	               	                          	                            	                	                       	                      	                   	                        	                     	                   	                        	                  	                      	                    	                      	                      	                 	                    	                      	                      	                         	                          	                    	                    	                           	                           	                   	                     	                   	                   	                          	                       	                       	                     	                	                         	                      	                       	                       	                         	                    	                   	                  	                     	                              	                         	                     	                        	                    	               	                          	                     	                      	                        	                      	                        	                      	                           	                     	                             	                           	                         	                         	                      	                          	                      	                    	                                	                         	                          	                         	                                 	                      	                	                	                  	                             	                           	                           	                        	                      	                    	                         	                       	                              	                 	                         	                     	                       	                   	                                 	                        	                          	                        	                          	               	       
