Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Sponge spicules,Xanthiopyxis spp.,Triceratium spp.,Synedra jouseana,Silicoflagellate tests,Rossiella spp.,Rocella vigilans,Paralia sulcata var. crenulata,Distephanosira architecturalis,Chaetoceros spp. (resting spores),Rocella gelida  var. schraderi,Pyxilla fragments,Coscinodiscus rhombicus,Coscinodiscus marginatus,Rocella gelida,Hemiaulus spp.,Dactyliosolen antarcticus,Actinoptychus senarius,Thalassiothrix antarctica,Odontella aurita,Denticulopsis maccollumii,Coscinodiscus lewisianus,Actinocyclus ingens  var. nodus,Thalassionema nitzschioides  var. parva,Denticulopsis hustedtii,Azpeitia cf. nodulifer,Nitzschia donahuensis,Proboscia barboi,Denticulopsis praedimorpha,Denticulopsis dimorpha,Comment
  IR,                 ,                 ,                  ,              ,189,1171,C, 16,X,CC,  17.00,    139.6600,diatoms  ,Diatoms                                      ,C              ,M                 ,R                   ,C              ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,C                       ,              ,              ,                         ,                      ,C                        ,C               ,                         ,                        ,R                              ,                                       ,R                      ,                      ,F                    ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 17,X,CC,  11.00,    150.1800,diatoms  ,Diatoms                                      ,F              ,MG                ,                    ,F              ,                 ,                ,                ,                      ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,R                       ,              ,R             ,                         ,                      ,C                        ,C               ,                         ,                        ,C                              ,                                       ,R                      ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 18,X,CC,  16.00,    162.9300,diatoms  ,Diatoms                                      ,A              ,G                 ,                    ,F              ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,C                       ,              ,              ,                         ,                      ,C                        ,R               ,+                        ,                        ,C                              ,                                       ,C                      ,R                     ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 19,X,CC,  12.00,    172.7600,diatoms  ,Diatoms                                      ,C              ,MP                ,                    ,               ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,                        ,              ,              ,                         ,                      ,C                        ,                ,                         ,                        ,D                              ,C                                      ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 20,X,CC,  16.00,    181.1000,diatoms  ,Diatoms                                      ,A              ,M                 ,                    ,               ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,R                       ,              ,              ,                         ,                      ,                         ,                ,+                        ,+                       ,C                              ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 21,X,CC,  18.00,    190.1100,diatoms  ,Diatoms                                      ,A              ,G                 ,                    ,               ,                 ,                ,                ,F                     ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,R                       ,              ,R             ,                         ,                      ,C                        ,C               ,C                        ,C                       ,C                              ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 22,X,CC,  16.00,    198.9300,diatoms  ,Diatoms                                      ,C              ,M                 ,C                   ,C              ,C                ,                ,                ,                      ,              ,                ,R                             ,C                             ,C                                ,R                             ,C                ,                       ,                        ,R             ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 23,X,CC,  18.00,    210.1200,diatoms  ,Diatoms                                      ,A              ,G                 ,C                   ,C              ,                 ,                ,C               ,                      ,              ,                ,+                             ,R                             ,R                                ,                              ,C                ,C                      ,                        ,              ,              ,C                        ,R                     ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 24,X,CC,  23.00,    219.7400,diatoms  ,Diatoms                                      ,A              ,G                 ,C                   ,               ,R                ,                ,C               ,                      ,              ,                ,R                             ,C                             ,C                                ,                              ,C                ,                       ,                        ,              ,R             ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 25,X,CC,  19.00,    228.4800,diatoms  ,Diatoms                                      ,A              ,M                 ,C                   ,C              ,C                ,                ,C               ,                      ,              ,                ,                              ,                              ,                                 ,                              ,R                ,F                      ,R                       ,              ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 26,X,CC,  14.00,    237.5600,diatoms  ,Diatoms                                      ,A              ,G                 ,                    ,C              ,R                ,                ,C               ,                      ,              ,                ,R                             ,                              ,R                                ,C                             ,R                ,R                      ,                        ,C             ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 27,X,CC,  36.00,    247.3300,diatoms  ,Diatoms                                      ,A              ,G                 ,R                   ,A              ,R                ,                ,R               ,F                     ,C             ,                ,                              ,R                             ,                                 ,C                             ,R                ,                       ,R                       ,C             ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 28,X,CC,  29.00,    253.7900,diatoms  ,Diatoms                                      ,A              ,G                 ,+                   ,A              ,                 ,                ,                ,                      ,              ,                ,                              ,                              ,                                 ,F                             ,                 ,                       ,                        ,              ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 29,X,CC,  35.00,    264.8300,diatoms  ,Diatoms                                      ,A              ,M                 ,R                   ,F              ,                 ,                ,C               ,F                     ,              ,R               ,                              ,                              ,                                 ,A                             ,F                ,R                      ,C                       ,              ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 30,X,CC,  13.00,    272.8700,diatoms  ,Diatoms                                      ,A              ,G                 ,A                   ,A              ,C                ,R               ,C               ,C                     ,R             ,C               ,F                             ,A                             ,C                                ,                              ,                 ,                       ,                        ,              ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 31,X,CC,  28.00,    274.4300,diatoms  ,Diatoms                                      ,R              ,G                 ,R                   ,C              ,                 ,                ,                ,                      ,              ,                ,                              ,                              ,                                 ,                              ,                 ,                       ,                        ,              ,              ,                         ,                      ,                         ,                ,                         ,                        ,                               ,                                       ,                       ,                      ,                     ,                ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
