Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1518F-4R-3-A,0,35,218.86,219.21,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-5R-1-A,0,83,226.4,227.23,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,very thin bed,consolidated,,moderate,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Silt layer at 23 cm can be seen better on working half.,,,
375-U1518F-5R-2-A,0,150,227.43,228.93,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,very thin bed,consolidated,,moderate,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation. Silt layers at 55 and 135 cm (one at 135 cm is offset by drilling deformation).,,,
375-U1518F-5R-3-A,0,95,228.93,229.88,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,moderate,,slight,1,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-5R-CC-A,0,3,229.88,229.91,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,moderate,,,,,,,,,,,,,,,
375-U1518F-6R-1-A,0,30,236,236.3,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-6R-1-A,60,101,236.6,237.01,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,moderate,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure obscured by deformation.,,,
375-U1518F-6R-2-A,0,113,237.26,238.39,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,,irregular,,very thin bed,consolidated,,moderate,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible at 38 and 57 cm,,,
375-U1518F-6R-3-A,6,69,238.45,239.08,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,,irregular,,very thin bed,consolidated,,moderate,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible.,,,
375-U1518F-7R-1-A,0,16,245.6,245.76,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,,,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 144 cm. Thickness of the silt layer is not clear due to disturbance.,,,
375-U1518F-7R-1-A,31,149,245.91,247.09,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,,,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 139 cm. Thickness of the silt layer is not clear due to disturbance.,,,
375-U1518F-7R-2-A,0,87,247.09,247.96,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 47 and 57 cm.,,,
375-U1518F-7R-3-A,0,27,247.96,248.23,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 41 cm.,,,
375-U1518F-7R-3-A,38,56,248.34,248.52,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,slight,1,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 41 cm.,,,
375-U1518F-7R-CC-A,0,19,248.87,249.06,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,,,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt laminae at 6 cm.,,,
375-U1518F-8R-1-A,0,149,255.2,256.69,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,normal grading,moderate,,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 46, 60 and 102 cm. From 115 cm to end of section bedding is vertical.",,,
375-U1518F-8R-2-A,0,66,256.69,257.35,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,inverse grading,moderate,,,,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 60 cm: the layer shows inverse grading and clay chips.,,,
375-U1518F-8R-3-A,0,130,257.59,258.89,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,inverse grading,moderate,,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 46, 90 cm: both layers show inverse grading.",,,
375-U1518F-9R-1-A,0,149,264.8,266.29,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,,moderate,,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 96, 111, 123 cm: Layers at 96 and 111 cm show inverse grading. Silt pods are observed.",,,
375-U1518F-9R-2-A,0,111,266.29,267.4,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,normal grading,moderate,,,,planar lamination,cross-lamination,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 22, 35, 59, 72, 77 and 86 cm. A silt layer at 22 cm shows cross lamination.",,,
375-U1518F-9R-3-A,0,61,267.65,268.26,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,normal grading,moderate,,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 5,17, 40, 47 and 55 cm. Erosional bases were observed at 6 and 16 cm.",,,
375-U1518F-9R-4-A,0,76,268.26,269.02,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),Irregular,sharp,Irregular sharp,,,Consolidated,normal grading,moderate,,,,planar lamination,cross-lamination,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 6, 17, 25, 57 cm. Erosional base was observed at 6 cm. Silt (0-7 cm) shows parallel (upper part) and cross (basal part) laminations. Silt (36-37 cm) shows cross lamination. Siltstone between 52-57 cm includes cross-lamination at the base (55-57cm) and parallel lamination between 53-55cm.",,,
375-U1518F-9R-5-A,0,99,269.19,270.18,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,,consolidated,normal grading,moderate,,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 17, 28, 47, 64, 73, 87 cm. Silt (23-29 cm) includes basal (27-29) and upper (23-27) parallel lamination.",,,
375-U1518F-10R-1-A,0,62,274.4,275.02,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,very thin bed,consolidated,normal grading,moderate,,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 29, 42 cm. Silt (25-30 cm) parallel lamination.",,,
375-U1518F-10R-1-A,78,90,275.18,275.3,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,,,,,,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible.,,,
375-U1518F-10R-2-A,0,50,275.54,276.04,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,inclined,thin bed,consolidated,normal grading,moderate,,slight,1,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 25 and 44 cm.,,,
375-U1518F-10R-2-A,50,100,276.04,276.54,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,inclined,thin bed,consolidated,inverse grading,moderate,,slight,1,planar lamination,,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 54 cm and 91 cm.,,,
375-U1518F-10R-2-A,100,121,276.54,276.75,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,very thin bed,consolidated,normal grading,moderate,,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 104, 112 cm.",,,
375-U1518F-10R-3-A,0,78,276.75,277.53,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,,very thin bed,consolidated,normal grading,moderate,,slight,1,planar lamination,cross-lamination,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 18 and 60 cm.,,,
375-U1518F-11R-1-A,0,50,284,284.5,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,horizontal,very thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 5, 17, 30, 41 cm. Planar lamination is observed between 26 and 28 cm.",,,
375-U1518F-11R-2-A,0,37,284.7,285.07,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,sub-horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,cross-lamination,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 19 and 30 cm.,,,
375-U1518F-11R-2-A,37,47,285.07,285.17,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,N 4 (dark gray),irregular,sharp,irregular sharp,inclined,medium bed,consolidated,normal grading,moderate,,,,planar lamination,cross-lamination,,,,,,,"medium bedded silty layer at base (44-48), planar laminated in the middle (42-44), low-angle cross-laminated at the top (37-42 cm).",,,
375-U1518F-11R-2-A,47,111,285.17,285.81,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,sub-horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 58, 62, 73, 80, 91, 103, 109 cm. Greenish gray (10GY 4/1) between 47-66 cm.",,,
375-U1518F-11R-3-A,0,12,285.81,285.93,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,cross-lamination,,,,,,,Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 3 and 12 cm. Cross lamination of dark-colored layers and lighter-colored layers is 1-3 cm. Planar lamination is between 7 and 10 cm.,,,
375-U1518F-11R-3-A,12,28,285.93,286.09,,,silty clay,,silty clay,silty clay,silty clay,10GY 4/1 (dark greenish gray),planar,sharp,planar sharp,horizontal,medium bed,consolidated,normal grading,moderate,,,,,,,,,,,,,,,
375-U1518F-11R-3-A,28,69,286.09,286.5,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 51, 53, 66 cm.",,,
375-U1518F-11R-CC-A,0,12,286.5,286.62,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,,,,,,,,Siltstone and mudstone. Base of silt layer at 9 cm. Wavy planar lamination between 6-7 cm.,,,
375-U1518F-12R-1-A,0,123,293.6,294.83,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,slight,1,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silt layer at 5, 37, 52, 77, and 111 cm. Planar laminations observed between 72-77 and 107-110 cm.",,,
375-U1518F-12R-2-A,0,86.5,294.99,295.855,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silty layer at 7, 13, 36, 55, 86 (base was truncated) cm.",,,
375-U1518F-12R-3-A,0,89,296.01,296.9,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,cross-lamination,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation. Some original bedding locally visible. Base of silty layer at 22, 28, 64, 70 cm. Planar and cross laminations observed between 26-28 cm.",,,
375-U1518F-12R-CC-A,11,22,297.01,297.12,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,consolidated,normal grading,moderate,parallel bedding,,,planar lamination,cross-lamination,,,,,,,Siltstone and mudstone. Base of silt layer at 23 cm. Planar and cross laminations are seen between 21-23 cm.,,,
375-U1518F-13R-1-A,0,113,303.2,304.33,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,sub-horizontal,thin bed,consolidated,inverse grading,moderate,parallel bedding,,,planar lamination,,,,,,,,"Siltstone and mudstone. Base of silt layers at 22, 28, 42, 80, 93, 98 m. Planar lamination slightly visible, locally.",,,
375-U1518F-13R-1-A,113,120,304.33,304.4,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),,sharp,sharp,sub-horizontal,,consolidated,,,parallel bedding,moderate,2,planar lamination,cross-lamination,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation. Brecciated ash layer at 115 cm.,,,
375-U1518F-13R-2-A,0,144,304.53,305.97,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),,sharp,sharp,sub-horizontal,,consolidated,,,parallel bedding,moderate,2,planar lamination,cross-lamination,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation,,,
375-U1518F-13R-3-A,0,89,305.97,306.86,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),,sharp,sharp,sub-horizontal,,consolidated,,,parallel bedding,moderate,2,planar lamination,cross-lamination,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation,,,
375-U1518F-13R-CC-A,0,9,306.86,306.95,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),,sharp,sharp,sub-horizontal,,consolidated,,,parallel bedding,moderate,2,planar lamination,cross-lamination,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation,,,
375-U1518F-14R-1-A,0,112,312.8,313.92,,,mudstone,with nannofossils,mudstone,mudstone with nannofossils,mudstone with nannofossils,10Y 5/1 (greenish gray),,sharp,sharp,sub-horizontal,,consolidated,,,parallel bedding,moderate,2,planar lamination,cross-lamination,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation,,,
375-U1518F-14R-1-A,112,151,313.92,314.31,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,moderate,,,,planar lamination,,,,,,,,"Siltstone and mudstone. Primary sedimentary structure almost completely obscured by deformation: ""phacoids"" of silt layers due to discrete faulting and sets of intersecting fractures. Planar lamination locally visible in the phacoids.",,,
375-U1518F-14R-2-A,0,89,314.31,315.2,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,consolidated,,moderate,,,,planar lamination,,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation,,,
375-U1518F-14R-CC-A,0,4,315.2,315.24,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,consolidated,,,,,,,,,,,,,,Primary sedimentary structure almost completely obscured by tectonic/drilling deformation,,,
375-U1518F-15R-1-A,0,122,322.4,323.62,,,alternating siltstone and mudstone,with nannofossils,alternating siltstone and mudstone,alternating siltstone and mudstone with nannofossils,alternating siltstone and mudstone with nannofossils,10Y 5/1 (greenish gray),,bioturbated,bioturbated,horizontal,,consolidated,,,,strong,3,,,,,,,,,Primary sedimentary structure almost completely obscured by moderate to strong bioturbation.,,,
