verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name
Nonionella iredea,benthic_forams,Nonionella,Nonionella iredea,iredea,
Sceptroneis ossiformis,diatoms,Sceptroneis,Sceptroneis ossiformis,ossiformis,
Discoaster desueta,nannofossils,Discoaster,Discoaster desueta,desueta,
Siphogenerina raphanus,benthic_forams,Siphogenerina,Siphogenerina raphanus,raphanus,
Distephanus crux pentagonus,silicoflagellates,Distephanus,Distephanus crux pentagonus,crux,pentagonus
Hemiaulus capitatus,diatoms,Hemiaulus,Hemiaulus capitatus,capitatus,
Sphenolithus conspicuus,nannofossils,Sphenolithus,Sphenolithus conspicuus,conspicuus,
Podocyrtis mitra,radiolarians,Podocyrtis,Podocyrtis mitra,mitra,
Chiloguembelina martini,planktic_forams,Chiloguembelina,Chiloguembelina martini,martini,
Globorotalia conomiozea,planktic_forams,Globorotalia,Globorotalia conomiozea,conomiozea,
Globigerinita boweni,planktic_forams,Globigerinita,Globigerinita boweni,boweni,
Orthomorphina havensis,benthic_forams,Orthomorphina,Orthomorphina havensis,havensis,
Melosira sol,diatoms,Melosira,Melosira sol,sol,
Tetralithus aculeus (q),nannofossils,Tetralithus,Tetralithus aculeus,aculeus,
Lygodium balmei (q),pollen,Lygodium,Lygodium balmei,balmei,
Corollithion signum,nannofossils,Corollithion,Corollithion signum,signum,
Globigerina trivialis,planktic_forams,Globigerina,Globigerina trivialis,trivialis,
Achomosphaera alcicornu,dinoflagellates,Achomosphaera,Achomosphaera alcicornu,alcicornu,
Hemiaulus pungens,diatoms,Hemiaulus,Hemiaulus pungens,pungens,
Dentalina eocenica (q),benthic_forams,Dentalina,Dentalina eocenica,eocenica,
Globigerinita dissimilis,planktic_forams,Globigerinita,Globigerinita dissimilis,dissimilis,
Thyrsocyrtis sp.,radiolarians,Thyrsocyrtis,Thyrsocyrtis sp.,sp.,
Podocyrtis ampla fasciolata,radiolarians,Podocyrtis,Podocyrtis ampla fasciolata,ampla,fasciolata
Anacardiaceae,pollen,Anacardiaceae,Anacardiaceae,,
Thalassiosira primalabiata,diatoms,Thalassiosira,Thalassiosira primalabiata,primalabiata,
Amaurolithus sp.,nannofossils,Amaurolithus,Amaurolithus sp.,sp.,
Reticulofenestra perplexa,nannofossils,Reticulofenestra,Reticulofenestra perplexa,perplexa,
Xiphospira circularis (q),radiolarians,Xiphospira,Xiphospira circularis,circularis,
Cibicides pseudoungerianus,benthic_forams,Cibicides,Cibicides pseudoungerianus,pseudoungerianus,
Epistominella umbonifera,benthic_forams,Epistominella,Epistominella umbonifera,umbonifera,
Nuttalides truempyi (q),benthic_forams,Nuttalides,Nuttalides truempyi,truempyi,
Prunopyle frakesi,radiolarians,Prunopyle,Prunopyle frakesi,frakesi,
Catapsydrax martini,planktic_forams,Catapsydrax,Catapsydrax martini,martini,
Carduifolia gracilis,dinoflagellates,Carduifolia,Carduifolia gracilis,gracilis,
Globigerina senni (q),planktic_forams,Globigerina,Globigerina senni,senni,
Globigerinita dissimilis ciperoensis,planktic_forams,Globigerinita,Globigerinita dissimilis ciperoensis,dissimilis,ciperoensis
Globorotalia miocenica,planktic_forams,Globorotalia,Globorotalia miocenica,miocenica,
Reticulofenestra oamaruensis (q),nannofossils,Reticulofenestra,Reticulofenestra oamaruensis,oamaruensis,
Globorotalia mayeri nympha,planktic_forams,Globorotalia,Globorotalia mayeri nympha,mayeri,nympha
Diploneis didyma,diatoms,Diploneis,Diploneis didyma,didyma,
Trinacria excavata,diatoms,Trinacria,Trinacria excavata,excavata,
Bekoma divaricata,radiolarians,Bekoma,Bekoma divaricata,divaricata,
Cordosphaeridium minimum,dinoflagellates,Cordosphaeridium,Cordosphaeridium minimum,minimum,
Diploneis suborbicularis,diatoms,Diploneis,Diploneis suborbicularis,suborbicularis,
Isthmolithus recurvus,nannofossils,Isthmolithus,Isthmolithus recurvus,recurvus,
Elphidium sp.,benthic_forams,Elphidium,Elphidium sp.,sp.,
Globoquadrina altispira globosa,planktic_forams,Globoquadrina,Globoquadrina altispira globosa,altispira,globosa
Discoaster nobilis,nannofossils,Discoaster,Discoaster nobilis,nobilis,
Systematophora areolata,dinoflagellates,Systematophora,Systematophora areolata,areolata,
Globorotalia collactea,planktic_forams,Globorotalia,Globorotalia collactea,collactea,
Microsciadiocapsa sp. (q),radiolarians,Microsciadiocapsa,Microsciadiocapsa sp.,sp.,
Calocyclas extensa,radiolarians,Calocyclas,Calocyclas extensa,extensa,
Globoquadrina haroemaensis,planktic_forams,Globoquadrina,Globoquadrina haroemaensis,haroemaensis,
Thalmannammina recurvoides,benthic_forams,Thalmannammina,Thalmannammina recurvoides,recurvoides,
Distephanus speculum diommata,silicoflagellates,Distephanus,Distephanus speculum diommata,speculum,diommata
Amaryllidaceae,pollen,Amaryllidaceae,Amaryllidaceae,,
Eusyringium siphonostoma (q),radiolarians,Eusyringium,Eusyringium siphonostoma,siphonostoma,
Dictyocha stapedia aspinosa,silicoflagellates,Dictyocha,Dictyocha stapedia aspinosa,stapedia,aspinosa
Rectuvigerina tasmana,benthic_forams,Rectuvigerina,Rectuvigerina tasmana,tasmana,
Nephrospyris renilla,radiolarians,Nephrospyris,Nephrospyris renilla,renilla,
Cannartus antepenultimus,radiolarians,Cannartus,Cannartus antepenultimus,antepenultimus,
Sciadopitys sp.,pollen,Sciadopitys,Sciadopitys sp.,sp.,
Spiroloculina canaliculina,benthic_forams,Spiroloculina,Spiroloculina canaliculina,canaliculina,
Globigerina bolivariana,planktic_forams,Globigerina,Globigerina bolivariana,bolivariana,
Globorotalia minutissima,planktic_forams,Globorotalia,Globorotalia minutissima,minutissima,
Globigerina jacksonensis,planktic_forams,Globigerina,Globigerina jacksonensis,jacksonensis,
Globorotalia praefohsi (q),planktic_forams,Globorotalia,Globorotalia praefohsi,praefohsi,
Triceratium gratum,diatoms,Triceratium,Triceratium gratum,gratum,
Globigerina daubjergensis,planktic_forams,Globigerina,Globigerina daubjergensis,daubjergensis,
Coscinodiscus tuberculatus,diatoms,Coscinodiscus,Coscinodiscus tuberculatus,tuberculatus,
Stylosphaera santaneannae (q),radiolarians,Stylosphaera,Stylosphaera santaneannae,santaneannae,
Stylochlamidium venustum,radiolarians,Stylochlamidium,Stylochlamidium venustum,venustum,
Globorotalia munda (q),planktic_forams,Globorotalia,Globorotalia munda,munda,
Muderongia sp. (q),dinoflagellates,Muderongia,Muderongia sp.,sp.,
Crucella sp.,radiolarians,Crucella,Crucella sp.,sp.,
Hastigerina adamsi,planktic_forams,Hastigerina,Hastigerina adamsi,adamsi,
Theocorythium trachelium dianae,radiolarians,Theocorythium,Theocorythium trachelium dianae,trachelium,dianae
Carpocanopsis cingulatum,radiolarians,Carpocanopsis,Carpocanopsis cingulatum,cingulatum,
Melonis parkerae,benthic_forams,Melonis,Melonis parkerae,parkerae,
Dictyocha subclinata,silicoflagellates,Dictyocha,Dictyocha subclinata,subclinata,
Astacolus sp.,benthic_forams,Astacolus,Astacolus sp.,sp.,
Nannotetrina pappii,nannofossils,Nannotetrina,Nannotetrina pappii,pappii,
Amphirhopalum ypsilon,radiolarians,Amphirhopalum,Amphirhopalum ypsilon,ypsilon,
Lithamphora quadrata,radiolarians,Lithamphora,Lithamphora quadrata,quadrata,
Globorotalia cibaoensis (q),planktic_forams,Globorotalia,Globorotalia cibaoensis,cibaoensis,
Impagidinium japonicum,dinoflagellates,Impagidinium,Impagidinium japonicum,japonicum,
Quinqueloculina akeriana argunica,benthic_forams,Quinqueloculina,Quinqueloculina akeriana argunica,akeriana,argunica
Planulina ariminensis,benthic_forams,Planulina,Planulina ariminensis,ariminensis,
Collosphaera pyloma,radiolarians,Collosphaera,Collosphaera pyloma,pyloma,
Discoaster toralus,nannofossils,Discoaster,Discoaster toralus,toralus,
Pteropilium sp.,radiolarians,Pteropilium,Pteropilium sp.,sp.,
Asteromphalus darwinii,diatoms,Asteromphalus,Asteromphalus darwinii,darwinii,
Discolithina sp.,nannofossils,Discolithina,Discolithina sp.,sp.,
Antarctissa ewingi,radiolarians,Antarctissa,Antarctissa ewingi,ewingi,
Paradictyocha polyactis,silicoflagellates,Paradictyocha,Paradictyocha polyactis,polyactis,
Eucyrtidium tumidulum,radiolarians,Eucyrtidium,Eucyrtidium tumidulum,tumidulum,
Navicula sudora,diatoms,Navicula,Navicula sudora,sudora,
Turborotalia pseudoampliapertura,planktic_forams,Turborotalia,Turborotalia pseudoampliapertura,pseudoampliapertura,
Distephanus speculum polyommata,silicoflagellates,Distephanus,Distephanus speculum polyommata,speculum,polyommata
Dictyocha frenguelli (q),silicoflagellates,Dictyocha,Dictyocha frenguelli,frenguelli,
Cibicides alleni,benthic_forams,Cibicides,Cibicides alleni,alleni,
Sceptroneis sp.,diatoms,Sceptroneis,Sceptroneis sp.,sp.,
Globorotalia insolita,planktic_forams,Globorotalia,Globorotalia insolita,insolita,
Martinottiella antarctica (q),benthic_forams,Martinottiella,Martinottiella antarctica,antarctica,
Chiloguembelina subtriangularis (q),planktic_forams,Chiloguembelina,Chiloguembelina subtriangularis,subtriangularis,
Pulleniatina finalis,planktic_forams,Pulleniatina,Pulleniatina finalis,finalis,
Islandiella cushmani,benthic_forams,Islandiella,Islandiella cushmani,cushmani,
Anthocyrtidium angulare,radiolarians,Anthocyrtidium,Anthocyrtidium angulare,angulare,
Thalictrum,pollen,Thalictrum,Thalictrum,,
Nonionella iridea (q),benthic_forams,Nonionella,Nonionella iridea,iridea,
Karreriella subaccata,benthic_forams,Karreriella,Karreriella subaccata,subaccata,
Rouxia hannae,diatoms,Rouxia,Rouxia hannae,hannae,
Lagena vulgaris (q),benthic_forams,Lagena,Lagena vulgaris,vulgaris,
Dictyocha aegea (q),silicoflagellates,Dictyocha,Dictyocha aegea,aegea,
Ammodiscus incertus,benthic_forams,Ammodiscus,Ammodiscus incertus,incertus,
Dictyocha rhombica,silicoflagellates,Dictyocha,Dictyocha rhombica,rhombica,
Lamprocyclas heteroporus (q),radiolarians,Lamprocyclas,Lamprocyclas heteroporus,heteroporus,
Liriospyris clathrata,radiolarians,Liriospyris,Liriospyris clathrata,clathrata,
Hemiaulus polycystinorum asymmetrica,diatoms,Hemiaulus,Hemiaulus polycystinorum asymmetrica,polycystinorum,asymmetrica
Cymbella turgida,diatoms,Cymbella,Cymbella turgida,turgida,
Thalassiosira bramaputae,diatoms,Thalassiosira,Thalassiosira bramaputae,bramaputae,
Nummulites pernotus,benthic_forams,Nummulites,Nummulites pernotus,pernotus,
Glossicythereis sp.,ostracods,Glossicythereis,Glossicythereis sp.,sp.,
Phthanoperidinium amoenum,dinoflagellates,Phthanoperidinium,Phthanoperidinium amoenum,amoenum,
Turborotalia nigriniae,planktic_forams,Turborotalia,Turborotalia nigriniae,nigriniae,
Nitzschia braarudii,diatoms,Nitzschia,Nitzschia braarudii,braarudii,
Corbisema regina (bar),silicoflagellates,Corbisema,Corbisema regina,regina,
Cibicides umbonatus,benthic_forams,Cibicides,Cibicides umbonatus,umbonatus,
Haplophragmoides indentatus,benthic_forams,Haplophragmoides,Haplophragmoides indentatus,indentatus,
Bolivina granti,benthic_forams,Bolivina,Bolivina granti,granti,
Fibrocysta bipolare,dinoflagellates,Fibrocysta,Fibrocysta bipolare,bipolare,
Botryocylinder sp.(q),radiolarians,Botryocylinder,Botryocylinder sp.,sp.,
Lithocyclia angusta,radiolarians,Lithocyclia,Lithocyclia angusta,angusta,
Coscinodiscus curvatulus,diatoms,Coscinodiscus,Coscinodiscus curvatulus,curvatulus,
Invertocysta lacrymosa,dinoflagellates,Invertocysta,Invertocysta lacrymosa,lacrymosa,
Naviculopsis quadratum,silicoflagellates,Naviculopsis,Naviculopsis quadratum,quadratum,
Globigerina microfoliata,planktic_forams,Globigerina,Globigerina microfoliata,microfoliata,
Rhizammina algaeformis,benthic_forams,Rhizammina,Rhizammina algaeformis,algaeformis,
Macrora stella,silicoflagellates,Macrora,Macrora stella,stella,
Lithamphora furcaspiculata,radiolarians,Lithamphora,Lithamphora furcaspiculata,furcaspiculata,
Globigerina ouachitaensis (q),planktic_forams,Globigerina,Globigerina ouachitaensis,ouachitaensis,
Cannartus sp.,radiolarians,Cannartus,Cannartus sp.,sp.,
Morozovella edgari,planktic_forams,Morozovella,Morozovella edgari,edgari,
Gomphonema sp.,diatoms,Gomphonema,Gomphonema sp.,sp.,
Hypoestes sp.,pollen,Hypoestes,Hypoestes sp.,sp.,
Rectuvigerina sp.,benthic_forams,Rectuvigerina,Rectuvigerina sp.,sp.,
Stichodiscus californicus,diatoms,Stichodiscus,Stichodiscus californicus,californicus,
Achnanthes brevipes,diatoms,Achnanthes,Achnanthes brevipes,brevipes,
Dictyocha transenna (q),silicoflagellates,Dictyocha,Dictyocha transenna,transenna,
Peromonolites vellosus,pollen,Peromonolites,Peromonolites vellosus,vellosus,
Globigerina decoraperta,planktic_forams,Globigerina,Globigerina decoraperta,decoraperta,
Cyclotella sp.,diatoms,Cyclotella,Cyclotella sp.,sp.,
Gephyrocapsa kamptneri,nannofossils,Gephyrocapsa,Gephyrocapsa kamptneri,kamptneri,
Distephanus pseudocrux,silicoflagellates,Distephanus,Distephanus pseudocrux,pseudocrux,
Spongomelissa sp.,radiolarians,Spongomelissa,Spongomelissa sp.,sp.,
Polysolenia spinosa group,radiolarians,Polysolenia,Polysolenia spinosa group,spinosa,group
Scapholithus rhombiformis,nannofossils,Scapholithus,Scapholithus rhombiformis,rhombiformis,
Reticulofenestra haqii,nannofossils,Reticulofenestra,Reticulofenestra haqii,haqii,
Globigerina euaperta,planktic_forams,Globigerina,Globigerina euaperta,euaperta,
Pyrgodiscus sp.,diatoms,Pyrgodiscus,Pyrgodiscus sp.,sp.,
Spongasteriscus berminghami,radiolarians,Spongasteriscus,Spongasteriscus berminghami,berminghami,
Lipmanella xiphephorum (q),radiolarians,Lipmanella,Lipmanella xiphephorum,xiphephorum,
Cyclampterium milowi (q),radiolarians,Cyclampterium,Cyclampterium milowi,milowi,
Nitzschia sicula rostrata,diatoms,Nitzschia,Nitzschia sicula rostrata,sicula,rostrata
Ceratolithina vesca,nannofossils,Ceratolithina,Ceratolithina vesca,vesca,
Cibicidoides cookei,benthic_forams,Cibicidoides,Cibicidoides cookei,cookei,
Morozovella aragonensis caucasica,planktic_forams,Morozovella,Morozovella aragonensis caucasica,aragonensis,caucasica
Phormocyrtis proxima,radiolarians,Phormocyrtis,Phormocyrtis proxima,proxima,
Ebriopsis antiqua (with lorica),ebridians,Ebriopsis,Ebriopsis antiqua,antiqua,
Cibicidoides opacus (q),benthic_forams,Cibicidoides,Cibicidoides opacus,opacus,
Toweius sp.,nannofossils,Toweius,Toweius sp.,sp.,
Tricolpites lilliei (q),pollen,Tricolpites,Tricolpites lilliei,lilliei,
Globigerinoides bulloides (q),planktic_forams,Globigerinoides,Globigerinoides bulloides,bulloides,
Truncorotaloides bullbrooki,planktic_forams,Truncorotaloides,Truncorotaloides bullbrooki,bullbrooki,
Operculodinium longispingerum,dinoflagellates,Operculodinium,Operculodinium longispingerum,longispingerum,
Cibicidoides haitiensis,benthic_forams,Cibicidoides,Cibicidoides haitiensis,haitiensis,
Micrantholithus sp.,nannofossils,Micrantholithus,Micrantholithus sp.,sp.,
Sethoconus dogieli,radiolarians,Sethoconus,Sethoconus dogieli,dogieli,
Subbotina minutula,planktic_forams,Subbotina,Subbotina minutula,minutula,
Tectatodinium pellitum,dinoflagellates,Tectatodinium,Tectatodinium pellitum,pellitum,
Lychnocanium grande,radiolarians,Lychnocanium,Lychnocanium grande,grande,
Nematosphaeropsis aquaeducta,dinoflagellates,Nematosphaeropsis,Nematosphaeropsis aquaeducta,aquaeducta,
Pseudoparrella bradyana,benthic_forams,Pseudoparrella,Pseudoparrella bradyana,bradyana,
Navicula comoides,diatoms,Navicula,Navicula comoides,comoides,
Eponides tumidulus,benthic_forams,Eponides,Eponides tumidulus,tumidulus,
Globigerina obesa,planktic_forams,Globigerina,Globigerina obesa,obesa,
Globigerinoides triloculinoides,planktic_forams,Globigerinoides,Globigerinoides triloculinoides,triloculinoides,
Bolivina robusta (q),benthic_forams,Bolivina,Bolivina robusta,robusta,
Laticarinina bullbrooki,benthic_forams,Laticarinina,Laticarinina bullbrooki,bullbrooki,
Subbotina senni,planktic_forams,Subbotina,Subbotina senni,senni,
Uvigerina hornbrooki,benthic_forams,Uvigerina,Uvigerina hornbrooki,hornbrooki,
Helicosphaera columbiana,nannofossils,Helicosphaera,Helicosphaera columbiana,columbiana,
Antarctissa denticulata,radiolarians,Antarctissa,Antarctissa denticulata,denticulata,
Nummulites vascus,benthic_forams,Nummulites,Nummulites vascus,vascus,
Morozovella occlusa,planktic_forams,Morozovella,Morozovella occlusa,occlusa,
Elphidium sp. (q),benthic_forams,Elphidium,Elphidium sp.,sp.,
Euchitonia elegans,radiolarians,Euchitonia,Euchitonia elegans,elegans,
Globigerina humilis,planktic_forams,Globigerina,Globigerina humilis,humilis,
Gyroidinoides sp.,benthic_forams,Gyroidinoides,Gyroidinoides sp.,sp.,
Discoaster moorei  (q),nannofossils,Discoaster,Discoaster moorei,moorei,
Chenopodium sp.,pollen,Chenopodium,Chenopodium sp.,sp.,
Lagena hexagona,benthic_forams,Lagena,Lagena hexagona,hexagona,
Bachmannocena paulschulzii,silicoflagellates,Bachmannocena,Bachmannocena paulschulzii,paulschulzii,
Crenalithus doronicoides,nannofossils,Crenalithus,Crenalithus doronicoides,doronicoides,
Buliminella subfusiformis,benthic_forams,Buliminella,Buliminella subfusiformis,subfusiformis,
Cibicidoides mundulus,benthic_forams,Cibicidoides,Cibicidoides mundulus,mundulus,
Markalius circumradiatus,nannofossils,Markalius,Markalius circumradiatus,circumradiatus,
Tholospyris sp.(q),radiolarians,Tholospyris,Tholospyris sp.,sp.,
Elphidium subincertum,benthic_forams,Elphidium,Elphidium subincertum,subincertum,
Craspedolithus declivus (q),nannofossils,Craspedolithus,Craspedolithus declivus,declivus,
Heterohelix ultimatumida,planktic_forams,Heterohelix,Heterohelix ultimatumida,ultimatumida,
Cyclotella striata,diatoms,Cyclotella,Cyclotella striata,striata,
Rectuvigerina postprandia,benthic_forams,Rectuvigerina,Rectuvigerina postprandia,postprandia,
Stichophormis sp.,radiolarians,Stichophormis,Stichophormis sp.,sp.,
Clathrocyclas craspedota,radiolarians,Clathrocyclas,Clathrocyclas craspedota,craspedota,
Globorotalia multiloculata,planktic_forams,Globorotalia,Globorotalia multiloculata,multiloculata,
Turborotalia nana,planktic_forams,Turborotalia,Turborotalia nana,nana,
Plantago sp. (q),pollen,Plantago,Plantago sp.,sp.,
Globigerina gauelli,planktic_forams,Globigerina,Globigerina gauelli,gauelli,
Pullenia subspherica (q),benthic_forams,Pullenia,Pullenia subspherica,subspherica,
Cibicidoides martinezi,benthic_forams,Cibicidoides,Cibicidoides martinezi,martinezi,
Ellipsoglandulina principiens,benthic_forams,Ellipsoglandulina,Ellipsoglandulina principiens,principiens,
Spiroplectammina israelskyi,benthic_forams,Spiroplectammina,Spiroplectammina israelskyi,israelskyi,
Alabamina decorata,benthic_forams,Alabamina,Alabamina decorata,decorata,
Crenalithus productellus (q),nannofossils,Crenalithus,Crenalithus productellus,productellus,
Prinsius sp.,nannofossils,Prinsius,Prinsius sp.,sp.,
Glyphodiscus stellatus,diatoms,Glyphodiscus,Glyphodiscus stellatus,stellatus,
Neoflabellina rugosa,benthic_forams,Neoflabellina,Neoflabellina rugosa,rugosa,
Mastogloia splendida,diatoms,Mastogloia,Mastogloia splendida,splendida,
Anomalinoides acuta,benthic_forams,Anomalinoides,Anomalinoides acuta,acuta,
Lithomitra nodosaria,radiolarians,Lithomitra,Lithomitra nodosaria,nodosaria,
Discoaster druggii,nannofossils,Discoaster,Discoaster druggii,druggii,
Distephanus crux parvus,silicoflagellates,Distephanus,Distephanus crux parvus,crux,parvus
Pullenia trintatensis,benthic_forams,Pullenia,Pullenia trintatensis,trintatensis,
Lyramula furcula,silicoflagellates,Lyramula,Lyramula furcula,furcula,
Sethoconus galea (q),radiolarians,Sethoconus,Sethoconus galea,galea,
Membranilarnacia ursulae,dinoflagellates,Membranilarnacia,Membranilarnacia ursulae,ursulae,
Dictyocoryne sp.,radiolarians,Dictyocoryne,Dictyocoryne sp.,sp.,
Tabellaria fenestrata,diatoms,Tabellaria,Tabellaria fenestrata,fenestrata,
Globorotalia truncatulinoides,planktic_forams,Globorotalia,Globorotalia truncatulinoides,truncatulinoides,
Distephanus hannai,silicoflagellates,Distephanus,Distephanus hannai,hannai,
Nitzschia granulata hispanica,diatoms,Nitzschia,Nitzschia granulata hispanica,granulata,hispanica
Zygodiscus minimus,nannofossils,Zygodiscus,Zygodiscus minimus,minimus,
Coscinodiscus gigas diorama (q),diatoms,Coscinodiscus,Coscinodiscus gigas diorama,gigas,diorama
Lithosphaeridium siphoniphorum,dinoflagellates,Lithosphaeridium,Lithosphaeridium siphoniphorum,siphoniphorum,
Prediscosphaera cretacea,nannofossils,Prediscosphaera,Prediscosphaera cretacea,cretacea,
Helicopontosphaera obliqua,nannofossils,Helicopontosphaera,Helicopontosphaera obliqua,obliqua,
Globorotalia crassaformis oceanica,planktic_forams,Globorotalia,Globorotalia crassaformis oceanica,crassaformis,oceanica
Clathrocyclas humerus,radiolarians,Clathrocyclas,Clathrocyclas humerus,humerus,
Scapholithus apertus,nannofossils,Scapholithus,Scapholithus apertus,apertus,
Rhoipites sp.,pollen,Rhoipites,Rhoipites sp.,sp.,
Thalassiosira jacksonii,diatoms,Thalassiosira,Thalassiosira jacksonii,jacksonii,
Anomalinoides alazanensis,benthic_forams,Anomalinoides,Anomalinoides alazanensis,alazanensis,
Globoquadrina gortanii,planktic_forams,Globoquadrina,Globoquadrina gortanii,gortanii,
Discoaster lidzii,nannofossils,Discoaster,Discoaster lidzii,lidzii,
Theocampe urceolus,radiolarians,Theocampe,Theocampe urceolus,urceolus,
Cribroperidinium sp. (q),dinoflagellates,Cribroperidinium,Cribroperidinium sp.,sp.,
Spiroplectammina sp.,benthic_forams,Spiroplectammina,Spiroplectammina sp.,sp.,
Globigerina mckannai,planktic_forams,Globigerina,Globigerina mckannai,mckannai,
Lychnocanoma auxilla,radiolarians,Lychnocanoma,Lychnocanoma auxilla,auxilla,
Pterocodon tenellus,radiolarians,Pterocodon,Pterocodon tenellus,tenellus,
Chiasmolithus gigas,nannofossils,Chiasmolithus,Chiasmolithus gigas,gigas,
Quadratobuliminella sp.,benthic_forams,Quadratobuliminella,Quadratobuliminella sp.,sp.,
Navicula directa,diatoms,Navicula,Navicula directa,directa,
Corbisema disymmetrica angulata,silicoflagellates,Corbisema,Corbisema disymmetrica angulata,disymmetrica,angulata
Cocconeis fluminensis,diatoms,Cocconeis,Cocconeis fluminensis,fluminensis,
Cibicides spiralis,benthic_forams,Cibicides,Cibicides spiralis,spiralis,
Globigerinatheka index rubriformis,planktic_forams,Globigerinatheka,Globigerinatheka index rubriformis,index,rubriformis
Robulus plummerae,benthic_forams,Robulus,Robulus plummerae,plummerae,
Alabamina sp.,benthic_forams,Alabamina,Alabamina sp.,sp.,
Cyclolithella plactilus,nannofossils,Cyclolithella,Cyclolithella plactilus,plactilus,
Abyssamina incisa,benthic_forams,Abyssamina,Abyssamina incisa,incisa,
Lejeunia aechmophora,dinoflagellates,Lejeunia,Lejeunia aechmophora,aechmophora,
Spongurus cylindricus,radiolarians,Spongurus,Spongurus cylindricus,cylindricus,
Thalassionema nitzschioides incurvata,diatoms,Thalassionema,Thalassionema nitzschioides incurvata,nitzschioides,incurvata
Guttulina adhaerens,benthic_forams,Guttulina,Guttulina adhaerens,adhaerens,
Acarinina mattseensis wartsteinensis (q),planktic_forams,Acarinina,Acarinina mattseensis wartsteinensis,mattseensis,wartsteinensis
Angulogerina cuneata,benthic_forams,Angulogerina,Angulogerina cuneata,cuneata,
Aequitriradites sp.,pollen,Aequitriradites,Aequitriradites sp.,sp.,
Clausicoccus fenestratus,nannofossils,Clausicoccus,Clausicoccus fenestratus,fenestratus,
Lagena apiculata,benthic_forams,Lagena,Lagena apiculata,apiculata,
Nothofagidites fusca,pollen,Nothofagidites,Nothofagidites fusca,fusca,
Lophodolithus rotundus (q),nannofossils,Lophodolithus,Lophodolithus rotundus,rotundus,
Adnatosphaeridium multispinosum,dinoflagellates,Adnatosphaeridium,Adnatosphaeridium multispinosum,multispinosum,
Rhagodiscus asper,nannofossils,Rhagodiscus,Rhagodiscus asper,asper,
Neochiastozygus imbrei (q),nannofossils,Neochiastozygus,Neochiastozygus imbrei,imbrei,
Corbisema flexuosa,silicoflagellates,Corbisema,Corbisema flexuosa,flexuosa,
Nuphar,pollen,Nuphar,Nuphar,,
Rhizosolenia interposita,diatoms,Rhizosolenia,Rhizosolenia interposita,interposita,
Siphonodosaria modesta,benthic_forams,Siphonodosaria,Siphonodosaria modesta,modesta,
Pentadinium taeniagerum (q),dinoflagellates,Pentadinium,Pentadinium taeniagerum,taeniagerum,
Collosphaeridae,radiolarians,Collosphaeridae,Collosphaeridae,,
Campylosira sp.,diatoms,Campylosira,Campylosira sp.,sp.,
