verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name
Tricolocapsa papillosa,radiolarians,Tricolocapsa,Tricolocapsa papillosa,papillosa,
Globigerina ciperoensis angustiumbilicata,planktic_forams,Globigerina,Globigerina ciperoensis angustiumbilicata,ciperoensis,angustiumbilicata
Disolenia zanguebarica,radiolarians,Disolenia,Disolenia zanguebarica,zanguebarica,
Bachmannocena apiculata inflata (q),silicoflagellates,Bachmannocena,Bachmannocena apiculata inflata,apiculata,inflata
Globigerinoides primitiva (q),planktic_forams,Globigerinoides,Globigerinoides primitiva,primitiva,
Micromarsupium sp. (q),ebridians,Micromarsupium,Micromarsupium sp.,sp.,
Baggina dominicana,benthic_forams,Baggina,Baggina dominicana,dominicana,
Turborotalia compressa,planktic_forams,Turborotalia,Turborotalia compressa,compressa,
Triceratium unguicuilatum,diatoms,Triceratium,Triceratium unguicuilatum,unguicuilatum,
Globorotalia miozea subgroup,planktic_forams,Globorotalia,Globorotalia miozea subgroup,miozea,subgroup
Globoquadrina venezuelana (q),planktic_forams,Globoquadrina,Globoquadrina venezuelana,venezuelana,
Echinomma antarctica (q),radiolarians,Echinomma,Echinomma antarctica,antarctica,
Fragilaria sp.,diatoms,Fragilaria,Fragilaria sp.,sp.,
Deflandrea denticulata,dinoflagellates,Deflandrea,Deflandrea denticulata,denticulata,
Podocyrtis triacantha,radiolarians,Podocyrtis,Podocyrtis triacantha,triacantha,
Acrocythere sp.(q),ostracods,Acrocythere,Acrocythere sp.,sp.,
Helicosphaera euphratis,nannofossils,Helicosphaera,Helicosphaera euphratis,euphratis,
Discoaster hamatus,nannofossils,Discoaster,Discoaster hamatus,hamatus,
Globorotalia munda (q),planktic_forams,Globorotalia,Globorotalia munda,munda,
Rotorbinella tholus,benthic_forams,Rotorbinella,Rotorbinella tholus,tholus,
Helicopontosphaera subantarctica (q),nannofossils,Helicopontosphaera,Helicopontosphaera subantarctica,subantarctica,
Cibicides novozealandica,benthic_forams,Cibicides,Cibicides novozealandica,novozealandica,
Thalassiosira lineata,diatoms,Thalassiosira,Thalassiosira lineata,lineata,
Lampterium sp.,radiolarians,Lampterium,Lampterium sp.,sp.,
Reticulofenestra samodurovii,nannofossils,Reticulofenestra,Reticulofenestra samodurovii,samodurovii,
Fissurina anectus (q),benthic_forams,Fissurina,Fissurina anectus,anectus,
Chaetoceros sp.,diatoms,Chaetoceros,Chaetoceros sp.,sp.,
Nodosaria stiliformis,benthic_forams,Nodosaria,Nodosaria stiliformis,stiliformis,
Syracosphaera histrica (q),nannofossils,Syracosphaera,Syracosphaera histrica,histrica,
Globorotalia pseudobulloides,planktic_forams,Globorotalia,Globorotalia pseudobulloides,pseudobulloides,
Paradictyocha dumitricai,silicoflagellates,Paradictyocha,Paradictyocha dumitricai,dumitricai,
Clavicula polymorpha,diatoms,Clavicula,Clavicula polymorpha,polymorpha,
Macrora stella,silicoflagellates,Macrora,Macrora stella,stella,
Navicula lyra,diatoms,Navicula,Navicula lyra,lyra,
Gomphonema augur,diatoms,Gomphonema,Gomphonema augur,augur,
Globorotalia binaiensis,planktic_forams,Globorotalia,Globorotalia binaiensis,binaiensis,
Orbitolina sp. (q),benthic_forams,Orbitolina,Orbitolina sp.,sp.,
Orbula comitata (q),radiolarians,Orbula,Orbula comitata,comitata,
Theocampe apicata,radiolarians,Theocampe,Theocampe apicata,apicata,
Craniopsis sp.,ebridians,Craniopsis,Craniopsis sp.,sp.,
Corbisema navicula constricta,silicoflagellates,Corbisema,Corbisema navicula constricta,navicula,constricta
Lagena lineata,benthic_forams,Lagena,Lagena lineata,lineata,
Spiniferites ramosus,dinoflagellates,Spiniferites,Spiniferites ramosus,ramosus,
Sphaeroidinellopsis seminulina paenedehiscens,planktic_forams,Sphaeroidinellopsis,Sphaeroidinellopsis seminulina paenedehiscens,seminulina,paenedehiscens
Sethoconus dogieli,radiolarians,Sethoconus,Sethoconus dogieli,dogieli,
Gyroidina quinqueloba,benthic_forams,Gyroidina,Gyroidina quinqueloba,quinqueloba,
Lygistepollenites florinii,pollen,Lygistepollenites,Lygistepollenites florinii,florinii,
Thecosphaerella rotunda,radiolarians,Thecosphaerella,Thecosphaerella rotunda,rotunda,
Globorotalia anfracta (q),planktic_forams,Globorotalia,Globorotalia anfracta,anfracta,
Naviculopsis lacrima,silicoflagellates,Naviculopsis,Naviculopsis lacrima,lacrima,
Pararotalia curryi,benthic_forams,Pararotalia,Pararotalia curryi,curryi,
Ginkgo sp.,pollen,Ginkgo,Ginkgo sp.,sp.,
Globorotalia tosaensis tosaensis,planktic_forams,Globorotalia,Globorotalia tosaensis tosaensis,tosaensis,tosaensis
Asterolampra uraster,diatoms,Asterolampra,Asterolampra uraster,uraster,
Asteromphalus decorus,diatoms,Asteromphalus,Asteromphalus decorus,decorus,
Hantkenina primitiva alabamensis,planktic_forams,Hantkenina,Hantkenina primitiva alabamensis,primitiva,alabamensis
Keteleeria (q),pollen,Keteleeria,Keteleeria,,
Globigerina angiporoides (q),planktic_forams,Globigerina,Globigerina angiporoides,angiporoides,
Pyrgo rotularia,benthic_forams,Pyrgo,Pyrgo rotularia,rotularia,
Discoaster prepentaradiatus (q),nannofossils,Discoaster,Discoaster prepentaradiatus,prepentaradiatus,
Globorotalia tumida flexuosa,planktic_forams,Globorotalia,Globorotalia tumida flexuosa,tumida,flexuosa
Coccolithus subdistichus,nannofossils,Coccolithus,Coccolithus subdistichus,subdistichus,
Thalassionema gravida,diatoms,Thalassionema,Thalassionema gravida,gravida,
Lithomitra imbricata,radiolarians,Lithomitra,Lithomitra imbricata,imbricata,
Graminidites media,pollen,Graminidites,Graminidites media,media,
Tetralithus quadratus,nannofossils,Tetralithus,Tetralithus quadratus,quadratus,
Echinomma delicatulum,radiolarians,Echinomma,Echinomma delicatulum,delicatulum,
Clathrocyclas cabrilloensis,radiolarians,Clathrocyclas,Clathrocyclas cabrilloensis,cabrilloensis,
Hemiaulus altus (q),diatoms,Hemiaulus,Hemiaulus altus,altus,
Pulleniatina obliquiloculata primalis,planktic_forams,Pulleniatina,Pulleniatina obliquiloculata primalis,obliquiloculata,primalis
Mesocena schulzii,silicoflagellates,Mesocena,Mesocena schulzii,schulzii,
Globorotalia hexagona,planktic_forams,Globorotalia,Globorotalia hexagona,hexagona,
Nitzschia plana,diatoms,Nitzschia,Nitzschia plana,plana,
Stichomitra compsa,radiolarians,Stichomitra,Stichomitra compsa,compsa,
Subbotina higginsi,planktic_forams,Subbotina,Subbotina higginsi,higginsi,
Dicladia pylea,diatoms,Dicladia,Dicladia pylea,pylea,
Globotruncana linneiana,planktic_forams,Globotruncana,Globotruncana linneiana,linneiana,
Emiliania huxleyi (q),nannofossils,Emiliania,Emiliania huxleyi,huxleyi,
Anthocyrtidium angulare,radiolarians,Anthocyrtidium,Anthocyrtidium angulare,angulare,
Burseola sp.,benthic_forams,Burseola,Burseola sp.,sp.,
Saxifragaceae,pollen,Saxifragaceae,Saxifragaceae,,
Cassidulinoides tenuis,benthic_forams,Cassidulinoides,Cassidulinoides tenuis,tenuis,
Globigerinoides obliqus,planktic_forams,Globigerinoides,Globigerinoides obliqus,obliqus,
Bulimina beaumonti,benthic_forams,Bulimina,Bulimina beaumonti,beaumonti,
Reticulofenestra  sp. (small),nannofossils,Reticulofenestra,Reticulofenestra  sp.,,sp.
Thurammina papillata,benthic_forams,Thurammina,Thurammina papillata,papillata,
Calocyclas semipolita,radiolarians,Calocyclas,Calocyclas semipolita,semipolita,
Cannartus laticonus (q),radiolarians,Cannartus,Cannartus laticonus,laticonus,
Carpocanopsis cingulatum,radiolarians,Carpocanopsis,Carpocanopsis cingulatum,cingulatum,
Globocassidulina crass,benthic_forams,Globocassidulina,Globocassidulina crass,crass,
Carposphaera modesta,radiolarians,Carposphaera,Carposphaera modesta,modesta,
Dentalina jacksonensis (q),benthic_forams,Dentalina,Dentalina jacksonensis,jacksonensis,
Nodosaria okinoshimaensis,benthic_forams,Nodosaria,Nodosaria okinoshimaensis,okinoshimaensis,
Nonion olssoni,benthic_forams,Nonion,Nonion olssoni,olssoni,
Cymatosira belgica,diatoms,Cymatosira,Cymatosira belgica,belgica,
Dentalina solvata,benthic_forams,Dentalina,Dentalina solvata,solvata,
Siphostichoartus corona,radiolarians,Siphostichoartus,Siphostichoartus corona,corona,
Actiniscus sp.,ebridians,Actiniscus,Actiniscus sp.,sp.,
Cibicides floridanus (q),benthic_forams,Cibicides,Cibicides floridanus,floridanus,
Mitrocalpis araneafera,radiolarians,Mitrocalpis,Mitrocalpis araneafera,araneafera,
Cyclococcolithus jafari,nannofossils,Cyclococcolithus,Cyclococcolithus jafari,jafari,
Calocyclas monumentum,radiolarians,Calocyclas,Calocyclas monumentum,monumentum,
Globorotalia pseudopima (q),planktic_forams,Globorotalia,Globorotalia pseudopima,pseudopima,
Lyramula furcula minor,silicoflagellates,Lyramula,Lyramula furcula minor,furcula,minor
Globorotalia crassaformis crassaformis,planktic_forams,Globorotalia,Globorotalia crassaformis crassaformis,crassaformis,crassaformis
Corocalyptra kruegeri (q),radiolarians,Corocalyptra,Corocalyptra kruegeri,kruegeri,
Foveotriletes palaequetrus (q),pollen,Foveotriletes,Foveotriletes palaequetrus,palaequetrus,
Dictyoconus floridanus,benthic_forams,Dictyoconus,Dictyoconus floridanus,floridanus,
Dictyocha fibula augusta,silicoflagellates,Dictyocha,Dictyocha fibula augusta,fibula,augusta
Globorotalia trinidadensis,planktic_forams,Globorotalia,Globorotalia trinidadensis,trinidadensis,
Clathrocycloma sp.,radiolarians,Clathrocycloma,Clathrocycloma sp.,sp.,
Henryhowella sp.,ostracods,Henryhowella,Henryhowella sp.,sp.,
Globulina sp.,benthic_forams,Globulina,Globulina sp.,sp.,
Cordosphaeridium gracilis,dinoflagellates,Cordosphaeridium,Cordosphaeridium gracilis,gracilis,
Spiniferites monlis,dinoflagellates,Spiniferites,Spiniferites monlis,monlis,
Amphirhopalum ypsilon,radiolarians,Amphirhopalum,Amphirhopalum ypsilon,ypsilon,
Globorotalia siakensis group,planktic_forams,Globorotalia,Globorotalia siakensis group,siakensis,group
Podocyrtis goetheana,radiolarians,Podocyrtis,Podocyrtis goetheana,goetheana,
Gaudryina inflata,benthic_forams,Gaudryina,Gaudryina inflata,inflata,
Rhagodiscus asper,nannofossils,Rhagodiscus,Rhagodiscus asper,asper,
Xanthiopyxis panduraeformis,diatoms,Xanthiopyxis,Xanthiopyxis panduraeformis,panduraeformis,
Brizalina argentea (q),benthic_forams,Brizalina,Brizalina argentea,argentea,
Fissurina dominicana,benthic_forams,Fissurina,Fissurina dominicana,dominicana,
Campylodiscus echeneis,diatoms,Campylodiscus,Campylodiscus echeneis,echeneis,
Hopkinsina wakimotoensis,benthic_forams,Hopkinsina,Hopkinsina wakimotoensis,wakimotoensis,
Marthasterites tribrachiatus (q),nannofossils,Marthasterites,Marthasterites tribrachiatus,tribrachiatus,
Reticulofenestra gartneri (q),nannofossils,Reticulofenestra,Reticulofenestra gartneri,gartneri,
Acanthoica sp. (q),nannofossils,Acanthoica,Acanthoica sp.,sp.,
Lagena hexagona,benthic_forams,Lagena,Lagena hexagona,hexagona,
Dictyocha brachyacantha,silicoflagellates,Dictyocha,Dictyocha brachyacantha,brachyacantha,
Amphiplecta acrostoma,radiolarians,Amphiplecta,Amphiplecta acrostoma,acrostoma,
Echiperiporites estelae,pollen,Echiperiporites,Echiperiporites estelae,estelae,
Epithelion curvatum,diatoms,Epithelion,Epithelion curvatum,curvatum,
Pontosphaera discopora (q),nannofossils,Pontosphaera,Pontosphaera discopora,discopora,
Reophax pilulifer,benthic_forams,Reophax,Reophax pilulifer,pilulifer,
Dictyophimus crisiae,radiolarians,Dictyophimus,Dictyophimus crisiae,crisiae,
Thalassiosira gravida (c0nvex form),diatoms,Thalassiosira,Thalassiosira gravida,gravida,
Tholospyris cupula (q),radiolarians,Tholospyris,Tholospyris cupula,cupula,
Discoaster variabilis pansus,nannofossils,Discoaster,Discoaster variabilis pansus,variabilis,pansus
Denticulopsis seminae,diatoms,Denticulopsis,Denticulopsis seminae,seminae,
Cladococcus sp.,radiolarians,Cladococcus,Cladococcus sp.,sp.,
Thalassionema sp.,diatoms,Thalassionema,Thalassionema sp.,sp.,
Globigerina hexagona,planktic_forams,Globigerina,Globigerina hexagona,hexagona,
Triceratium inconspicuum trilobata,diatoms,Triceratium,Triceratium inconspicuum trilobata,inconspicuum,trilobata
Globorotalia multicamerta,planktic_forams,Globorotalia,Globorotalia multicamerta,multicamerta,
Theocotyle (theocotylissa) alpha,radiolarians,Theocotyle,Theocotyle (theocotylissa) alpha,(theocotylissa),alpha
Nitzschia interrupta,diatoms,Nitzschia,Nitzschia interrupta,interrupta,
Gyroidinoides beisseli,benthic_forams,Gyroidinoides,Gyroidinoides beisseli,beisseli,
Cyrtocapsella tetrapera,radiolarians,Cyrtocapsella,Cyrtocapsella tetrapera,tetrapera,
Denticulopsis seminae fossilis,diatoms,Denticulopsis,Denticulopsis seminae fossilis,seminae,fossilis
Glyphodiscus stellatus,diatoms,Glyphodiscus,Glyphodiscus stellatus,stellatus,
Rouxia antarctica,diatoms,Rouxia,Rouxia antarctica,antarctica,
Stilostomella modesta,benthic_forams,Stilostomella,Stilostomella modesta,modesta,
Globorotalia bolivariana,planktic_forams,Globorotalia,Globorotalia bolivariana,bolivariana,
Parathranium clathratum (q),ebridians,Parathranium,Parathranium clathratum,clathratum,
Ammonia ammoniformis,benthic_forams,Ammonia,Ammonia ammoniformis,ammoniformis,
Coscinodiscus tuberculatus atlantica,diatoms,Coscinodiscus,Coscinodiscus tuberculatus atlantica,tuberculatus,atlantica
Pulleniatina spectabilis praespectabilis,planktic_forams,Pulleniatina,Pulleniatina spectabilis praespectabilis,spectabilis,praespectabilis
Gyroidinoides planulatus,benthic_forams,Gyroidinoides,Gyroidinoides planulatus,planulatus,
Planorotalites pusillus pusillus,planktic_forams,Planorotalites,Planorotalites pusillus pusillus,pusillus,pusillus
Hantkenina aragonensis,planktic_forams,Hantkenina,Hantkenina aragonensis,aragonensis,
Ceratospyris muelleri,radiolarians,Ceratospyris,Ceratospyris muelleri,muelleri,
Dictyocha crux,silicoflagellates,Dictyocha,Dictyocha crux,crux,
Hyperammina sp. (q),benthic_forams,Hyperammina,Hyperammina sp.,sp.,
Diploneis papula,diatoms,Diploneis,Diploneis papula,papula,
Braarudosphaera perversus,nannofossils,Braarudosphaera,Braarudosphaera perversus,perversus,
Corbisema sp.,silicoflagellates,Corbisema,Corbisema sp.,sp.,
Dracodinium varilongituda,dinoflagellates,Dracodinium,Dracodinium varilongituda,varilongituda,
Cyrtocapsella eldholmi,radiolarians,Cyrtocapsella,Cyrtocapsella eldholmi,eldholmi,
Cibicides thiara (q),benthic_forams,Cibicides,Cibicides thiara,thiara,
Velicucullus magnificum,radiolarians,Velicucullus,Velicucullus magnificum,magnificum,
Buccinosphaera invaginata,radiolarians,Buccinosphaera,Buccinosphaera invaginata,invaginata,
Lithotympanium tuberosum,radiolarians,Lithotympanium,Lithotympanium tuberosum,tuberosum,
Globotruncana sublaevigata (q),planktic_forams,Globotruncana,Globotruncana sublaevigata,sublaevigata,
Planorotalites australiformis,planktic_forams,Planorotalites,Planorotalites australiformis,australiformis,
Mesocena apiculata apiculata,silicoflagellates,Mesocena,Mesocena apiculata apiculata,apiculata,apiculata
Melonis nicobarense,benthic_forams,Melonis,Melonis nicobarense,nicobarense,
Cibicidoides succedens (q),benthic_forams,Cibicidoides,Cibicidoides succedens,succedens,
Plagiogramma stauroneis,diatoms,Plagiogramma,Plagiogramma stauroneis,stauroneis,
Gnetum,pollen,Gnetum,Gnetum,,
Tessarospyris pododendros,radiolarians,Tessarospyris,Tessarospyris pododendros,pododendros,
Stilostomella basicarinata,benthic_forams,Stilostomella,Stilostomella basicarinata,basicarinata,
Thalassionema schraderi,diatoms,Thalassionema,Thalassionema schraderi,schraderi,
Pseudoparrella exigua (q),benthic_forams,Pseudoparrella,Pseudoparrella exigua,exigua,
Globigerina praebulloides,planktic_forams,Globigerina,Globigerina praebulloides,praebulloides,
Karreriella biformis,benthic_forams,Karreriella,Karreriella biformis,biformis,
Cibicides yaqatensis,benthic_forams,Cibicides,Cibicides yaqatensis,yaqatensis,
Ellipsolithus subdistichus,nannofossils,Ellipsolithus,Ellipsolithus subdistichus,subdistichus,
Gyroidina nitida,benthic_forams,Gyroidina,Gyroidina nitida,nitida,
Turborotalia siakensis,planktic_forams,Turborotalia,Turborotalia siakensis,siakensis,
Discoaster pseudovariabilis (q),nannofossils,Discoaster,Discoaster pseudovariabilis,pseudovariabilis,
Quinqueloculina lamarckiana,benthic_forams,Quinqueloculina,Quinqueloculina lamarckiana,lamarckiana,
Triceratium chenevieri,diatoms,Triceratium,Triceratium chenevieri,chenevieri,
Quinqueloculina heidingeri,benthic_forams,Quinqueloculina,Quinqueloculina heidingeri,heidingeri,
Lucianorhabdus cayeuxii,nannofossils,Lucianorhabdus,Lucianorhabdus cayeuxii,cayeuxii,
Turborotalia mckannai,planktic_forams,Turborotalia,Turborotalia mckannai,mckannai,
Stilostomella midwayensis,benthic_forams,Stilostomella,Stilostomella midwayensis,midwayensis,
Spongotrochus cruciferus,radiolarians,Spongotrochus,Spongotrochus cruciferus,cruciferus,
Pterotheca major,diatoms,Pterotheca,Pterotheca major,major,
Cannopilus diplostaurus,silicoflagellates,Cannopilus,Cannopilus diplostaurus,diplostaurus,
Cyclococcolithus leptoporus (q),nannofossils,Cyclococcolithus,Cyclococcolithus leptoporus,leptoporus,
Corbisema triacantha triacantha (plate),silicoflagellates,Corbisema,Corbisema triacantha triacantha,triacantha,triacantha
Porodiscus sp.,radiolarians,Porodiscus,Porodiscus sp.,sp.,
Dictyocha neonautica cocosensis,silicoflagellates,Dictyocha,Dictyocha neonautica cocosensis,neonautica,cocosensis
Globigerina soldadensis (q),planktic_forams,Globigerina,Globigerina soldadensis,soldadensis,
Discoaster gemmifer (q),nannofossils,Discoaster,Discoaster gemmifer,gemmifer,
Uvigerina breviata,benthic_forams,Uvigerina,Uvigerina breviata,breviata,
Odontochitina operculata,dinoflagellates,Odontochitina,Odontochitina operculata,operculata,
Marssonella oxycona,benthic_forams,Marssonella,Marssonella oxycona,oxycona,
Thoracosphaera heimii,nannofossils,Thoracosphaera,Thoracosphaera heimii,heimii,
Globigerinatheka subconglobata,planktic_forams,Globigerinatheka,Globigerinatheka subconglobata,subconglobata,
Turborotalia semivera,planktic_forams,Turborotalia,Turborotalia semivera,semivera,
Ericsonia eopelagica (q),nannofossils,Ericsonia,Ericsonia eopelagica,eopelagica,
Pullenia quinqueloba angusta,benthic_forams,Pullenia,Pullenia quinqueloba angusta,quinqueloba,angusta
Turborotalia wilsoni pseudomayeri,planktic_forams,Turborotalia,Turborotalia wilsoni pseudomayeri,wilsoni,pseudomayeri
Plectina dalmatina,benthic_forams,Plectina,Plectina dalmatina,dalmatina,
Cibicides spiralis,benthic_forams,Cibicides,Cibicides spiralis,spiralis,
Dicliptera sp.,pollen,Dicliptera,Dicliptera sp.,sp.,
Globigerina schachdagica (q),planktic_forams,Globigerina,Globigerina schachdagica,schachdagica,
Engelhardtia sp.,pollen,Engelhardtia,Engelhardtia sp.,sp.,
Turborotalia acrostoma,planktic_forams,Turborotalia,Turborotalia acrostoma,acrostoma,
Clathrocyclas spatiosa,radiolarians,Clathrocyclas,Clathrocyclas spatiosa,spatiosa,
Coccolithus abisectus (q),nannofossils,Coccolithus,Coccolithus abisectus,abisectus,
Dictyocha fibula pumila,silicoflagellates,Dictyocha,Dictyocha fibula pumila,fibula,pumila
Triloculina arctica,benthic_forams,Triloculina,Triloculina arctica,arctica,
Globorotalia miotumida miotumida (q),planktic_forams,Globorotalia,Globorotalia miotumida miotumida,miotumida,miotumida
Braarudosphaera bigelowii,nannofossils,Braarudosphaera,Braarudosphaera bigelowii,bigelowii,
Parhabdolithus embergeri,nannofossils,Parhabdolithus,Parhabdolithus embergeri,embergeri,
Globorotalia obesa,planktic_forams,Globorotalia,Globorotalia obesa,obesa,
Globigerinatheka howeii,planktic_forams,Globigerinatheka,Globigerinatheka howeii,howeii,
Trochammina altiformis,benthic_forams,Trochammina,Trochammina altiformis,altiformis,
Dentalina ittae,benthic_forams,Dentalina,Dentalina ittae,ittae,
Artemisia sp.,pollen,Artemisia,Artemisia sp.,sp.,
Larcopyle sp.,radiolarians,Larcopyle,Larcopyle sp.,sp.,
Alabamina dissonata,benthic_forams,Alabamina,Alabamina dissonata,dissonata,
Coscinodiscus hustedtii,diatoms,Coscinodiscus,Coscinodiscus hustedtii,hustedtii,
Coccolithus pelagicus,nannofossils,Coccolithus,Coccolithus pelagicus,pelagicus,
Zygolithus distentus,nannofossils,Zygolithus,Zygolithus distentus,distentus,
Cyclococcolithina leptopora,nannofossils,Cyclococcolithina,Cyclococcolithina leptopora,leptopora,
Pararotalia sp. (q),benthic_forams,Pararotalia,Pararotalia sp.,sp.,
Discoaster sublodoensis (q),nannofossils,Discoaster,Discoaster sublodoensis,sublodoensis,
Reophax nodulosa (q),benthic_forams,Reophax,Reophax nodulosa,nodulosa,
Svalbardella australina (q),dinoflagellates,Svalbardella,Svalbardella australina,australina,
Foraminisporis wontaggiensis,pollen,Foraminisporis,Foraminisporis wontaggiensis,wontaggiensis,
Anaulus subantarcticus,diatoms,Anaulus,Anaulus subantarcticus,subantarcticus,
Thalassiosira convexa aspinosa,diatoms,Thalassiosira,Thalassiosira convexa aspinosa,convexa,aspinosa
Lithocarpium fragilis,radiolarians,Lithocarpium,Lithocarpium fragilis,fragilis,
Bolivina translucens (q),benthic_forams,Bolivina,Bolivina translucens,translucens,
Stilostomella consobrina,benthic_forams,Stilostomella,Stilostomella consobrina,consobrina,
Planulina wuellerstorfi,benthic_forams,Planulina,Planulina wuellerstorfi,wuellerstorfi,
Pleurostomella sapperi,benthic_forams,Pleurostomella,Pleurostomella sapperi,sapperi,
Hastigerinella bermudezi,planktic_forams,Hastigerinella,Hastigerinella bermudezi,bermudezi,
Corbisema hastata incohata,silicoflagellates,Corbisema,Corbisema hastata incohata,hastata,incohata
Micrantholithus attenuatus,nannofossils,Micrantholithus,Micrantholithus attenuatus,attenuatus,
Fibrocysta bipolare,dinoflagellates,Fibrocysta,Fibrocysta bipolare,bipolare,
