Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1462C-38R-CC-PAL-NANNO,0,5,207.91,207.96,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],F [A30],,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-42R-CC-PAL-NANNO,0,5,227.38,227.43,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],F [A30],P [A30],,,,,,,,,,,,,,,,,,,F [A30],,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,very rare in matrix,,,
356-U1462C-45R-CC-PAL-NANNO,0,5,242.54,242.59,,,M [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-46R-CC-PAL-NANNO,0,3,246.9,246.93,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,,,,,,,,,,,R [A30],,R [A30],,,,,R [A30],,,,,R [A30],,,,,,,,,,,,P [A30],,,,,,,,,P [A30],,,,,,
356-U1462C-47R-CC-PAL-NANNO,0,5,252.96,253.01,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,,,,,,,,,,,P [A30],P [A30],P [A30],,,,,R [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1462C-48R-CC-PAL-NANNO,0,2,256.7,256.72,,,G [P33],R [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,R [A30],,,,,,,,,,,R [A30],,,,,,R [A30],R [A30],,,,,,,,,,,,,P [A30],,,,P [A30],,,,,,,,,P [A30],,,,,,
356-U1462C-50R-CC-PAL-NANNO,0,3,267.41,267.44,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,,,,,,,,,,,R [A30],,R [A30],,,,A [A23],R [A30],,,,,R [A30],,,,,,,,R [A30],,,,P [A30],,,,,,,,,R [A30],,,,,,
356-U1462C-55R-CC-PAL-NANNO,0,5,290.59,290.64,,,G [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],P [A30],,,,,,,,,,,,,P [A30],,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,R [A30],,,,,,
356-U1462C-59R-CC-PAL-NANNO,0,5,310.09,310.14,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],,,,,,,,,,,,,,F [A30],P [A30],F [A30],,,,C [A04],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,
356-U1462C-60R-CC-PAL-NANNO,0,5,316.15,316.2,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,,,,,,,,,,,,,,,,F [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,P [A30],,,F [A30],,,,,,
356-U1462C-62R-CC-PAL-NANNO,0,5,328.5,328.55,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],,,,,,,,,,,,,,C [A04],P [A30],C [A04],,,,F [A30],C [A04],,,,,P [A30],,,,,,,,P [A30],,,,,,,,,,,,,P [A30],,,,,,
356-U1462C-63R-CC-PAL-NANNO,0,5,332.69,332.74,,,M [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,P [A30],,,,,,,,,,,,,C [A04],,F [A30],,,,,C [A04],,,,,,,,,,,,,P [A30],,,,P [A30],,,,,,,,,P [A30],,,,,,
356-U1462C-66R-CC-PAL-NANNO,0,5,353.37,353.42,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,F [A30],,,,,,,,,,,,,F [A30],,F [A30],,,,A [A23],C [A04],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,
356-U1462C-68R-CC-PAL-NANNO,0,5,368.24,368.29,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],F [A30],,,,,,,,,,,,,F [A30],,F [A30],,,,,F [A30],,,,,,,,,,,,,P [A30],,,,P [A30],,,,,,,,,F [A30],,,,,,
356-U1462C-69R-CC-PAL-NANNO,0,5,369.76,369.81,,,M [P33],C [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,P [A30],,F [A30],,,,C [A04],C [A04],,,,,,,,,P [A30],,,,,,,,,,,,,,P [A30],,,,,,,,,
356-U1462C-71R-CC-PAL-NANNO,0,5,380.36,380.41,,,G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,R [A30],,,,,,,,F [A30],,,,R [A30],,,,,,P [A30],,,R [A30],,,,,,
356-U1462C-73R-CC-PAL-NANNO,0,5,387.56,387.61,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,,F [A30],,,,R [A30],,,,F [A30],,,,P [A30],,,P [A30],,,R [A30],,,F [A30],,,,,,
356-U1462C-75R-CC-PAL-NANNO,0,12,400.54,400.66,,,G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,R [A30],F [A30],,,,R [A30],,,,F [A30],,,,,,,,,,P [A30],,,,,,,,,
356-U1462C-77R-CC-PAL-NANNO,0,5,407.46,407.51,,,G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,P [A30],R [A30],,,,R [A30],,,,F [A30],,,,P [A30],,,,,,P [A30],,,,,,,,,
356-U1462C-79R-CC-PAL-NANNO,0,8,419.57,419.65,,,G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,P [A30],F [A30],,,,R [A30],,,,R [A30],,,,,,,,,,R [A30],,,,,,,,,
356-U1462C-81R-CC-PAL-NANNO,0,6,427.24,427.3,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,F [A30],,,,,,C [A04],C [A04],,,,,R [A30],,,,,,,,R [A30],,,P [A30],,,,,,,,,,R [A30],,,,,,
356-U1462C-83R-CC-PAL-NANNO,0,10,438.32,438.42,,,G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,F [A30],,,,,,,,,,P [A30],,,,C [A04],,,,,,,,,,,,,,,F [A30],,,,,,A [A23],C [A04],,,,,R [A30],,,,R [A30],,,,R [A30],,,R [A30],,,,,,,,,,R [A30],,,,,,
356-U1462C-85R-CC-PAL-NANNO,0,8,447.72,447.8,,,G [P33],F [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,F [A30],C [A04],,,,,R [A30],,,,R [A30],,,,R [A30],,,,,,,,,,,,,R [A30],,,,,,
356-U1462C-87R-CC-PAL-NANNO,0,8,457.84,457.92,NN17 [G12],"NN17 - Discoaster pentaradiatus (Gradstein et al., 2012)",G [P33],F [A22],,,R [A30],,,,,,,,,,,,,,F [A30],,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,F [A30],C [A04],,,,,R [A30],,,,F [A30],,,,R [A30],,,P [A30],,,,,,,,,P [A30],R [A30],,,rare D. pentaradiatus (broken rays),,,
356-U1462C-89R-CC-PAL-NANNO,0,10,467.41,467.51,,,M [P33],C [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,R [A30],,,F [A30],,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,R [A30],,,,P [A30],,,,P [A30],,,,P [A30],,P [A30],,,P [A30],F [A30],,P [A30],,,,,,,
356-U1462C-91R-CC-PAL-NANNO,0,5,478.61,478.66,,,G [P33],C [A22],,,P [A30],,,,,,,,,,,,,,P [A30],,,,,,,,,,,P [A30],,,C [A04],F [A30],,,,,,,,,,,,,,C [A04],,,,,P [A30],C [A04],C [A04],,,,,P [A30],,,,,,,,F [A30],,,,,,,,,,F [A30],,P [A30],,,,,,,
356-U1462C-93R-CC-PAL-NANNO,0,5,487.46,487.51,,,G [P33],A [A22],,,F [A30],,,,,,,,,,P [A30],,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,C [A04],,F [A30],,,,A [A23],A [A23],,,,,P [A30],,P [A30],,,,,,F [A30],,,,,,F [A30],,,,P [A30],,,,,P [A30],reworked R. pseudoumbilicus (no sphenoliths),,,
356-U1462C-95R-CC-PAL-NANNO,0,5,498.57,498.62,,,G [P33],A [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,F [A30],,F [A30],,,,A [A23],A [A23],,,,,,,,,,,,,F [A30],,,,P [A30],,,,,,F [A30],,,,,,,,,
356-U1462C-97R-CC-PAL-NANNO,0,5,506.82,506.87,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,C [A04],,,,V [A94],A [A23],,,,P [A30],,,,,,,,,F [A30],,,,,,P [A30],,,,,,,P [A30],,,no Discoasters / C. macintyrei observed,,,
356-U1462C-99R-CC-PAL-NANNO,0,5,514.49,514.54,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,F [A30],,,,,,V [A94],A [A23],,,,,,,P [A30],,,,,,R [A30],,,,P [A30],,P [A30],,,,P [A30],,,,,,"5-rayed Discoaster, overgrown",,,
356-U1462C-101R-CC-PAL-NANNO,0,5,527.45,527.5,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",M [P33],A [A22],,,F [A30],,,,,,,,,,P [A30],,,,,,,,,,,P [A30],P [A30],,,P [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,V [A94],A [A23],,,,,P [A30],,,,P [A30],,,,F [A30],,,,,,P [A30],,,,,,,,,,,,,
356-U1462C-104R-CC-PAL-NANNO,0,5,542.96,543.01,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,R [A30],,,,,,,,F [A30],,,,R [A30],,,,,,,,,,,,,,,
356-U1462C-105R-CC-PAL-NANNO,0,5,546.56,546.61,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,P [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,,F [A30],,,,,,,,F [A30],,,,,,P [A30],,,P [A30],,,,,,,,,,
356-U1462C-107R-4-PAL-NANNO,0,5,557.99,558.04,,,G [P33],C [A22],,,R [A30],,,,,,,,,,R [A30],,,,P [A30],,,,,,,P [A30],P [A30],,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,,,P [A30],F [A30],,,,,,,,F [A30],,,R [A30],P [A30],,,,P [A30],,P [A30],,,,,P [A30],reworked R. bisecta,,,
356-U1462C-109R-CC-PAL-NANNO,0,5,565.6,565.65,,,G [P33],C [A22],,,F [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],C [A04],,F [A30],,,F [A30],,,,,,,,P [A30],,,R [A30],,,,,,,R [A30],,,,,,,,,
356-U1462C-111R-CC-PAL-NANNO,0,6,574.58,574.64,,,G [P33],C [A22],,,F [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,P [A30],,,,R [A30],,,F [A30],,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,C [A04],,,R [A30],,,,,,,,F [A30],,,P [A30],P [A30],,,,,P [A30],,,,R [A30],,,,,,
356-U1462C-113R-CC-PAL-NANNO,0,5,584.7,584.75,NN15 [G12],"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,F [A30],,,,R [A30],,C [A04],C [A04],,C [A04],,,,,,,,,,,F [A30],,,R [A30],P [A30],,,,,P [A30],,,,,,R [A30],reworked R. bisecta,,,
356-U1462C-115R-CC-PAL-NANNO,0,6,592.52,592.58,,,G [P33],C [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,R [A30],,C [A04],F [A30],,A [A23],,,F [A30],,,,,,,,R [A30],,,,P [A30],,,,,,,,,R [A30],,R [A30],reworked R. bisecta,,,
356-U1462C-117R-CC-PAL-NANNO,0,6,605.66,605.72,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,R [A30],,,,R [A30],P [A30],F [A30],C [A04],,C [A04],,,R [A30],,,,,,,,R [A30],,,,,,,,,,,,,R [A30],,R [A30],reworked R. bisecta,,,
356-U1462C-121R-CC-PAL-NANNO,0,5,625.02,625.07,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,F [A30],,,,,,,,,,,,,,,P [A30],,,,P [A30],F [A30],V [A94],A [A23],,C [A04],,P [A30],P [A30],,P [A30],,,,,,F [A30],,,,,,F [A30],,,,,,P [A30],,,F [A30],reworked R. bisecta,,,
356-U1462C-125R-CC-PAL-NANNO,0,5,641.78,641.83,,,G [P33],A [A22],,,P [A30],,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],,,,F [A30],,V [A94],V [A94],,C [A04],,,P [A30],,,,,,,,F [A30],,,,,,F [A30],,,,,,,F [A30],,,,,,
356-U1462C-129R-CC-PAL-NANNO,0,5,664.41,664.46,,,G [P33],A [A22],,,R [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,,P [A30],,,R [A30],,,,,,,,,,,,,,,,,,P [A30],,,,F [A30],P [A30],V [A94],A [A23],,C [A04],,,R [A30],,F [A30],,,,,,F [A30],,,,F [A30],P [A30],F [A30],,,P [A30],,,,,,P [A30],reworked R. bisecta,,,
356-U1462C-131R-4-PAL-NANNO,0,5,673.5,673.55,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,P [A30],,,R [A30],,,,,,,,,,,,,,,,,,P [A30],,,R [A30],F [A30],P [A30],A [A23],A [A23],,C [A04],,,R [A30],,F [A30],,R [A30],,,,F [A30],,,,R [A30],,,,,,,,,,,P [A30],reworked R. bisecta,,,
356-U1462C-133R-CC-PAL-NANNO,0,5,684.24,684.29,NN14 [G12],"NN14 - Discoaster asymmetricus (Gradstein et al., 2012)",G [P33],A [A22],,P [A30],R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],R [A30],,,R [A30],,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],P [A30],V [A94],A [A23],,C [A04],,,,,P [A30],,,,,,F [A30],,,P [A30],P [A30],,,,,P [A30],,,P [A30],,,,,,,
356-U1462C-135R-CC-PAL-NANNO,0,7,703.74,703.81,,,G [P33],A [A22],,P [A30],R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,P [A30],,,F [A30],C [A04],P [A30],A [A23],C [A04],,C [A04],,P [A30],P [A30],,,,,,,,F [A30],,,R [A30],P [A30],,,,,,,,,,,R [A30],reworked R. bisecta and Cy. floridanus,,,
356-U1462C-137R-CC-PAL-NANNO,0,5,723.74,723.79,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,F [A30],C [A04],R [A30],A [A23],C [A04],,C [A04],,P [A30],,,P [A30],,,,,,F [A30],,,R [A30],,,,,,,,,,,,F [A30],reworked R. bisecta (F) and Cy. floridanus (R),,,
356-U1462C-139R-CC-PAL-NANNO,0,5,742.66,742.71,,,G [P33],A [A22],,,P [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,F [A30],C [A04],R [A30],A [A23],C [A04],,C [A04],,,,,R [A30],,,,,,F [A30],,,,P [A30],,,,,,P [A30],,,R [A30],,R [A30],reworked R. bisecta and Cy. floridanus,,,
356-U1462C-141R-CC-PAL-NANNO,0,6,759.59,759.65,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,R [A30],,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,P [A30],,,F [A30],C [A04],F [A30],A [A23],A [A23],,C [A04],,,R [A30],,R [A30],,,,,,P [A30],,,,,,,,,P [A30],,,P [A30],P [A30],,F [A30],reworked R. bisecta (F) and Cy. floridanus (R),,,
