Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
354-U1449A-16F-CC-PAL-FORAM,0,9,83.24,83.33,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A102],R [A102],,,,R [A102],,,,F [A102],,F [A102],,,,,A [A102],,,R [A102],,,,,,,,,,,354,U1449,A,16,F,CC,PAL,FORAM
354-U1449A-17F-CC-PAL-FORAM,0,10,88.14,88.24,,,,,,,,,C [A101],M [P38],S [F02],98,3,,,"Some moderate infilling of specimens, occasionally making identification difficult. clay rich sample.",,,,,,,,R [A102],,,,R [A102],,,,F [A102],,C [A102],R [A102],,,,R [A102],,,,,,,,,,,,R [A102],,,,,,,,A [A102],R [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,17,F,CC,PAL,FORAM
354-U1449A-18H-CC-PAL-FORAM,0,3,97,97.03,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],M [P38],M [F02],98,2,,,moderate infilling.,,,,,,,,F [A102],,,,R [A102],,,,F [A102],,C [A102],R [A102],,,,F [A102],,,,,,,,,,,,R [A102],,,,,,R [A102],,A [A102],R [A102],,,,,,,,F [A102],,F [A102],,,,,C [A102],,,R [A102],R [A102],,,,,,,,,,354,U1449,A,18,H,CC,PAL,FORAM
354-U1449A-19H-CC-PAL-FORAM,0,5,105.1,105.15,,,,,,,,,C [A101],M [P38],M [F02],95,2,,,very small sample size,,,,,,,,F [A102],,R [A102],,R [A102],,,,C [A102],,C [A102],R [A102],,,,F [A102],,,,,,,,,,,,,,,,,,,,R [A102],R [A102],,,,R [A102],R [A102],,,F [A102],,R [A102],,,,,C [A102],,,R [A102],R [A102],,,,,,,,,,354,U1449,A,19,H,CC,PAL,FORAM
354-U1449A-20H-CC-PAL-FORAM,0,9,109.93,110.02,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,C [A101],G [P38],M [F02],100,2,,,very small sample,,,,,,,,R [A102],,,,R [A102],,,R [A102],R [A102],,R [A102],R [A102],,,,R [A102],,,,,,,,,,,,,,,,,,R [A102],,R [A102],R [A102],,,,R [A102],,,,R [A102],,R [A102],,,,,R [A102],,,R [A102],R [A102],,,,,,,,,,354,U1449,A,20,H,CC,PAL,FORAM
354-U1449A-21H-CC-PAL-FORAM,0,10,113.32,113.42,,,,,,,,,A [A101],G [P38],L [F02],100,1,,,,,,,,,,,R [A102],,F [A102],,R [A102],,,R [A102],R [A102],,C [A102],R [A102],,,,R [A102],,,,,,,,,,,,R [A102],,,,,,,,F [A102],F [A102],,,,,,,,C [A102],,A [A102],,,,,C [A102],,,C [A102],R [A102],,,,,,,,,,354,U1449,A,21,H,CC,PAL,FORAM
354-U1449A-22F-CC-PAL-FORAM,0,10,118.36,118.46,,,,,,,,,A [A101],M [P38],L [F02],100,1,,,"small sample, contains wood",,,,,,,,R [A102],,R [A102],,R [A102],,,,R [A102],,A [A102],R [A102],,,,F [A102],,,,,,,,,,,,,,,,,,,,C [A102],R [A102],,,,,,,,F [A102],,C [A102],,,,,C [A102],,,R [A102],,,,,,,,,,,354,U1449,A,22,F,CC,PAL,FORAM
354-U1449A-23F-3-W 41/47-FORAM,0,6,121.51,121.57,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,F [A101],VG [P38],L [F02],,1,,,,,,,,,,,,,R [A102],,R [A102],,,,,,C [A102],R [A102],C [A102],,,,,,,,,,,,,,,F [A102],,,,,,R [A102],,F [A102],,,,,,,,,A [A102],,R [A102],,,,,C [A102],,,R [A102],,,,,,,,,,,354,U1449,A,23,F,3,W,41/47-FORAM
354-U1449A-23F-CC-PAL-FORAM,0,10,123.09,123.19,,,,,PT1a [G12],"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,F [A101],M [P38],L [F02],100,1,,,"A lot of clay, moderate infilling, v. sample",,,,,,,,R [A102],,R [A102],,R [A102],,,R [A102],F [A102],,A [A102],F [A102],,,,F [A102],,,,,,,,,,,,,,,,,,R [A102],,A [A102],R [A102],,,,R [A102],,,,C [A102],,F [A102],,,,,C [A102],,,,R [A102],,,,,,,,,,354,U1449,A,23,F,CC,PAL,FORAM
354-U1449A-24F-CC-PAL-FORAM,0,10,127.84,127.94,,,,,,,,,C [A101],G [P38],L [F02],95,1,,,,,,,,,,,R [A102],,R [A102],,F [A102],,,R [A102],,,A [A102],R [A102],,,,R [A102],,,,,,,,,,,,R [A102],,,,,,,,C [A102],R [A102],,,,R [A102],R [A102],,,C [A102],,C [A102],,,,,C [A102],,,R [A102],R [A102],,,,,,,,,,354,U1449,A,24,F,CC,PAL,FORAM
354-U1449A-25F-CC-PAL-FORAM,0,10,132.44,132.54,,,,,,,,,A [A101],G [P38],M [F02],100,2,,,"v. small sample, contains wood",,,,,,,,R [A102],,R [A102],,R [A102],,,R [A102],F [A102],,A [A102],R [A102],,,,F [A102],,,,,,,,,,,,,,,,,,,,C [A102],,,,,R [A102],R [A102],,,R [A102],,R [A102],,,,,C [A102],,,,,,,,,,,,,,354,U1449,A,25,F,CC,PAL,FORAM
354-U1449A-26F-CC-PAL-FORAM,0,10,137.12,137.22,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,26,F,CC,PAL,FORAM
354-U1449A-27F-CC-PAL-FORAM,0,12,141.63,141.75,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,27,F,CC,PAL,FORAM
354-U1449A-28F-CC-PAL-FORAM,0,10,146.39,146.49,"T Globigerinoides fistulosus (Gradstein et al., 2012)",T Globigerinoides fistulosus,,1.88,,,,,R [A101],M [P38],M [F02],98,2,,,Tiny sample! Hardly any material.,,,,,,,,,,,,R [A102],,,,R [A102],,,R [A102],,,,R [A102],,,,,,,,,,,,,,,,,,,,R [A102],R [A102],,,,,,,,R [A102],,,,,,,R [A102],,,,,,,,,,,,,,354,U1449,A,28,F,CC,PAL,FORAM
354-U1449A-33X-CC-PAL-FORAM,0,0,166.38,166.38,,,,,,,,,B [A101],,,,,,,Sample contains metal fragments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,33,X,CC,PAL,FORAM
354-U1449A-34X-CC-PAL-FORAM,0,10,177.05,177.15,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,34,X,CC,PAL,FORAM
354-U1449A-36X-CC-PAL-FORAM,0,4,195.3,195.34,,,,,PL6 [G12],"PL6 - Globigerinoides fistulosus Highest-occurrence Zone (Atlantic) (Gradstein et al., 2012)",1.88,2.39,C [A101],VG [P38],L [F02],97,1,,,,,,,,,,,,,R [A102],,R [A102],,R [A102],R [A102],,,F [A102],R [A102],,,R [A102],,,,,,,,,,,,,,,,,,,,,C [A102],,,,,,,,,C [A102],,F [A102],,,,,F [A102],,,F [A102],C [A102],,,,,,,,,,354,U1449,A,36,X,CC,PAL,FORAM
354-U1449A-37F-CC-PAL-FORAM,0,4,209.75,209.79,,,,,,,,,B [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1449,A,37,F,CC,PAL,FORAM
354-U1449A-38H-CC-PAL-FORAM,0,3,213.54,213.57,,,,,,,,,R [A101],G [P38],L [F02],98,1,,,"Very low abundance, sample mainly consists of fine mica grains.",,,,,,,,,,R [A102],,R [A102],,,R [A102],,,F [A102],,,,,,,,,,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,R [A102],,,,,R [A102],,,R [A102],,,,,,,,,,,354,U1449,A,38,H,CC,PAL,FORAM
