Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466B-9R-CC-PAL,0,4,382.79,382.83,,,M,C,,,,,,,,,A,A,A,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,9,R,CC,P
359-U1466B-10R-1,75,75,392.45,392.45,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,B,10,R,1,
359-U1466B-10R-2-W,15,15,393.1,393.1,,,M,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,B,10,R,2,W
359-U1466B-10R-2-W,24,24,393.19,393.19,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,B,10,R,2,W
359-U1466B-10R-2-W,90,90,393.85,393.85,,,M,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,B,10,R,2,W
359-U1466B-10R-CC-PAL,0,5,394.18,394.23,,,M,C,,,,,,,,,P,C,A,C,,,R,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,10,R,CC,P
359-U1466B-11R-1-W 82/85-PAL,0,3,402.22,402.25,,,M,C,,,,,,,,,,F,F,A,,,R,,R,,,,,,,R,,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,11,R,1,W
359-U1466B-11R-2,43,43,402.78,402.78,,,M,C,,,,,,,,,,F,F,A,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,11,R,2,
359-U1466B-11R-CC-W,64,64,403.95,403.95,,,P,F,,,,,,,,,,,F,F,,,,,,,,,,,,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,11,R,CC,W
359-U1466B-12R-1,55,55,411.65,411.65,,,P,F,,,,,,,,,R,R,,R,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,12,R,1,
359-U1466B-12R-CC-PAL,0,5,412.53,412.58,,,M,A,,,,,,,,R,C,C,C,A,,,R,,R,,,,,,F,F,,,,,,,,F,,,,,,,,P,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,12,R,CC,P
359-U1466B-13R-2-W,52,52,422.82,422.82,,,G,A,,,,,,,,,,R,R,A,,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,13,R,2,W
359-U1466B-13R-CC-PAL,0,5,423.48,423.53,,,M,A,,,,,,,,,C,C,C,A,,,,,,,,,,,F,F,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,13,R,CC,P
359-U1466B-14R-1-W,94,94,431.44,431.44,,,G,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,14,R,1,W
359-U1466B-14R-CC-PAL,0,5,432.41,432.46,,,M,A,,,,,,,,,,C,C,A,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,14,R,CC,P
359-U1466B-15R-CC-PAL,0,5,441.54,441.59,,,M,A,,,,,,,,,,C,C,A,,,,,R,,,,,F,,F,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,15,R,CC,P
359-U1466B-16R-CC-PAL,0,5,450.83,450.88,,,M,C,,,,,,,,,P,C,,A,,,R,,C,,,,,,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,B,16,R,CC,P
359-U1466B-17R-CC-PAL,0,5,460.43,460.48,,,P,F,,,,,,,,,P,F,R,F,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,17,R,CC,P
359-U1466B-18R-CC-PAL,0,5,469.85,469.9,,,M,A,,,,,,,,,,F,,F,,,P,,R,,,,,,,,,,,,,,,F,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,18,R,CC,P
359-U1466B-19R-CC-PAL,0,5,479.68,479.73,,,M,A,,,,,,,,,,F,F,F,,,R,,R,,,,,,P,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,19,R,CC,P
359-U1466B-20R-CC-PAL,0,5,484.52,484.57,,,G,C,,,,,,,,,,F,F,C,,,P,,F,,,,,,F,F,P,,,,,,,F,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,20,R,CC,P
359-U1466B-21R-1-PAL,0,3,489.02,489.05,,,P,R,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,21,R,1,P
359-U1466B-22R-1-W,77,77,494.27,494.27,,,M,C,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,B,22,R,1,W
359-U1466B-22R-1-W,101,101,494.51,494.51,,,M,C,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,B,22,R,1,W
359-U1466B-22R-CC-PAL,0,5,494.94,494.99,,,G,A,,,,,,,,,,F,P,R,,,F,,F,,,,,,R,P,R,,,,,,,F,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,unidentifiable 5 rays Discoaster,,,,359,U1466,B,22,R,CC,P
359-U1466B-23R-CC-PAL,0,5,499.14,499.19,,,M,A,,,,,,,,,,,A,R,,,F,,R,,,,,,R,P,P,,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,unidentifiable 5 rays Discoaster,,,,359,U1466,B,23,R,CC,P
359-U1466B-24R-1-W,27,27,503.47,503.47,,,M,F,,,,,,,,,,R,C,R,,,R,R,,,,,,,R,R,F,R,,,,,,F,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,24,R,1,W
359-U1466B-24R-CC-PAL,0,5,504.2,504.25,,,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentifiable 5 rays Discoaster,,,,359,U1466,B,24,R,CC,P
359-U1466B-25R-1-W,99,99,509.19,509.19,,,M,C,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,B,25,R,1,W
359-U1466B-25R-2-W,28,28,509.98,509.98,,,M,C,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,B,25,R,2,W
359-U1466B-25R-CC-PAL,0,5,510.63,510.68,,,G,A,,,,,,,,,,A,A,C,,,C,R,R,,,,,F,C,R,R,R,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,25,R,CC,P
359-U1466B-26R-CC-PAL,0,5,519.05,519.1,,,M,C,,,,,,,,,,R,R,R,,,,,P,,,,,,R,,P,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentifiable 5 rays Discoaster,,,,359,U1466,B,26,R,CC,P
359-U1466B-27R-CC-PAL,0,5,527.8,527.85,,,M,F,,,,,,,,,,R,R,F,,,,,R,,,,,,,,R,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentifiable 5 rays Discoaster,,,,359,U1466,B,27,R,CC,P
359-U1466B-28R-CC-PAL,0,5,539.03,539.08,,,M,C,,,,,,,,,,R,R,C,,,,F,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,28,R,CC,P
359-U1466B-29R-CC-PAL,0,5,542.64,542.69,,,M,C,,,,,,,,,R,F,R,R,,,R,,R,,,,,,P,P,,P,,,,,,R,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,29,R,CC,P
359-U1466B-30R-1-W,63,63,547.73,547.73,,,M,C,,,,,,,,,R,R,R,,,,R,,R,,,,,,F,F,,,,,,,,F,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,B,30,R,1,W
359-U1466B-30R-CC-PAL,0,5,548.19,548.24,,,M,C,,,,,,,,,R,R,R,,,,R,,R,,,,,,F,F,,,,,,,,F,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,B,30,R,CC,P
359-U1466B-31R-CC-PAL,0,5,558.66,558.71,,,M,C,,,,,,,,,,F,F,R,,,R,,,,,,,,R,R,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,31,R,CC,P
359-U1466B-32R-1-W,3,3,566.53,566.53,,,M,R,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,B,32,R,1,W
359-U1466B-32R-1-W,34,34,566.84,566.84,,,P,R,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,B,32,R,1,W
359-U1466B-32R-CC-PAL,0,5,567.07,567.12,,,P,R,,,,,,,,,,R,C,A,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,32,R,CC,P
359-U1466B-33R-1-W,101,101,577.21,577.21,,,M,C,,,,,,,,,R,F,A,C,,,F,,F,,,R,,,,C,P,,,,,,,F,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,33,R,1,W
359-U1466B-33R-2-W,69,69,578.23,578.23,,,M,F,,,,,,,,,R,F,A,C,,,F,,F,,,R,,,,C,P,,,,,,,F,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,33,R,2,W
359-U1466B-33R-CC-PAL,0,5,578.6,578.65,,,M,C,,,,,,,,,R,F,A,C,,,F,,F,,,R,,,,C,P,,,,,,,F,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,33,R,CC,P
359-U1466B-34R-1-W,66,66,586.56,586.56,,,M,C,,,,,,,,,,A,A,F,,,F,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,34,R,1,W
359-U1466B-34R-2-W,47,47,587.41,587.41,,,P,C,,,,,,,,,,A,A,F,,,F,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,34,R,2,W
359-U1466B-34R-CC-PAL,0,5,587.65,587.7,,,M,C,,,,,,,,,,A,A,F,,,F,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,34,R,CC,P
359-U1466B-35R-2-W,42,42,597.03,597.03,,,M,C,,,,,,,,,,F,C,F,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,35,R,2,W
359-U1466B-35R-CC-PAL,0,5,597.6,597.65,,,M,R,,,,,,,,,,F,C,F,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,35,R,CC,P
359-U1466B-36R-CC-PAL,0,5,606.35,606.4,,,P,F,,,,,,,,,,F,F,F,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,36,R,CC,P
359-U1466B-36R-CC-W,8,8,606.2,606.2,,,P,C,,,,,,,,,,F,F,F,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,36,R,CC,W
359-U1466B-37R-1-W,60,60,615.6,615.6,,,P,R,,,,,,,,,,R,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,B,37,R,1,W
