Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
368-U1505C-11H-CC-PAL-NANNO,0,5,102.73,102.78,NN12 [G12],G [P33],A [A12],F,,F,,C,R,,,,,F,F,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,C,C,,,,C,,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,C,A,A,,F,F,A,,,,,,,,,,,F,,,,C,,,,,C,,,,,,,368,U1505,C,11,H,CC,PAL,NANNO
368-U1505C-12H-CC-PAL-NANNO,0,5,111.68,111.73,NN12 [G12],G [P33],A [A12],,,,,C,R,,F,,,F,,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,C,F,,,,C,,,,,,,,,,,C,,F,,,,,,,,,,F,,,,,,,,R,A,A,,F,R,A,,,,,,,,,,,C,,,,A,,,,,C,,,,,,,368,U1505,C,12,H,CC,PAL,NANNO
368-U1505C-13H-CC-PAL-NANNO,0,5,122.66,122.71,NN11 [G12],G [P33],A [A12],F,,,,F,R,,F,,,,,,,,,,C,,,R,,,F,,C,,F,,,,,,,,,,,,C,,,C,,,C,F,,,,C,,,,,,,,,,,F,,R,,,,F,F,,,,,R,,,,,,,,C,A,A,,,,A,,,,,,,,,,,F,,,,C,,,,,C,,,,,,,368,U1505,C,13,H,CC,PAL,NANNO
368-U1505C-14H-CC-PAL-NANNO,0,5,132.18,132.23,NN11 [G12],G [P33],A [A12],F,,,,C,R,,F,,,,,,,,,,C,,,,,,,,C,,F,,,,,,,,,,,,C,,,C,,,C,F,,,,C,,,,,,,,,,,F,,R,,,,R,,,,R,,F,,,,,,,,F,A,A,,,,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,14,H,CC,PAL,NANNO
368-U1505C-15H-CC-PAL-NANNO,0,5,141.27,141.32,NN11 [G12],G [P33],A [A12],F,F,,,F,R,,C,,,,,,,,,,F,,,,,,,,C,,C,,,,,,,,,,,,C,,,C,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,F,,,,,,,,F,A,A,,R,R,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,15,H,CC,PAL,NANNO
368-U1505C-16H-CC-PAL-NANNO,0,5,150.85,150.9,NN11 [G12],G [P33],A [A12],,F,,,F,F,,C,,,,,,,,,,C,,,,,,,,C,,F,,,,,,,,,,,,F,,,C,,,C,F,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,F,,,,,,,,,A,A,,,R,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,16,H,CC,PAL,NANNO
368-U1505C-17H-CC-PAL(34-39)-NANNO,0,5,160.62,160.67,NN10 [G12],G [P33],A [A12],,,,,F,R,,C,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,F,,F,,C,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,F,,F,,,,,,,,C,C,C,,,R,A,,,,,,,,,,,F,,,,A,,,,F,C,,,,,,,368,U1505,C,17,H,CC,PAL(34-39),NANNO
368-U1505C-18H-CC-PAL(29-34)-NANNO,0,5,170.23,170.28,NN10 [G12],G [P33],A [A12],,,,,C,R,,C,,,,,,,,,,C,,,,,,,,,F,C,,,,,,,,,,C,,F,,C,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,C,C,C,,,R,C,,,,,,,,,,,C,,,,C,,,,F,C,,,,,,,368,U1505,C,18,H,CC,PAL(29-34),NANNO
368-U1505C-19H-CC-PAL(33-38)-NANNO,0,5,179.7,179.75,NN9 [G12],G [P33],A [A12],,,,,C,F,,C,C,,,,,,,,,C,,,,,,,,,C,C,,,,,,C,,,,C,,,,F,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,C,C,C,,,,C,,,,,,,,,,,C,,,,C,,,,F,C,F,,,,,,368,U1505,C,19,H,CC,PAL(33-38),NANNO
368-U1505C-20H-CC-PAL(30-35)-NANNO,0,5,189.21,189.26,NN9 [G12],G [P33],A [A12],,,,,C,F,,C,C,C,,,,,,,,C,,,,,,,,,C,C,,,,,,C,,,,,,,,F,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,C,C,,,,F,,,,,,,,,,,C,,,,C,,,,F,C,C,,,,,,368,U1505,C,20,H,CC,PAL(30-35),NANNO
368-U1505C-21H-CC-PAL(17-22)-NANNO,0,5,196.48,196.53,NN8 [G12],G [P33],A [A12],,,,,C,R,,C,,F,,,,,,,,C,,,,,,,,,C,,,,,,,,,,F,,,,,C,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,A,C,,,R,F,,,,,,,,,,,C,,,,C,,,,F,C,C,,,,,,368,U1505,C,21,H,CC,PAL(17-22),NANNO
368-U1505C-22H-CC-PAL(25-30)-NANNO,0,5,200.01,200.06,NN7 [G12],G [P33],A [A12],,,,,C,,,C,,,,,,,,,,C,F,,,,,,,,F,F,,,,,,,,,F,,,,,C,,,,F,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,C,C,,,R,C,,,,,,,,,,,C,,,,C,,,,F,C,F,,,,,,368,U1505,C,22,H,CC,PAL(25-30),NANNO
368-U1505C-23H-CC-PAL(37-42)-NANNO,0,5,207,207.05,NN6 [G12],G [P33],A [A12],,,,,C,C,C,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,23,H,CC,PAL(37-42),NANNO
368-U1505C-24F-CC-PAL(29-34)-NANNO,0,5,212.13,212.18,NN6 [G12],G [P33],A [A12],,,,,C,C,C,,,,,,,,,,F,C,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,24,F,CC,PAL(29-34),NANNO
368-U1505C-25F-CC-PAL(32-37)-NANNO,0,5,216.87,216.92,NN6 [G12],G [P33],A [A12],,,,,C,C,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,25,F,CC,PAL(32-37),NANNO
368-U1505C-26F-CC-PAL(24-29)-NANNO,0,5,221.49,221.54,NN6 [G12],G [P33],A [A12],,,,,C,C,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,26,F,CC,PAL(24-29),NANNO
368-U1505C-27F-CC-PAL(33-38)-NANNO,0,5,226.28,226.33,NN6 [G12],G [P33],A [A12],,,,,C,C,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,27,F,CC,PAL(33-38),NANNO
368-U1505C-28F-CC-PAL(22-27)-NANNO,0,5,230.88,230.93,NN6 [G12],G [P33],A [A12],,,,,C,C,,,,,,,,,,,C,C,C,,A,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,28,F,CC,PAL(22-27),NANNO
368-U1505C-29F-CC-PAL(27-32)-NANNO,0,5,235.64,235.69,NN5 [G12],G [P33],A [A12],,,,,C,C,,,,,,,,,,,C,C,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,368,U1505,C,29,F,CC,PAL(27-32),NANNO
368-U1505C-30F-CC-PAL-NANNO,0,5,240.27,240.32,NN5 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,VERY GOOD PRESERVATION OF S HETEROMORPHUS,,,,368,U1505,C,30,F,CC,PAL,NANNO
368-U1505C-31F-CC-PAL-NANNO,0,5,244.97,245.02,NN5 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,VERY GOOD PRESERVATION OF S HETEROMORPHUS,,,,368,U1505,C,31,F,CC,PAL,NANNO
368-U1505C-32F-CC-PAL-NANNO,0,5,249.69,249.74,NN5 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,VERY GOOD PRESERVATION OF S HETEROMORPHUS,,,,368,U1505,C,32,F,CC,PAL,NANNO
368-U1505C-33F-CC-PAL-NANNO,0,5,254.41,254.46,NN5 [G12],G [P33],A [A12],,,,,F,,,,,,,,,,,,F,F,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,368,U1505,C,33,F,CC,PAL,NANNO
368-U1505C-34F-CC-PAL-NANNO,0,5,259.12,259.17,NN5 [G12],G [P33],A [A12],,,,,F,,,F,,,,,,,,,C,C,F,,C,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,C,,,,,,,,,,,C,,C,,,,,,,,,,F,,,,,,,,,,C,,,F,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,368,U1505,C,34,F,CC,PAL,NANNO
368-U1505C-35F-CC-PAL-NANNO,0,5,263.78,263.83,NN4 [G12],G [P33],A [A12],,,,,C,,F,F,,,,,,,,,F,C,F,,C,,,,,,,,,,C,,,,,,F,,,,C,,,,F,C,,,,,C,,,,,,,,R,,,C,,C,,,,,,,,,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,35,F,CC,PAL,NANNO
368-U1505C-36F-CC-PAL-NANNO,0,5,268.48,268.53,NN4 [G12],G [P33],A [A12],,,,,C,,F,F,,,,,,,,,F,C,F,,A,,,,,,,,,,C,,,,,,F,,,,F,,,,C,C,,,,,C,,,,,,,,F,,,C,,C,,,,,,,,,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,36,F,CC,PAL,NANNO
368-U1505C-37F-CC-PAL-NANNO,0,5,272.96,273.01,NN4 [G12],G [P33],A [A12],,,,,C,,F,F,,,,,,,,,F,C,F,,A,,,,,,,,,,C,,,,,,F,,,,,,,,,C,,,,,C,,,,,,,,F,,,C,,C,,,,,C,,,,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,37,F,CC,PAL,NANNO
368-U1505C-38F-CC-PAL-NANNO,0,5,277.9,277.95,NN4 [G12],G [P33],A [A12],,,,,C,,F,F,,,,,,,,,F,C,F,,A,,,,,,,,,,C,,,,,,F,,,,,,,,,C,,,,,C,,,,,,,,F,,,C,,C,,,,,F,,,,,F,,,,,,,,,C,C,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,38,F,CC,PAL,NANNO
368-U1505C-39F-CC-PAL-NANNO,0,5,279.35,279.4,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,F,,R,,,,,,,,F,,F,,,,,,,,C,C,A,,,R,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,39,F,CC,PAL,NANNO
368-U1505C-40F-CC-PAL-NANNO,0,5,284.39,284.44,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,F,,R,,,,,,,,F,,F,,,,,,,,C,C,A,,,R,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,40,F,CC,PAL,NANNO
368-U1505C-41F-CC-PAL(20-25)-NANNO,0,5,288.96,289.01,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,F,,R,,,,,F,,,F,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,F,,,,,,,,C,,,,,,,368,U1505,C,41,F,CC,PAL(20-25),NANNO
368-U1505C-42F-CC-PAL(28-33)-NANNO,0,5,293.78,293.83,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,F,,,,,,,,C,,,,,,,368,U1505,C,42,F,CC,PAL(28-33),NANNO
368-U1505C-43F-CC-PAL(21-26)-NANNO,0,5,298.17,298.22,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,43,F,CC,PAL(21-26),NANNO
368-U1505C-44F-CC-PAL(26-31)-NANNO,0,5,303.16,303.21,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,F,,,,,,,368,U1505,C,44,F,CC,PAL(26-31),NANNO
368-U1505C-45F-CC-PAL(22-27)-NANNO,0,5,307.87,307.92,NN4 [G12],G [P33],A [A12],,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,F,,,,,,,368,U1505,C,45,F,CC,PAL(22-27),NANNO
368-U1505C-46F-CC-PAL(20-25)-NANNO,0,5,310.69,310.74,NN4 [G12],G [P33],A [A12],,,,,F,,,F,,,,,,,,,,C,F,,A,,,,,,,,,,C,,,,,,F,,,,,,,,,C,,,,,C,,,,,,,,R,,,F,,F,,,,,F,,,R,,R,,,,,,,,F,C,A,,,,,,,,,,,,,,A,C,,,,C,R,,,,C,,,,,,,368,U1505,C,46,F,CC,PAL(20-25),NANNO
368-U1505C-47F-CC-PAL(21-26)-NANNO,0,5,314.85,314.9,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C,C,C,,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,C,,,,,A,,,,,,,,,,C,,,,,,C,,,,,,,,,,368,U1505,C,47,F,CC,PAL(21-26),NANNO
368-U1505C-48X-CC-PAL(36-41)-NANNO,0,5,326.88,326.93,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,C,,C,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,C,,,,,,F,,,C,,,,,,,368,U1505,C,48,X,CC,PAL(36-41),NANNO
368-U1505C-49X-CC-PAL(34-39)-NANNO,0,5,336.65,336.7,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C,C,C,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,C,,,C,,,,,,,368,U1505,C,49,X,CC,PAL(34-39),NANNO
368-U1505C-50X-CC-PAL-NANNO,0,5,346.07,346.12,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C,C,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,368,U1505,C,50,X,CC,PAL,NANNO
368-U1505C-51X-CC-PAL-NANNO,0,5,355.53,355.58,NN2 [G12],G [P33],A [A12],,,,,,,,,,,,,,,,,C,C,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,368,U1505,C,51,X,CC,PAL,NANNO
