Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Percentage of benthic forams in total foram assemblage [%],"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Large Benthic Forams [%],Ammodiscus sp.,Amphistegina bicirculata,Amphistegina lessonii,Amphistegina lobifera,Amphistegina radiata,Amphistegina sp.,Baculogypsina sphaerulata,Bolivina aenariensis,Bolivina incrassata,Bolivina sp.,Bolivina sp. (crenulate),Bolivina sp. (smooth flat),Borelis melo,Bulimina aculeata,Bulimina glomarchallengeri,Bulimina mexicana,Bulimina sp.,Calcarina calcar,Calcarina sp.,Cancris sp.,Ceratocancris sp.,Cibicides  bradyi,Cibicides refulgens,Cibicides sp.,Cibicidoides guazumalensis,Cibicidoides mexicanus,Cornuspira carinata ,Coryphostoma midwayensis,Cycloclypeus carpenteri,Cycloclypeus mediterraneus,Cycloclypeus sp.,Cymbalopora sp.,Dentalina sp.,Discanomalina sp.,Discogypsina sp.,Elphidium sp.,Epistomina sp.,Gyroidinoides sp.,Hoeglundina elegans,Hyalinonetrion gracillima,Lagena sp.,Lenticulina sp.,Lepidocyclina sp.,Miliolids,Neoeponides campester,Neoeponides sp.,Neorotalia calcar,Nodosaria sp.,Nummulites sp.,Nuttallides umbonifera,Operculina ammonoides,Operculina sp.,Parasorites orbitoloides,Pavonina flabelliformis,Peneroplis sp. ?,Planorbulina sp.,Planulina ariminensis,Planulina dohertyi,Planulina sp.,Planulina wuellerstorfi,Plectofrondicularia sp.,Plectofrondicularia vaughni,Pleurostomella alternans,Polymorphina sp.,Pulvinulina sp.,Pyrgo depressa,Pyrgo sp.,Quinqueloculina sp.,Ramulina globulifera,Rectuvigerina sp.,Rectuvigerina striatissima,Reophax agglutinatus,Reusella sp.,Reusella spinulosa,Rotalina oblonga,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Siphonina pozonensis,Siphonina tenuicarinata,Sorites orbiculus ,Sphaerogypsina sp.,Sphaeroidina bulloides,Spiroloculina sp.,Stilostomella lepidula,Stilostomella spp.,Textularia sp.,Trifarina sp.,Triloculina rotunda,Unidentified agglutinants,Uvigerina canariensis,Uvigerina hispida,Uvigerina proboscidea,Uvigerina schwageri,Uvigerina sp.,Vaginulinopsis bradyi,Vaginulinopsis sp.,Valvulina sp.,Valvulineria sp.,Vulvulina sp.,Vulvulina spinosa,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1466A-14H-CC-PAL-FORAM >150,0,5,119.41,119.46,,,,P,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,14,H,CC,PAL,FORAM >150
359-U1466A-16H-CC-PAL-FORAM >150,0,5,138.56,138.61,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,16,H,CC,PAL,FORAM >150
359-U1466A-18X-CC-FORAM >150,0,5,139.47,139.52,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,18,X,CC,FORAM,>150
359-U1466A-19F-CC-PAL-FORAM >150,0,5,149.98,150.03,,,few none identifiable specimens,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,19,F,CC,PAL,FORAM >150
359-U1466A-22H-CC-PAL-FORAM >150,0,5,171.78,171.83,,,few none identifiable specimens,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,CC,PAL,FORAM >150
359-U1466A-34F-CC-PAL-FORAM >150,0,5,225.49,225.54,,,,M,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,,R,R,,,,,,,,A,,,R,,,,,,,,,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,359,U1466,A,34,F,CC,PAL,FORAM >150
359-U1466A-35F-CC-PAL-FORAM >150,0,5,228.95,229,,,,P,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,359,U1466,A,35,F,CC,PAL,FORAM >150
359-U1466A-36F-1-PAL-FORAM >150,0,3,230.6,230.63,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,36,F,1,PAL,FORAM >150
359-U1466A-40F-CC-PAL-FORAM >150,0,5,262.48,262.53,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,40,F,CC,PAL,FORAM >150
359-U1466A-42F-CC-PAL-FORAM >150,0,5,272.16,272.21,,B,strongly recrystallized specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,42,F,CC,PAL,FORAM >150
359-U1466A-45X-CC-PAL-FORAM >150,0,5,287.29,287.34,,,few none identifiable specimens,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,45,X,CC,PAL,FORAM >150
359-U1466A-49X-CC-PAL-FORAM >150,0,5,311.64,311.69,,,,M,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,359,U1466,A,49,X,CC,PAL,FORAM >150
