Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Preservation,Group abundance,Comment,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus ellipticus var. javanica,Actinocyclus ellipticus var. spiralis,Actinocyclus hajosiae,Actinocyclus ingens,Actinocyclus moronensis,Actinocyclus radionovae,Actinoptychus spp.,Alveus marinus,Amphitetras spp.,Annellus californicus,Arachnoidiscus spp.,Asterolampra acutiloba,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus elegans,Azpeitia africana (Janisch),Azpeitia apiculata,Azpeitia barronii,Azpeitia burky (Barron),Azpeitia nodulifera (Schmidt),Azpeitia nodulifera f. cyclopa (Jouse),Azpeitia oligocenia (Jouse),Azpeitia praenodulifera (Barron),Azpeitia salisburyana (Lohman),Azpeitia tabularis (Grunow),Azpeitia vetustissima (Pantocsek),Azpetia neocrenulata,Bacteriastrum hyalinum,Bogorovia veniamini Jouse emend Yanagisawa,Cavitatus jouseanus (Sheshukova-Poretzkaya),Cavitatus miocenica (Schrader),Cestodiscus peplum,Cestodiscus pulchellus,Cestodiscus pulchellus var. maculatus,Cestodiscus trochus,Chaetoceros spp.,Cocconeis spp.,Coscinodiscus blysmos,Coscinodiscus gigas var. diorama (Schmidt),Coscinodiscus lewisianus,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus var. robustus,Coscinodiscus lewisianus var. similis,Coscinodiscus loeblechii,Coscinodiscus marginatus,Coscinodiscus nodulifer,Coscinodiscus radiatus,Coscinodiscus rhombicus,Craspedodiscus coscinodiscus,Craspedodiscus elegans,Craspedodiscus rydei,Crucidenticula kanayae,Crucidenticula nicobarica (Grunow),Crucidenticula punctata (Schrader),Cyclotella spp.,Cyclotella striata (Kutzing),Dactyliosolen spp.,Denticulopsis hustedtii (Simonsen and Kanaya) emend. Yanagisawa and Akiba,Denticulopsis lauta (Bailey),Denticulopsis simonsenii,Dicladia spp.,Diploneis aestuari,Diploneis bombus,Diploneis smithii ,Distephanosira architecturalis,Fragilariopsis cylindrica (Burckle),Fragilariopsis doliolus (Wallich),Fragilariopsis reinholdii (Kanaya ex Barron ex Baldouf),Grammatophora spp.,Hemiaulus spp.,Hemidiscus cuneiformis,Kisseleviella spp.,Macrora stella,Mediaria spp.,Melosira architecturalis,Navicula spectabilis,Navicula spp.,Nitzschia fossilis (Frenguelli),Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia marina,Nitzschia miocenica,Nitzschia miocenica var. elongata,Nitzschia panduriformis var. minor,Nitzschia porteri Frenguelli sensu,Paralia sulcata,Pseudosolenia calcar-avis,Raphidodiscus marylandicus,Rhaphoneis spp.,Rhizosolenia hebetata,Rhizosolenia matuyamai,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia spp.,Rocella gelida (Mann),Rocella gelida var. schraderi (Bukry),Rocella vigilans,Rossiella paleaecea (Grunow),Rossiella paleaecea var. elongata (Barron),Rossiella praepaleaecea (Schrader),Screptroneis hungarica,Shionodiscus oestrupii,Skeletonema spp.,Surirella fluminensis,Synedra tabulata var. rupicola,Thalassionema nitzschoides (Grunow),Thalassionema robusta,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica (Ehrenberg),Thalassiosira fraga,Thalassiosira grunowii,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira oestrupii (Ostenfeld),Thalassiosira plicata,Thalassiosira praeconvexa,Thalassiosira primalabiata,Thalassiosira spinosa,Thalassiosira spumellaroides,Thalassiosira tappanae,Thalassiosira yabei (Barron) var. elliptica,Thalassiosira yabei (Kanaya),Thalassiothrix spp.,Trachyneis aspera,Triceratium pileus,Triceratium spp.,Xanthiopyxis spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
368-U1501C-11H-CC-PAL(39-44)-DIAT,0,5,104.86,104.91,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,11,H,CC,PAL(39-44),DIAT,,
368-U1501C-12H-CC-PAL(28-33)-DIAT,0,5,113.92,113.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,12,H,CC,PAL(28-33),DIAT,,
368-U1501C-13H-CC-PAL(21-26)-DIAT,0,5,123.78,123.83,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,13,H,CC,PAL(21-26),DIAT,,
368-U1501C-14H-CC-PAL(21-26)-DIAT,0,5,131.48,131.53,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,14,H,CC,PAL(21-26),DIAT,,
368-U1501C-15H-CC-PAL(20-25)-DIAT,0,5,142.14,142.19,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,15,H,CC,PAL(20-25),DIAT,,
368-U1501C-16H-CC-PAL(26-31)-DIAT,0,5,151.75,151.8,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,16,H,CC,PAL(26-31),DIAT,,
368-U1501C-17H-CC-PAL(0-5)-DIAT,0,5,156.7,156.75,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,17,H,CC,PAL(0-5),DIAT,,
368-U1501C-18F-CC-PAL-DIAT,0,5,161.67,161.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,18,F,CC,PAL,DIAT,,
368-U1501C-19F-CC-PAL(25-30)-DIAT,0,5,166.25,166.3,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,19,F,CC,PAL(25-30),DIAT,,
368-U1501C-20F-CC-PAL(23-28)-DIAT,0,5,169.92,169.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,20,F,CC,PAL(23-28),DIAT,,
368-U1501C-21F-CC-PAL(23-28)-DIAT,0,5,175.92,175.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,21,F,CC,PAL(23-28),DIAT,,
368-U1501C-22F-CC-PAL(23-28)-DIAT,0,5,180.55,180.6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,22,F,CC,PAL(23-28),DIAT,,
368-U1501C-23F-CC-PAL(27-32)-DIAT,0,5,184.4,184.45,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,23,F,CC,PAL(27-32),DIAT,,
368-U1501C-24F-CC-PAL(10-15)-DIAT,0,5,189.42,189.47,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,24,F,CC,PAL(10-15),DIAT,,
368-U1501C-25F-CC-PAL(0-5)-DIAT,0,5,193.3,193.35,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,25,F,CC,PAL(0-5),DIAT,,
368-U1501C-26F-CC-PAL(25-30)-DIAT,0,5,198.33,198.38,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,26,F,CC,PAL(25-30),DIAT,,
368-U1501C-27F-CC-PAL(29-34)-DIAT,0,5,204.03,204.08,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,27,F,CC,PAL(29-34),DIAT,,
368-U1501C-28F-CC-PAL(20-25)-DIAT,0,5,208.65,208.7,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,28,F,CC,PAL(20-25),DIAT,,
368-U1501C-29F-CC-PAL(17-22)-DIAT,0,5,212.67,212.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,29,F,CC,PAL(17-22),DIAT,,
368-U1501C-30F-CC-PAL(22-27)-DIAT,0,5,217.54,217.59,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,30,F,CC,PAL(22-27),DIAT,,
368-U1501C-31F-CC-PAL(19-24)-DIAT,0,5,221.53,221.58,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,31,F,CC,PAL(19-24),DIAT,,
368-U1501C-32F-CC-PAL(24-29)-DIAT,0,5,226.42,226.47,,,B,Occasional sponge spicules w/ a complete radiolarian observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,32,F,CC,PAL(24-29),DIAT,,
368-U1501C-33F-CC-PAL(30-35)-DIAT,0,5,231.78,231.83,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,33,F,CC,PAL(30-35),DIAT,,
368-U1501C-34F-CC-PAL(26-31)-DIAT,0,5,235.67,235.72,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,34,F,CC,PAL(26-31),DIAT,,
368-U1501C-35F-1-W 118/118-DIAT,0,0,237.88,237.88,,P,C,"Burrow: high conc. of forams, rads, calc nannos, diatoms, spng spicules, silicoflag",,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,35,F,1,W,118/118-DIAT,,
368-U1501C-35F-1-W 119/119-DIAT,0,0,237.89,237.89,,P,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,35,F,1,W,119/119-DIAT,,
368-U1501C-35F-CC-PAL(16-21)-DIAT,0,5,240.08,240.13,,P,R,Trace sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,35,F,CC,PAL(16-21),DIAT,,
368-U1501C-36F-CC-PAL(25-30)-DIAT,0,5,245.23,245.28,,,B,Trace sponge spicules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,36,F,CC,PAL(25-30),DIAT,,
368-U1501C-37F-CC-PAL(25-30)-DIAT,0,5,249.3,249.35,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,37,F,CC,PAL(25-30),DIAT,,
368-U1501C-38F-CC-PAL(23-28)-DIAT,0,5,253.47,253.52,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,38,F,CC,PAL(23-28),DIAT,,
368-U1501C-39F-CC-PAL(25-30)-DIAT,0,5,256.81,256.86,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,39,F,CC,PAL(25-30),DIAT,,
368-U1501C-40X-CC-PAL(15-20)-DIAT,0,5,265.3,265.35,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,40,X,CC,PAL(15-20),DIAT,,
368-U1501C-41X-CC-PAL(39-44)-DIAT,0,5,273.86,273.91,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,41,X,CC,PAL(39-44),DIAT,,
368-U1501C-42X-CC-PAL(26-31)-DIAT,0,5,283.41,283.46,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,42,X,CC,PAL(26-31),DIAT,,
368-U1501C-43X-CC-PAL(39-44)-DIAT,0,5,293.1,293.15,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,43,X,CC,PAL(39-44),DIAT,,
368-U1501C-44X-CC-PAL(53-58)-DIAT,0,5,302.51,302.56,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,44,X,CC,PAL(53-58),DIAT,,
