Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1471A-3H-1-W,75,75,14.85,14.85,,,G,A,,A,,A,,,,,,,,,,,,,C,,,,,F,,,,,F,,,,,C,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,3,H,1,W
359-U1471A-3H-2-W,75,75,16.35,16.35,,,G,A,,A,,F,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,F,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,3,H,2,W
359-U1471A-3H-3-W,75,75,17.85,17.85,,,G,A,,A,,C,,P,,,,,,,,,,,C,,,,,F,,,,,R,,,,,F,,,,,,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,P,,,,,,359,U1471,A,3,H,3,W
359-U1471A-3H-4-W,75,75,19.35,19.35,,,G,A,,A,,C,,P,,,,,,,,,,,F,,,,,R,,,,,R,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,3,H,4,W
359-U1471A-3H-5-W,75,75,20.85,20.85,,,G,A,,A,,A,,R,,,,,,,,,,,F,,,,,F,,,,,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,3,H,5,W
359-U1471A-3H-6-W,75,75,22.35,22.35,,,G,A,,,,A,,F,,,,,,,,,,,F,,,,,F,,,,,,,,,,F,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,3,H,6,W
359-U1471A-3H-7-W,30,30,22.9,22.9,,,G,A,,A,,A,,R,,,,,,,,,,,C,,,,,F,,,,,F,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,359,U1471,A,3,H,7,W
359-U1471A-3H-CC-PAL,0,5,23.37,23.42,,,G,A,,A,,A,,R,,,,,,,,,,,C,,,,,F,,,,,F,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,359,U1471,A,3,H,CC,P
359-U1471A-4H-1-W,75,75,24.35,24.35,,,G,A,,A,,C,,C,,,,,,,,,,,A,,,,,C,,,,R,R,,,,,F,,,,,,,R,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,,,,359,U1471,A,4,H,1,W
359-U1471A-4H-2-W,75,75,25.85,25.85,,,G,A,,A,,C,,A,,,,,,,,,,,A,,,,,A,,,,F,F,,,,,F,,,,,,,R,,,,R,R,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,,,,359,U1471,A,4,H,2,W
359-U1471A-4H-3-W,75,75,27.35,27.35,,,G,C,,C,,C,,F,,,,,,,,,,,R,,,,,F,,,,R,R,,,,,F,,,,,,,R,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,,359,U1471,A,4,H,3,W
359-U1471A-4H-4-W,75,75,28.85,28.85,,,M,C,,C,,F,,F,,,,,,,,,,,R,,,,,F,,,,F,R,,,,,R,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,,359,U1471,A,4,H,4,W
359-U1471A-4H-5-W,75,75,30.35,30.35,,,M,C,,C,,F,,C,,,,,,,,,,,F,,,,,F,,,,R,R,,,,,R,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,359,U1471,A,4,H,5,W
359-U1471A-4H-6-W,75,75,31.85,31.85,,,M,C,,C,,C,,C,,,,,,,,,,,R,,,,,C,,,,R,R,,,,,R,,,,,,,R,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,359,U1471,A,4,H,6,W
359-U1471A-4H-7-W,30,30,32.9,32.9,,,M,C,,C,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,4,H,7,W
359-U1471A-4H-CC-PAL,0,5,33.22,33.27,,,G,A,,A,,R,,A,,,,,,,,,,,R,,,,,F,,,,,F,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1471,A,4,H,CC,P
359-U1471A-5H-1-W,75,75,33.85,33.85,,,G,A,,A,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,1,W
359-U1471A-5H-2-W,75,75,35.35,35.35,,,G,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,2,W
359-U1471A-5H-3-W,75,75,36.85,36.85,,,G,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,3,W
359-U1471A-5H-4-W,75,75,38.35,38.35,,,G,A,,,,,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,4,W
359-U1471A-5H-5-W,75,75,39.85,39.85,,,G,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,5,W
359-U1471A-5H-6-W,75,75,41.35,41.35,,,G,A,,,,,P,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,6,W
359-U1471A-5H-7-W,30,30,42.35,42.35,,,G,A,,,,,F,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,5,H,7,W
359-U1471A-5H-CC-PAL,0,5,42.62,42.67,,,G,A,,A,,R,R,C,,,,,,,,,,,F,,,,,F,,,,,F,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,359,U1471,A,5,H,CC,P
359-U1471A-6H-1-W,75,75,43.35,43.35,,,G,A,,F,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,6,H,1,W
359-U1471A-6H-2-W,75,75,44.85,44.85,,,G,A,,F,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,6,H,2,W
359-U1471A-6H-3-W,75,75,46.35,46.35,,,G,A,,F,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,6,H,3,W
359-U1471A-6H-4-W,75,75,47.85,47.85,,,G,A,,F,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,6,H,4,W
359-U1471A-6H-5-W,75,75,49.35,49.35,,,G,A,,A,,R,C,R,,,,,,,,,,,C,,,,,F,,,,R,R,,,,,C,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,359,U1471,A,6,H,5,W
359-U1471A-6H-6-W,75,75,50.85,50.85,,,M,A,,A,,R,R,C,,,,,,,,,,,A,,,,,C,,,,R,R,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,359,U1471,A,6,H,6,W
359-U1471A-6H-CC-PAL,0,5,52.26,52.31,,,M,A,,A,,C,,C,,,,,,,,,,,C,,,,,F,,,,R,,,,,,F,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,P,,,R,,,,,,359,U1471,A,6,H,CC,P
359-U1471A-7H-1-W,75,75,52.85,52.85,,,G,A,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,1,W
359-U1471A-7H-2-W,75,75,54.35,54.35,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,2,W
359-U1471A-7H-3-W,75,75,55.85,55.85,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,3,W
359-U1471A-7H-4-W,75,75,57.35,57.35,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,4,W
359-U1471A-7H-5-W,75,75,58.85,58.85,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,5,W
359-U1471A-7H-6-W,50,50,60.1,60.1,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,6,W
359-U1471A-7H-7-W,50,50,61.11,61.11,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,A,7,H,7,W
359-U1471A-7H-CC-PAL,0,5,61.63,61.68,,,M,A,,A,,F,,C,,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,7,H,CC,P
359-U1471A-8H-1-W,75,75,62.35,62.35,,,M,C,,,,F,,,,,,C,C,,,,R,,R,R,,,,R,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,8,H,1,W
359-U1471A-8H-2-W,75,75,63.85,63.85,,,M,C,,C,,F,,,,,,C,C,,,,R,,F,R,,,,R,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,8,H,2,W
359-U1471A-8H-3-W,75,75,65.35,65.35,,,M,C,,C,,R,,,,,,C,C,,,,R,,R,R,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,8,H,3,W
359-U1471A-8H-4-W,75,75,66.85,66.85,,,M,C,,C,,R,,,,,,R,C,,,,R,,R,R,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,8,H,4,W
359-U1471A-8H-5-W,75,75,68.31,68.31,,,M,C,,C,,R,,,,,,R,C,,,,R,,C,R,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,8,H,5,W
359-U1471A-8H-6-W,75,75,69.81,69.81,,,M,A,,A,,F,,,,,,R,F,,,,F,,F,R,,,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,8,H,6,W
359-U1471A-8H-CC-PAL,0,5,70.47,70.52,,,M,A,,F,,F,,C,,,,F,F,,,,R,,C,R,,,,F,,,,R,,R,,,,F,R,,,,,,C,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,359,U1471,A,8,H,CC,P
359-U1471A-9H-1-W,75,75,71.85,71.85,,,M,F,,R,,R,,,,,,R,R,,,,R,,R,R,,,,R,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,9,H,1,W
359-U1471A-9H-2-W,75,75,73.35,73.35,,,M,C,,F,,R,,,,,,F,R,,,,R,,R,F,,,,R,,R,,,R,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,A,9,H,2,W
