Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Agglutinated spp. (indeterminate),Amphicoryna scalaris,Anomalinoides globulosus,Bolivina pusilla,Bolivina robusta,Bolivinita quadrilatera,Bulimina aculeata,Bulimina barbata,Bulimina sp.,Bulimina striata gr.,Cassidulina carinata,Cassidulina sp.,Chrysalogonium tenuicostatum,Chilostomella oolina,Cibicides bradyi,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundulus,Cibicidoides renzi,Cibicidoides sp.,Cyclammina trullissata,Dentalina communis,Eggerella bradyi,Ehrenbergina pacifica,Epistominella exigua,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Gavelinopsis lobatulus,Globobulimina affinis,Globocassidulina subglobosa,Globogyroidina boninensis,Gyroidinoides neosoldanii,Hoeglundina elegans,Karreriella bradyi,Laticarinina pauperata,Lagena sp.,Lenticulina rotulata,Lenticulina sp. ,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Nonionella sp.,Nodosaria longiscata,Nuttallides umbonifera,Oridorsalis umbonatus,Oolina globosa,Parafissurina sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella sp. A,Pseudonodosaria sp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyrgo lucernula,Pyrgo murrhina,Pyrgo sp.,Quinqueloculina lamarckiana,Quinqueloculina sp.,Recurvoides sp.,Rhabdammina? sp.,"Rhizammina sp. (Kaiho, 1992)",Rhizammina sp.,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Tosaia hanzawai,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispida,Uvigerina hispidocostata,Uvigerina senticosa,Uvigerina sp.,File Data,Shore File Links
350-U1437B-23F-CC-PAL-FORAM,350,U1437,B,23,23-CC,F,CC,PAL,FORAM,0,5,143.67,143.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,specimens,,R [A42],,,,,,,,,,,,,R [A42],,F [A42],,,,,,,A [A42],,,,,,,,,F [A42],,,,,,,,,,,A [A42],R [A42],,,,A [A42],,,,,,,,A [A42],,,,,F [A42],,,,,,,,,R [A42],,,,,,,,,R [A42],R [A42],,,
350-U1437B-24F-CC-PAL-FORAM,350,U1437,B,24,24-CC,F,CC,PAL,FORAM,0,5,145.69,145.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],,,,,2 specimens in 1/2 split.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-25X-CC-PAL-FORAM,350,U1437,B,25,25-CC,X,CC,PAL,FORAM,0,5,153.11,153.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,14 specimens in whole sample.,,,,,,,,,,,,,F [A42],,,F [A42],,,,,,,,,,,,,,,,,A [A42],,,,,,,,,,,D [A42],F [A42],,,,F [A42],,,,,,,,,,,,,,,,,,,,,,,,,A [A42],F [A42],,,,A [A42],,,,,
350-U1437B-26X-CC-PAL-FORAM,350,U1437,B,26,26-CC,X,CC,PAL,FORAM,0,5,160.98,161.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,13 specimens.,,,,,,,,,,,,,,,,,,,F [A42],,,,,F [A42],,,,,,,,,,,,F [A42],,,,,,,,F [A42],F [A42],,,,F [A42],,,,,,,R [A42],F [A42],,F [A42],,,F [A42],,,,,,,,,A [A42],,,,A [A42],,,,F [A42],,,,,
350-U1437B-27X-CC-PAL-FORAM,350,U1437,B,27,27-CC,X,CC,PAL,FORAM,0,5,165.62,165.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,15 specimens in 1/2 split.,,,,,,,,,,,,,,,,P [A42],,,,,,,,,,,,,,,,,P [A42],,P [A42],,,,,,,,,P [A42],,,,,P [A42],,,,,P [A42],,P [A42],,,P [A42],,,P [A42],,,,,,,,,,,,,P [A42],,,,,,,,,
350-U1437B-28X-CC-PAL-FORAM,350,U1437,B,28,28-CC,X,CC,PAL,FORAM,0,5,182.96,183.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],,,,,34 specimens in whole sample.,,,,,,,,,,,F [A42],,,,,,,,,,,,,,,,,,,,,R [A42],F [A42],,,,,,,,,,,D [A42],R [A42],,,,,,,,,,,,,,,,,,,,,,R [A42],,,,,,,A [A42],A [A42],,,,F [A42],,,,,
350-U1437B-29X-CC-PAL-FORAM43,350,U1437,B,29,29-CC,X,CC,PAL,FORAM43   ,0,5,186.14,186.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,19 specimens in 1/8,,,,,,,,,,,,,,,,F [A42],,,,,,,,A [A42],,,,,,,,,,,A [A42],,,,R [A42],,,,F [A42],A [A42],,,,,,,,,,,,,,,F [A42],,,,,,,,,,,,F [A42],,,A [A42],F [A42],,,,F [A42],,,,,
350-U1437B-30X-CC-PAL-FORAM,350,U1437,B,30,30-CC,X,CC,PAL,FORAM,0,5,197.4,197.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 specimens in whole sample.,,,,,,,,,,,,,,,,P [A42],,,,,P [A42],,,,,,,,,,,,P [A42],,,,,,,,,,,P [A42],,,,,,,,,,,,,P [A42],,P [A42],,,,,,,,,,,,P [A42],,,A [A42],,,,,P [A42],P [A42],P [A42],,,
350-U1437B-31X-CC-PAL-FORAM,350,U1437,B,31,31-CC,X,CC,PAL,FORAM,0,5,206.79,206.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-32X-CC-PAL-FORAM,350,U1437,B,32,32-CC,X,CC,PAL,FORAM,0,5,220.27,220.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,17 specimens in 1/8,,,,,,,,,,,,,,,,A [A42],,,,,,,,F [A42],,,,F [A42],,,,,A [A42],,F [A42],,,,,,,,,,,,,,F [A42],,,,,,,,F [A42],,,,,,,,,,,,,,F [A42],,,A [A42],,,,,,,,,,
350-U1437B-32X-CC-PAL-FORAM,350,U1437,B,32,32-CC,X,CC,PAL,FORAM,0,5,220.27,220.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A10],,,,4 specimens in whole sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A42],,,,,,P [A42],P [A42],,
350-U1437B-33X-CC-PAL-FORAM,350,U1437,B,33,33-CC,X,CC,PAL,FORAM,0,5,230.2,230.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,17 specimens 1/8,,,,,,,,,,,,,,,,F [A42],,,,,,,,F [A42],,,,F [A42],,,,,A [A42],,,,,,,,,,,F [A42],,,,,A [A42],,,,,,,,A [A42],F [A42],,,,,,,,,,,,,,,,F [A42],,,,,,,,,,
350-U1437B-34X-CC-PAL-FORAM,350,U1437,B,34,34-CC,X,CC,PAL,FORAM,0,5,237.2,237.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,18 Specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,F [A42],,,A [A42],,,,,,,A [A42],,F [A42],,,,,,,,,,,,,,,,,,,,,,A [A42],,,,,,,,,,,,,,,,,F [A42],F [A42],,,,,,F [A42],,,
350-U1437B-35X-CC-PAL-FORAM,350,U1437,B,35,35-CC,X,CC,PAL,FORAM,0,5,245.28,245.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,11 in 1/8 specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A42],,,,,,,,,,,,,,,P [A42],D [A42],,,,,,,P [A42],,,,,,,,,,,,,,F [A42],F [A42],,,F [A42],,,,,,,A [A42],,,
350-U1437B-36X-CC-PAL-FORAM,350,U1437,B,36,36-CC,X,CC,PAL,FORAM,0,5,252.3,252.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,31 in1/4,,,,,,,,,,,R [A42],,,,,,,,,,,,,R [A42],,,,,,,,,,,,F [A42],,,,,,,,F [A42],,,,,F [A42],,,,,P [A42],,,,F [A42],F [A42],,,,,,,,,,,,,,,,A [A42],,,,,,D [A42],,,
350-U1437B-36X-CC-PAL-FORAM,350,U1437,B,36,36-CC,X,CC,PAL,FORAM,0,5,252.3,252.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-37X-CC-PAL-FORAM,350,U1437,B,37,37-CC,X,CC,PAL,FORAM,0,5,264.86,264.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,26 specimens whole sample,,,,,,,,,,,,,,,,,,,,,,,,R [A42],,R [A42],,,,,,,F [A42],,A [A42],,,,,,,,,,,,,,D [A42],,R [A42],,,,R [A42],,R [A42],,,,,R [A42],,,,,,,,R [A42],,,,,R [A42],,,,,,R [A42],,,
350-U1437B-38X-CC-PAL-FORAM,350,U1437,B,38,38-CC,X,CC,PAL,FORAM,0,5,273.67,273.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,24 specimens in 1/8,,,,F [A42],,,,,,,,,,,,R [A42],,,,,,,,R [A42],,,,R [A42],,,,,A [A42],,,,R [A42],,,,,,,A [A42],,,F [A42],,F [A42],,R [A42],,,,R [A42],,,R [A42],,,,R [A42],,,,,,,,,,,,,,,,,,,A [A42],,,
350-U1437B-39X-CC-PAL-FORAM,350,U1437,B,39,39-CC,X,CC,PAL,FORAM,0,5,284.98,285.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,3 specimen in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A42],,,,,,,,A [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-40X-CC-PAL-FORAM,350,U1437,B,40,40-CC,X,CC,PAL,FORAM,0,5,292.23,292.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,19 in 1/8,,R [A42],,,,,,,,F [A42],,,,,,,,,,,,,R [A42],,F [A42],,,,,,,,F [A42],,,,,,,,,,,,,,,,,,,,,,,,R [A42],,,,,,,,,,,,,,,,,,,,,,,,F [A42],,,
350-U1437B-43X-CC-PAL-FORAM,350,U1437,B,43,43-CC,X,CC,PAL,FORAM,0,5,322.72,322.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,41 in whole sample,,,,,,,,,,,,,,,,R [A42],R [A42],,R [A42],,,,,D [A42],,,,,,,,,R [A42],,R [A42],,,,,,,,,,,,R [A42],,D [A42],,,,,,F [A42],,R [A42],R [A42],,,,F [A42],,,,,,,,R [A42],,,,,F [A42],,,,,,,,,
350-U1437B-44X-CC-PAL-FORAM,350,U1437,B,44,44-CC,X,CC,PAL,FORAM,0,5,329.9,329.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,4 in 1/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A42],,,,,,,,,,,,,A [A42],,,,,,,,,,,,,,,,,,,A [A42],,,
350-U1437B-45X-CC-PAL-FORAM,350,U1437,B,45,45-CC,X,CC,PAL,FORAM,0,5,344.77,344.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G [P32],R [A10],,,,29 in 1/4,,,,,,,,,,,,,,,,,R [A42],,,,,,,F [A42],,,,,,,,,A [A42],,,,,,,,,,,,,,F [A42],,F [A42],,,,,,,,,,,,,R [A42],,,,,,,,,,,,,,,,,,,,,,
350-U1437B-46X-CC-PAL-FORAM,350,U1437,B,46,46-CC,X,CC,PAL,FORAM,0,5,349.71,349.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-47X-CC-PAL-FORAM,350,U1437,B,47,47-CC,X,CC,PAL,FORAM,0,5,363.02,363.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 specimens in 1/8 split.,,,,,,R [A42],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A42],,,,,P [A42],,,R [A42],,,P [A42],,P [A42],,,,,,,,,,,,,,,,,,P [A42],,R [A42],,,P [A42],,,,
350-U1437B-48X-CC-PAL-FORAM,350,U1437,B,48,48-CC,X,CC,PAL,FORAM,0,5,372.07,372.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 specimens in whole sample.,,,,,,,,,,,,,,,,,P [A42],,,P [A42],,,,,,,,,,,,,,,,,,,,,,,,P [A42],,,,,,,,,,,P [A42],,,P [A42],,,,,,,,,,,,,P [A42],,,P [A42],P [A42],,,,,P [A42],,,,
