Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Percentage of benthic forams in total foram assemblage [%],"PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Large Benthic Forams [%],Ammodiscus sp.,Amphistegina bicirculata,Amphistegina lessonii,Amphistegina lobifera,Amphistegina radiata,Amphistegina sp.,Baculogypsina sphaerulata,Bolivina aenariensis,Bolivina incrassata,Bolivina sp.,Bolivina sp. (crenulate),Bolivina sp. (smooth flat),Borelis melo,Bulimina aculeata,Bulimina glomarchallengeri,Bulimina mexicana,Bulimina sp.,Calcarina calcar,Calcarina sp.,Cancris sp.,Ceratocancris sp.,Cibicides  bradyi,Cibicides refulgens,Cibicides sp.,Cibicidoides guazumalensis,Cibicidoides mexicanus,Cornuspira carinata ,Coryphostoma midwayensis,Cycloclypeus carpenteri,Cycloclypeus mediterraneus,Cycloclypeus sp.,Cymbalopora sp.,Dentalina sp.,Discanomalina sp.,Discogypsina sp.,Elphidium sp.,Epistomina sp.,Gyroidinoides sp.,Hoeglundina elegans,Hyalinonetrion gracillima,Lagena sp.,Lenticulina sp.,Lepidocyclina sp.,Miliolids,Neoeponides campester,Neoeponides sp.,Neorotalia calcar,Nodosaria sp.,Nummulites sp.,Nuttallides umbonifera,Operculina ammonoides,Operculina sp.,Parasorites orbitoloides,Pavonina flabelliformis,Peneroplis sp. ?,Planorbulina sp.,Planulina ariminensis,Planulina dohertyi,Planulina sp.,Planulina wuellerstorfi,Plectofrondicularia sp.,Plectofrondicularia vaughni,Pleurostomella alternans,Polymorphina sp.,Pulvinulina sp.,Pyrgo depressa,Pyrgo sp.,Quinqueloculina sp.,Ramulina globulifera,Rectuvigerina sp.,Rectuvigerina striatissima,Reophax agglutinatus,Reusella sp.,Reusella spinulosa,Rotalina oblonga,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Siphonina pozonensis,Siphonina tenuicarinata,Sorites orbiculus ,Sphaerogypsina sp.,Sphaeroidina bulloides,Spiroloculina sp.,Stilostomella lepidula,Stilostomella spp.,Textularia sp.,Trifarina sp.,Triloculina rotunda,Unidentified agglutinants,Uvigerina canariensis,Uvigerina hispida,Uvigerina proboscidea,Uvigerina schwageri,Uvigerina sp.,Vaginulinopsis bradyi,Vaginulinopsis sp.,Valvulina sp.,Valvulineria sp.,Vulvulina sp.,Vulvulina spinosa,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
359-U1467B-32H-CC-PAL-FORAM >150,0,5,290.86,290.91,,,,M,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,,,,,,,,,359,U1467,B,32,H,CC,PAL,,,
359-U1467B-37H-CC-PAL-FORAM >150,0,5,338.34,338.39,,,,M,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,C,,C,,,,,,,,,,,,,,,,,359,U1467,B,37,H,CC,PAL,,,
359-U1467B-42F-CC-PAL-FORAM >150,0,5,361.23,361.28,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,,C,,C,,,,,,,,,C,,,,,,,,C,,,,,,,,C,,,,,,,,,,359,U1467,B,42,F,CC,PAL,,,
359-U1467B-47F-CC-PAL-FORAM >150,0,5,399.57,399.62,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,,C,,,,,,,359,U1467,B,47,F,CC,PAL,,,
359-U1467B-53F-CC-PAL-FORAM >150,0,5,427.55,427.6,,,,P,,,,,,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,C,,C,C,,,,,,,,,,359,U1467,B,53,F,CC,PAL,,,
359-U1467B-58F-CC-PAL-FORAM >150,0,5,451.06,451.11,,,,P,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,C,,,,,,,,,C,C,,,,,,,,,C,,,,,,,,359,U1467,B,58,F,CC,PAL,,,
359-U1467B-63X-CC-PAL-FORAM >150,0,5,479.57,479.62,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,C,C,,,,,,C,,,,,,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,359,U1467,B,63,X,CC,PAL,,,
359-U1467B-68X-CC-PAL-FORAM >150,0,5,526.27,526.32,,,,M,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,359,U1467,B,68,X,CC,PAL,,,
359-U1467B-72X-CC-PAL-FORAM >150,0,5,561.13,561.18,,,,VP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,72,X,CC,PAL,,,
359-U1467B-77X-CC-PAL-FORAM >150,0,5,617.23,617.28,,,,M,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,77,X,CC,PAL,,,
