Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Amphora spp.,Asteromphalus brookei,Bacterosira fragilis,Cocconeis californica cf. kerguerensis,Cocconeis costata,Cocconeis placentula,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema spp.,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Navicula distans,Navicula spp.,Neodenticula kamtschatica,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula spp.,Pyxidicula turris,Rhizosolenia barboi,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia spp.,Stauroneis spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira cf. leptopus,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiothrix longissima,Thalassiosira lineata,Thalassiosira spp.,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1344,E,12H-CC,102.95,103.05,C,M,F,,,,,,R,,R,,C,,,,F,R,,,,,,C,,,,R,,R,F,C,,,,F,,R,F,R,,F,,,F,A,,,,,,C,,,F,,F,Proboscia curvirostris (NPD11),12,CC,H,,,,323-U1344E-12H-CC,53ad7b62ff5493bcc8bce66d862720c4
323,U1344,E,13H-CC,112.80,112.90,C,M-G,C,,,,,,,,,,,,,F,,,,,,,,F,,F,,A,F,R,R,F,R,,,,,,R,,,,,,,A,,,,,,C,,F,,,,Proboscia curvirostris (NPD11),13,CC,H,,,,323-U1344E-13H-CC,2b93314c7188f2c689fed76dc2218afb
323,U1344,E,14H-CC,122.36,122.46,C,G,F,,,F,,,R,,,,,,,C,,,,,,,F,C,,,,F,C,R,,C,,,R,,,,R,,R,,,,C,A,,,,,,F,,C,F,,C,Proboscia curvirostris (NPD11),14,CC,H,,,,323-U1344E-14H-CC,73b55ebc6892f1cde44b415eabd6c985
323,U1344,E,15H-CC,127.00,127.10,C,M-G,C,,,,,,,,,,R,,,R,,,,,,,,C,,,,C,C,R,F,F,R,,R,,R,,,R,F,,,,F,A,,,,F,,C,,F,,,F,Proboscia curvirostris (NPD11),15,CC,H,,,,323-U1344E-15H-CC,8ccd3d7ea1abe32a4c595ceefad1bc13
323,U1344,E,16H-CC,136.41,136.51,C,M-G,F,R,,,,R,R,,,,,,,,,,,,,,,C,,R,R,C,C,R,R,,,,,,,,,,R,,,,C,D,,,,R,,C,,F,,,,Proboscia curvirostris (NPD11),16,CC,H,,,,323-U1344E-16H-CC,07500669e14b572075390e74f5e70ab9
323,U1344,E,17H-CC,144.93,145.03,C,M-G,F,,,F,,,F,,,,,,R,C,C,,,,,,R,F,,,F,C,C,F,F,A,F,,R,,,,F,,,,,,C,C,,,,R,,F,,F,,,F,Proboscia curvirostris (NPD11),17,CC,H,,,,323-U1344E-17H-CC,53f66d7197e7d5dbd305cf829162eb82
323,U1344,E,18H-CC,155.39,155.49,C,M-G,C,,,F,,R,C,,,,,,,,,,,,,,,F,,,,C,F,R,,,,,,,,,,,,,,,F,D,,,R,R,,C,,,R,,R,Proboscia curvirostris (NPD11),18,CC,H,,,,323-U1344E-18H-CC,a4d35940171a4ef4b94e08b49b6be897
323,U1344,E,19H-CC,165.34,165.44,C,M-G,F,F,,,,,C,,R,,,F,,F,,R,,F,C,F,R,,,F,,C,F,R,,R,R,,,,R,,R,R,F,,,,,A,,,,C,,,F,R,,R,,Proboscia curvirostris (NPD11),19,CC,H,,,,323-U1344E-19H-CC,8378b5189ade136c3e14219b5de07105
323,U1344,E,20H-CC,174.18,174.28,A,G,R,,,R,,,C,,,,C,,,,R,,,,,,R,,,,,F,,F,,A,,,R,,,,,,F,,,,R,A,,,,F,,C,,F,,,C,Proboscia curvirostris (NPD11),20,CC,H,,,,323-U1344E-20H-CC,97ece1d3eaf0d33170b1a07fa87309f0
323,U1344,E,21H-CC,182.52,182.62,A,G,F,,F,R,,,C,,,,R,,F,F,,,,,,,,,,R,,C,,F,,A,R,,F,,,,F,,F,,,,,C,,,,R,,C,F,,,,R,Proboscia curvirostris (NPD11),21,CC,H,,,,323-U1344E-21H-CC,f5dfe827bf0fbccef98e44f132ac6630
323,U1344,E,22H-CC,193.75,193.85,C,M-G,F,,,,,,C,,,,,R,,,,,,,F,,R,F,,,,C,C,F,,F,,,F,,,,R,,,,,,R,A,,,,C,,C,,F,,,,Proboscia curvirostris (NPD11),22,CC,H,,,,323-U1344E-22H-CC,93a21766be892dc4b7970cd8cd13b4cf
323,U1344,E,23H-CC,202.69,202.79,C,M-G,F,,,F,,,C,,,,R,R,,,,,,,,,,,,R,,R,,R,F,A,,,F,,,R,,F,F,,,,F,A,,,,C,,C,,F,F,,,Proboscia curvirostris (NPD11),23,CC,H,,,,323-U1344E-23H-CC,74306ecac3f7f043c74ac640e56b257e
