Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria ovata,Watznaueria barnesae,Pithonella sp.,Parhabdolithus embergeri,Cretarhabdus surirellus,Cretarhabdus sp.,Thoracosphaera sp.,Watznaueria biporta,Crucibiscutum salebrosum,Manivitella pemmatoidea,Biscutum constans,Vagalapilla stradneri,Vagalapilla matalosa,Tegumentum stradneri,Prediscosphaera columnata,Parhabdolithus splendens,Microstaurus chiastius,Lithraphidites carniolensis,Eprolithus floralis,Cribrosphaerella ehrenbergii,Zygodiscus elegans,Tranolithus orionatus,Reinhardtites anthophorus,Quadrum gartneri,Prediscosphaera cretacea,Lucianorhabdus cayeuxii,Lithastrinus septenarius,Gartnerago obliquum,Eprolithus moratus,Eiffellithus turriseiffelii,Eiffellithus trabeculatus,Eiffellithus eximius,Cylindralithus gallicus,Cretarhabdus coronadventiis,Axopodorhabdus decorus,Micula staurophora,Marthasterites furcatus,Markalius circumradiatus,Lithastrinus grillii,Kamptnerius magnificus,Chiastozygus garrisonii,Microrhabdulus decoratus,Lapideacassis sp.,Chiastozygus litterarius,Parhabdolithus regularis,Flabellites oblongus,Cribrosphaerella linea,Cretarhabdus conicus,Zygodiscus diplogrammus,Rhagodiscus reniformis,Prediscosphaera spinosa,Markalius inversus,Cretarhabdus angustiforatus,Broinsonia sp.,Broinsonia parca parca,Broinsonia enormis,Biscutum coronum                ,Reinhardtites levis,Quadrum gothicum,Prediscosphaera grandis,Prediscosphaera arkhangelskyi,Ceratolithoides aculeus,Broinsonia parca constricta,Vagalapilla aachena,Quadrum trifidum,Micula concava,Discorhabdus rotatorius,Vagalapilla octoradiata,Petrarhabdus copulatus,Manivitella granulosa,Rotelapillus laffittei,Parhabdolithus angustus,Arkhangelskiella cymbiformis,Cretarhabdus schizobrachiatus,Microrhabdulus elongatus,Diazomatolithus lehmanii,Chiastozygus amphipons,Zygodiscus spiralis,Lithraphidites praequadratus,Corollithion madagaskarensis,Microrhabdulus belgicus,Lithraphidites quadratus,Nephrolithus frequens,Micula murus,Broinsonia signata,Zygodiscus bramlettei/Z. herlynii,Thoracosphaera saxea,Thoracosphaera operculata,Prinsius spp. (small),Prinsius bisulcus,Placozygus sigmoides,Ericsonia subpertusa,Ericsonia cava,Cruciplacolithus tenuis,Cruciplacolithus primus,Cruciplacolithus edwardsii,Coccolithus pelagicus,Chiasmolithus danicus,Neochiastozygus spp.,Chiasmolithus bidens,Thoracosphaera sp. A,Toweius pertusus,Cruciplacolithus latipons,Markalius astroporus,Fasciculithus pileatus,Fasciculithus magnicordis,Bomolithus elegans,Fasciculithus tympaniformis,Fasciculithus involutus,Toweius eminens,Ellipsolithus distichus,Chiasmolithus consuetus,Heliolithus kleinpellii,Ericsonia robusta,Pontosphaera sp. A,Neochiastozygus junctus,Zygodiscus plectopons,Discoaster mohleri,Scapholithus rhombiformis,Neochiastozygus chiastus,Discoaster multiradiatus,Zygrhablithus bijugatus,Fasciculithus hayi,Heliolithus riedelii,Triquetrorhabdulus challengeri,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus grandis,Sphenolithus conicus,Sphenolithus capricornutus,Sphenolithus belemnos,Pontosphaera sp. B,Discoaster druggii,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus eopelagicus,Helicosphaera intermedia,Triquetrorhabdulus milowii,Sphenolithus heteromorphus,Helicosphaera carteri,Hayaster perplexus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP5               ,              ,122, 761,B, 18,X, 1,  99.00,    142.6900,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,F                    ,                 ,                    ,C                   ,              ,F                      ,                       ,                          ,A                    ,                     ,                    ,C                   ,                    ,C               ,                         ,                    ,                      ,                         ,R                 ,F                          ,F                      ,C              ,                       ,R                      ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP5               ,              ,122, 761,B, 18,X, 3,  99.00,    145.6900,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,F                    ,R                ,                    ,C                   ,              ,F                      ,                       ,                          ,A                    ,                     ,                    ,C                   ,                    ,C               ,                         ,                    ,                      ,                         ,F                 ,F                          ,F                      ,F              ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP5               ,              ,122, 761,B, 18,X, 5,  99.00,    148.6900,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,R                                ,R                   ,                         ,C                    ,R                ,                    ,F                   ,              ,F                      ,                       ,                          ,C                    ,VR                   ,                    ,C                   ,                    ,R               ,                         ,                    ,R                     ,                         ,R                 ,R                          ,C                      ,R              ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP5               ,              ,122, 761,B, 18,X,CC,  32.00,    151.2000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,C                   ,              ,R                      ,                       ,                          ,C                    ,                     ,R                   ,C                   ,                    ,F               ,                         ,                    ,F                     ,                         ,R                 ,R                          ,C                      ,R              ,R                      ,F                      ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP5               ,              ,122, 761,B, 19,X, 1, 100.00,    152.2000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,F                   ,              ,F                      ,                       ,                          ,F                    ,VR                   ,R                   ,F                   ,                    ,R               ,                         ,                    ,A                     ,                         ,R                 ,                           ,A                      ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,NP5               ,              ,122, 761,B, 19,X, 3, 100.00,    155.2000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,F                   ,              ,F                      ,                       ,                          ,F                    ,                     ,R                   ,F                   ,                    ,R               ,                         ,                    ,F                     ,                         ,R                 ,VR                         ,F                      ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 19,X, 4, 100.00,    156.7000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,F                   ,              ,F                      ,                       ,                          ,F                    ,                     ,R                   ,F                   ,                    ,R               ,                         ,                    ,F                     ,                         ,R                 ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 19,X,CC,  50.00,    157.9300,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,C                   ,F             ,F                      ,                       ,                          ,F                    ,                     ,R                   ,C                   ,                    ,R               ,                         ,R                   ,R                     ,R                        ,R                 ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 20,X, 1, 118.00,    161.8800,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,C                   ,C             ,F                      ,                       ,                          ,C                    ,R                    ,                    ,R                   ,                    ,R               ,                         ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 20,X, 2,  99.00,    163.1900,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,F                                ,R                   ,                         ,C                    ,R                ,                    ,C                   ,C             ,F                      ,                       ,                          ,F                    ,R                    ,                    ,R                   ,                    ,R               ,                         ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 20,X, 3, 100.00,    164.7000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,C                                ,R                   ,                         ,C                    ,R                ,                    ,C                   ,A             ,F                      ,R                      ,                          ,F                    ,R                    ,R                   ,R                   ,                    ,R               ,VR                       ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 20,X, 4, 100.00,    166.2000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,C                                ,R                   ,                         ,C                    ,R                ,                    ,C                   ,A             ,F                      ,                       ,                          ,F                    ,R                    ,                    ,                    ,                    ,VR              ,                         ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,NP4           ,122, 761,B, 20,X, 5, 100.00,    167.7000,Siesser  ,Nannofossils                                 ,               ,                  ,                 ,                    ,              ,                        ,                       ,                ,                  ,                   ,                        ,                       ,                 ,                     ,                    ,                    ,                         ,                        ,                      ,                           ,                   ,                            ,                  ,                     ,                         ,                ,                        ,                       ,                        ,                   ,                  ,                           ,                         ,                    ,                       ,                           ,                      ,                  ,                       ,                        ,                    ,                      ,                       ,                        ,                 ,                        ,                        ,                    ,                      ,                    ,                       ,                      ,                       ,                  ,                           ,              ,                      ,                  ,                                ,                   ,                ,                       ,                             ,                       ,                           ,                   ,                ,              ,                       ,                       ,                      ,                     ,                      ,                       ,                            ,                             ,                        ,                        ,                      ,                   ,                            ,                            ,                       ,                        ,                     ,            ,                  ,C                                ,F                   ,                         ,C                    ,R                ,F                   ,C                   ,A             ,F                      ,F                      ,                          ,F                    ,                     ,R                   ,VR                  ,R                   ,                ,                         ,                    ,                      ,                         ,                  ,                           ,                       ,               ,                       ,                       ,                       ,                 ,                  ,                       ,                     ,                  ,                         ,                        ,                        ,                       ,                  ,                    ,                              ,                            ,                       ,                    ,                    ,                          ,                     ,                  ,                  ,                     ,                           ,                      ,                       ,                        ,                          ,                          ,                     ,                  ,                      ,from ODP Leg 122 SR Chapter 36 Table 2 p 603 & Figure 3 p 619
