Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyrtocapsella tetrapera,Stylatractus neptunus,Lithelius nautiloides,Cyrtocapsella japonica,Sphaeropyle robusta,Stylacontarium acquilonium,Stichocorys peregrina,Stichocorys delmontensis,Ommatartus sp D,Lychnodictyum audax,Lamprocyrtis hannai,Eucyrtidium cienkowskii,Cannartus sp. C,Prunopyle titan,Carpocanistrum ob,Axoprunum angelinum,Lychnocanoma grande,Eucyrtidium calvertense,Anthocyrtidium ehrenbergi,Comment
  IR,                 ,                 ,                  ,              ,189,1168,C, 15,X,CC,  13.00,    133.5400,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,F                    ,C                    ,                      ,T                  ,C                         ,                     ,                        ,               ,                   ,T                  ,R                      ,R              ,T              ,F                ,T                  ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 16,X,CC,  21.00,    140.5200,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,F                    ,R                    ,                      ,                   ,R                         ,F                    ,C                       ,T              ,T                  ,T                  ,R                      ,F              ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 17,X,CC,  13.00,    149.1900,rads     ,Radiolarians                                 ,F              ,M                 ,                       ,F                    ,                     ,                      ,                   ,                          ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 18,X,CC,  12.00,    162.1700,rads     ,Radiolarians                                 ,R              ,M                 ,                       ,F                    ,                     ,R                     ,F                  ,                          ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 19,X,CC,  13.00,    173.3700,rads     ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,F                    ,F                     ,                   ,                          ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 20,X,CC,  15.00,    181.4700,rads     ,Radiolarians                                 ,T              ,M                 ,                       ,F                    ,                     ,                      ,                   ,                          ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,C, 22,X,CC,  13.00,    203.6700,rads     ,Radiolarians                                 ,R              ,P                 ,R                      ,                     ,                     ,                      ,                   ,                          ,                     ,                        ,               ,                   ,                   ,                       ,               ,               ,                 ,                   ,                   ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
