Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],lithology_classification,Comment,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
317-U1352A-2H-CC-A,317,U1352,A,2,2-CC,H,CC,A,0,21,13.45,13.66,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,Interbedded v.fine to fine micaceous sandy mud forming beds up to 3 cm thick.  Clay - sticky clay forming beds up to 5 cm thick.  Scattered shell fragments including Tawera. ,,,,,
317-U1352A-3H-1-A,317,U1352,A,3,3-1,H,1,A,0,70,13.7,14.4,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,soupy,,,"Shepard, 1954; Wentworth, 1922","Well sorted vf-f massive sand, mica is not obvious.  Clay smearing apparent in photos from 25-43 cm is a coring artifact.  Greenish fluid at 42 cm is from microbiology microsphere experiment.

Unclear is sand is a cave, but is most likely in place as some of the same sand is found in a burrow at 30 cm depth in section 2.",,,,,
317-U1352A-3H-2-A,317,U1352,A,3,3-2,H,2,A,0,120,15.2,16.4,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,firm,,,Expedition 317,"Color-banded vf sandy mud and clay.  Color alternates between light gray (N6) sticky clay beds up to 5 cm thick and gray (N5) vf sandy mud.  Color/lithology bands are 1-5 cm thick and have wavy to diffuse contacts, becoming more bioturbated down core.  Color banding decreases in intensity down core becoming increasingly mottled in core 5 and core 6.  Normally graded/fining upward f-vf well sorted sand beds with sharp contacts are dispersed throughout sections 2-7. ",,,,,
317-U1352A-3H-3-A,317,U1352,A,3,3-3,H,3,A,0,120,16.7,17.9,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,firm,,,Expedition 317,"Color-banded vf sandy mud and clay.  Color alternates between light gray (N6) sticky clay beds up to 5 cm thick and gray (N5) vf sandy mud.  Color/lithology bands are 1-5 cm thick and have wavy to diffuse contacts, becoming more bioturbated down core.  Color banding decreases in intensity down core becoming increasingly mottled in core 5 and core 6.  Normally graded/fining upward f-vf well sorted sand beds with sharp contacts are dispersed throughout sections 2-7. ",,,,,
317-U1352A-3H-4-A,317,U1352,A,3,3-4,H,4,A,0,130,18.2,19.5,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,firm,,,Expedition 317,"Color-banded vf sandy mud and clay.  Color alternates between light gray (N6) sticky clay beds up to 5 cm thick and gray (N5) vf sandy mud.  Color/lithology bands are 1-5 cm thick and have wavy to diffuse contacts, becoming more bioturbated down core.  Color banding decreases in intensity down core becoming increasingly mottled in core 5 and core 6.  Normally graded/fining upward f-vf well sorted sand beds with sharp contacts are dispersed throughout sections 2-7. ",,,,,
317-U1352A-3H-5-A,317,U1352,A,3,3-5,H,5,A,0,130,19.7,21,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,firm,,,Expedition 317,"Color-banded vf sandy mud and clay.  Color alternates between light gray (N6) sticky clay beds up to 5 cm thick and gray (N5) vf sandy mud.  Color/lithology bands are 1-5 cm thick and have wavy to diffuse contacts, becoming more bioturbated down core.  Color banding decreases in intensity down core becoming increasingly mottled in core 5 and core 6.  Normally graded/fining upward f-vf well sorted sand beds with sharp contacts are dispersed throughout sections 2-7. ",,,,,
317-U1352A-3H-6-A,317,U1352,A,3,3-6,H,6,A,0,90,21.2,22.1,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,firm,,,Expedition 317,"Color-banded vf sandy mud and clay.  Color alternates between light gray (N6) sticky clay beds up to 5 cm thick and gray (N5) vf sandy mud.  Color/lithology bands are 1-5 cm thick and have wavy to diffuse contacts, becoming more bioturbated down core.  Color banding decreases in intensity down core becoming increasingly mottled in core 5 and core 6.  Normally graded/fining upward f-vf well sorted sand beds with sharp contacts are dispersed throughout sections 2-7. ",,,,,
317-U1352A-3H-7-A,317,U1352,A,3,3-7,H,7,A,0,5,22.2,22.25,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,firm,,,Expedition 317,"Color-banded vf sandy mud and clay.  Color alternates between light gray (N6) sticky clay beds up to 5 cm thick and gray (N5) vf sandy mud.  Color/lithology bands are 1-5 cm thick and have wavy to diffuse contacts, becoming more bioturbated down core.  Color banding decreases in intensity down core becoming increasingly mottled in core 5 and core 6.  Normally graded/fining upward f-vf well sorted sand beds with sharp contacts are dispersed throughout sections 2-7. ",,,,,
317-U1352A-3H-7-A,317,U1352,A,3,3-7,H,7,A,5,36,22.25,22.56,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352A-3H-7-A,317,U1352,A,3,3-7,H,7,A,36,57,22.56,22.77,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352A-3H-CC-A,317,U1352,A,3,3-CC,H,CC,A,0,23,22.87,23.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1352A-4H-1-A,317,U1352,A,4,4-1,H,1,A,0,71,23.2,23.91,,Clay [S54] ,,Clay,,,,,"United States Geological Survey-Folk, 1954",,,,,,
317-U1352A-4H-2-A,317,U1352,A,4,4-2,H,2,A,0,120,24.7,25.9,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-3-A,317,U1352,A,4,4-3,H,3,A,0,120,26.2,27.4,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-4-A,317,U1352,A,4,4-4,H,4,A,0,130,27.7,29,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-5-A,317,U1352,A,4,4-5,H,5,A,0,130,29.2,30.5,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-6-A,317,U1352,A,4,4-6,H,6,A,0,140,30.7,32.1,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-7-A,317,U1352,A,4,4-7,H,7,A,0,37,32.2,32.57,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-7-A,317,U1352,A,4,4-7,H,7,A,38,39,32.58,32.59,,very fine-fine sand [S54-W22],,very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-4H-7-A,317,U1352,A,4,4-7,H,7,A,40,47,32.6,32.67,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-7-A,317,U1352,A,4,4-7,H,7,A,48,49,32.68,32.69,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-4H-7-A,317,U1352,A,4,4-7,H,7,A,49,58,32.69,32.78,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-4H-CC-A,317,U1352,A,4,4-CC,H,CC,A,0,55,32.85,33.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352A-5H-1-A,317,U1352,A,5,5-1,H,1,A,0,23,32.7,32.93,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-1-A,317,U1352,A,5,5-1,H,1,A,23,24,32.93,32.94,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-5H-1-A,317,U1352,A,5,5-1,H,1,A,24,66,32.94,33.36,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-1-A,317,U1352,A,5,5-1,H,1,A,66,68,33.36,33.38,,Silt [S54],,Silt,,,,,"Shepard, 1954",,,,,,
317-U1352A-5H-1-A,317,U1352,A,5,5-1,H,1,A,68,70,33.38,33.4,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,0,6,34.2,34.26,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,6,7,34.26,34.27,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,7,18,34.27,34.38,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,18,19,34.38,34.39,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,19,33,34.39,34.53,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,33,34,34.53,34.54,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,34,103,34.54,35.23,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,103,104,35.23,35.24,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-5H-2-A,317,U1352,A,5,5-2,H,2,A,104,122,35.24,35.42,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-3-A,317,U1352,A,5,5-3,H,3,A,0,120,35.7,36.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352A-5H-4-A,317,U1352,A,5,5-4,H,4,A,0,130,37.2,38.5,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-4-A,317,U1352,A,5,5-4,H,4,A,26,27,37.46,37.47,,Silt [S54],,Silt,,,,,"Shepard, 1954",,,,,,
317-U1352A-5H-4-A,317,U1352,A,5,5-4,H,4,A,59,60,37.79,37.8,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,,
317-U1352A-5H-5-A,317,U1352,A,5,5-5,H,5,A,0,130,38.7,40,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-5-A,317,U1352,A,5,5-5,H,5,A,13,15,38.83,38.85,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",Fining upward,,,,,
317-U1352A-5H-6-A,317,U1352,A,5,5-6,H,6,A,0,140,40.2,41.6,,Interbedded clay and mud [Exp.317],,Interbedded clay and mud,,,,,Expedition 317,,,,,,
317-U1352A-5H-6-A,317,U1352,A,5,5-6,H,6,A,30,31,40.5,40.51,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",well-sorted and micaceous,,,,,
317-U1352A-5H-6-A,317,U1352,A,5,5-6,H,6,A,40,41,40.6,40.61,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","well-sorted and micaceous
",,,,,
317-U1352A-5H-6-A,317,U1352,A,5,5-6,H,6,A,99,100,41.19,41.2,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","well-sorted and micaceous
",,,,,
317-U1352A-5H-6-A,317,U1352,A,5,5-6,H,6,A,106,108,41.26,41.28,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","well-sorted and micaceous
",,,,,
317-U1352A-5H-6-A,317,U1352,A,5,5-6,H,6,A,121,122,41.41,41.42,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","well-sorted and micaceous
",,,,,
317-U1352A-5H-7-A,317,U1352,A,5,5-7,H,7,A,0,83,41.7,42.53,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1352A-5H-7-A,317,U1352,A,5,5-7,H,7,A,49,51,42.19,42.21,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","well-sorted and micaceous
",,,,,
317-U1352A-5H-7-A,317,U1352,A,5,5-7,H,7,A,68,70,42.38,42.4,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","well-sorted and micaceous
",,,,,
317-U1352A-5H-CC-A,317,U1352,A,5,5-CC,H,CC,A,0,51,42.53,43.04,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
