Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
375-U1520D-2H-2-A,0,76.0,7.5,8.26,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 24, 30, 39, and 56 cm.",,,,375,U1520,D,2,H,2,A,,,
375-U1520D-2H-2-A,76,88.0,8.26,8.38,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Fine sand with normal grading. Some coarser, light grains at the bottom.",,,,375,U1520,D,2,H,2,A,,,
375-U1520D-2H-2-A,88,117.0,8.38,8.67,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt to fine sand layers with normal grading. Silt to fine sand layer at 110 cm.,,,,375,U1520,D,2,H,2,A,,,
375-U1520D-2H-3-A,0,15.0,8.77,8.92,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading, but this interval is only a mud interbed.",,,,375,U1520,D,2,H,3,A,,,
375-U1520D-2H-3-A,15,29.0,8.92,9.06,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Fine sand with normal grading.,,,,375,U1520,D,2,H,3,A,,,
375-U1520D-2H-3-A,29,135.0,9.06,10.12,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 58, 68, 82, 95, 106, 114, 127, and 134 cm. Brown ash layer at 75 cm.",,,,375,U1520,D,2,H,3,A,,,
375-U1520D-2H-3-A,135,150.0,10.12,10.27,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),,,,,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Fine sand with normal grading. Continues to 375-U1520D-2H-4A, 4 cm.",,,,375,U1520,D,2,H,3,A,,,
375-U1520D-2H-4-A,0,4.0,10.27,10.31,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),,,,,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Fine sand with normal grading. Continues from 375-U1520D-2H-3A, 135 cm.",,,,375,U1520,D,2,H,4,A,,,
375-U1520D-2H-4-A,4,98.0,10.31,11.25,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),,sharp, sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 14, 28, 35, 45, 54, 62, and 87 cm. Several of the bottom contacts are smeared out and irregular due to drilling disturbance.",,,,375,U1520,D,2,H,4,A,,,
375-U1520D-2H-4-A,98,111.0,11.25,11.38,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Fine sand with normal grading and white pumice grains at the bottom.,,,,375,U1520,D,2,H,4,A,,,
375-U1520D-2H-4-A,111,150.0,11.38,11.77,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),,sharp, sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 97, 119, 131, and 146 cm. Layer at 119 cm is offset 4 cm and has brown grains (ash?) at the bottom.",,,,375,U1520,D,2,H,4,A,,,
375-U1520D-2H-5-A,0,103.0,11.77,12.8,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 12, 20, 24, 33, 37, 55, 62, 72, and 82 cm. Drilling disturbance has dragged some of the bottom contacts.",,,,375,U1520,D,2,H,5,A,,,
375-U1520D-2H-5-A,103,114.0,12.8,12.91,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Fine sand with normal grading.,,,,375,U1520,D,2,H,5,A,,,
375-U1520D-2H-5-A,114,142.0,12.91,13.19,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt to fine sand layers with normal grading. Silt to fine sand layer at 129 cm.,,,,375,U1520,D,2,H,5,A,,,
375-U1520D-2H-6-A,0,18.0,13.29,13.47,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 8 and 16 cm. Black pods of opaque grains.,,,,375,U1520,D,2,H,6,A,,,
375-U1520D-2H-6-A,18,54.0,13.47,13.83,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,Fine sand with normal grading.,,,,375,U1520,D,2,H,6,A,,,
375-U1520D-2H-6-A,54,149.0,13.83,14.78,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 71, 85, 104, 124, 133, and 149 cm.",,,,375,U1520,D,2,H,6,A,,,
375-U1520D-2H-7-A,0,60.0,14.78,15.38,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 10, 19, 22, 30, 40, and 58 cm.",,,,375,U1520,D,2,H,7,A,,,
375-U1520D-2H-7-A,60,75.0,15.38,15.53,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 3 (very dark gray),,,,,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Fine sand with normal grading. Bottom contact not visible.,,,,375,U1520,D,2,H,7,A,,,
375-U1520D-2H-CC-A,0,17.0,15.53,15.7,,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,5GY 5/1 (greenish gray),,sharp, sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,Alternating silt to fine sand layers with normal grading. Silt to fine sand layers at 6 and 15 cm. Drilling disturbance has dragged down bottom contacts.,,,,375,U1520,D,2,H,CC,A,,,
375-U1520D-3H-1-A,0,150.0,15.5,17.0,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 66, 72, 81, 89, 98, 106, 134, and 150 cm. Black mud layers which are texturally the same as the interevent mud are commonly seen in this core. Two such layers are seen at 54 and118 cm. However, after about an hour after being split, the black color had faded.",,,,375,U1520,D,3,H,1,A,,,
375-U1520D-3H-2-A,0,32.0,17.0,17.32,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),irregular,sharp,irregular sharp,horizontal,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,3,H,2,A,,,
375-U1520D-3H-2-A,32,138.0,17.32,18.38,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,N 4 (dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 63, 83, 107, 126, and 138 cm.",,,,375,U1520,D,3,H,2,A,,,
375-U1520D-3H-3-A,0,95.0,18.52,19.47,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 17, 34, 54, 63, 76, 90, and 91 cm. Black mud layers which are texturally the same as the interevent mud are commonly seen in this core. One such layer is seen at 28cm.",,,,375,U1520,D,3,H,3,A,,,
375-U1520D-3H-3-A,95,119.0,19.47,19.71,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,3,H,3,A,,,
375-U1520D-3H-3-A,119,151.0,19.71,20.03,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 140 and 145 cm.,,,,375,U1520,D,3,H,3,A,,,
375-U1520D-3H-4-A,0,129.0,20.03,21.32,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,planar lamination,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 4, 22, 35, 40, 49, 73, 85, 91, 104, and 117 cm. Black mud layers which are texturally the same as the interevent mud are commonly seen in this core. One such layer is seen at 58 cm. However, after about an hour after being split, the black color had faded.",,,,375,U1520,D,3,H,4,A,,,
375-U1520D-3H-4-A,129,141.0,21.32,21.44,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,normal grading,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,3,H,4,A,,,
375-U1520D-3H-4-A,141,151.0,21.44,21.54,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers, though a contact is not seen in this interval.",,,,375,U1520,D,3,H,4,A,,,
375-U1520D-3H-5-A,0,11.0,21.54,21.65,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,3,H,5,A,,,
375-U1520D-3H-5-A,11,26.0,21.65,21.8,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layers at 16 and 22 cm.,,,,375,U1520,D,3,H,5,A,,,
375-U1520D-3H-5-A,26,92.0,21.8,22.46,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),irregular,sharp,irregular sharp,horizontal,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Mud clast at 31 cm.",,,,375,U1520,D,3,H,5,A,,,
375-U1520D-3H-5-A,92,137.0,22.46,22.91,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 102, 119, and 133 cm.",,,,375,U1520,D,3,H,5,A,,,
375-U1520D-3H-6-A,0,7.0,23.06,23.13,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Alternating silt and mud layers, though a contact is not seen in this interval.",,,,375,U1520,D,3,H,6,A,,,
375-U1520D-3H-6-A,7,49.0,23.13,23.55,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),irregular,sharp,irregular sharp,horizontal,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance. Bottom contact has an erosional surface.",,,,375,U1520,D,3,H,6,A,,,
375-U1520D-3H-6-A,49,64.0,23.55,23.7,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 61 cm.,,,,375,U1520,D,3,H,6,A,,,
375-U1520D-3H-6-A,64,101.0,23.7,24.07,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,horizontal,thick bed [B01],unconsolidated,,poor [2014],,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,3,H,6,A,,,
375-U1520D-3H-6-A,101,123.0,24.07,24.29,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 105, 111, and 133 cm.",,,,375,U1520,D,3,H,6,A,,,
375-U1520D-3H-7-A,0,24.0,24.29,24.53,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 6 cm.,,,,375,U1520,D,3,H,7,A,,,
375-U1520D-3H-7-A,24,43.0,24.53,24.72,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,3,H,7,A,,,
375-U1520D-3H-7-A,43,91.0,24.72,25.2,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layers at 52, 69, 76, and 83 cm.",,,,375,U1520,D,3,H,7,A,,,
375-U1520D-3H-CC-A,0,8.0,25.2,25.28,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,slight,1,,,,,,,,,Alternating silt and mud layers with normal grading. Silt layer at 6 cm.,,,,375,U1520,D,3,H,CC,A,,,
375-U1520D-4H-1-A,0,149.0,25.0,26.49,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,planar lamination,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 12, 57, 68, 75, 78, 85, 94, 116, 132, 149 cm.",,,,375,U1520,D,4,H,1,A,,,
375-U1520D-4H-2-A,0,137.0,26.49,27.86,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 13, 30, 43, 52, 66, 79, 91, 103, 115, 120, 128, 136 cm.",,,,375,U1520,D,4,H,2,A,,,
375-U1520D-4H-3-A,0,92.0,28.0,28.92,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,planar lamination,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 16, 33, 51, 77, 79 cm.",,,,375,U1520,D,4,H,3,A,,,
375-U1520D-4H-3-A,92,133.0,28.92,29.33,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,sharp, sharp,,thick bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,4,H,3,A,,,
375-U1520D-4H-3-A,133,150.0,29.33,29.5,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,,,,,,,,,,,,,,Mud,,,,375,U1520,D,4,H,3,A,,,
375-U1520D-4H-4-A,0,129.0,29.5,30.79,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 8, 18, 34, 38, 48, 59, 67, 77, 84, 87, 97, 101, 118, 126 cm. ash layer at 119 cm.",,,,375,U1520,D,4,H,4,A,,,
375-U1520D-4H-4-A,129,150.0,30.79,31.0,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,,,,medium bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,4,H,4,A,,,
375-U1520D-4H-5-A,0,83.0,31.0,31.83,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 8, 18, 22, 33, 44, 49, 52, 60, 70, 75 cm. Silt layer at 8 cm is continuation of layer from section 4.",,,,375,U1520,D,4,H,5,A,,,
375-U1520D-4H-5-A,83,137.0,31.83,32.37,,,fine sand [USGS],,fine sand,fine sand,fine sand,N 4 (dark gray),,sharp, sharp,,medium bed [B01],unconsolidated,,,,,,,,,,,,,,"Fine sand. Cannot see normal grading, though this could be due to the soupy drilling disturbance.",,,,375,U1520,D,4,H,5,A,,,
375-U1520D-4H-6-A,0,103.0,32.52,33.55,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5GY 5/1 (greenish gray),planar,sharp,planar sharp,,thin bed [B01],unconsolidated,normal grading,poor [2014],parallel bedding,,,,,,,,,,,"Alternating silt and mud layers with normal grading. Silt layer at 4, 13, 15, 20, 32, 35, 68, 70, 88, 95, 98, 117 cm.",,,,375,U1520,D,4,H,6,A,,,
