Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
369-U1516C-7R-3-A,0.0,93.0,246.35,247.28,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,7,R,3,A,,,
369-U1516C-7R-4-A,0.0,67.0,247.28,247.95,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,7,R,4,A,,,
369-U1516C-7R-CC-A,0.0,6.0,247.95,248.01,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,7,R,CC,A,,,
369-U1516C-8R-1-A,0.0,73.0,253.6,254.33,,,,,sponge spicule rich,calcareous ooze,,sponge spicule rich calcareous ooze,,,10YR 8/2 (very pale orange),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,sponge spicule rich calcareous ooze,calcareous ooze,,,,369,U1516,C,8,R,1,A,,,
369-U1516C-8R-1-A,73.0,87.0,254.33,254.47,,,,,sponge spicule rich,calcareous ooze,,sponge spicule rich calcareous ooze,,,7.5YR 8.5/2 (pinkish white),layering,parallel lamination,,structureless,,silt [W22_1],2.0,,,none,0.0,2 mm interbedding of very pale orange and pinkish white with laterall lamination.,,,,,,,,,,sponge spicule rich calcareous ooze,calcareous ooze,,,,369,U1516,C,8,R,1,A,,,
369-U1516C-8R-2-A,0.0,150.0,254.47,255.97,,,,,sponge spicule rich,calcareous ooze,,sponge spicule rich calcareous ooze,,,10YR 8/2 (very pale orange),massive [BJ84],,,structureless,,silt [W22_1],2.0,,,none,0.0,,,,,,,,,,,sponge spicule rich calcareous ooze,calcareous ooze,,,,369,U1516,C,8,R,2,A,,,
369-U1516C-8R-3-A,0.0,131.0,255.97,257.28,,,,,sponge spicule rich,calcareous ooze,,sponge spicule rich calcareous ooze,,,10YR 8/2 (very pale orange),massive [BJ84],,,structureless,,silt [W22_1],2.0,,,none,0.0,There are greenish pale brown 1 cm wide spots throughout the section.,,,,,,,,,,sponge spicule rich calcareous ooze,calcareous ooze,,,,369,U1516,C,8,R,3,A,,,
369-U1516C-8R-4-A,0.0,58.0,257.28,257.86,,,,,sponge spicule rich,calcareous ooze,,sponge spicule rich calcareous ooze,,,10YR 8/2 (very pale orange),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,sharp boundary or contact,linear,sharp,,,,,,,sponge spicule rich calcareous ooze,calcareous ooze,,,,369,U1516,C,8,R,4,A,,,
369-U1516C-8R-4-A,58.0,151.0,257.86,258.79,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,clay [W22_1],1.0,,,intense,5.0,Presence of bioturbation at that interval with large 3 cm diameter circular burrows with up to three stages of infilling.,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,8,R,4,A,,,
369-U1516C-8R-5-A,0.0,73.0,258.79,259.52,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,Presence of bioturbation at that interval with circular burrows with two stages of infilling.,sharp boundary or contact,sharp,sharp,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,8,R,5,A,,,
369-U1516C-8R-5-A,73.0,80.0,259.52,259.59,,,,,,calcareous chalk,,calcareous chalk,,,10YR 8/2 (very pale orange),mottled,,,structureless,,silt [W22_1],2.0,,,none,0.0,,sharp boundary or contact,sharp,sharp,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,8,R,5,A,,,
369-U1516C-8R-5-A,80.0,151.0,259.59,260.3,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,none,0.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,8,R,5,A,,,
369-U1516C-8R-6-A,0.0,45.5,260.3,260.755,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 8/2 (pinkish white),mottled,,,structureless,,silt [W22_1],2.0,,,none,0.0,,sharp boundary or contact,linear,sharp,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,8,R,6,A,,,
369-U1516C-8R-6-A,45.5,47.5,260.755,260.775,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,parallel lamination,,structureless,,silt [W22_1],2.0,,,none,0.0,,sharp boundary or contact,linear,sharp,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,8,R,6,A,,,
369-U1516C-8R-6-A,47.5,118.0,260.775,261.48,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 53-62 cm, with cylindrichnus burrows.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,8,R,6,A,,,
369-U1516C-8R-7-A,0.0,83.0,261.48,262.31,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 70-80 cm, with large (5 cm diameter) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,8,R,7,A,,,
369-U1516C-8R-CC-A,0.0,6.0,262.31,262.37,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,8,R,CC,A,,,
369-U1516C-9R-1-A,0.0,110.0,263.2,264.3,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,1,A,,,
369-U1516C-9R-2-A,0.0,150.0,264.3,265.8,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 103-113 cm, with large (5 cm diameter) cylindrichnus burrows with three generations of infilling. Ichnofacies is also composed by zoophycos and planolites.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,2,A,,,
369-U1516C-9R-3-A,0.0,150.0,265.8,267.3,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 106-112 cm, with large (5 cm diameter) cylindrichnus burrows with three generations of infilling. Ichnofacies is also composed by zoophycos and planolites.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,3,A,,,
369-U1516C-9R-4-A,0.0,150.0,267.3,268.8,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 80-100 cm, with large (4 cm diameter) cylindrichnus burrows with three generations of infilling. Ichnofacies is also composed by zoophycos and planolites.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,4,A,,,
369-U1516C-9R-5-A,0.0,150.0,268.8,270.3,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between throughout, with large (5 cm diameter) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,5,A,,,
369-U1516C-9R-6-A,0.0,150.0,270.3,271.8,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 20-46 cm, with large (5 cm diameter) cylindrichnus burrows with three generations of infilling. Ichnofacies is also composed by zoophycos and planolites.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,6,A,,,
369-U1516C-9R-7-A,0.0,83.0,271.8,272.63,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense between 70-80 cm, with very large (9 cm diameter) cylindrichnus burrows with four generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,9,R,7,A,,,
369-U1516C-9R-CC-A,0.0,7.0,272.63,272.7,,,,,,,,,,,,,,,,,,,,,,,No recovery.,,,,,,,,,,,,,,,369,U1516,C,9,R,CC,A,,,
369-U1516C-10R-1-A,0.0,131.0,272.8,274.11,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense throughout the section, with large (3 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,10,R,1,A,,,
369-U1516C-10R-2-A,0.0,150.0,274.11,275.61,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense throughout the section, with very large (6 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,10,R,2,A,,,
369-U1516C-10R-3-A,0.0,149.0,275.61,277.1,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense throughout the section, with large (4 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,10,R,3,A,,,
369-U1516C-10R-4-A,0.0,101.0,277.1,278.11,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense throughout the section, with very large (6 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,10,R,4,A,,,
369-U1516C-10R-5-A,0.0,86.0,278.11,278.97,,,,,,calcareous chalk,,calcareous chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense throughout the section, with very large (6 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,10,R,5,A,,,
369-U1516C-11R-1-A,0.0,150.0,282.4,283.9,,,,,,nannofossil chalk,,nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,11,R,1,A,,,
369-U1516C-11R-2-A,0.0,108.0,283.9,284.98,,,,,,nannofossil chalk,,nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,11,R,2,A,,,
369-U1516C-11R-CC-A,0.0,15.0,284.98,285.13,,,,,,nannofossil chalk,,nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,11,R,CC,A,,,
369-U1516C-12R-1-A,0.0,126.0,292.0,293.26,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,intense,5.0,"Bioturbation is intense throughout the section, with large (3 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,12,R,1,A,,,
369-U1516C-12R-2-A,0.0,115.0,293.26,294.41,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 7/2 (pinkish gray),mottled,,,structureless,,silt [W22_1],2.0,,,moderate,2.0,"Bioturbation is moderate throughout the section, with large (3 cm thick) cylindrichnus burrows with three generations of infilling.",,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,12,R,2,A,,,
369-U1516C-12R-3-A,0.0,150.0,294.51,296.01,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,12,R,3,A,,,
369-U1516C-12R-4-A,0.0,97.0,296.01,296.98,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,12,R,4,A,,,
369-U1516C-12R-CC-A,0.0,12.0,296.98,297.1,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,calcareous chalk,calcareous chalk with sponge spicules,,,,369,U1516,C,12,R,CC,A,,,
369-U1516C-13R-1-A,0.0,150.0,301.6,303.1,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,13,R,1,A,,,
369-U1516C-13R-2-A,0.0,144.0,303.1,304.54,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,13,R,2,A,,,
369-U1516C-13R-CC-A,0.0,8.0,304.54,304.62,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,none,0.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,13,R,CC,A,,,
369-U1516C-14R-CC-A,0.0,5.0,311.2,311.25,,,,,,,,no recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,U1516,C,14,R,CC,A,,,
369-U1516C-15R-1-A,0.0,150.0,320.8,322.3,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,15,R,1,A,,,
369-U1516C-15R-2-A,0.0,150.0,322.3,323.8,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,15,R,2,A,,,
369-U1516C-15R-3-A,0.0,150.0,323.8,325.3,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,15,R,3,A,,,
369-U1516C-15R-4-A,0.0,101.0,325.3,326.31,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,15,R,4,A,,,
369-U1516C-15R-5-A,0.0,88.0,326.31,327.19,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,15,R,5,A,,,
369-U1516C-15R-CC-A,0.0,20.0,327.19,327.39,,,,,sponge spicule rich,nannofossil chalk,,sponge spicule rich nannofossil chalk,,,7.5YR 8/2 (pinkish white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,15,R,CC,A,,,
369-U1516C-16R-1-A,0.0,101.0,330.4,331.41,,,,,,calcareous chalk,with sponge spicules,calcareous chalk with sponge spicules,,,10YR 9.5/2 (pale orange yellow),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,16,R,1,A,,,
369-U1516C-16R-2-A,0.0,91.0,331.41,332.32,,,,,,calcareous chalk,with sponge spicules,calcareous chalk with sponge spicules,,,10YR 9.5/2 (pale orange yellow),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,Zoophycos burrow at 28 cm.,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,16,R,2,A,,,
369-U1516C-16R-3-A,0.0,122.0,332.42,333.64,,,,,,calcareous chalk,with sponge spicules,calcareous chalk with sponge spicules,,,10YR 9.5/2 (pale orange yellow),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,Zoophycos burrow at 73 cm.,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,16,R,3,A,,,
369-U1516C-16R-CC-A,0.0,10.0,333.64,333.74,,,,,,calcareous chalk,with sponge spicules,calcareous chalk with sponge spicules,,,10YR 9.5/2 (pale orange yellow),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,,,,,,,,,,,sponge spicule rich calcareous chalk,calcareous chalk,,,,369,U1516,C,16,R,CC,A,,,
369-U1516C-17R-1-A,0.0,150.0,340.0,341.5,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,low,2.0,There is a slightly mottled interval between 104 and 129 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,1,A,,,
369-U1516C-17R-2-A,0.0,150.0,341.5,343.0,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,There is a slightly mottled interval between 91 and 108 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,2,A,,,
369-U1516C-17R-3-A,0.0,150.0,343.0,344.5,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,There is a distinct vertical burrow from 107 to 119 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,3,A,,,
369-U1516C-17R-4-A,0.0,88.0,344.5,345.38,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,4,A,,,
369-U1516C-17R-5-A,0.0,150.0,345.38,346.88,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,5,A,,,
369-U1516C-17R-6-A,0.0,101.0,346.88,347.89,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,There is a slightly mottled interval between 43 and 46 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,6,A,,,
369-U1516C-17R-7-A,0.0,77.0,347.89,348.66,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,7,A,,,
369-U1516C-17R-CC-A,0.0,23.0,348.66,348.89,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1.0,,,sparse,1.0,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,17,R,CC,A,,,
369-U1516C-18R-1-A,0.0,150.0,349.6,351.1,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),mottled,,,structureless,,clay [W22_1],1.0,,,low,2.0,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,18,R,1,A,,,
