Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
341-U1418A-2H-6-A,0,49,12.3,12.79,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,Lamina of coarse silt at 6 cm,,,,,,341,U1418,A,2,H,6,A,,,,
341-U1418A-2H-6-A,49,142,12.79,13.72,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,5Y 4/1 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,"clast, 2 cm, argillite, at cm 136 in WH! ",,,,,,341,U1418,A,2,H,6,A,,,,
341-U1418A-2H-CC-A,0,18,13.72,13.9,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,5Y 4/1 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,A,2,H,CC,A,,,,
341-U1418A-2H-CC-A,18,23,13.9,13.95,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,A,2,H,CC,A,,,,
341-U1418A-3H-1-A,0,150,14.3,15.8,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"- interbedded mud and silt
- mostly colour banded mud to slightly more greyish and greenish (N 5)
- silt laminae up to 5 mm thick
- >20 laminae with irregular spacings between <1 and >7 cm
- sharp to gradational lower and upper boundaries of silt laminae
- some laminae may contain very fine sand",,,,,,341,U1418,A,3,H,1,A,,,,
341-U1418A-3H-2-A,0,150,15.8,17.3,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"- interbedded mud and silt
- mostly colour banded mud to slightly more greyish and greenish (N 5)
- silt laminae up to 5 mm thick
- >20 laminae with irregular spacings between <1 and >7 cm
- sharp to gradational lower and upper boundaries of silt laminae
- some laminae may contain very fine sand",,,,,,341,U1418,A,3,H,2,A,,,,
341-U1418A-3H-3-A,0,150,17.3,18.8,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,"- interbedded mud and silt
- mostly colour banded mud to slightly more greyish and greenish (N 5)
- silt laminae up to 5 mm thick
- >20 laminae with irregular spacings between <1 and >7 cm
- sharp to gradational lower and upper boundaries of silt laminae
- some laminae may contain very fine sand",,,,,,341,U1418,A,3,H,3,A,,,,
341-U1418A-3H-4-A,0,150,18.8,20.3,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,"- interbedded mud and silt
- mostly colour banded mud to slightly more greyish and greenish (N 5)
- silt laminae up to 5 mm thick
- >20 laminae with irregular spacings between <1 and >7 cm
- sharp to gradational lower and upper boundaries of silt laminae
- some laminae may contain very fine sand",,,,,,341,U1418,A,3,H,4,A,,,,
341-U1418A-3H-4-A,0,150,18.8,20.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,A,3,H,4,A,,,,
341-U1418A-3H-5-A,0,150,20.3,21.8,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,present [A79],2,,,,,,,,,,silt layers up to 1cm thick; few layers may contain fine sand-sized grains; color banding (from slightly darker to slightly brighter N4) throughout section; 2 clasts (0.3 cm),,,,,,341,U1418,A,3,H,5,A,,,,
341-U1418A-3H-6-A,0,120,21.8,23,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,silt layers up to 1cm thick; few layers may contain fine sand-sized grains; color banding (from slightly darker to slightly brighter N4) throughout section,,,,,,341,U1418,A,3,H,6,A,,,,
341-U1418A-3H-6-A,120,125,23,23.05,,,,,,,,,,,,,,,,,,,,,,IW sample,,,,,,341,U1418,A,3,H,6,A,,,,
341-U1418A-3H-7-A,0,69,23.05,23.74,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,silt layers up to 1.5 cm thick; few layers may contain fine sand-sized grains; color banding (from slightly darker to slightly brighter N4) throughout section; seems to increase with depth (is independent from silt layers),,,,,,341,U1418,A,3,H,7,A,,,,
341-U1418A-3H-CC-A,0,17,23.74,23.91,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,silt layers up to 1 cm thick; color banding (from slightly darker to slightly brighter N4) throughout section,,,,,,341,U1418,A,3,H,CC,A,,,,
341-U1418A-3H-CC-A,17,23,23.91,23.97,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1418,A,3,H,CC,A,,,,
341-U1418A-4H-1-A,0,115,23.8,24.95,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,5GY 3/1 (very dark greenish gray),,,,,,,,,,,,,,"colour banded greenish grey (5GY 3/1), dark grey (N 4), black N 2.5; rare); black laminae and patches, FeO rich; at 77 cm 2 cm thick layer of muddy silt",,,,,,341,U1418,A,4,H,1,A,,,,
341-U1418A-4H-1-A,115,150,24.95,25.3,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,A,4,H,1,A,,,,
341-U1418A-4H-2-A,0,145,25.3,26.75,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,,,,,,,,,,,,4 laminae of silty mud in lower part of section,,,,,,341,U1418,A,4,H,2,A,,,,
341-U1418A-4H-2-A,145,150,26.75,26.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,A,4,H,2,A,,,,
341-U1418A-4H-3-A,0,150,26.8,28.3,,mud [Leg210],with silt [Leg339],,,,,N 4 (dark gray),,,,,,,,,,,,,,4 laminae of silty mud in lower part of section,,,,,,341,U1418,A,4,H,3,A,,,,
341-U1418A-4H-4-A,0,130,28.3,29.6,,mud [Leg210],with silt [Leg339],,,,,N 4 (dark gray),,,,,,,,,,,,,,"1 clast 1.5 cm, subrounded, metabasalt; 3 laminae of silty mud in lower part; 1 black lamina at 78 cm, FeO rich; black patches/mottles between 115 and 130 cm",,,,,,341,U1418,A,4,H,4,A,,,,
341-U1418A-4H-4-A,0,150,28.3,29.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,A,4,H,4,A,,,,
341-U1418A-4H-4-A,130,135,29.6,29.65,silty,mud [Leg210],,silty mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,A,4,H,4,A,,,,
341-U1418A-4H-4-A,135,145,29.65,29.75,,mud [Leg210],with silt [Leg339],,,,,5GY 3/1 (very dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1418,A,4,H,4,A,,,,
341-U1418A-4H-5-A,0,73,29.8,30.53,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,5G 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,intermittent black mottling,gradational contact,,,,,341,U1418,A,4,H,5,A,,,,
341-U1418A-4H-5-A,73,118,30.53,30.98,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,thinly laminated silt layers @ ~1-5cm intervals,,,,,,341,U1418,A,4,H,5,A,,,,
341-U1418A-4H-5-A,118,150,30.98,31.3,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,,,,,,,341,U1418,A,4,H,5,A,,,,
341-U1418A-4H-6-A,0,46,31.3,31.76,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,thinly laminated silt layers @ ~1-10cm intervals,gradational contact,,,,,341,U1418,A,4,H,6,A,,,,
341-U1418A-4H-6-A,46,121,31.76,32.51,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"faint green(~1cm) color bands;
sparse black mottling",,,,,,341,U1418,A,4,H,6,A,,,,
341-U1418A-4H-6-A,121,126,32.51,32.56,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,A,4,H,6,A,,,,
341-U1418A-4H-7-A,0,11,32.56,32.67,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,A,4,H,7,A,,,,
341-U1418A-4H-7-A,11,19,32.67,32.75,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,18-19: dark black band,gradational contact,,,,,341,U1418,A,4,H,7,A,,,,
341-U1418A-4H-7-A,19,62,32.75,33.18,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,sparse black mottling,gradational contact,,,,,341,U1418,A,4,H,7,A,,,,
341-U1418A-4H-7-A,62,73,33.18,33.29,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,black (<1cm) color bands,,,,,,341,U1418,A,4,H,7,A,,,,
341-U1418A-4H-CC-A,0,24,33.29,33.53,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,black mottling,,,,,,341,U1418,A,4,H,CC,A,,,,
341-U1418A-4H-CC-A,24,29,33.53,33.58,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,A,4,H,CC,A,,,,
341-U1418A-5H-1-A,0,25,33.3,33.55,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,A,5,H,1,A,,,,
341-U1418A-5H-1-A,25,84,33.55,34.14,calcareous bearing,interbedded silt(stone) and mud(stone) [McKW53],with clay [Leg339],calcareous bearing interbedded silt(stone) and mud(stone)  with clay ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"thin (<1cm) green color bands;
interbedded ***: very thin (<5mm) bands @ 1-10cm intervals, most slightly darker gray",gradational contact,,,,,341,U1418,A,5,H,1,A,,,,
341-U1418A-5H-1-A,84,87,34.14,34.17,volcaniclastic bearing,silt [Leg210],,volcaniclastic bearing silt ,volcaniclastic-bearing,2,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,A,5,H,1,A,,,,
341-U1418A-5H-1-A,87,123,34.17,34.53,calcareous bearing,interbedded silt(stone) and mud(stone) [McKW53],with clay [Leg339],calcareous bearing interbedded silt(stone) and mud(stone)  with clay ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"thin (<1cm) green color bands;
interbedded ***: very thin (<5mm) bands @ 1-10cm intervals, most slightly darker gray, 2 lighter gray (volcaniclastic bearing?, @114-116cm)",gradational contact,,,,,341,U1418,A,5,H,1,A,,,,
341-U1418A-5H-1-A,123,150,34.53,34.8,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],1,,,,,,,,,,,,,,,,341,U1418,A,5,H,1,A,,,,
341-U1418A-5H-2-A,0,58,34.8,35.38,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,irregular,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,58,62,35.38,35.42,,sand [Leg210],,sand ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,irregular,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,62,78,35.42,35.58,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,,,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,78,78,35.58,35.58,,sand [Leg210],,sand ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,78,100,35.58,35.8,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,100,114,35.8,35.94,,mud [Leg210],,mud ,,,,5GY 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,sparse black mottling,gradational contact,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,114,122,35.94,36.02,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,sparse black mottling,,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,122,134,36.02,36.14,,interbedded sand(stone) and mud(stone) [McKW53],,interbedded sand(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"sparse black mottling;
@123cm: ~2mm sand bed",,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,134,148,36.14,36.28,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,sparse black mottling,,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-2-A,148,150,36.28,36.3,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1418,A,5,H,2,A,,,,
341-U1418A-5H-3-A,0,2,36.3,36.32,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,A,5,H,3,A,,,,
341-U1418A-5H-3-A,2,145,36.32,37.75,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,3-29cm: black mottling; rare thin laminae and patches of very fine silt,,,,,,341,U1418,A,5,H,3,A,,,,
341-U1418A-5H-3-A,145,150,37.75,37.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,A,5,H,3,A,,,,
341-U1418A-5H-4-A,0,133,37.8,39.13,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,rare thin laminae and patches of fine silt,,,,,,341,U1418,A,5,H,4,A,,,,
341-U1418A-5H-4-A,133,150,39.13,39.3,,mud [Leg210],,mud ,,,color banding,5Y 3/1 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,1-4cm thick green color bands,,,,,,341,U1418,A,5,H,4,A,,,,
341-U1418A-5H-5-A,0,80,39.3,40.1,volcaniclastic bearing,interbedded silt(stone) and mud(stone) [McKW53],with clay [Leg339],volcaniclastic bearing interbedded silt(stone) and mud(stone)  with clay ,volcaniclastic-bearing,2,color banding,N 4 (dark gray),,,,,,,,,,,,,,"colour banding, 1 to 5 cm; interbedded silt lyers 4mm to 10 mm thick, often normally graded. Some of these layers are rather silty mud than silt. 17 silt interbeds, silt volcaniclastic bearing",sharp contact,,,,,341,U1418,A,5,H,5,A,,,,
341-U1418A-5H-5-A,80,82,40.1,40.12,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,normal grading,5Y 6/1 (gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,5,A,,,,
341-U1418A-5H-5-A,82,108,40.12,40.38,volcaniclastic bearing,interbedded silt(stone) and mud(stone) [McKW53],with clay [Leg339],volcaniclastic bearing interbedded silt(stone) and mud(stone)  with clay ,volcaniclastic-bearing,2,,N 4 (dark gray),,,,,,,,,,,,,,11 silt interbeds,sharp contact,,,,,341,U1418,A,5,H,5,A,,,,
341-U1418A-5H-5-A,108,145,40.38,40.75,,mud [Leg210],,mud ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,5,A,,,,
341-U1418A-5H-5-A,145,150,40.75,40.8,,,,,,,,,,,,,,,,,,,,,,IW,sharp contact,,,,,341,U1418,A,5,H,5,A,,,,
341-U1418A-5H-6-A,0,22,40.8,41.02,,mud [Leg210],,mud ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,6,A,,,,
341-U1418A-5H-6-A,22,42,41.02,41.22,volcaniclastic bearing,interbedded silt(stone) and mud(stone) [McKW53],with clay [Leg339],volcaniclastic bearing interbedded silt(stone) and mud(stone)  with clay ,volcaniclastic-bearing,2,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,6,A,,,,
341-U1418A-5H-6-A,42,66,41.22,41.46,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,6,A,,,,
341-U1418A-5H-6-A,66,82,41.46,41.62,volcaniclastic bearing,interbedded silt(stone) and mud(stone) [McKW53],with clay [Leg339],volcaniclastic bearing interbedded silt(stone) and mud(stone)  with clay ,volcaniclastic-bearing,2,,N 4 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,6,A,,,,
341-U1418A-5H-6-A,82,140,41.62,42.2,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,6,A,,,,
341-U1418A-5H-7-A,0,62,42.2,42.82,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,7,A,,,,
341-U1418A-5H-CC-A,0,9,42.82,42.91,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),,,,,,,,,,,,,,,sharp contact,,,,,341,U1418,A,5,H,CC,A,,,,
341-U1418A-5H-CC-A,0,14,42.82,42.96,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,A,5,H,CC,A,,,,
341-U1418A-6H-1-A,0,22,42.8,43.02,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,may be some interbedded silt but too much drilling disturbance to tell,gradational contact,,,,,341,U1418,A,6,H,1,A,,,,
