Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
376-U1530A-9R-1-A,0,88,45.1,45.98,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/10B (bluish gray),,clay,1.0,silt,2.0,"grey homogeneous mudstone, pyrite-bearing.",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,9,R,1,A,,,
376-U1530A-9R-1-A,88,95,45.98,46.05,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/10B (bluish gray),,clay,1.0,silt,2.0,"vague, wavy, irregular, lenticular-like bedding, pyrite-bearing. vein at bottom of piece.",,,,,well,,lenticular bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,9,R,1,A,,,
376-U1530A-9R-1-A,95,115,46.05,46.25,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/10B (bluish gray),,clay,1.0,silt,2.0,"grey homogeneous claystone, pyrite-bearing",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,9,R,1,A,,,
376-U1530A-10R-1-A,0,4,49.9,49.94,2b,,,,,clayey,siltstone,,clayey siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,sand,3.0,sandstone with bedding at upper part. lower erosive boundary,irregular,sharp,horizontal,,well,,planar lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,stratification and lower boundary both horizontal,,,,376,U1530,A,10,R,1,A,,,
376-U1530A-10R-1-A,4,9,49.94,49.99,2b,,,,,clayey,siltstone,,clayey siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,sand,3.0,,,,,,well,,planar lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,horizontal stratification,,,,376,U1530,A,10,R,1,A,,,
376-U1530A-10R-1-A,9,42,49.99,50.32,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/10B (bluish gray),,clay,1.0,silt,2.0,disseminated pyrite. mostly massive with some darker lenses,,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,"most lamination is horizontal, in some pieces the beds are curviplanar (deformed?), some irregular due to bioturbation",,,,376,U1530,A,10,R,1,A,,,
376-U1530A-10R-1-A,42,118,50.32,51.08,2b,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/10B (bluish gray),,clay,1.0,silt,2.0,"disseminated pyrite. some portions have wavy lamination, horizontal lamination and/or mottled textures",,,,,well,,wavy bedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,10,R,1,A,,,
376-U1530A-10R-1-A,118,141,51.08,51.31,2b,,,,,,siltstone,,siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,silt,2.0,massive. disseminated pyrite,,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,10,R,1,A,,,
376-U1530A-10R-2-A,0,16,51.31,51.47,2b,,,,,silty,sandstone,,silty sandstone,,GLEY 2 6/10B (bluish gray),,sand,3.0,sand,3.0,"siltstone, cross-cut by anhydrite veins. vague and discontinuous lamination",,,,,well,,planar lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lenticular bedding between 25 and 31 is subhorizontal (irregular). between 18 and 21cm, vague vertical sedimentary structures that are followed by two veins. a third vein crosscuts these structures. sedimentary structures below 21cm are crosscut by veins",,,,376,U1530,A,10,R,2,A,,,
376-U1530A-10R-2-A,16,31,51.47,51.62,2b,,,,,,siltstone,,siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,silt,2.0,some very steeply inclined laminae. disseminated pyrite. vein follows or affects sedimentary texture.,,,,,well,,lenticular bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,10,R,2,A,,,
376-U1530A-10R-2-A,31,47,51.62,51.78,2b,,,,,,siltstone,,siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,sand,3.0,"siltstone, vaguely stratified / laminated, disseminated pyrite, cross-cut by veins; partial preserved lower boundary suggests gradation (possible normal grading).",,,,,well,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,10,R,2,A,,,
376-U1530A-10R-2-A,47,52,51.78,51.83,2b,,,,,,siltstone,,siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,sand,3.0,"siltstone, finely laminated (irregular thickness), turbidite texture?; disseminated pyrite, cross-cut by anhydrite veins; normally graded with grading only 1-2 cm above boundary. erosive lower boundary",irregular,sharp,sub-horizontal,thin lamina,well,normally graded,planar lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,14.0,,,,,"stratification and vein have same orientation (see vein tab). measurement here i the stratification. there is also an offset in sedimentary layers, see structure tab.",,,,376,U1530,A,10,R,2,A,,,
376-U1530A-10R-2-A,52,92,51.83,52.23,2b,,,,,,siltstone,,siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,sand,3.0,"siltstone,mostly massive with few irregular, darker colored laminae, disseminated pyrite, cross-cut by veins",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,10,R,2,A,,,
376-U1530A-11R-1-A,0,16,54.7,54.86,2b,,,,,,siltstone,,siltstone,,GLEY 2 7/10B (light bluish gray),,silt,2.0,silt,2.0,some pieces have irregular stratification,,,,,well,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,16,29,54.86,54.99,2c,,,,,fine,sandstone,,fine sandstone,,GLEY 2 5/5B (bluish gray),,sand,3.0,sand,3.0,some pieces have stratification,,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,29,55,54.99,55.25,2c,,,,,coarse,sandstone,,coarse sandstone,,GLEY 2 6/10G (greenish gray),,sand,3.0,small pebble,5.0,massive,,,,,well,normally graded,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,55,73,55.25,55.43,2c,,,,,,sandstone,,sandstone,,GLEY 2 7/10BG (light greenish gray),,sand,3.0,sand,3.0,"heterogeneous rubble bin, some pieces have veins, some stratification",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,73,79,55.43,55.49,2c,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/5BG (greenish gray),,sand,3.0,granule,4.0,,planar,gradational,horizontal,,moderate,reversely graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,79,83,55.49,55.53,2c,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/5BG (greenish gray),,granule,4.0,small pebble,5.0,clasts have various colors and are likely to be of volcanic origin,planar,sharp,horizontal,,moderate,reversely graded,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,,,,,,,,,8.0,270.0,2.0,180.0,256.0,8.0,,,,,,,Bottom contact.,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,83,94,55.53,55.64,2d,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/5PB (bluish gray),,clay,1.0,silt,2.0,intensely bioturbated color boundary between 86-88 cm. lowermost centimeter is slightly coarser with white dots,planar,gradational,horizontal,,moderate,,mottled layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,90.0,0.0,180.0,90.0,5.0,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,94,96,55.64,55.66,2e,,,,,,mudstone,,mudstone,,GLEY 2 6/5PB (bluish gray),,clay,1.0,silt,2.0,massive,planar,scoured,horizontal,,well,,load cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,90.0,0.0,180.0,90.0,5.0,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,96,99,55.66,55.69,2e,,,,,,mudstone,,mudstone,,GLEY 2 6/5PB (bluish gray),,clay,1.0,silt,2.0,,planar,sharp,horizontal,,well,,planar lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,90.0,0.0,180.0,90.0,5.0,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,99,111,55.69,55.81,2e,,,,,,siltstone,,siltstone,,GLEY 2 6/5B (bluish gray),,silt,2.0,sand,3.0,drilling rubble,,,,,well,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,111,117,55.81,55.87,2e,,,,,,mudstone,,mudstone,,GLEY 2 6/10B (bluish gray),,clay,1.0,silt,2.0,Stratification,,,,,well,,mottled layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-11R-1-A,117,133,55.87,56.03,2e,,,,,,siltstone,,siltstone,,GLEY 2 6/10B (bluish gray),,silt,2.0,sand,3.0,,,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,11,R,1,A,,,
376-U1530A-12R-1-A,0,7,59.5,59.57,2e,,,,,,sandstone,,sandstone,,GLEY 2 6/5B (bluish gray),,sand,3.0,sand,3.0,"two large and very large pebbles, not oriented, with fine lamination",,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,12,R,1,A,,,
376-U1530A-12R-1-A,7,12,59.57,59.62,2e,,,,,fine,sandstone,,fine sandstone,,GLEY 2 6/10B (bluish gray),,sand,3.0,sand,3.0,two pebbles,,,,,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,12,R,1,A,,,
376-U1530A-13R-1-A,0,3,64.3,64.33,3,,,,,,siltstone,,siltstone,,GLEY 2 7/10B (light bluish gray),,silt,2.0,silt,2.0,potential fall in,,,,,well,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,13,R,1,A,,,
376-U1530A-13R-1-A,10,47,64.4,64.77,4,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 7/5BG (light greenish gray),,granule,4.0,medium pebble,6.0,"possibly lower gradational contact between massive lava flow and volcaniclastic breccia below, several veins up to 15 mm; vuggy",,,,,moderate,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,376,U1530,A,13,R,1,A,,,
376-U1530A-13R-1-A,47,135,64.77,65.65,4,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 6/10BG (greenish gray),,granule,4.0,large pebble,7.0,,,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",sub-rounded,,,volcanic,subangular,,,,,,,,,,,highly altered clasts with volcanic texture,,,,,30.0,,,,,,,,,,,,,,,,,,,376,U1530,A,13,R,1,A,,,
376-U1530A-13R-2-A,0,16,65.65,65.81,4,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 6/10BG (greenish gray),,granule,4.0,large pebble,7.0,,,gradational,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",sub-rounded,,,volcanic,subangular,,,,,,,,,,,highly altered clasts with volcanic texture,,,,,30.0,,,,,,,,,,,,,,,,,,,376,U1530,A,13,R,2,A,,,
376-U1530A-13R-2-A,16,52,65.81,66.17,4,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 5/10G (greenish gray),,granule,4.0,small pebble,5.0,,,,,,moderate,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",sub-rounded,,,volcanic,subangular,,,,,,,,,,,highly altered clasts with volcanic texture,,,,,20.0,,,,,,,,,,,,,,,,,,,376,U1530,A,13,R,2,A,,,
376-U1530A-14R-1-A,0,36,69.1,69.46,4,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/10BG (greenish gray),,small pebble,5.0,very large pebble,8.0,,,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",subangular,,,volcanic,subangular,,,,,,,,,,,highly altered clasts with volcanic texture,,,,,15.0,,,,,,,,,,,,,,,,,,,376,U1530,A,14,R,1,A,,,
376-U1530A-15R-1-A,0,145,73.9,75.35,4,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/5B (bluish gray),,medium pebble,6.0,very large pebble,8.0,"dominated by light grey and light green clasts, very few other (darker) clasts; changing between bluish-gray and greenish gray hues",,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",subangular,,,volcanic,angular,,,,,,,,,,,highly altered greenish and very light grey clasts with volcanic texture,,,,,15.0,,,,,,,,,,,,,,,,,,,376,U1530,A,15,R,1,A,,,
376-U1530A-15R-2-A,0,51,75.35,75.86,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/5B (bluish gray),,small pebble,5.0,large pebble,7.0,dominated by light grey clasts in dark matrix,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,highly altered light grey clasts with volcanic texture,,,,,10.0,,,,,,,,,,,,,,,,,,,376,U1530,A,15,R,2,A,,,
376-U1530A-16R-1-A,0,104,78.7,79.74,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/5B (bluish gray),,small pebble,5.0,very large pebble,8.0,dominated by light grey clasts in dark matrix,,,,,poor,,,volcanic,,,,,,,,,volcanic,angular,,,,,,,,,,,highly altered light grey clasts with volcanic texture,,,,,15.0,,,,,,,,,,,,,,,,,,,376,U1530,A,16,R,1,A,,,
376-U1530A-17R-1-A,0,8,83.5,83.58,4,,,,,silty,mudstone,,silty mudstone,,GLEY 2 6/5B (bluish gray),,clay,1.0,clay,1.0,Mudstone with fine laminations. Fine-grained disseminated pyrite present.,,,,,well,,planar lamination,,,,,,,,,,,,,,,,,,,,,,,other,,,,100.0,,,,,,,,,,,,,,,,,,,376,U1530,A,17,R,1,A,,,
376-U1530A-17R-1-A,8,83,83.58,84.33,4,,,,,"clast-supported, monomict",lapillistone,,"clast-supported, monomict lapillistone",,GLEY 2 6/10B (bluish gray),,granule,4.0,large pebble,7.0,"Dominated by light grey clasts in dark matrix. At ~40cm there is a change from coarser (ave. = small pebble) to a finer grain size (ave. = granule), on this boundary there is a rounded pebble of mudstone. The matrix is composed of mud and fine disseminated pyrite.",,,,,poor,,,volcanic,,,,,,,,,volcanic,subangular,,,,,,,,,,,"Fine grained light gray colored clasts, nondescript. They contain fine disseminated pyrite.",,,,,10.0,Dark gray colored mud with fine-grained disseminated pyrite.,,,,,,,,,,,,,,,,,,376,U1530,A,17,R,1,A,,,
376-U1530A-17R-1-A,83,124,84.33,84.74,4,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 6/5PB (bluish gray),,small pebble,5.0,large pebble,7.0,"Dark gray clasts in a medium to fine grained matrix. The matrix contains a variety of grain sizes. Some pyrite is present, but it is not as abundant as in the previous interval.",,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,Dark gray medium-grained clasts. They appear to contain a faint permeating network.,,,,,70.0,The matrix is poorly sorted with a range of grain sizes from clay to granule.,,,,,,,,,,,,,,,,,,376,U1530,A,17,R,1,A,,,
376-U1530A-18R-1-A,0,14,88.3,88.44,4,,,,,"matrix-supported, monomict",tuff,with lapilli,"matrix-supported, monomict tuff with lapilli",,GLEY 2 6/5PB (bluish gray),,medium pebble,6.0,medium pebble,6.0,Dark gray clasts in a medium to fine grained matrix. The matrix contains a variety of grain sizes and is poorly sorted. Some pyrite is present.,,,,,poor,,,volcanic,,,,,,,,,volcanic,sub-rounded,,,,,,,,,,,Light gray featureless medium-grained clast.,,,,,85.0,The matrix is poorly sorted with a range of grain sizes from clay to granule.,,,,,,,,,,,,,,,,,,376,U1530,A,18,R,1,A,,,
