Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1522A-7R-CC-A,0.0,37.0,57.9,58.27,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"clast include: low grade metamorphic at 1-4, Arkoses sandstone at 8-11.5, low grade metamorphic at 13-19, granite at 20-27.5. and meta-sedimentary at 31-34.",,,,374,U1522,A,7,R,CC,A
374-U1522A-9R-1-A,0.0,150.0,77.3,78.8,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 34-36 (meta. sed.), 82-84 (igenous), 132-134 (low grade meta.)",,,,374,U1522,A,9,R,1,A
374-U1522A-9R-2-A,0.0,141.0,78.8,80.21,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 92-95 (meta. sed.), 105.5-106.5 (diorite?)",,,,374,U1522,A,9,R,2,A
374-U1522A-9R-3-A,0.0,150.0,80.31,81.81,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 60-64 (low grade meta.), 78-82 (low grade meta.), 125-126.5 (granite), 136-138 (low grade meta.).",,,,374,U1522,A,9,R,3,A
374-U1522A-9R-4-A,0.0,122.0,81.81,83.03,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,Lonestones at 113-121 (granitoid),,,,374,U1522,A,9,R,4,A
374-U1522A-9R-CC-A,0.0,11.0,83.03,83.14,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,lonestone,,,Washout,,,,374,U1522,A,9,R,CC,A
374-U1522A-10R-1-A,0.0,140.0,87.0,88.4,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestone at 31-32 (metamorphic), 82-88 (meta. sed.), 88-100 (meta. sed.), 100-108.5 granite, 109-11 meta. sed., 113-124(granite), 124.5-130.5 (low grade meta.)",,,,374,U1522,A,10,R,1,A
374-U1522A-10R-2-A,0.0,82.0,88.5,89.32,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 68-71 (meta. sed.), 16.5-20, 49.5-52, 65-66.5",,,,374,U1522,A,10,R,2,A
374-U1522A-10R-3-A,0.0,75.0,89.32,90.07,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,Lonestones at 24-26,,,,374,U1522,A,10,R,3,A
374-U1522A-10R-CC-A,0.0,15.0,90.07,90.22,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,374,U1522,A,10,R,CC,A
374-U1522A-11R-1-A,0.0,127.0,96.7,97.97,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,Lonestones at 55-57,,,,374,U1522,A,11,R,1,A
374-U1522A-11R-2-A,0.0,150.0,98.08,99.58,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 12-17, 81-85, 125.5-130, 133-135",,,,374,U1522,A,11,R,2,A
374-U1522A-11R-3-A,0.0,98.0,99.58,100.56,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 58-59.5, 60-62, 62-64, 70-72. Pyrite veins between 40-45 and pyrite nodule at 46.",,,,374,U1522,A,11,R,3,A
374-U1522A-11R-4-A,0.0,57.0,100.56,101.13,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestones at 42-47, 47-49.5",,,,374,U1522,A,11,R,4,A
374-U1522A-11R-CC-A,5.0,18.0,101.18,101.31,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,,,,,,,,374,U1522,A,11,R,CC,A
374-U1522A-12R-1-A,11.0,72.0,106.51,107.12,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,12,R,1,A
374-U1522A-12R-1-A,0.0,11.0,106.4,106.51,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,,,,Below 11 cm is washed out with large clasts,,,,374,U1522,A,12,R,1,A
374-U1522A-13R-1-A,0.0,93.0,116.1,117.03,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,,,,Lower 108 cm is washed out with large clasts of,,,,374,U1522,A,13,R,1,A
374-U1522A-13R-1-A,93.0,134.0,117.03,117.44,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,13,R,1,A
374-U1522A-13R-CC-A,0.0,14.0,117.44,117.58,diatom bearing,clast-rich muddy diamict [M89m],,diatom bearing clast-rich muddy diamict,,2.5Y 4/1 (dark gray),,,,,,,,,,,Washed out. Clasts of granitoids,,,,374,U1522,A,13,R,CC,A
374-U1522A-14R-CC-A,0.0,7.0,125.8,125.87,,cobble gravel [USGS],,cobble gravel,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestone at 0-3, 4-7, and 10-14 cm.",,,,374,U1522,A,14,R,CC,A
374-U1522A-14R-CC-A,7.0,17.0,125.87,125.97,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,Lonestone at 22-25 cm.,,,,374,U1522,A,14,R,CC,A
374-U1522A-15R-CC-A,2.0,17.0,135.52,135.67,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestone at 0-4, 7-8, 9-11, 11-20, and 20-27 cm.",,,,374,U1522,A,15,R,CC,A
374-U1522A-15R-CC-A,17.0,32.0,135.67,135.82,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,15,R,CC,A
374-U1522A-16R-1-A,0.0,86.0,145.2,146.06,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,,,,lonestone,,,"Lonestone at 2, 5-13, 17-20, 20-24, 49-52, 59-61, 61-65, and 66-70 cm.",,,,374,U1522,A,16,R,1,A
374-U1522A-16R-CC-A,0.0,17.0,146.06,146.23,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,,,,Lonestone,,,Lonestone at 4-8 and 8-9 cm.,,,,374,U1522,A,16,R,CC,A
374-U1522A-18R-1-A,0.0,48.0,164.6,165.08,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,18,R,1,A
374-U1522A-21R-1-A,0.0,72.0,193.6,194.32,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,21,R,1,A
374-U1522A-22R-1-A,0.0,150.0,203.2,204.7,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,nodule,silica,,Lonestone,,,"Silca nodule at 15, 38-40, 122, and 136 cm.",,,,374,U1522,A,22,R,1,A
374-U1522A-22R-1-A,47.0,49.0,203.67,203.69,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,1,A
374-U1522A-22R-1-A,68.0,71.0,203.88,203.91,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,1,A
374-U1522A-22R-1-A,81.0,82.0,204.01,204.02,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,1,A
374-U1522A-22R-1-A,88.0,89.0,204.08,204.09,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,1,A
374-U1522A-22R-2-A,0.0,150.0,204.7,206.2,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,nodule,silica,,Lonestone,,,Silica nodule at 40-42 cm.,,,,374,U1522,A,22,R,2,A
374-U1522A-22R-2-A,22.0,22.0,204.92,204.92,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,2,A
374-U1522A-22R-2-A,58.0,59.0,205.28,205.29,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,2,A
374-U1522A-22R-2-A,64.0,65.0,205.34,205.35,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,2,A
374-U1522A-22R-2-A,69.0,71.0,205.39,205.41,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,2,A
374-U1522A-22R-3-A,0.0,146.0,206.2,207.66,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,nodule,silica,,Lonestone,,,"Silica nodule at 39-40, 116, 118, 132, and 145 cm.",,,,374,U1522,A,22,R,3,A
374-U1522A-22R-3-A,10.0,13.0,206.3,206.33,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,3,A
374-U1522A-22R-3-A,76.0,77.0,206.96,206.97,,,,,,,,,,,,,,mud clast,,,,,,,374,U1522,A,22,R,3,A
374-U1522A-22R-3-A,146.0,146.0,207.66,207.66,,,,,,,,,,,,,,mud clast,,,,,,,374,U1522,A,22,R,3,A
374-U1522A-22R-4-A,0.0,138.0,207.71,209.09,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,2.5Y 4/1 (dark gray),,,,,nodule,silica,,Lonestone,,,Silica nodule at 51-52 cm.,,,,374,U1522,A,22,R,4,A
374-U1522A-22R-4-A,22.0,24.0,207.93,207.95,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,4,A
374-U1522A-22R-4-A,130.0,133.0,209.01,209.04,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,4,A
374-U1522A-22R-4-A,135.0,138.0,209.06,209.09,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,22,R,4,A
374-U1522A-22R-CC-A,0.0,15.0,209.09,209.24,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,22,R,CC,A
374-U1522A-23R-1-A,0.0,7.0,212.8,212.87,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,23,R,1,A
374-U1522A-23R-1-A,7.0,146.0,212.87,214.26,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,Dark greenish gray clast rich sany diamict.,,,,374,U1522,A,23,R,1,A
374-U1522A-23R-1-A,41.0,43.0,213.21,213.23,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,1,A
374-U1522A-23R-1-A,102.0,102.0,213.82,213.82,,,,,,,,,,,concretion,silica,,,,,,,,,374,U1522,A,23,R,1,A
374-U1522A-23R-2-A,0.0,114.0,214.26,215.4,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,2,A
374-U1522A-23R-2-A,110.0,110.0,215.36,215.36,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,2,A
374-U1522A-23R-3-A,0.0,151.0,215.5,217.01,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,3,A
374-U1522A-23R-3-A,100.0,100.0,216.5,216.5,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,3,A
374-U1522A-23R-3-A,102.0,104.0,216.52,216.54,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,3,A
374-U1522A-23R-3-A,113.0,113.0,216.63,216.63,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,3,A
374-U1522A-23R-3-A,119.0,128.0,216.69,216.78,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,3,A
374-U1522A-23R-4-A,0.0,34.0,217.01,217.35,diatom bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-4-A,9.0,9.0,217.1,217.1,,,,,,,,,,,,,,mud clast,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-4-A,34.0,89.0,217.35,217.9,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-4-A,42.0,42.0,217.43,217.43,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-4-A,42.0,59.0,217.43,217.6,,,,,vein network,,,,,,,,,,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-4-A,58.0,59.0,217.59,217.6,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-4-A,82.0,82.0,217.83,217.83,,,,,,,,,,,,,,lonestone,,,,,,,374,U1522,A,23,R,4,A
374-U1522A-23R-CC-A,0.0,22.0,217.9,218.12,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1522,A,23,R,CC,A
374-U1522A-24R-1-A,0.0,149.0,222.4,223.89,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,Lonestone at 52 and 105-107 cm.,,,,374,U1522,A,24,R,1,A
374-U1522A-24R-1-A,8.0,8.0,222.48,222.48,,,,,,,,,,,concretion,silica,,,,,,,,,374,U1522,A,24,R,1,A
374-U1522A-24R-1-A,82.0,82.0,223.22,223.22,,,,,,,,,,,concretion,carbonate,,,,,,,,,374,U1522,A,24,R,1,A
374-U1522A-24R-2-A,0.0,151.0,223.89,225.4,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestone at 22, 30-33, and 57 cm.",,,,374,U1522,A,24,R,2,A
374-U1522A-24R-2-A,50.0,50.0,224.39,224.39,,,,,,,,,,,,,,mud clast,,,,,,,374,U1522,A,24,R,2,A
374-U1522A-24R-2-A,142.0,144.0,225.31,225.33,,,,,,,,,,,concretion,silica,,,,,,,,,374,U1522,A,24,R,2,A
374-U1522A-24R-3-A,0.0,151.0,225.4,226.91,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestone at 0-3, 4, 12-16, 64, 82-84, 96-97, and 144-146 cm. Pyrite vein 147-149.",,,,374,U1522,A,24,R,3,A
374-U1522A-24R-3-A,71.0,71.0,226.11,226.11,,,,,,,,,,,concretion,silica,,,,,,,,,374,U1522,A,24,R,3,A
374-U1522A-24R-4-A,0.0,72.0,226.91,227.63,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestone at 1, 1-4, and 39-40 cm.",,,,374,U1522,A,24,R,4,A
374-U1522A-24R-4-A,35.0,35.0,227.26,227.26,,,,,,,,,,,concretion,silica,,,,,,,,,374,U1522,A,24,R,4,A
374-U1522A-24R-4-A,47.0,56.0,227.38,227.47,,,,,vein network,,,,,,,,,,,,,,,,374,U1522,A,24,R,4,A
374-U1522A-24R-4-A,50.0,50.0,227.41,227.41,,,,,,,,,,,,,,mud clast,,,,,,,374,U1522,A,24,R,4,A
374-U1522A-24R-4-A,66.0,71.0,227.57,227.62,,,,,,,,,,,concretion,carbonate,,,,,,,,,374,U1522,A,24,R,4,A
374-U1522A-26R-1-A,0.0,36.0,241.6,241.96,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1522,A,26,R,1,A
374-U1522A-26R-CC-A,5.0,13.0,242.01,242.09,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,26,R,CC,A
374-U1522A-27R-1-A,0.0,150.0,251.2,252.7,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,concretion,silica,,lonestone,,,"Silica concretion at 35-38, 36-41, 99.5-103. Lonestone at 78-32, 22-24.",,,,374,U1522,A,27,R,1,A
374-U1522A-27R-2-A,0.0,150.0,252.7,254.2,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,concretion,silica,,lonestone,,,"Lonestone at 51-53, 90-91, 137.5-138.5. Silica concretion at 73-76.",,,,374,U1522,A,27,R,2,A
374-U1522A-27R-3-A,0.0,150.0,254.2,255.7,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 33.5-35, 81.5-83, 126.5-127.5, 143-144",,,,374,U1522,A,27,R,3,A
374-U1522A-27R-4-A,0.0,121.0,255.7,256.91,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 69-70, 87-89.",,,,374,U1522,A,27,R,4,A
374-U1522A-27R-5-A,0.0,81.0,256.91,257.72,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,Lonestones at 59-60.5.,,,,374,U1522,A,27,R,5,A
374-U1522A-27R-CC-A,0.0,10.0,257.72,257.82,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1522,A,27,R,CC,A
374-U1522A-28R-1-A,0.0,150.0,260.8,262.3,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 122.5-126, 55-58, 49.5-51, 0-4 (fall in?)",,,,374,U1522,A,28,R,1,A
374-U1522A-28R-1-A,35.0,35.0,261.15,261.15,,,,,,,,,,,,,shell fragment,,,,,,,,374,U1522,A,28,R,1,A
374-U1522A-28R-1-A,52.0,55.5,261.32,261.355,,,,,,,,,,,concretion,silica,,,,,,,,,374,U1522,A,28,R,1,A
374-U1522A-28R-2-A,0.0,151.0,262.3,263.81,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 48-49, 62-64.5 (granitoid), 12-13 (mudstone), 81-89 (granitoid), 91-93 (granitoid).",,,,374,U1522,A,28,R,2,A
374-U1522A-28R-3-A,0.0,80.0,263.81,264.61,diatom bearing,clast-poor sandy diamict [M89m],,diatom bearing clast-poor sandy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,lonestone,,,"Lonestones at 73-75, and 7-9.",,,,374,U1522,A,28,R,3,A
374-U1522A-28R-CC-A,0.0,10.0,264.61,264.71,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1522,A,28,R,CC,A
374-U1522A-29R-1-A,0.0,150.0,270.4,271.9,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,cement,carbonate,,lonestone,,,"Lonestones at 77-78, 85.5-86.5, 95-96, 122-124. Matrix slightly fizzes with acid.",,,,374,U1522,A,29,R,1,A
374-U1522A-29R-1-A,103.0,103.0,271.43,271.43,,,,,,,,,,,,,shell fragment,,,,,,,,374,U1522,A,29,R,1,A
374-U1522A-29R-1-A,125.5,125.5,271.655,271.655,,,,,,,,,,,concretion,carbonate,,,,,,,,,374,U1522,A,29,R,1,A
374-U1522A-29R-2-A,0.0,151.0,271.9,273.41,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,,,,,,cement,carbonate,,lonestone,,,"Lonestones at 10.5-12.5, 48.5-50.9, 123.5-124.5.",,,,374,U1522,A,29,R,2,A
374-U1522A-29R-2-A,27.5,27.5,272.175,272.175,,,,,,,,,,,,,shell fragment,,,,,,,,374,U1522,A,29,R,2,A
374-U1522A-29R-3-A,0.0,75.0,273.41,274.16,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 4/5GY (dark greenish gray),,,,,cement,carbonate,,lonestone,sharp boundary or contact,,"Lonestones at 12-14, 30-33, 56-59.",,,,374,U1522,A,29,R,3,A
374-U1522A-29R-3-A,75.0,131.0,274.16,274.72,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,mottling [BJ80],GLEY 1 5/5GY (greenish gray),,,,,cement,carbonate,,lonestone,,,Lonestones at 85.5-86.5.,,,,374,U1522,A,29,R,3,A
374-U1522A-29R-4-A,0.0,69.0,274.72,275.41,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,mottling [BJ80],GLEY 1 5/5GY (greenish gray),,,,,cement,carbonate,,lonestone,,,"Lonestones at 40-42.5, 17-18.",,,,374,U1522,A,29,R,4,A
374-U1522A-29R-CC-A,0.0,8.0,275.41,275.49,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,mottling [BJ80],GLEY 1 5/5GY (greenish gray),,,,,cement,carbonate,,,,,,,,,374,U1522,A,29,R,CC,A
374-U1522A-30R-1-A,0.0,150.0,280.0,281.5,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,,GLEY 1 5/5GY (greenish gray),,,,,,,,lonestone,,,"Lonestone: 18.5-23, 68-71,104.5-105.5, 53-56, 8.5-10, 56",,,,374,U1522,A,30,R,1,A
374-U1522A-30R-2-A,0.0,150.0,281.5,283.0,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,interlamination,GLEY 1 5/5G (grayish green),,,,,,,,lonestone,,,"Interlaminations Faint black, planar to slight inclined 57-69, 93.5, 144-145. Lonestone: 107-110, 69.5-70.5, 14-15",,,,374,U1522,A,30,R,2,A
374-U1522A-30R-2-A,37.0,37.0,281.87,281.87,,,,,,,,,,,,,,,sharp boundary or contact,planar,At 37 cm sharp contact into very dark greenish gray clast-poor muddy diamictite with interlaminations.,,,,374,U1522,A,30,R,2,A
374-U1522A-30R-2-A,57.0,69.0,282.07,282.19,,,,,interlamination,,,,,,,,,,,,,,,,374,U1522,A,30,R,2,A
374-U1522A-30R-3-A,0.0,151.0,283.0,284.51,diatom bearing,clast-poor muddy diamict [M89m],,diatom bearing clast-poor muddy diamict,interlamination,GLEY 1 5/5G (grayish green),,,,,,,,lonestone,,,"Interlaminations 11-14, 45-64. Lonestone: 21-22.5, 30-31, 42.5-43.5, 78.5-80, 94-97.",,,,374,U1522,A,30,R,3,A
