Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],lithology classification,Comment,File Data,
317-U1351B-1H-6-A,317,U1351,B,1,1-6,H,6,A,48.0,53.0,7.48,7.53,,Mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",Silty clay,,
317-U1351B-1H-CC-A,317,U1351,B,1,1-CC,H,CC,A,0.0,23.0,7.53,7.76,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision",Slightly shelly rare gastropods,,
317-U1351B-2H-1-A,317,U1351,B,2,2-1,H,1,A,0.0,66.0,7.8,8.46,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",silty,,
317-U1351B-2H-1-A,317,U1351,B,2,2-1,H,1,A,66.0,150.0,8.46,9.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay,,
317-U1351B-2H-2-A,317,U1351,B,2,2-2,H,2,A,0.0,150.0,9.3,10.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogenous,,
317-U1351B-2H-3-A,317,U1351,B,2,2-3,H,3,A,0.0,122.0,10.8,12.02,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","silty, homogenous",,
317-U1351B-2H-3-A,317,U1351,B,2,2-3,H,3,A,122.0,150.0,12.02,12.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","sandy, gradual contact at 122 cm",,
317-U1351B-2H-3-A,317,U1351,B,2,2-3,H,3,A,122.0,150.0,12.02,12.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","sandy, gradual contact at 122 cm",,
317-U1351B-2H-4-A,317,U1351,B,2,2-4,H,4,A,0.0,50.0,12.3,12.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly,,
317-U1351B-2H-4-A,317,U1351,B,2,2-4,H,4,A,50.0,150.0,12.8,13.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-2H-5-A,317,U1351,B,2,2-5,H,5,A,0.0,100.0,13.8,14.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","silty, rounded burrows or spot scattered",,
317-U1351B-2H-5-A,317,U1351,B,2,2-5,H,5,A,100.0,150.0,14.8,15.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay,,
317-U1351B-2H-5-A,317,U1351,B,2,2-5,H,5,A,100.0,150.0,14.8,15.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","scattered shell fragments, dark to black < 1 mm",,
317-U1351B-2H-6-A,317,U1351,B,2,2-6,H,6,A,0.0,36.0,15.3,15.66,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",silty,,
317-U1351B-2H-6-A,317,U1351,B,2,2-6,H,6,A,36.0,68.0,15.66,15.98,,Shell bed,,Shell bed,,,,,Expedition 317,,,
317-U1351B-2H-6-A,317,U1351,B,2,2-6,H,6,A,68.0,120.0,15.98,16.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay,,
317-U1351B-2H-CC-A,317,U1351,B,2,2-CC,H,CC,A,0.0,23.0,16.5,16.73,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",clay,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,0.0,40.0,16.7,17.1,,shell bed,,shell bed,,,,,Expedition 317,fining upward + few whole shells,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,40.0,94.0,17.1,17.64,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,53.0,55.0,17.23,17.25,,clay [S54] ,,clay,,,,,,lens of clay,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,56.0,59.0,17.26,17.29,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,68.0,69.0,17.38,17.39,,Shell bed,,Shell bed,,,,,Expedition 317,shell < 2 mm,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,89.0,90.0,17.59,17.6,,clay [S54] ,,clay,,,,,,lens of clay,,
317-U1351B-3H-1-A,317,U1351,B,3,3-1,H,1,A,94.0,150.0,17.64,18.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-3H-2-A,317,U1351,B,3,3-2,H,2,A,0.0,150.0,18.2,19.7,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-3H-3-A,317,U1351,B,3,3-3,H,3,A,0.0,130.0,19.7,21.0,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered burrows,,
317-U1351B-3H-3-A,317,U1351,B,3,3-3,H,3,A,130.0,150.0,21.0,21.2,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered burrows,,
317-U1351B-3H-4-A,317,U1351,B,3,3-4,H,4,A,0.0,6.0,21.2,21.26,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered burrows,,
317-U1351B-3H-4-A,317,U1351,B,3,3-4,H,4,A,6.0,37.0,21.26,21.57,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-3H-4-A,317,U1351,B,3,3-4,H,4,A,22.0,23.0,21.42,21.43,,shell bed,,shell bed,,,,,Expedition 317,shell < 5 mm,,
317-U1351B-3H-4-A,317,U1351,B,3,3-4,H,4,A,33.0,35.0,21.53,21.55,,Shell bed,,Shell bed,,,,,Expedition 317,shell < 5 mm,,
317-U1351B-3H-4-A,317,U1351,B,3,3-4,H,4,A,37.0,93.0,21.57,22.13,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered burrows (diameter < 1 cm),,
317-U1351B-4H-1-A,317,U1351,B,4,4-1,H,1,A,0.0,30.0,22.1,22.4,,Shell bed,,Shell bed,,,,,Expedition 317,"matrix is mud, 0-5 cm shell fragments <1 mm, 5-30 cm shell fragments <1 cm",,
317-U1351B-4H-1-A,317,U1351,B,4,4-1,H,1,A,30.0,97.0,22.4,23.07,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-4H-1-A,317,U1351,B,4,4-1,H,1,A,97.0,122.0,23.07,23.32,,Shell bed,,Shell bed,,,,,Expedition 317,"matrix is very fine sand and silt, fragments < 3 mm",,
317-U1351B-4H-1-A,317,U1351,B,4,4-1,H,1,A,122.0,150.0,23.32,23.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",interbedded shell beds,,
317-U1351B-4H-2-A,317,U1351,B,4,4-2,H,2,A,0.0,20.0,23.6,23.8,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,sandy bed is shell bed,,
317-U1351B-4H-2-A,317,U1351,B,4,4-2,H,2,A,20.0,56.0,23.8,24.16,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",scattered shell fragments,,
317-U1351B-4H-2-A,317,U1351,B,4,4-2,H,2,A,56.0,60.0,24.16,24.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",abundant shell fragments,,
317-U1351B-4H-2-A,317,U1351,B,4,4-2,H,2,A,60.0,150.0,24.2,25.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",scattered shell fragments,,
317-U1351B-4H-3-A,317,U1351,B,4,4-3,H,3,A,0.0,68.0,25.1,25.78,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","scattered shell fragments, mottles of clay at 40 to 50 cm.",,
317-U1351B-4H-3-A,317,U1351,B,4,4-3,H,3,A,68.0,150.0,25.78,26.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",mottles of clay at 100-111 cm,,
317-U1351B-4H-4-A,317,U1351,B,4,4-4,H,4,A,0.0,150.0,26.6,28.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-4H-CC-A,317,U1351,B,4,4-CC,H,CC,A,0.0,6.0,28.1,28.16,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",scattered shell fragments,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,0.0,120.0,28.2,29.4,,shell bed,,shell bed,,,,,Expedition 317,fining upward from 120 to 17 cm then coarsening to 0 cm,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,120.0,120.5,29.4,29.405,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,120.5,121.5,29.405,29.415,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,121.5,122.0,29.415,29.42,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,122.0,122.5,29.42,29.425,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,122.5,126.0,29.425,29.46,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,126.0,128.0,29.46,29.48,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-5H-1-A,317,U1351,B,5,5-1,H,1,A,128.0,133.0,29.48,29.53,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-5H-2-A,317,U1351,B,5,5-2,H,2,A,0.0,144.0,29.53,30.97,,very fine-fine sand [S54-W22],,very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","Very well sorted, quartz-rich very fine sand. Interval lacks shells",,
317-U1351B-5H-3-A,317,U1351,B,5,5-3,H,3,A,0.0,124.0,30.97,32.21,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922","Very well sorted, quartz-rich very fine sand. Interval lacks shells",,
317-U1351B-5H-CC-A,317,U1351,B,5,5-CC,H,CC,A,0.0,8.0,32.21,32.29,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-5H-CC-A,317,U1351,B,5,5-CC,H,CC,A,8.0,18.0,32.29,32.39,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-6H-1-A,317,U1351,B,6,6-1,H,1,A,0.0,50.0,32.2,32.7,,shell bed,,shell bed,,,,,Expedition 317,possibly cave in,,
317-U1351B-6H-1-A,317,U1351,B,6,6-1,H,1,A,50.0,150.0,32.7,33.7,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1351B-6H-1-A,317,U1351,B,6,6-1,H,1,A,80.0,82.0,33.0,33.02,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-6H-1-A,317,U1351,B,6,6-1,H,1,A,90.0,92.0,33.1,33.12,,very fine-fine sand [S54-W22],,very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-6H-2-A,317,U1351,B,6,6-2,H,2,A,0.0,50.0,33.7,34.2,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,The mud is clay. Thickness of layers <1 cm,,
317-U1351B-6H-2-A,317,U1351,B,6,6-2,H,2,A,50.0,150.0,34.2,35.2,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-6H-2-A,317,U1351,B,6,6-2,H,2,A,130.0,131.0,35.0,35.01,,clay [S54] ,,clay,,,,,,,,
317-U1351B-6H-3-A,317,U1351,B,6,6-3,H,3,A,0.0,150.0,35.2,36.7,,mud [S54-Leg210],,mud,,loose,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-6H-3-A,317,U1351,B,6,6-3,H,3,A,5.0,7.0,35.25,35.27,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-6H-3-A,317,U1351,B,6,6-3,H,3,A,13.0,15.0,35.33,35.35,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-6H-3-A,317,U1351,B,6,6-3,H,3,A,25.0,27.0,35.45,35.47,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-6H-4-A,317,U1351,B,6,6-4,H,4,A,0.0,150.0,36.7,38.2,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-6H-4-A,317,U1351,B,6,6-4,H,4,A,13.0,15.0,36.83,36.85,,clay [S54] ,,clay,,,,,,,,
317-U1351B-6H-4-A,317,U1351,B,6,6-4,H,4,A,126.0,129.0,37.96,37.99,,Clay [S54] ,,Clay,,,,,,,,
317-U1351B-6H-5-A,317,U1351,B,6,6-5,H,5,A,0.0,98.0,38.2,39.18,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Homogeneous layer,,
317-U1351B-6H-5-A,317,U1351,B,6,6-5,H,5,A,15.0,17.0,38.35,38.37,,clay [S54] ,,clay,,,,,,,,
317-U1351B-6H-CC-A,317,U1351,B,6,6-CC,H,CC,A,0.0,14.0,39.18,39.32,,very fine-fine sand [S54-W22],,very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1351B-7H-1-A,317,U1351,B,7,7-1,H,1,A,0.0,86.0,39.2,40.06,,Shell bed,,Shell bed,,loose,,,Expedition 317,No bedding.,,
317-U1351B-7H-1-A,317,U1351,B,7,7-1,H,1,A,86.0,150.0,40.06,40.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",Micaceous clayey silt,,
317-U1351B-7H-2-A,317,U1351,B,7,7-2,H,2,A,0.0,150.0,40.7,42.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",scattered bvalves & gastropods.,,
317-U1351B-7H-3-A,317,U1351,B,7,7-3,H,3,A,0.0,76.0,42.2,42.96,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","very fine sandy micaceous mud. Shell-rich layer at 38-44 cm, & 72-73 cm",,
317-U1351B-7H-3-A,317,U1351,B,7,7-3,H,3,A,76.0,133.0,42.96,43.53,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","sligjtly coarser, very fine sandy, clay-rich mud. Calcareous.",,
317-U1351B-7H-3-A,317,U1351,B,7,7-3,H,3,A,133.0,150.0,43.53,43.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",very fine sandy micaceous mud. Calcareous.,,
317-U1351B-7H-4-A,317,U1351,B,7,7-4,H,4,A,0.0,70.0,43.7,44.4,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",very fine sand,,
317-U1351B-7H-4-A,317,U1351,B,7,7-4,H,4,A,0.0,150.0,43.7,45.2,,,,,,,,,,calcareous,,
317-U1351B-7H-4-A,317,U1351,B,7,7-4,H,4,A,70.0,105.0,44.4,44.75,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",slightly coarser - very fine to fine sand,,
317-U1351B-7H-4-A,317,U1351,B,7,7-4,H,4,A,105.0,150.0,44.75,45.2,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",very fine sand,,
317-U1351B-7H-5-A,317,U1351,B,7,7-5,H,5,A,0.0,150.0,45.2,46.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","very fine sand mud, micaceous & calcareous. Scattered gastropods throughout. Shelly lenses at 88-93 cm & 110-120 cm.",,
317-U1351B-7H-6-A,317,U1351,B,7,7-6,H,6,A,0.0,98.0,46.7,47.68,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","very-fine sandy mud. micaceous & calcareous. With scattered shells of gastropods & bivalves. Shelly lenses between 22-24 cm, 79-83 cm.",,
317-U1351B-7H-CC-A,317,U1351,B,7,7-CC,H,CC,A,0.0,14.0,47.68,47.82,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision","very fine, micaceous mud. Scattered gastropods & bivalves & shell fragments",,
317-U1351B-8H-1-A,317,U1351,B,8,8-1,H,1,A,0.0,40.0,47.7,48.1,,Shell hash,,Shell hash,,,,,Leg 150,composed of mainly gastropod (tritellas). Lower half is mixed with mud. Lower boundary is erosive/inclined and reach to 25 cm depth.,,
317-U1351B-8H-1-A,317,U1351,B,8,8-1,H,1,A,40.0,150.0,48.1,49.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","clayey silt, micaceous, with rare shell fragments and shells (gastropod).",,
317-U1351B-8H-2-A,317,U1351,B,8,8-2,H,2,A,0.0,150.0,49.2,50.7,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",calcareous sand with scattered rare scattered shells & shell fragments. Lens of shells at 16-18 cm.,,
317-U1351B-8H-3-A,317,U1351,B,8,8-3,H,3,A,0.0,20.0,50.7,50.9,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",calcareous with rare scattered shell fragments,,
317-U1351B-8H-3-A,317,U1351,B,8,8-3,H,3,A,20.0,123.0,50.9,51.93,,Silt [S54],,Mud,,,,,"Shepard, 1954",Grades from clayey silt at bottom to very fine sandy clayey silt at top. Calcareous.,,
317-U1351B-8H-3-A,317,U1351,B,8,8-3,H,3,A,141.0,150.0,52.11,52.2,,Silt [S54],,Mud,,friable,,100,"Shepard, 1954",Shelly and sandy silt. Burrow fill of blue-gray mud (from below?),,
317-U1351B-8H-4-A,317,U1351,B,8,8-4,H,4,A,0.0,6.0,52.2,52.26,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,,,,"Shepard, 1954; Wentworth, 1922",Includes mud pebbles. Sharp lower contact with burrows below.,,
317-U1351B-8H-4-A,317,U1351,B,8,8-4,H,4,A,6.0,145.0,52.26,53.65,,Silt [S54],,Mud,,,,,"Shepard, 1954","Thallasinoides burrows filled with overlying lithology, extend up to 35 cm below burrowed contact. Slightly calcareous.",,
317-U1351B-8H-5-A,317,U1351,B,8,8-5,H,5,A,0.0,150.0,53.7,55.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1351B-8H-5-A,317,U1351,B,8,8-5,H,5,A,0.0,150.0,53.7,55.2,,Silt [S54],,Mud,,,,,"Shepard, 1954",Clayey silt with color banding - lighter gray and dark gray at cm-dm scale. Light banded silty clay to clayey silt. Rare shell fragments scattered throughout,,
317-U1351B-8H-6-A,317,U1351,B,8,8-6,H,6,A,0.0,105.0,55.2,56.25,,Silt [S54],,Mud,,,,,"Shepard, 1954",Prominent color bands of light and dark gray at cm-dm scale. The lighter bands are silty clay to clayey silt.,,
317-U1351B-8H-CC-A,317,U1351,B,8,8-CC,H,CC,A,0.0,19.0,56.25,56.44,,Silt [S54],,Silt,,,,,"Shepard, 1954",clayey silt,,
317-U1351B-9H-1-A,317,U1351,B,9,9-1,H,1,A,0.0,150.0,57.2,58.7,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision","Very fine micaceous sandy homogeneous mud.  Clay beds at: 27-28 cm, 37-38 cm, 51-52 cm, 67-69 cm, 102-103 cm, 123-127 cm, 134-136 cm. All beds have gradational contacts. Spare/rare shell fragments (gastropod, bivalve) throughout. 80-94 cm. Remnants of whirl-pak bag along left edge of core liner; remnants of microbiology microsphere contamination test",,
317-U1351B-9H-2-A,317,U1351,B,9,9-2,H,2,A,0.0,140.0,58.7,60.1,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision","Very fine micaceous sandy homogeneous mud.  Clay beds at: 24-26 cm, 48-51 cm, 90-91cm, 126-129 cm. All beds have gradational contacts; most are bioturbated. Spare/rare shell fragments (gastropod, bivalve) throughout.",,
317-U1351B-9H-3-A,317,U1351,B,9,9-3,H,3,A,0.0,150.0,60.2,61.7,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision","Very fine micaceous sandy homogeneous mud.  Clay beds at: 6-7 cm, 15-18 cm, 73-92 cm, 97-107 cm, 110-120 cm. All beds have gradational contacts; most are bioturbated.  Interval from 73-120 cm is mottled. Spare/rare shell fragments (gastropod).",,
317-U1351B-9H-4-A,317,U1351,B,9,9-4,H,4,A,0.0,150.0,61.7,63.2,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision","Very fine micaceous sandy homogeneous mud. Clay beds at 96-105 cm with gradational contacts. Spare/rare shell fragments throughout (gastropod).
",,
317-U1351B-9H-5-A,317,U1351,B,9,9-5,H,5,A,0.0,150.0,63.2,64.7,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision","Very fine micaceous sandy homogeneous mud.  Clay beds at: 10-13 cm, 65-76 cm, 95-101 cm. All beds have gradational contacts. Spare/rare shell fragments throughout (gastropod, bivalve).
",,
317-U1351B-9H-6-A,317,U1351,B,9,9-6,H,6,A,0.0,121.0,64.7,65.91,,Mud [S54-Leg210],,Sandy mud,,,,,"Shepard, 1954 - Leg 210 revision","Very fine micaceous sandy calcareous homogeneous mud.  Abudant shell fragments 55-60 cm, otherwise rare shell fragments throughout, mostly gastropods, bivalves.
",,
317-U1351B-10H-1-A,317,U1351,B,10,10-1,H,1,A,0.0,12.0,66.7,66.82,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,loose,,,"Shepard, 1954; Wentworth, 1922","moderatey well sorted (mostly medium), muddy, shelly sand.",,
317-U1351B-10H-2-A,317,U1351,B,10,10-2,H,2,A,0.0,6.0,66.82,66.88,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,,,,"Shepard, 1954; Wentworth, 1922","moderately sorted, fine to medium, muddy shelly sand",,
317-U1351B-10H-2-A,317,U1351,B,10,10-2,H,2,A,6.0,45.0,66.88,67.27,,Shell bed,,Shell hash,,,,,Expedition 317,"Poorly sorted, medium to coarse (mostly medium) shell bed.",,
317-U1351B-10H-2-A,317,U1351,B,10,10-2,H,2,A,45.0,150.0,67.27,68.32,,Shell bed,,Shell hash,,,,,Expedition 317,"Poorly sorted, medium to very coarse (mostly coarse) shell bed",,
317-U1351B-10H-3-A,317,U1351,B,10,10-3,H,3,A,0.0,121.0,68.32,69.53,,Shell bed,,Shell hash,,loose,,,Expedition 317,"Poorly sorted, medium to coarse (mostly coarse) shell bed.",,
317-U1351B-10H-CC-A,317,U1351,B,10,10-CC,H,CC,A,0.0,30.0,69.53,69.83,,Shell bed,,Shell hash,,loose,,,Expedition 317,"Poorly sorted, granule to medium (mostly coarse) shell bed.",,
317-U1351B-11H-1-A,317,U1351,B,11,11-1,H,1,A,0.0,60.0,69.7,70.3,,Shell bed,,Shell bed,,,,,Expedition 317,fall in,,
317-U1351B-11H-1-A,317,U1351,B,11,11-1,H,1,A,60.0,140.0,70.3,71.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","mottle, shell fragments scattered",,
