Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1518E-2H-1-A,0,117,8.7,9.87,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Base of generally well-sorted silty sand layers at 36, 49, 62, 81, 96, 112 cm.",,,
375-U1518E-2H-2-A,0,124,10.21,11.45,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,ash pods,,,,,,,,"Base of generally well-sorted silty sand layers at 3, 10, 15, 28, 57, 59, 68, 73, 92, 103, 115 cm. Ash layer at 124 cm.",,,
375-U1518E-2H-3-A,0,105,11.73,12.78,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,ash pods,,,,,,,,"Base of generally well-sorted silty sand layers at 8, 18, 20, 31, 37, 41, 43, 54, 68, 77, 92 cm. Base of silt layer at 136 cm. Ash pod at 23 cm, ash pod layer at 95 cm",,,
375-U1518E-2H-3-A,105,115,12.78,12.88,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 4/1 (dark gray),irregular,sharp,irregular sharp,inclined,thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,,,,
375-U1518E-2H-3-A,115,144,12.88,13.17,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,ash pods,,,,,,,,Base of silty layer at 136 cm.,,,
375-U1518E-2H-4-A,0,55,13.27,13.82,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Base of generally well-sorted silty sand layers at 4, 12, 25 cm. Ash layer at 28 cm.",,,
375-U1518E-2H-4-A,55,66,13.82,13.93,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 4/1 (dark gray),irregular,sharp,irregular sharp,horizontal,medium bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,,,,
375-U1518E-2H-4-A,66,74,13.93,14.01,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,,,parallel bedding,slight,1,,,,,,,,,,,,
375-U1518E-2H-4-A,74,84,14.01,14.11,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 4/1 (dark gray),irregular,sharp,irregular sharp,horizontal,thick bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,,,,
375-U1518E-2H-4-A,84,123,14.11,14.5,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted silty sand layers at 91, 104, 110, 121 cm.",,,
375-U1518E-2H-5-A,0,119,14.79,15.98,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted silty sand layers at 1, 5, 17, 27, 36, 42, 51, 77, 91, 96, 108, 129 cm.",,,
375-U1518E-2H-5-A,119,129,15.98,16.08,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 5/1 (gray),irregular,sharp,irregular sharp,sub-horizontal,thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,"Bases of generally well-sorted silty sand layers at 1, 4, 17, 27, 36, 51, 77, 91, 96, 108, 129 cm.",,,
375-U1518E-2H-5-A,129,145,16.08,16.24,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,sub-horizontal,,unconsolidated,,poor,parallel bedding,slight,1,,,,,,,,,,,,
375-U1518E-2H-6-A,0,147,16.34,17.81,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted silty sand layers at 6, 8, 16, 26, 44, 54, 70, 84, 91, 106, 115,127, 139cm. Ash layer at 111 cm.",,,
375-U1518E-2H-7-A,0,67,17.89,18.56,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted silty sand layers at 8, 29, 60 cm.",,,
375-U1518E-2H-CC-A,0,20,18.66,18.86,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,Base of generally well-sorted silty sand layer at 12 cm.,,,
375-U1518E-3H-1-A,0,126,18.2,19.46,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,inclined,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of silty sand layers at 1, 34, 37, 58, 76, 86 cm. Ash layer at 78 and 97 cm.",,,
375-U1518E-3H-1-A,126,137,19.46,19.57,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 4/1 (dark gray),planar,sharp,planar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,,,,
375-U1518E-3H-1-A,137,152,19.57,19.72,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,Base of generally well-sorted silty sand layer at 147 cm.,,,
375-U1518E-3H-2-A,0,15,19.72,19.87,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted silty sand layers at 9, 15 cm.",,,
375-U1518E-3H-2-A,15,59,19.87,20.31,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),planar,gradational,planar gradational,horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,,,,
375-U1518E-3H-2-A,59,86,20.31,20.58,,mixed clastic,very fine sand,,mixed clastic very fine sand,mixed clastic very fine sand,very fine sand,N 4 (dark gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,normal grading from very fine sand to sandy silt,,,
375-U1518E-3H-2-A,86,141,20.58,21.13,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,sub-horizontal,very thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted fine sand layers at 104, 113, 119, 130, 137 cm.",,,
375-U1518E-3H-3-A,0,29,21.24,21.53,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of generally well-sorted silty sand layers at 9, 22, 29 cm.",,,
375-U1518E-3H-3-A,29,40,21.53,21.64,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10YR 7/1 (light gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed,unconsolidated,normal grading,well,,,,,,,,,,,,,,,
375-U1518E-3H-3-A,40,51,21.64,21.75,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,One silty sand layer before drilling disturbance becomes too dramatic to characterize sand/mud layers well,,,
375-U1518E-3H-3-A,51,151,21.75,22.75,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,sharp,sharp,,,unconsolidated,normal grading,poor,,,,,,,,,,,,"Though sandy silt/silty clay layers are still clearly visible, contact orientations and geometries are very disturbed by drilling",,,
375-U1518E-3H-4-A,0,114,22.76,23.9,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,sharp,sharp,,,unconsolidated,normal grading,poor,,,,ash pods,,,,,,,,"Though sandy silt/silty clay layers are still clearly visible, contact orientations and geometries are very disturbed by drilling. Ash layer at 95 cm.",,,
375-U1518E-3H-4-A,114,127,23.9,24.03,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,5Y 5/1 (gray),,,,,,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,,,,
375-U1518E-3H-5-A,0,21,24.27,24.48,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,sharp,sharp,,,unconsolidated,normal grading,poor,,,,,,,,,,,,"Though sandy silt/silty clay layers are still clearly visible, contact orientations and geometries are very disturbed by drilling",,,
375-U1518E-3H-5-A,21,51,24.48,24.78,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,N 3 (very dark gray),,sharp,sharp,,medium bed,unconsolidated,normal grading,poor,,,,,,,,,,,,"Normally graded silty sand layer, though it was water-logged and therefore sedimentary structures are likely missing",,,
375-U1518E-3H-5-A,51,147,24.78,25.74,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,sharp,sharp,,,unconsolidated,normal grading,poor,,,,,,,,,,,,"Though sandy silt/silty clay layers are still clearly visible, contact orientations and geometries are very disturbed by drilling. Base of sandy silt layers (68, 72, 94, 99 cm).",,,
375-U1518E-3H-6-A,0,95,25.74,26.69,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,,poor,,,,ash pods,,,,,,,,Contact orientations and geometries are very disturbed by drilling (flow-in). Base of ash layer at 18 cm. Ash pod layer at 19 cm.,,,
375-U1518E-3H-7-A,0,31,27.05,27.36,,mixed clastic,very fine sand,,mixed clastic very fine sand,mixed clastic very fine sand,very fine sand,N 3 (very dark gray),curviplanar,sharp,curviplanar sharp,inclined,thick bed,unconsolidated,normal grading,poor,,,,,,,,,,,,Base of silty sand bed at 31 cm. Original sedimentary structure was disturbed by drilling/water.,,,
375-U1518E-3H-7-A,31,100,27.36,28.05,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,,poor,,,,ash pods,,,,,,,,"Though sandy silt/ silty clay layers are still clearly visible, contact orientations and geometries are very disturbed by drilling. Ash pod spreads through the section. The center of ash pod is at 90 cm depth.",,,
375-U1518E-3H-CC-A,0,22,28.05,28.27,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,,poor,,,,,,,,,,,,"Though sandy silt/ silty clay layers are still clearly visible, contact orientations and geometries are very disturbed by drilling.",,,
375-U1518E-4H-1-A,0,79,27.7,28.49,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of silty sand beds at 27, 32, 51, 60 cm.",,,
375-U1518E-4H-1-A,82,141,28.52,29.11,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of silty sand beds at 94, 98, 107, 129, 139 cm.",,,
375-U1518E-4H-2-A,0,96,29.11,30.07,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,slight,1,,,,,,,,,"Bases of silty sand beds at 12, 28, 54 (slit), 74, 96 (silt) cm.",,,
375-U1518E-4H-2-A,96,136,30.07,30.47,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,,poor,,,,,,,,,,,,Structures and geometries are very disturbed by drilling (flow-in).,,,
375-U1518E-4H-3-A,0,12,30.63,30.75,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,N 4 (dark gray),curviplanar,sharp,curviplanar sharp,horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,Grading from very fine sand/silty sand to clayey silt. Base of very fine sand/silty sand at 12 cm.,,,
375-U1518E-4H-3-A,12,47,30.75,31.1,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,thin bed,unconsolidated,,,,,,,,,,,,,,"Structures and geometries are very disturbed by drilling (flow-in). Alternating beds of sandy silt and silty clay are still visible, but highly deformed. Sandy silt spots/layers at 37, 43 cm.",,,
375-U1518E-4H-3-A,47,79,31.1,31.42,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,Base of graded sandy silt layer at 58 cm.,,,
375-U1518E-4H-3-A,79,93,31.42,31.56,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,N 4 (dark gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,,,,
375-U1518E-4H-3-A,93,120,31.56,31.83,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,"Normally graded thick-bedded very fine sand/silty sand (coarser than the other silty sand layers in this core). Bottom of silty sand layer missing not recorded in the core, but minimum thickness is 27 cm",,,
375-U1518E-4H-3-A,120,146,31.83,32.09,,mixed clastic,sandy silt,,mixed clastic sandy silt,mixed clastic sandy silt,sandy silt,N 4 (dark gray),,,,,medium bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,Bottom contact not recovered,,,
375-U1518E-4H-4-A,0,34,32.09,32.43,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,Bases of silty sand layers at 8 and 34 cm.,,,
375-U1518E-4H-4-A,34,96,32.43,33.05,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,,thin bed,unconsolidated,normal grading,poor,,,,,,,,,,,,"Structures and geometries are very disturbed by drilling (flow-in). Alternating beds of sandy silt and silty clay are still visible, but highly deformed. Sandy silt spots/layers at 60, 66, 82, 84, 86 and 96 cm.",,,
375-U1518E-4H-4-A,96,111,33.05,33.2,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,Base of silty sand layer at 111 cm.,,,
375-U1518E-4H-5-A,0,36,33.6,33.96,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,,,,,,,sand pods,,,,,,,,Bedding completely obscured by drilling damage. Silty sand pods along sides of core.,,,
375-U1518E-4H-5-A,43,64,34.03,34.24,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,,,,,,,sand pods,,,,,,,,Bedding completely obscured by drilling damage. Silty sand pods along sides of core.,,,
375-U1518E-4H-CC-A,0,46,34.24,34.7,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,Bedding completely obscured by drilling damage.,,,
375-U1518E-5H-1-A,0,112,35.2,36.32,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5Y 6/1 (gray),,,,,,unconsolidated,,well,,,,,,,,,,,,Possible drilling disturbance; ash with water,,,
375-U1518E-5H-2-A,0,71,36.32,37.03,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5Y 6/1 (gray),,,,,,unconsolidated,,well,,,,,,,,,,,,Possible drilling disturbance; ash with water and mud,,,
375-U1518E-5H-3-A,0,122,37.18,38.4,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),planar,sharp,planar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,poor,parallel bedding,,,,,,,,,,,"Bases of silty beds at 12, 28, 40, 44, 64, 65, 100, 122 cm.",,,
375-U1518E-5H-4-A,0,65.5,38.4,39.055,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,unconsolidated,,poor,,,,,,,,,,,,"Drilling disturbed, mud with silt. The beds and contact are not visible, possible disturbed by drilling.",,,
375-U1518E-5H-CC-A,0,16,39.06,39.22,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,consolidated,,poor,,,,,,,,,,,,"Drilling disturbed, mud with silt. The beds and contact are not visible, possible disturbed by drilling.",,,
375-U1518E-6H-1-A,0,85,41.7,42.55,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,horizontal,thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,"Bases of silty layers at 9, 36, 53, 70 cm.",,,
375-U1518E-6H-1-A,97,133,42.67,43.03,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,horizontal,very thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,Bases of silty layers at 97 and 130 cm.,,,
375-U1518E-6H-2-A,0,108,43.03,44.11,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,horizontal,very thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,ash pods,,,,,,,,"Bases of silty layers at 17, 27, 65, 86 cm. Ash pod layer at 90 cm.",,,
375-U1518E-6H-3-A,0,52,44.27,44.79,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,horizontal,thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,"Bases of silty layers at 12, 24,36, 46 cm.",,,
375-U1518E-6H-3-A,60,93,44.87,45.2,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),irregular,sharp,irregular sharp,horizontal,very thin bed,unconsolidated,normal grading,moderate,parallel bedding,,,,,,,,,,,"Bases of silty layers at 68, 72, 79, 92 cm. Drilling disturbance becomes very strong from 92 cm on.",,,
375-U1518E-6H-3-A,93,112,45.2,45.39,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,Pervasive drilling disturbance. No sedimentary structure visible,,,
375-U1518E-6H-4-A,0,104,45.59,46.63,,,alternating silt and mud,with nannofossils,alternating silt and mud,alternating silt and mud with nannofossils,alternating silt and mud with nannofossils,5Y 5/1 (gray),,,,,,,,,,,,,,,,,,,,Pervasive drilling disturbance. No sedimentary structure visible,,,
