Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
372-U1517C-2H-2-A,0,140,7.2,8.6,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,,,,,,,,,"graded fine sands, all are right way up with very sharp, sometimes erosional contacts. Very thin to thin beds, muddy intervals are getting thicker downcore",,,,372,U1517,C,2,H,2,A,,,,
372-U1517C-2H-3-A,0,140,8.7,10.1,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,,,,,,,,,"graded fine sands, all are right way up with very sharp, sometimes erosional contacts. Very thin to thin beds, muddy intervals are getting thicker downcore",,,,372,U1517,C,2,H,3,A,,,,
372-U1517C-2H-4-A,0,85,10.2,11.05,II,volcanic-rich,alternating sand/mud layers,with glauconite,volcanic-rich alternating sand/mud layers,volcanic-rich alternating sand/mud layers with glauconite,alternating sand/mud layers with glauconite,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,"graded fine sands, all are right way up with very sharp, sometimes erosional contacts. Very thin to thin beds, muddy intervals are getting thicker downcore",,,,372,U1517,C,2,H,4,A,,,,
372-U1517C-2H-4-A,85,136,11.05,11.56,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 5/10Y (greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,"still layers of fine graded sand but thinner and less frequent, punctuating the mud",,,,372,U1517,C,2,H,4,A,,,,
372-U1517C-2H-5-A,0,140,11.7,13.1,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 5/10Y (greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,"still layers of fine graded sand but thinner and less frequent, punctuating the mud",,,,372,U1517,C,2,H,5,A,,,,
372-U1517C-2H-6-A,0,120,13.2,14.4,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 5/10Y (greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,"still layers of fine sand but much thinner even less frequent, punctuating the mud",,,,372,U1517,C,2,H,6,A,,,,
372-U1517C-2H-7-A,0,60,14.5,15.1,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 5/10Y (greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,"still layers of fine sand but much thinner even less frequent, punctuating the mud",,,,372,U1517,C,2,H,7,A,,,,
372-U1517C-2H-CC-A,0,32,15.1,15.42,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,color banding,,,,,,,,no sand layers,,,,372,U1517,C,2,H,CC,A,,,,
372-U1517C-3F-1-A,0,15,15.2,15.35,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 4/10Y (dark greenish gray),,,,,,,,convolute bedded,,,,,,,,,,,convolute bedding? possible truncated layer? or is it drilling disturbance?,,,,372,U1517,C,3,F,1,A,,,,
372-U1517C-3F-1-A,15,140,15.35,16.6,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,nodule,pyrite,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section. occasional foraminifera,,,,372,U1517,C,3,F,1,A,,,,
372-U1517C-3F-2-A,0,135,16.7,18.05,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,mottling [BJ80],pyrite,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section. Occasional white flecks may be formaraminifera,,,,372,U1517,C,3,F,2,A,,,,
372-U1517C-3F-3-A,0,110,18.2,19.3,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,mottling [BJ80],volcanic glass,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section. Brocken shells pieces (14 to 15 cm) and occasional white flecks may be formaraminifera,,,,372,U1517,C,3,F,3,A,,,,
372-U1517C-3F-4-A,0,53,19.4,19.93,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,mottling [BJ80],,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section and occasional white flecks may be foraminifera,,,,372,U1517,C,3,F,4,A,,,,
372-U1517C-3F-CC-A,0,24,19.93,20.17,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section. Occasional white flecks may be formaraminifera. Core catcher drilling disturbance,,,,372,U1517,C,3,F,CC,A,,,,
372-U1517C-4F-1-A,0,140,19.9,21.3,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/5GY (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,mottling [BJ80],,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section. Shells (78 cm) and occasional white flecks may be formaraminifera.,,,,372,U1517,C,4,F,1,A,,,,
372-U1517C-4F-2-A,0,130,21.4,22.7,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/5GY (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,mottling [BJ80],volcanic glass,,,,,,fine graded bedding interpreted as stacked turbidites. Black mottling through section. Occasional white/pink flecks may be tephra,,,,372,U1517,C,4,F,2,A,,,,
372-U1517C-4F-3-A,0,112,22.7,23.82,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/5GY (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,mottling [BJ80],volcanic glass,,,,,,"fine graded bedding interpreted as stacked turbidites. Black mottling through section. Occasional white/pink flecks may be tephra (98.5, 51.5, 38 cm). Flame structure/bioturbation ? (68.5 cm)",,,,372,U1517,C,4,F,3,A,,,,
372-U1517C-4F-4-A,0,56,23.92,24.48,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/5GY (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,massive [BJ84],,,,,,,"fine graded bedding interpreted as stacked turbidites. Black mottling through section. Occasional white/pink flecks may be tephra (98.5, 51.5, 38 cm). Flame structure/bioturbation ? (68.5 cm)",,,,372,U1517,C,4,F,4,A,,,,
372-U1517C-4F-CC-A,0,22.5,24.49,24.715,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/5GY (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,,,,,,,,fine graded bedding interpreted as stacked turbidites (finer than in previous sections). Few black mottling through section. Occasional white/pink flecks may be tephra.,,,,372,U1517,C,4,F,CC,A,,,,
372-U1517C-5F-1-A,0,40,24.6,25,II,,silty clay [S54],,silty clay,silty clay,silty clay,GLEY 1 4/10Y (dark greenish gray),,,,,,,,convolute bedded,,,mottling [BJ80],,,,,,,,chaotic unit. fabric destroyed by drilling,,,,372,U1517,C,5,F,1,A,,,,
372-U1517C-5F-1-A,40,135,25,25.95,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,bleb,volcanic glass,,,,,,Graded thinly bedded unit interpreted as stacked turbidites (sand component thicker than in previous sections). Occasional white/pink flecks may be tephra. Sand layers appear truncated,,,,372,U1517,C,5,F,1,A,,,,
372-U1517C-5F-2-A,0,138,26.1,27.48,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,bleb,volcanic glass,,,,,,Graded thinly bedded unit interpreted as stacked turbidites (same as previous section). Occasional white/pink flecks may be tephra.,,,,372,U1517,C,5,F,2,A,,,,
372-U1517C-5F-3-A,0,95,27.58,28.53,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,bleb,volcanic glass,,,,,,Graded thinly bedded unit interpreted as stacked turbidites (same as previous section but very fine sand units are thinner). Occasional white/pink flecks may be tephra. Truncated layers,,,,372,U1517,C,5,F,3,A,,,,
372-U1517C-5F-4-A,0,57,28.68,29.25,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,color banding,bleb,volcanic glass,,,,,,Graded thinly bedded unit interpreted as stacked turbidites (similar to previous sections one notable 80mm thick fine sand bed grading up to silt). Occasional white/pink flecks may be tephra. Truncated layers,,,,372,U1517,C,5,F,4,A,,,,
372-U1517C-5F-CC-A,0,24,29.25,29.49,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,,,,parallel bedding,,,,,,,,,,,same turbidite unit as above but highly distorted by drilling process,,,,372,U1517,C,5,F,CC,A,,,,
372-U1517C-6F-1-A,0,50,29.3,29.8,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,volcanic glass,,,,,,Probably part of the graded thinly bedded unit but severely distorted by drilling. Occasional white/pink flecks may be tephra.,,,,372,U1517,C,6,F,1,A,,,,
372-U1517C-6F-1-A,50,76,29.8,30.06,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,,,,,,,fine sand graded alternating with clayey silt. Appear distorted (thickness not uniform across liner),,,,372,U1517,C,6,F,1,A,,,,
372-U1517C-6F-1-A,76,93,30.06,30.23,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),,,,,medium bed [B01],,,massive [BJ84],,,,,,,,,,,"fluidized dark sand, no grading no structure",,,,372,U1517,C,6,F,1,A,,,,
372-U1517C-6F-1-A,93,150,30.23,30.8,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,tilted bedding,,,,,volcanic glass,,,,,,"Thinly bedded unit with graded sand beds, interpreted as stacked turbidites (two notable 10 cm thick fine sand massive turbidites). Occasional white/pink flecks may be tephra. Tephra layer (?) at 125.5 cm. Inclined bedding between 107 and 119 cm. Dip angle measured at base of thicker sands where core disturbance does not have an effect (20 degrees)",,,,372,U1517,C,6,F,1,A,,,,
372-U1517C-6F-2-A,0,79,30.8,31.59,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,tilted bedding,,,,,,,,,,,"Thinly bedded unit with graded sand beds, interpreted as stacked turbidites (two notable 10 cm thick fine sand massive turbidites). Occasional white/pink flecks may be tephra. Tephra layer (?) at 125.5 cm. Inclined bedding between 107 and 119 cm. Dip angle measured at base of thicker sands where core disturbance does not have an effect (20 degrees)",,,,372,U1517,C,6,F,2,A,,,,
372-U1517C-6F-2-A,79,99,31.59,31.79,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),,,,,medium bed [B01],,,massive [BJ84],,,,,,,,,,,massive fine sand with sharp bottom and top contacts,,,,372,U1517,C,6,F,2,A,,,,
372-U1517C-6F-2-A,99,120,31.79,32,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,volcanic glass,,,,,,"Thinly bedded unit with graded fine sandy layers, interpreted as stacked turbidites (one notable 20 cm thick fine sand massive turbidite).",,,,372,U1517,C,6,F,2,A,,,,
372-U1517C-6F-3-A,0,29,32.1,32.39,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),,,,,medium bed [B01],,,massive [BJ84],,,,,,,,,,,massive fine sand with sharp bottom and top contacts. Probably two sands amalgamated,,,,372,U1517,C,6,F,3,A,,,,
372-U1517C-6F-3-A,29,43,32.39,32.53,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,,,,,,,thinly bedded unit with graded sandy layers interpreted as stacked turbidites. Occasional white flecks may be tephra. Some black mottling.,,,,372,U1517,C,6,F,3,A,,,,
372-U1517C-6F-3-A,43,56,32.53,32.66,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),,,,,medium bed [B01],,,massive [BJ84],,,,,,,,,,,massive sand with sharp bottom and top contacts,,,,372,U1517,C,6,F,3,A,,,,
372-U1517C-6F-3-A,56,86,32.66,32.96,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,,,,,,,thinly bedded unit with graded sandy layers interpreted as stacked turbidites.,,,,372,U1517,C,6,F,3,A,,,,
372-U1517C-6F-3-A,86,97,32.96,33.07,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),,,,,thin bed [B01],,,massive [BJ84],,,,,,,,,,,massive fine sand with sharp bottom and top contacts (this one may be slightly graded),,,,372,U1517,C,6,F,3,A,,,,
372-U1517C-6F-3-A,97,100,33.07,33.1,II,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,372,U1517,C,6,F,3,A,,,,
372-U1517C-6F-4-A,0,62,33.1,33.72,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,,,,,,,"Thinly bedded unit with graded fine sands, interpreted as stacked turbidites. Occasional white flecks may be tephra. Truncated layers",,,,372,U1517,C,6,F,4,A,,,,
372-U1517C-6F-CC-A,0,21,33.72,33.93,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,volcanic glass,,,,,,Thinly bedded unit with graded sand layers interpreted as stacked turbidites. Occasional white flecks may be tephra. Some black mottling. Truncated layers,,,,372,U1517,C,6,F,CC,A,,,,
372-U1517C-7F-1-A,0,42,34,34.42,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10GY (dark greenish gray),,gradational, gradational,,thin bed [B01],normal grading,,parallel bedding,,,,,,,,,,,thinly bedded unit with graded sandy layers interpreted as stacked turbidites.,,,,372,U1517,C,7,F,1,A,,,,
372-U1517C-7F-1-A,42,53,34.42,34.53,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),irregular,sharp,irregular sharp,,thin bed [B01],normal grading,,,,,,,,,,,,,"graded fine sand, grades into clayey silt above",,,,372,U1517,C,7,F,1,A,,,,
372-U1517C-7F-1-A,53,125,34.53,35.25,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,mottling [BJ80],,mica,,,,,,"Still alternate bedding between mud and sand, but thickness of sands has increased (5-10cm). The thicker sands have erosional bases are massive from the base to about half way up and fining upwards (getting siltier) from there to the top.",,,,372,U1517,C,7,F,1,A,,,,
372-U1517C-7F-2-A,0,63,35.25,35.88,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/5GY (dark greenish gray),irregular,sharp,irregular sharp,,thin bed [B01],,,parallel bedding,,,,,,,,,,,thinly bedded unit with graded sands and mud layers,,,,372,U1517,C,7,F,2,A,,,,
372-U1517C-7F-2-A,66,76,35.91,36.01,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/10GY (dark greenish gray),irregular,sharp,irregular sharp,,medium bed [B01],,,massive [BJ84],,,,,,,,,,,"massive sand, probably two amalgamated. Sharp bottom and top contacts",,,,372,U1517,C,7,F,2,A,,,,
372-U1517C-7F-2-A,76,126,36.01,36.51,II,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,mottling [BJ80],,,,,,,,Thinly bedded unit with graded sand layers interpreted as stacked turbidites. Occasional white flecks may be tephra. Some black mottling. Truncated layers,,,,372,U1517,C,7,F,2,A,,,,
372-U1517C-7F-3-A,0,140,36.69,38.09,II,,alternating sand/mud layers,with volcaniclastics,alternating sand/mud layers,alternating sand/mud layers with volcaniclastics,alternating sand/mud layers with volcaniclastics,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,,,,,,,"Massive sands with erosional bases interpreted as turbidites. Turbidite at the base of the interval has a particularly erosional base at an angle to liner but it's not inclined Near the base of the section there is a sand on sand layer with an erosional contact between them. Lower sand is darker fine-sand class with a bit of cohesion (maybe has some clay), whereas upper sand is lighter-colored, with a lot more quartz and glass shards and closer to medium sand size (zircons seen in a smear slide). They both appear massive with no grading.",,,,372,U1517,C,7,F,3,A,,,,
372-U1517C-7F-4-A,0,17,38.09,38.26,II,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,GLEY 1 4/10Y (dark greenish gray),,,,,thin bed [B01],,,parallel bedding,,,,,,,,,,,"No sand in this interval, still parallel bedded but much finer.",,,,372,U1517,C,7,F,4,A,,,,
372-U1517C-7F-4-A,17,29,38.26,38.38,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/5GY (dark greenish gray),irregular,sharp,irregular sharp,,medium bed [B01],,,parallel bedding,,,,,,,,,,,"fine massive sand, or maybe two amalgamated sands (at 26cm separated by very thin lamina of mud)",,,,372,U1517,C,7,F,4,A,,,,
372-U1517C-7F-4-A,29,68,38.38,38.77,II,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,GLEY 1 4/5GY (dark greenish gray),,,,,very thin bed [B01],,,parallel bedding,,,mottling [BJ80],clastic dike,,,,,,,clastic dike filled with sand from turbidite above,,,,372,U1517,C,7,F,4,A,,,,
372-U1517C-7F-CC-A,0,25,38.96,39.21,II,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,GLEY 1 4/5GY (dark greenish gray),,,,,very thin bed [B01],,,parallel bedding,slight [DB91],3,mottling [BJ80],,,,,,,,Near the bottom there is a sand-filled burrow (possibly burrow) that appears offset but this was likely caused by the arching disturbance,,,,372,U1517,C,7,F,CC,A,,,,
372-U1517C-8F-1-A,0,65,38.7,39.35,II,,very fine sand [F54],,very fine sand,very fine sand,very fine sand,GLEY 1 4/5GY (dark greenish gray),,sharp, sharp,horizontal,thick bed [B01],,moderate [2014],parallel bedding,,,,,,,,,,,No sedimentary structure can be identified as it was liquified,,,,372,U1517,C,8,F,1,A,,,,
372-U1517C-8F-1-A,65,131,39.35,40.01,II,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,GLEY 1 4/5GY (dark greenish gray),,,,,very thin bed [B01],,,color banding,,,mottling [BJ80],,,,,,,,,,,,372,U1517,C,8,F,1,A,,,,
372-U1517C-8F-2-A,0,69,40.05,40.74,II,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,GLEY 1 4/5GY (dark greenish gray),,gradational, gradational,,very thin bed [B01],,,color banding,,,,,,,,,,,Some beds appear truncated or offset by a few mm,,,,372,U1517,C,8,F,2,A,,,,
372-U1517C-8F-2-A,69,127,40.74,41.32,III,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 4/5GY (dark greenish gray),,,,,,,,mottling [BJ80],,,,,,,,,,,,,,,372,U1517,C,8,F,2,A,,,,
372-U1517C-8F-3-A,0,124,41.5,42.74,III,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 4/5GY (dark greenish gray),,,,,,,,convolute bedded,,,mottling [BJ80],,,,,,,,"Appears distorted, convolution and truncated beds",,,,372,U1517,C,8,F,3,A,,,,
372-U1517C-8F-4-A,0,39,42.75,43.14,III,,clayey silt [S54],,clayey silt,clayey silt,clayey silt,GLEY 1 4/5GY (dark greenish gray),,,,,,,,mottling [BJ80],,,,,,,,,,,,,,,372,U1517,C,8,F,4,A,,,,
