Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Volcanic clasts (>2 mm) DOMINANT,DOMINANT volcanic clast roundness,Volcanic clasts (>2 mm) 2ND ORDER,2ND volcanic clast roundness,Volcanic clasts (>2 mm) 3RD ORDER,3RD volcanic clast roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix abundance [%],Matrix comments,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
376-U1528D-5R-2-A,0,96,77.2,78.16,2a,,,,,"matrix-supported, polymict",lapilli-tuff,with blocks-bombs,"matrix-supported, polymict lapilli-tuff with blocks-bombs",,GLEY 2 5/5B (bluish gray),cemented,small pebble,5,cobble,9,highly altered volcaniclastic,,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,Some clasts show evidence for further incipient fracturing. 1) brecciated light grey fine-grained altered clasts (about 50 vol%); origin not discernable;,,,,,50,"clast and matrix can better be distinguished, no distinct grain size boundary between matrix and clasts (continuous distribution of grain sizes)",,,,,,,,,,,,,,,,,,376,U1528,D,5,R,2,A,,,,
376-U1528D-6R-1-A,0,121,80.5,81.71,2a,,,,,clast-supported,lapilli-tuff,,clast-supported lapilli-tuff,,GLEY 2 5/5B (bluish gray),cemented,medium pebble,6,very large pebble,8,highly altered volcaniclastic,,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,Some clasts show evidence for further incipient fracturing. 1) brecciated light grey fine-grained altered clasts (about 50 vol%); origin not discernable;,,,,,30,"clast and matrix can better be distinguished, no distinct grain size boundary between matrix and clasts (continuous distribution of grain sizes)",,,,,,,,,,,,,,,,,,376,U1528,D,6,R,1,A,,,,
376-U1528D-7R-1-A,0,75,85.3,86.05,2a,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,large pebble,7,"highly altered volcaniclastic, individual pieces of the mainly bluish gray lapilli-tuff have white rims. the boundary is not distinct and there is no change in texture, just the colour changes transitionally",,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",subangular,,,,,volcanic,subangular,,,,,,,,,,,"(1) light gray clast of unknown origin; (2) darkgrey altered volcanic with some remnant volcanic features (pseudomorph after plagioclase, filled vesicles).",,,,,30,continuous distribution of grain sizes between clast and matrix,,,,,,,,,,,,,,,,,,376,U1528,D,7,R,1,A,,,,
376-U1528D-8R-1-A,0,52,90.1,90.62,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5B (bluish gray),cemented,granule,4,large pebble,7,"highly altered volcaniclastic. individual pieces of the mainly bluish gray lapilli-tuff have white rims. the boundary is not distinct and there is no change in texture, just the colour changes transitionally",,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",subangular,,,,,volcanic,subangular,,,,,,,,,,,"(1) grey, fine grained unknown origin. 40% (2) darker grey, altered volcanic, some show remnant volcanic features (pseudormorph after plag phenocrysts). 30% Clasts of both types show incipient fracturing/veins.",,,,,30,continuous distribution of grain sizes between clast and matrix,,,,,,,,,,,,,,,,,,376,U1528,D,8,R,1,A,,,,
376-U1528D-9R-1-A,0,128,95.1,96.38,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),cemented,granule,4,very large pebble,8,"highly altered volcaniclastic rock; individual pieces of the mainly bluish gray lapilli-tuff have white rims that often have some native sulfur; the boundary is not distinct and there is no change in texture, just the color changes transitionally",,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",sub-rounded,,,,,volcanic,subangular,,,,,,,,,,,"(1) light gray smaller clast of fine grained unknown origin; 40 vol%, subangular to subrounded (2) larger darker grey, altered volcanic, some show remnant volcanic features (pseudormorph after plag phenocrysts) and pyrite-rich reaction rims; 20 vol % Clasts of both types show incipient fracturing/veins.",,,,,40,continuous distribution of grain sizes between smaller clast and matrix; larger clasts seem isolated,,,,,,,,,,,,,,,,,,376,U1528,D,9,R,1,A,,,,
376-U1528D-9R-2-A,0,53,96.38,96.91,2a,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),cemented,granule,4,medium pebble,6,"highly altered volcaniclastic rock; individual pieces of the mainly bluish gray lapilli-tuff have white rims that often have some native sulfur; the boundary is not distinct and there is no change in texture, just the color changes transitionally",,,,,moderate,,,"fine-grained, unknown",,,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,,,"Light-gray smaller clast of fine grained unknown origin; 40 vol%, subangular to sub-rounded; Clasts show incipient fracturing/veins.",,,,,60,continuous distribution of grain sizes between smaller clast and matrix,,,,,,,,,,,,,,,,,,376,U1528,D,9,R,2,A,,,,
376-U1528D-10R-1-A,0,146,100.1,101.56,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,large pebble,7,"highly altered volcaniclastic rock; individual pieces of the mainly bluish gray lapilli-tuff have a few white rims (and one vein at 113 cm) that often have some native sulfur; the boundary is not distinct and there is no change in texture, just the color changes transitionally",,,,,poor,,,"fine-grained, unknown",volcanic,,"fine-grained, unknown",sub-rounded,,,,,volcanic,subangular,,,,,,,,,,,"(1) Light-gray smaller clast of fine grained unknown origin; 40 vol%, subangular to sub-rounded; Clasts show incipient fracturing/veins. (2) Few darker grey, altered volcanic, some show remnant volcanic features (pseudormorph after plag phenocrysts) 2vol%.",,,,,60,continuous distribution of grain sizes between smaller clast and matrix,,,,,,,,,,,,,,,,,,376,U1528,D,10,R,1,A,,,,
376-U1528D-10R-2-A,0,125,101.56,102.81,2a,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,large pebble,7,"highly altered volcaniclastic rock; individual pieces of the mainly bluish gray lapilli-tuff have a few white rims that often have some native sulfur; the boundary is not distinct and there is no change in texture, just the color changes transitionally",,,,,moderate,,,"fine-grained, unknown",,,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,,,"Light-gray smaller clasts of fine grained unknown origin; 40 vol%, subangular to sub-rounded; Clasts show incipient fracturing/veins. Very-pyrite-rich.",,,,,60,continuous distribution of grain sizes between smaller clast and matrix,,,,,,,,,,,,,,,,,,376,U1528,D,10,R,2,A,,,,
376-U1528D-11R-1-A,0,149,104.9,106.39,2a,,,,,"matrix-supported, monomict",lapilli-tuff,,"matrix-supported, monomict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,large pebble,7,"highly altered volcaniclastic rock; individual pieces of the mainly bluish gray lapilli-tuff have a few white rims that often have some native sulfur; the boundary is not distinct and there is no change in texture, just the color changes transitionally",,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,,,"Light-gray smaller clasts of fine grained unknown origin; 40 vol%, subangular to sub-rounded; Clasts show incipient fracturing themselves. Very-pyrite-rich.",,,,,60,continuous distribution of grain sizes between smaller clast and matrix,,,,,,,,,,,,,,,,,,376,U1528,D,11,R,1,A,,,,
376-U1528D-11R-2-A,0,99,106.39,107.38,2a,,,,,clast-supported,lapillistone,,clast-supported lapillistone,,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,"highly altered volcaniclastic rock; individual pieces of the mainly bluish gray lapilli-tuff have a few white rims that often have some native sulfur; the boundary is not distinct and there is no change in texture, just the color changes transitionally",,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",subangular,,,,,,,,,,,,,,,,,"Light-gray smaller and larger clasts of fine grained unknown origin; 60 vol%, subangular to sub-rounded; Clasts show incipient fracturing themselves. Very-pyrite-rich. Possibly rough normal grading?",,,,,40,continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,11,R,2,A,,,,
376-U1528D-11R-2-A,99,150,107.38,107.89,2a,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,GLEY 2 5/5PB (bluish gray),cemented,granule,4,small pebble,5,highly altered volcaniclastic rock,,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,,,"Light-gray smaller and larger clasts of fine grained unknown origin; 40 vol%, subangular to sub-rounded; Clasts show incipient fracturing themselves. Very-pyrite-rich.",,,,,60,continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,11,R,2,A,,,,
376-U1528D-11R-3-A,0,96,107.89,108.85,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,very large pebble,8,highly altered volcaniclastic rock,,,,,poor,,,"fine-grained, unknown","fine-grained, unknown",,"fine-grained, unknown",subangular,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,"Light-gray and dark-grey subrounded to subangular smaller and larger clasts of fine grained unknown origin; 60 vol%, subangular to sub-rounded; Clasts show incipient fracturing themselves. Very-pyrite-rich.",,,,,40,continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,11,R,3,A,,,,
376-U1528D-12R-1-A,0,143,109.7,111.13,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 6/5PB (bluish gray),cemented,granule,4,large pebble,7,highly altered volcaniclastic rock,,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",sub-rounded,,,volcanic,subangular,,,,,,,,,,,"(1) Light-brown and light gray, fine-grained feature-less, and unknown origin; 20 vol% (2) dark-grey, fine-grained with possible residual volcanic textures (pseudomorph phenocrysts) 10 vol%; Veined; Very-pyrite-rich.",,,,,70,continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,12,R,1,A,,,,
376-U1528D-12R-2-A,0,138,111.13,112.51,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 6/5PB (bluish gray),cemented,small pebble,5,large pebble,7,highly altered volcaniclastic rock with two clast types.,,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",sub-rounded,,,volcanic,sub-rounded,,,,,,,,,,,"(1) light gray-brown, fine-grained volcanicclast with possible residual volcanic textures (pseudomorph phenocrysts) 50 vol% (2) dark-grey, fine-grained with possible residual volcanic textures (pseudomorph phenocrysts) 5 vol%",,,,,45,continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,12,R,2,A,,,,
376-U1528D-12R-3-A,0,110,112.51,113.61,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 6/5PB (bluish gray),cemented,small pebble,5,very large pebble,8,highly altered volcaniclastic rock with two clast types.,,,,,poor,,,volcanic,"fine-grained, unknown",,,,"fine-grained, unknown",subangular,,,volcanic,sub-rounded,,,,,,,,,,,"(1) light gray, fine-grained volcanicclast with a few pseudomorph plagioclase phenocrysts; 40 vol% (2) dark-grey, fine-grained with possible residual volcanic textures (pseudomorph phenocrysts); <1 vol%",,,,,59,continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,12,R,3,A,,,,
376-U1528D-13R-1-A,0,136,114.5,115.86,2a,,,,,matrix-supported,lapilli-tuff,,matrix-supported lapilli-tuff,,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,highly altered volcaniclastic rock with indistinct clast types.,,,,,poor,,,"fine-grained, unknown",,,"fine-grained, unknown",sub-rounded,,,,,,,,,,,,,,,,,There are a range of clasts from light gray to dark gray with no definitive boundaries.,,,,,50,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,13,R,1,A,,,,
376-U1528D-13R-2-A,0,52,115.86,116.38,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,small pebble,5,very large pebble,8,highly altered volcaniclastic rock with two clast types.,,,,,poor,,,volcanic,volcanic,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"(1) light gray, fine-grained volcaniclast with a few pseudomorph plagioclase phenocrysts; 30 vol% (2) dark-grey, fine-grained with possible residual volcanic textures (pseudomorph phenocrysts); 5 vol%",,,,,65,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,13,R,2,A,,,,
376-U1528D-14R-1-A,0,146,119.3,120.76,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/10B (bluish gray),cemented,granule,4,large pebble,7,highly altered volcaniclastic rock with at least three clast types. Periodic bleached pathways with complete alteration.,,,,,poor,,,volcanic,volcanic,volcanic,,,,,,,volcanic,subangular,volcanic,sub-rounded,volcanic,rounded,,,,,,,"(1) light gray, fine-grained volcaniclast with a few pseudomorph plagioclase phenocrysts; 30 vol% (2) dark-grey, fine-grained with possible residual volcanic textures (pseudomorph phenocrysts); 15 vol% (3) pale red subangular laminated clast (1 Vol. %) and (4) light gray, fine-grained volcanic clast with network of dark coloured veins (4 Vol. %).",,,,,50,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,14,R,1,A,,,,
376-U1528D-14R-2-A,0,25,120.76,121.01,2a,,,,,"matrix-supported, polymict",lapilli-tuff,,"matrix-supported, polymict lapilli-tuff",,GLEY 2 5/5PB (bluish gray),cemented,granule,4,very large pebble,8,highly altered volcaniclastic rock with two clast types.,,,,,poor,,,volcanic,volcanic,,,,,,,,volcanic,sub-rounded,volcanic,sub-rounded,,,,,,,,,"(1) light gray, fine-grained volcanic clast with network of dark coloured veins (40 Vol. %) (2) dark-grey, fine-grained (20 Vol. %)",,,,,40,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,14,R,2,A,,,,
376-U1528D-14R-2-A,25,57,121.01,121.33,2a,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Completely altered volcaniclastic rock, clasts are not, or barely distinguishable. Presence of fine grained bleached hydrothermal pathway material/veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,14,R,2,A,,,,
376-U1528D-15R-1-A,0,83,124.1,124.93,2a,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 5/5PB (bluish gray),,,,,,"Completely altered volcaniclastic rock, clasts are not, or barely distinguishable. Presence of fine grained bleached hydrothermal pathway material/veins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,15,R,1,A,,,,
376-U1528D-16R-1-A,0,112,128.9,130.02,2a,,,,,altered,volcaniclastic,,altered volcaniclastic,,GLEY 2 6/5PB (bluish gray),,,,,,"Pervasive bleached alteration (GLEY 1 8/N) forms a complex network, permeating between darker material. Some dark areas contain, blue pseudomorphs after feldspar and/or vugs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1528,D,16,R,1,A,,,,
376-U1528D-17R-1-A,0,85,133.7,134.55,2a,,,,,"clast-supported, polymict",lapillistone,,"clast-supported, polymict lapillistone",,GLEY 2 6/5B (bluish gray),cemented,small pebble,5,very large pebble,8,"Completely altered volcaniclastic rock, three clasts present. Bleached margins present.",,,,,poor,,,volcanic,volcanic,volcanic,,,,,,,volcanic,sub-rounded,volcanic,subangular,volcanic,subangular,,,,,,,"(1) dark-grey, fine-grained clast (10 Vol. %) (2) light brownish gray clast that shows variation between dark gray and brown. It contains a few pseudomorphed crystals. These are large to very large pebbles (40%). (3) A light gray fine grained clast These are smaller - medium pebbles (30 Vol. %).",,,,,20,Continuous distribution of grain sizes between smaller clast and matrix; difficult to distinguish both,,,,,,,,,,,,,,,,,,376,U1528,D,17,R,1,A,,,,
