Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data
375-U1520C-4R-2-A,56,67,662.64,662.75,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10R 6/4 (pale red),irregular,bioturbated,irregular bioturbated,sub-horizontal,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-4R-2-A,67,116,662.75,663.24,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. Tuff layers at 83, 93 cm. Bioturbation is generally moderate, and includes Thalassinoides isp. and Zoophycos isp.",,,
375-U1520C-4R-3-A,0,94,663.24,664.18,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,,,,,,,,,"Mudstone layers range from light green to greenish gray. Intervals of light gray siltstone at 28-29, 80-83 cm. Bioturbation is generally slighter than in the other sections.",,,
375-U1520C-4R-4-A,0,111,664.49,665.6,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. Tuff layers at 20, 83 cm. Bioturbation is generally moderate, and includes Thalassinoides isp., Scolicia isp., and Zoophycos isp.",,,
375-U1520C-4R-4-A,129,143,665.78,665.92,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray with thin (<10 cm) intervals of gray volcaniclastic siltstone at 135-140 cm. Bioturbation is generally moderate, and includes Thalassinoides isp., Scolicia isp., and Zoophycos isp.",,,
375-U1520C-4R-5-A,0,125,665.92,667.17,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. Tuff layers at 19, 53, 62, 110 cm. Bioturbation is generally moderate, and includes Thalassinoides isp., Scolicia isp., and Zoophycos isp.",,,
375-U1520C-4R-6-A,0,54,667.17,667.71,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. Thin (<10 cm) intervals of light gray volcaniclastic siltstone at 41- 43 cm. Bioturbation is generally moderate, and includes Thalassinoides isp., Scolicia isp., and Zoophycos isp.",,,
375-U1520C-4R-CC-A,0,22,667.71,667.93,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Mudstone layers range from light green to greenish gray. Tuff layer at 19 cm. Bioturbation is generally moderate, and includes Thalassinoides isp., Scolicia isp., and Zoophycos isp.",,,
375-U1520C-5R-1-A,0,135,670.4,671.75,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,planar lamination,,,,,,,,Mudstone layers range from light green to greenish gray. Ash pods/layers at 1 and 40 and 86 cm. Bioturbation is slight to absent.,,,
375-U1520C-5R-2-A,0,122,671.9,673.12,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,,,,,,,,,"Marl layers range from light green to greenish gray and alternates with thin (<10 cm) intervals of light pinkish/gray volcaniclastic siltstone at 35-39, 54.5-55.5, 56.5-57.5, 85-89 cm. Tuff layer at 122 cm. Bioturbation is slight to moderate.",,,
375-U1520C-5R-3-A,0,133,673.12,674.45,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray and alternates with thin (<10 cm) intervals of gray to light pinkish volcaniclastic siltstone at 37-38 and 112-119 cm. Tuff layer at 120 cm. A medium bed of the same lithology occupies the top first 14 cm of section. Sparse in the mudstone are cm-scale silicified ash pods. Bioturbation is moderate but localized to the siltstones.,,,
375-U1520C-5R-4-A,0,113,674.45,675.58,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,,,,,,,,,Marl layers range from light green to greenish gray. A sharp boundary between more greenish mudstone and light green mudstone occurs at 87 cm. Bioturbation is slight.,,,
375-U1520C-5R-5-A,0,53,675.58,676.11,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,,,,,,,,,Marl layers range from light green to greenish gray. A thin bed (<10 cm thick) of gray to light pinkish volcaniclastic siltstone at 11-18 cm. Bioturbation is moderate but localized to the siltstones.,,,
375-U1520C-5R-CC-A,0,20,676.11,676.31,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,,,,,,,,,,,Marl layers range from light green to greenish gray. The entire section is disrupted during drilling.,,,
375-U1520C-6R-1-A,0,150,680,681.5,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Tuff layers at 34, 71, 105 cm.",,,
375-U1520C-6R-2-A,0,120,681.5,682.7,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Tuff layers at 10, 44, 96, 117, 120 cm. Bioturbation obscures layer boundaries.",,,
375-U1520C-6R-3-A,0,118,682.88,684.06,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Volcaniclastic silt layer at 42-47 cm. Tuff layers at 50, 61 cm. Bioturbation obscures exact layer contacts.",,,
375-U1520C-6R-4-A,0,143,684.25,685.68,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Tuff layers at 10, 56, 77, 105, 131 cm. Bioturbation obscures layer boundaries.",,,
375-U1520C-6R-CC-A,0,17,685.68,685.85,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-7R-1-A,0,114,689.6,690.74,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Tuff layers at 2, 19, 32, 42, 61, 72 cm. Bioturbation obscures layer boundaries. Volcaniclastic silt layers at 61, 114 cm.",,,
375-U1520C-7R-2-A,0,99,690.94,691.93,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Piece of volcaniclastic silt at 63-64 cm along the side of a small fault. Bioturbation obscures layer boundaries.,,,
375-U1520C-7R-3-A,0,94,691.93,692.87,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Volcaniclastic silt layer at 92-95 cm. Bioturbation obscures layer boundaries.,,,
375-U1520C-7R-CC-A,0,16,692.87,693.03,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Tuff layer from 0 to 3 cm. Bioturbation obscures layer boundaries.,,,
375-U1520C-8R-1-A,0,107,699.2,700.27,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. A ~2 cm tuff light brown tuff clast represents the remnant from drilling disturbance in the top 1-4 cm of the section. Bioturbation, overprinted by fine filled cracks. obscures layer boundaries.",,,
375-U1520C-8R-2-A,0,72,700.47,701.19,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Tuff layer at 70 cm. Bioturbation obscures layer boundaries.,,,
375-U1520C-8R-2-A,72,148,701.19,701.95,,convoluted,marl,,convoluted marl,convoluted marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Contorted marl with overprinted bioturbation. Flow banding and folding between 72-84 cm and contorted clasts between 84-148 cm.,,,
375-U1520C-8R-3-A,0,149,701.95,703.44,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,"Marl layers range from light green to greenish gray. Contorted layers at 8-14, 38-40, 63-70, 107-115 cm. Tuff layers at 14, and 43 cm. Bioturbation obscures layer boundaries, though in the interval 44-54 cm. Bioturbation obscures layer boundaries.",,,
375-U1520C-8R-4-A,0,101,703.44,704.45,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. Contorted layers at 55-64 cm. 76-83 cm. Tuff layers at 47, 73 cm. Bioturbation obscures layer boundaries.",,,
375-U1520C-8R-5-A,0,17,704.65,704.82,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,Marl layers range from light green to greenish gray. Contorted layers with cm-scale clasts at 12-19 cm. Bioturbation obscures layer boundaries.,,,
375-U1520C-8R-5-A,17,23,704.82,704.88,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10R 6/4 (pale red),irregular,bioturbated,irregular bioturbated,sub-horizontal,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-8R-5-A,23,125,704.88,705.9,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,"Marl layers range from light green to greenish gray. Contorted layers with cm-scale clasts at 104-110 cm. Tuff layers at 79, 93, 115 cm. Bioturbation obscures layer boundaries.",,,
375-U1520C-8R-5-A,125,137,705.9,706.02,,convoluted,ash/tuff,,convoluted ash/tuff,convoluted ash/tuff,ash/tuff,5Y 6/1 (gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Brownish-gray tuff with contorted marl clasts overprinted by bioturbation.,,,
375-U1520C-9R-1-A,0,122,708.8,710.02,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Bioturbation obscures sedimentary features.,,,
375-U1520C-9R-2-A,0,7,710.22,710.29,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layer range from light green to greenish gray. The base of layer is somehow gradational to pinkish tuff below, due to bioturbation that obscures layer boundaries. We estimate boundary to be at 7 cm.",,,
375-U1520C-9R-2-A,7,21,710.29,710.43,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5YR 5/1 (gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,Brownish-pinkish tuff with layer-parallel planar lamination and dispersed marl clasts. Bioturbation often obscures layer boundaries and sedimentary structures.,,,
375-U1520C-9R-2-A,21,94,710.43,711.16,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Tuff layer at 53 cm. Bioturbation often obscures layer boundaries.,,,
375-U1520C-9R-2-A,94,111,711.16,711.33,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5YR 5/2 (reddish gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,Brownish-pinkish tuff with layer-parallel planar lamination and dispersed marl clasts. Tuff layer continues in next section. Bioturbation often obscures layer boundaries and sedimentary structures.,,,
375-U1520C-9R-3-A,0,5,711.33,711.38,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10R 6/4 (pale red),irregular,bioturbated,irregular bioturbated,sub-horizontal,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-9R-3-A,5,51,711.38,711.84,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Bioturbation often obscures layer boundaries.,,,
375-U1520C-9R-4-A,0,49,712.1,712.59,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. More silty interval with apparently gradational top and bottom boundaries at 23-31 cm. Bioturbation obscures sedimentary features.,,,
375-U1520C-9R-4-A,49,73,712.59,712.83,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5Y 4/1 (dark gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Dark gray tuff with few dispersed marl clasts and moderate bioturbation. From 67 to end of section devitrified tuff that continues in section 5. Bioturbation often obscures layer boundaries and sedimentary structures.,,,
375-U1520C-9R-5-A,0,3,712.83,712.86,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10R 5/1 (reddish gray),irregular,bioturbated,irregular bioturbated,sub-horizontal,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-9R-5-A,3,60,712.86,713.43,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,,,,,,,,,Marl layers range from light green to greenish gray. Bioturbation obscures sedimentary features.,,,
375-U1520C-9R-5-A,60,86,713.43,713.69,,,debris flow,,debris flow,debris flow,debris flow,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,slight,1,,,,,,,,,"Contorted layers of marl with different tones of light green color, with dispersed subrounded to rounded, cm- to mm-scale basalts and tephra clasts Contorted layers show evidence of soft sediment deformation (flow bending, folding). Interval 66-71 is a light green marl layer between the contorted layers. Bioturbation is slight.",,,
375-U1520C-10R-1-A,0,22,718.3,718.52,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. From 8 to 13 cm contorted layers of marl with different tones of light green color, with dispersed subrounded to rounded, cm-scale mud clasts",,,
375-U1520C-10R-1-A,22,32,718.52,718.62,,convoluted,marl,,convoluted marl,convoluted marl,marl,10GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,volcanic,"fine-grained, unknown",sub-rounded,,,"Contorted layers of marl with different tones of light green color with dispersed subrounded to rounded, mm-scale clasts (volcaniclastic and/or basalts).",,,
375-U1520C-10R-1-A,32,150,718.62,719.8,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light green to greenish gray. Marl is from 32 to 55 cm greenish white but with the same composition as the rest of the section. Bioturbation obscures sedimentary features.,,,
375-U1520C-10R-2-A,0,113,719.8,720.93,,,marl,,marl,marl,marl,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light green to greenish gray. More silty, gray intervals with apparently gradational top and bottom boundaries at 42-47, 61-67, 92-97 cm. The 12 cm top of section features mm-scale sub-rounded clasts of tuff and volcaniclastics. Bioturbation obscures sedimentary features.",,,
375-U1520C-10R-2-A,113,136,720.93,721.16,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Color change at a seam found at 113 cm. Below this, the lithology is consistent with the underlying calcareous mudstone sections.",,,
375-U1520C-10R-3-A,0,136,721.31,722.67,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. Some altered pumices clasts with mm-scale alteration occur dispersed in the section. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.,,,
375-U1520C-10R-4-A,0,151,722.81,724.32,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. Some altered pumices clasts with mm-scale alteration occur dispersed in the section.One foraminiferous-rich silty layer at 9-10 cm interval. Bioturbation obscures sedimentary features.,,,
375-U1520C-10R-5-A,0,69,724.32,725.01,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. From 59 cm to bottom of the section some sub mm-scale foraminifers are visible with the hand lens. Bioturbation obscures sedimentary features.,,,
375-U1520C-10R-5-A,95,151,725.27,725.83,,calcareous,mudstone,with foraminifers,calcareous mudstone,calcareous mudstone with foraminifers,mudstone with foraminifers,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light brownish gray to light yellowish brown, frequently arranged to form contorted layers with flow structures. Some sub mm-scale foraminifers are visible with the hand lens. From 9 to 105 cm, mm- to cm-scale volcaniclasts are dispersed in the marl. Bioturbation obscures sedimentary features.",,,
375-U1520C-10R-6-A,0,115,725.83,726.98,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. Some altered pumices clasts with mm-scale alteration occur dispersed in the section. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-1-A,0,150,728,729.5,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-2-A,0,119.5,729.5,730.695,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. Base of brownish silty lamina (ca. 0.5 cm) at 32 cm. Layer between 65-70 cm is a white coarse foraminiferous sitlstone. In the upper 3 cm the siltstone layer is disrupted and mixed with the mudstone. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-3-A,0,101,731,732.01,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,volcanic,,sub-rounded,,,Marl layers range from light brownish gray to light yellowish brown. The interval between 46-81 cm is characterized by mm-scale subrounded clasts of volcaniclastic material. The basal 5 cm show contorted mud layers with different color. Scattered volcaniclastic sub-rounded clasts also between 81 and 101 cm. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-3-A,121,145,732.21,732.45,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/3 (light yellowish brown),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light brownish gray to light yellowish brown. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-4-A,0,150,732.45,733.95,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/2 (light brownish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,"Marl layers range from light brownish gray to light yellowish brown. The first 33 cm of section have suffered buiscuiting. The interval between 98-105 cm is a dark pinkish to whitish, highly bioturbated tuff. Reaction with HCl is less intense than in greenish gray mudstone layers of previous cores. Bioturbation obscures sedimentary features.",,,
375-U1520C-11R-5-A,0,53,733.95,734.48,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,"Marl layers range from light green to greenish gray. Dark pinkish to whitish, bioturbated tuff layers throughout section but biscuiting prevent the estimation of the real thickness. Discrete tuff layer between 9 and 14 cm.",,,
375-U1520C-11R-5-A,53,64,734.48,734.59,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,10R 6/1 (reddish gray),irregular,bioturbated,irregular bioturbated,sub-horizontal,,lithified,,well,,moderate,2,,,,,,,,,,,,
375-U1520C-11R-5-A,64,121,734.59,735.16,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,5GY 7/1 (light greenish gray),,,,,,lithified,,well,,moderate,2,planar lamination,,,,,,,,"Marl layers range from light green to greenish gray. Dark pinkish to whitish, bioturbated tuff layers throughout section but biscuiting prevent the estimation of the real thickness. From 64 to 67 cm, 3 cm of foraminiferous siltstone with planar lamination. Bioturbation obscures sedimentary features.",,,
375-U1520C-11R-6-A,0,118,735.41,736.59,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,2.5Y 6/2 (light brownish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from pale green to light greenish. One pinkish tuff pod at 73 cm. The section has suffered strong biscuiting. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-7-A,0,63,736.59,737.22,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,10Y 6/2 (pale green),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from pale green to light greenish. The section has suffered strong buiscuiting. Bioturbation obscures sedimentary features.,,,
375-U1520C-11R-CC-A,0,15,737.22,737.37,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,10Y 6/2 (pale green),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from pale green to light greenish. The section has suffered strong buiscuiting. Bioturbation obscures sedimentary features.,,,
375-U1520C-12R-1-A,0,108,737.6,738.68,,calcareous,mudstone,,calcareous mudstone,calcareous mudstone,mudstone,10Y 6/2 (pale green),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light gray to greenish gray. Whitish foraminiferous siltstone at 79-82 cm. Surrounded area of the silt layer is light gray (78-87 cm). Bioturbation obscures sedimentary features.,,,
375-U1520C-12R-1-A,108,138,738.68,738.98,,convoluted,marl,,convoluted marl,convoluted marl,marl,10GY 6/1 (greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from light gray to greenish gray. Contorted marl overprinted by bioturbation. Tuff layers at 127 and 138 cm. Bioturbation obscures sedimentary features.,,,
375-U1520C-12R-2-A,0,47.5,738.98,739.455,,,marl,,marl,marl,marl,10GY 5/1 (greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from greenish gray to light greenish gray. Tuff layer at 23 cm. Bioturbation obscures sedimentary features.,,,
375-U1520C-12R-2-A,64.8,120,739.628,740.18,,,marl,,marl,marl,marl,10GY 5/1 (greenish gray),,,,,,lithified,,well,,moderate,2,,,,,,,,,Marl layers range from greenish gray to light greenish gray. Bioturbation obscures sedimentary features.,,,
