Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1460B-2F-3-A,84.0,100.0,6.44,6.6,partially lithified,skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,gray,,,concretion [BJ80],,absent [B06],0.0,,,Lithification is strongest at top of the interval and decreases downwards,,,,356,U1460,B,2,F,3,A,,,
356-U1460B-2F-3-A,100.0,123.0,6.6,6.83,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0.0,,,,,,,356,U1460,B,2,F,3,A,,,
356-U1460B-3F-1-A,0.0,12.0,7.3,7.42,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0.0,,,"coarse sand to pebble sized, unlithified Packstone to Floatstone. possible in-fall",,,,356,U1460,B,3,F,1,A,,,
356-U1460B-3F-1-A,12.0,19.0,7.42,7.49,lithified [B84],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,3,F,1,A,,,
356-U1460B-3F-1-A,19.0,150.0,7.49,8.8,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,,,,,absent [B06],0.0,,,abundant black particles interpreted as quartz,,,,356,U1460,B,3,F,1,A,,,
356-U1460B-3F-2-A,0.0,108.0,8.8,9.88,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,,,,,absent [B06],0.0,,,,,,,356,U1460,B,3,F,2,A,,,
356-U1460B-3F-2-A,108.0,116.0,9.88,9.96,unlithified [Leg194],,mudstone [E&K72; D62],1.0,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2.0,,,,,,,356,U1460,B,3,F,2,A,,,
356-U1460B-3F-2-A,116.0,150.0,9.96,10.3,unlithified [Leg194],,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,3,F,2,A,,,
356-U1460B-3F-3-A,0.0,83.0,10.3,11.13,unlithified [Leg194],,mudstone [E&K72; D62],1.0,,mudstone,hemipelagic,greenish gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,3,F,3,A,,,
356-U1460B-3F-3-A,83.0,101.0,11.13,11.31,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,,,,,absent [B06],0.0,,,,,,,356,U1460,B,3,F,3,A,,,
356-U1460B-3F-4-A,0.0,55.0,11.31,11.86,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,,grading (normal),,,slight [B06],2.0,,,,,,,356,U1460,B,3,F,4,A,,,
356-U1460B-3F-CC-A,0.0,20.0,11.86,12.06,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,,,,,absent [B06],0.0,,,very coarse sand sized to pebble sized grains in packstone,,,,356,U1460,B,3,F,CC,A,,,
356-U1460B-4F-1-A,0.0,42.0,12.0,12.42,partially lithified,,packstone [E&K72; D62],3.0,,packstone,neritic,gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,1,A,,,
356-U1460B-4F-1-A,42.0,56.0,12.42,12.56,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,1,A,,,
356-U1460B-4F-2-A,0.0,40.0,12.56,12.96,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,gray,,grading (normal),,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,2,A,,,
356-U1460B-4F-2-A,40.0,106.0,12.96,13.62,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,gray,,,,,absent [B06],0.0,erosive,inclined,,,,,356,U1460,B,4,F,2,A,,,
356-U1460B-4F-2-A,106.0,110.0,13.62,13.66,unlithified [Leg194],,mudstone [E&K72; D62],1.0,,mudstone,hemipelagic,greenish gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,2,A,,,
356-U1460B-4F-3-A,0.0,63.0,13.66,14.29,unlithified [Leg194],,mudstone [E&K72; D62],1.0,,mudstone,hemipelagic,greenish gray,,,,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,3,A,,,
356-U1460B-4F-3-A,63.0,122.0,14.29,14.88,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2.0,,skeletal wackestone,neritic,light grayish green,,,,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,3,A,,,
356-U1460B-4F-CC-A,0.0,7.0,14.88,14.95,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2.0,,skeletal wackestone,neritic,light grayish green,,,,,absent [B06],0.0,,,,,,,356,U1460,B,4,F,CC,A,,,
356-U1460B-5F-1-A,0.0,150.0,16.7,18.2,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5.0,,skeletal floatstone,neritic,beige,,,,,absent [B06],0.0,,,bioclastic gravel is fall-in,,,,356,U1460,B,5,F,1,A,,,
356-U1460B-5F-2-A,0.0,19.0,18.2,18.39,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5.0,,skeletal floatstone,neritic,beige,,,,,absent [B06],0.0,,,bioclastic gravel is fall-in,,,,356,U1460,B,5,F,2,A,,,
356-U1460B-5F-2-A,19.0,145.0,18.39,19.65,unlithified [Leg194],,wackestone [E&K72; D62],2.0,,wackestone,neritic,beige,,,,,absent [B06],0.0,,,interval below 100 cm shows some cm-scale interval with slight cementation,,,,356,U1460,B,5,F,2,A,,,
356-U1460B-5F-CC-A,0.0,11.0,19.65,19.76,partially lithified,,wackestone [E&K72; D62],2.0,,wackestone,neritic,beige,,,,,absent [B06],0.0,,,,,,,356,U1460,B,5,F,CC,A,,,
356-U1460B-6F-1-A,0.0,55.0,19.2,19.75,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5.0,,skeletal floatstone,neritic,beige,,,,,absent [B06],0.0,,,,,,,356,U1460,B,6,F,1,A,,,
356-U1460B-6F-1-A,55.0,96.0,19.75,20.16,unlithified [Leg194],,mudstone [E&K72; D62],1.0,,mudstone,neritic,grayish green,,,,,absent [B06],0.0,gradational,horizontal,,,,,356,U1460,B,6,F,1,A,,,
356-U1460B-6F-1-A,96.0,150.0,20.16,20.7,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2.0,,skeletal wackestone,neritic,greenish gray,,,,,slight [B06],2.0,,,,,,,356,U1460,B,6,F,1,A,,,
356-U1460B-6F-2-A,0.0,150.0,20.7,22.2,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2.0,,skeletal wackestone,neritic,greenish gray,,,,,slight [B06],2.0,,,,,,,356,U1460,B,6,F,2,A,,,
356-U1460B-6F-3-A,0.0,120.0,22.2,23.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2.0,,skeletal wackestone,neritic,beige,,,,,slight [B06],2.0,,,,,,,356,U1460,B,6,F,3,A,,,
356-U1460B-7F-1-A,0.0,50.0,23.9,24.4,unlithified [Leg194],,floatstone [E&K72; D62],5.0,,floatstone,neritic,beige,,,,,absent [B06],0.0,,,,,,,356,U1460,B,7,F,1,A,,,
356-U1460B-7F-1-A,50.0,150.0,24.4,25.4,partially lithified,,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,7,F,1,A,,,
356-U1460B-7F-2-A,0.0,150.0,25.4,26.9,partially lithified,,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,7,F,2,A,,,
356-U1460B-7F-3-A,0.0,133.0,26.9,28.23,partially lithified,,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,foraminifera (planktic),,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,7,F,3,A,,,
356-U1460B-7F-CC-A,0.0,9.0,28.23,28.32,partially lithified,,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,7,F,CC,A,,,
356-U1460B-8F-1-A,0.0,45.0,28.6,29.05,unlithified [Leg194],,floatstone [E&K72; D62],5.0,,floatstone,neritic,beige,,,,,absent [B06],0.0,,,,,,,356,U1460,B,8,F,1,A,,,
356-U1460B-8F-1-A,45.0,86.0,29.05,29.46,unlithified [Leg194],,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,8,F,1,A,,,
356-U1460B-8F-1-A,86.0,137.0,29.46,29.97,partially lithified,skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,beige,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,8,F,1,A,,,
356-U1460B-8F-1-A,137.0,150.0,29.97,30.1,unlithified [Leg194],,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,8,F,1,A,,,
356-U1460B-8F-2-A,0.0,18.0,30.1,30.28,unlithified [Leg194],,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,8,F,2,A,,,
356-U1460B-8F-2-A,18.0,60.0,30.28,30.7,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,beige,bivalve,,concretion [BJ80],,absent [B06],0.0,,,,,,,356,U1460,B,8,F,2,A,,,
356-U1460B-8F-2-A,60.0,150.0,30.7,31.6,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2.0,,,,,,,356,U1460,B,8,F,2,A,,,
356-U1460B-8F-3-A,0.0,141.0,31.6,33.01,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,light greenish gray,,,,,slight [B06],2.0,,,,,,,356,U1460,B,8,F,3,A,,,
356-U1460B-8F-CC-A,0.0,8.0,33.01,33.09,,,,,,,,,,,,,,,,,"not described, all to paleo",,,,356,U1460,B,8,F,CC,A,,,
356-U1460B-9F-1-A,0.0,57.0,33.3,33.87,unlithified [Leg194],,floatstone [E&K72; D62],5.0,,floatstone,neritic,beige,foraminifera (large benthic),,,,absent [B06],0.0,,,fall-in bioclastic gravel,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-1-A,0.0,57.0,33.3,33.87,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-1-A,0.0,57.0,33.3,33.87,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-1-A,0.0,57.0,33.3,33.87,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-1-A,0.0,57.0,33.3,33.87,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-1-A,57.0,107.0,33.87,34.37,unlithified [Leg194],,wackestone [E&K72; D62],2.0,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2.0,,,,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-1-A,107.0,150.0,34.37,34.8,partially lithified,skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,beige,,,,,slight [B06],2.0,,,,,,,356,U1460,B,9,F,1,A,,,
356-U1460B-9F-2-A,0.0,75.0,34.8,35.55,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,beige,,,,,moderate [B06],3.0,,,,,,,356,U1460,B,9,F,2,A,,,
356-U1460B-9F-2-A,75.0,87.0,35.55,35.67,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,beige,Echinoderm,,,,absent [B06],0.0,,,"concentration of echinoderms and bivalve cm-sized bioclasts, likely transportet",,,,356,U1460,B,9,F,2,A,,,
356-U1460B-9F-2-A,75.0,87.0,35.55,35.67,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,9,F,2,A,,,
356-U1460B-9F-2-A,75.0,87.0,35.55,35.67,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,9,F,2,A,,,
356-U1460B-9F-2-A,87.0,132.0,35.67,36.12,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,beige,,,,,,,,,,,,,356,U1460,B,9,F,2,A,,,
356-U1460B-9F-CC-A,0.0,17.0,36.12,36.29,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray skeletal packstone with gravel size grains and bioclasts (caved in)",,,,356,U1460,B,9,F,CC,A,,,
356-U1460B-9F-CC-A,17.0,21.0,36.29,36.33,,,,,,,,,,,,,,,,,sample to paleo,,,,356,U1460,B,9,F,CC,A,,,
356-U1460B-10F-1-A,0.0,58.0,36.3,36.88,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4.0,,skeletal grainstone,hemipelagic,gray,bivalve,,,,absent [B06],0.0,,,"Unlithified, gray skeletal grainstone with bivalves, gastropods, sea urchins, bryozoans. Hemipelagic.",,,,356,U1460,B,10,F,1,A,,,
356-U1460B-10F-1-A,0.0,58.0,36.3,36.88,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,10,F,1,A,,,
356-U1460B-10F-1-A,0.0,58.0,36.3,36.88,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1460,B,10,F,1,A,,,
356-U1460B-10F-1-A,0.0,58.0,36.3,36.88,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,10,F,1,A,,,
356-U1460B-10F-1-A,58.0,108.0,36.88,37.38,partially lithified,,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,cream,gastropod,,,,absent [B06],0.0,,,"partially lithified, cream packstone with glauconite and gastropod. Hemipelagic.",,,,356,U1460,B,10,F,1,A,,,
356-U1460B-10F-1-A,108.0,150.0,37.38,37.8,,,,,,,,,,,,,,,,,void,,,,356,U1460,B,10,F,1,A,,,
356-U1460B-10F-2-A,0.0,48.0,37.8,38.28,partially lithified,,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,cream,gastropod,,,,absent [B06],0.0,,,"Partially lithified, gradational from creme to beige, packstone with glauconite in the uper part of the Section and glauconite rich in the lower half of the Section. Gastropod. Hemipelagic.",,,,356,U1460,B,10,F,2,A,,,
356-U1460B-10F-2-A,48.0,150.0,38.28,39.3,partially lithified,glauconite rich,packstone [E&K72; D62],3.0,,glauconite rich packstone,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0.0,,,,,,,356,U1460,B,10,F,2,A,,,
356-U1460B-10F-2-A,48.0,150.0,38.28,39.3,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,10,F,2,A,,,
356-U1460B-10F-3-A,0.0,114.0,39.3,40.44,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3.0,,glauconite rich packstone,hemipelagic,light gray,bivalve,,,,absent [B06],0.0,,,"Unlithified to partially lithified, light gray, coarser sand size glauconite rich packstone. Between about 15 to 30 cm is well-lithified. bivalve molusk. Hemipelagic.",,,,356,U1460,B,10,F,3,A,,,
356-U1460B-10F-3-A,0.0,114.0,39.3,40.44,,,,,,,,,brachiopod,,,,,,,,,,,,356,U1460,B,10,F,3,A,,,
356-U1460B-10F-3-A,0.0,114.0,39.3,40.44,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,10,F,3,A,,,
356-U1460B-10F-3-A,114.0,117.0,40.44,40.47,unlithified [Leg194],,grainstone [E&K72; D62],4.0,,grainstone,hemipelagic,light gray,,,,,,,,,"Unlithified, light gray grainstone",,,,356,U1460,B,10,F,3,A,,,
356-U1460B-10F-CC-A,0.0,7.0,40.47,40.54,partially lithified,glauconite rich,packstone [E&K72; D62],3.0,,glauconite rich packstone,hemipelagic,beige,,,,,,,,,"Partially to unlithified, beige, glauconite rich packstone. Hemipelagic.",,,,356,U1460,B,10,F,CC,A,,,
356-U1460B-10F-CC-A,7.0,12.0,40.54,40.59,,,,,,,,,,,,,,,,,sample to paleo,,,,356,U1460,B,10,F,CC,A,,,
356-U1460B-11F-1-A,0.0,23.0,40.5,40.73,lithified [B84],foraminifer rich,packstone [E&K72; D62],3.0,,foraminifer rich packstone,hemipelagic,cream,foraminifera (small benthic),,,,,,,,"Lithified, cream foraminifer rich packstone",,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-1-A,0.0,23.0,40.5,40.73,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-1-A,0.0,23.0,40.5,40.73,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-1-A,23.0,114.0,40.73,41.64,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,cream,echinoderm,,,,,,,,"Partially lithified to unlithified, cream to light greenish gray packstone with glauconite. Glaucnoite increases from the top of the interval down.",,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-1-A,23.0,114.0,40.73,41.64,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-1-A,114.0,150.0,41.64,42.0,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,beige,bivalve,,,,,,,,"Unlithified, beige, packstone with glauconite and bivalves and foraminfera",,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-1-A,114.0,150.0,41.64,42.0,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1460,B,11,F,1,A,,,
356-U1460B-11F-2-A,0.0,150.0,42.0,43.5,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,light brown,coral (solitary),,,,,,,,"Unlithified light brown packstone with glauconite, bivalves, gastropods and a solitary coral present",,,,356,U1460,B,11,F,2,A,,,
356-U1460B-11F-2-A,0.0,150.0,42.0,43.5,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,11,F,2,A,,,
356-U1460B-11F-2-A,0.0,150.0,42.0,43.5,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,11,F,2,A,,,
356-U1460B-11F-3-A,0.0,90.0,43.5,44.4,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,light greenish gray,,,,,,,,,"Unlthified, light greenish gray packstone with glauconite. A cemented interval is present between 9 and 95 cm and here the packstone is lithified and glauconite rich",,,,356,U1460,B,11,F,3,A,,,
356-U1460B-11F-3-A,90.0,95.0,44.4,44.45,lithified [B84],glauconite rich,packstone [E&K72; D62],3.0,,glauconite rich packstone,hemipelagic,light grayish green,,,,,,,,,"lithified, light grayish gray glauconite rich packstone",,,,356,U1460,B,11,F,3,A,,,
356-U1460B-11F-3-A,95.0,102.0,44.45,44.52,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,light greenish gray,,,,,,,,,"lithified, light greenish gray packstone with glauconite",,,,356,U1460,B,11,F,3,A,,,
356-U1460B-11F-4-A,0.0,34.0,44.52,44.86,unlithified [Leg194],,packstone [E&K72; D62],3.0,,packstone,hemipelagic,light brown,,,,,,,,,Unlithified light brow packstone,,,,356,U1460,B,11,F,4,A,,,
356-U1460B-11F-4-A,34.0,44.0,44.86,44.96,lithified [B84],,mudstone [E&K72; D62],1.0,,mudstone,hemipelagic,dark green,,,,,,,,,Lithified dark green to black mudstone,,,,356,U1460,B,11,F,4,A,,,
356-U1460B-11F-4-A,44.0,55.0,44.96,45.07,partially lithified,,grainstone [E&K72; D62],4.0,,grainstone,hemipelagic,creamy gray,,,,,,,,,Partially lithified creamy grey grainstone,,,,356,U1460,B,11,F,4,A,,,
356-U1460B-11F-CC-A,0.0,15.0,45.07,45.22,partially lithified,,packstone [E&K72; D62],3.0,,packstone,hemipelagic,brown,,,,,,,,,"Partially lithified packstone, severely fragmented (drilling disturbance)",,,,356,U1460,B,11,F,CC,A,,,
356-U1460B-12F-1-A,0.0,29.0,45.2,45.49,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4.0,,skeletal grainstone,neritic,beige,gastropod,,,,,,,,"Unlithified skeletal grainstone, graded gravel (fall-in)",,,,356,U1460,B,12,F,1,A,,,
356-U1460B-12F-1-A,0.0,29.0,45.2,45.49,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,12,F,1,A,,,
356-U1460B-12F-1-A,0.0,29.0,45.2,45.49,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1460,B,12,F,1,A,,,
356-U1460B-12F-1-A,0.0,29.0,45.2,45.49,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,12,F,1,A,,,
356-U1460B-12F-1-A,29.0,34.0,45.49,45.54,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3.0,,glauconite rich packstone,hemipelagic,dark greenish gray,,,,,,,,,Unlithified greenish-grey glauc.-rich packstone,,,,356,U1460,B,12,F,1,A,,,
356-U1460B-12F-1-A,34.0,150.0,45.54,46.7,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,beige,brachiopod,,,,,,,,Unlith. beige packstone with glauconite; brachiopod fragment at 72 cm; glauc.-rich greenish patches towards bottom,,,,356,U1460,B,12,F,1,A,,,
356-U1460B-12F-2-A,0.0,150.0,46.7,48.2,unlithified [Leg194],,packstone [E&K72; D62],3.0,,packstone,hemipelagic,brown,Sponge spicules N/A,,,,,,,,Unlith. brown packstone with sponge spicules,,,,356,U1460,B,12,F,2,A,,,
356-U1460B-12F-3-A,0.0,84.0,48.2,49.04,unlithified [Leg194],,packstone [E&K72; D62],3.0,,packstone,hemipelagic,brown,Sponge spicules N/A,,,,,,,,"Unlithified brown packstone with sponge spicules, with greenish glauconite-rich band at base",,,,356,U1460,B,12,F,3,A,,,
356-U1460B-12F-3-A,84.0,98.0,49.04,49.18,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3.0,,glauconite rich packstone,hemipelagic,creamy gray,,,,,,,,,Unlithified creamy gray glauconite rich packstone,,,,356,U1460,B,12,F,3,A,,,
356-U1460B-12F-3-A,98.0,128.0,49.18,49.48,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,creamy gray,,,,,,,,,Unlithified greamy gray packstone with glauconite,,,,356,U1460,B,12,F,3,A,,,
356-U1460B-12F-CC-A,0.0,34.0,49.48,49.82,unlithified [Leg194],,packstone [E&K72; D62],3.0,with glauconite [2014],packstone with glauconite,hemipelagic,greenish gray,,,,,,,,,Unlithified greenish gray packstone with glauconite,,,,356,U1460,B,12,F,CC,A,,,
356-U1460B-13F-1-A,0.0,13.0,49.9,50.03,unlithified [Leg194],skeletal,packstone [E&K72; D62],3.0,,skeletal packstone,neritic,creamy gray,bivalve,,,,,,,,Unlithified creamy gray skeletal packstone (fall-in) with bivalve,,,,356,U1460,B,13,F,1,A,,,
