Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
353-U1445A-1H-4-A,102,105,5.52,5.55,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),irregular,,,thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-1H-4-A,105,150,5.55,6,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,Some color variations (olive gray to light gray). One shell fragment at 112 cm.,,,
353-U1445A-1H-5-A,0,19,6,6.19,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,One light gray patch at 14-16 cm.,,,
353-U1445A-1H-5-A,19,20,6.19,6.2,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-1H-5-A,20,27,6.2,6.27,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-1H-5-A,27,30.5,6.27,6.305,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-1H-5-A,30.5,47,6.305,6.47,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-1H-5-A,47,50,6.47,6.5,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-1H-5-A,50,90,6.5,6.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-1-A,0,24,6.9,7.14,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),bioturbated,,,,,,,,,,,,,,,
353-U1445A-2H-1-A,24,28.5,7.14,7.185,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-1-A,29,103,7.19,7.93,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-1-A,103,113,7.93,8.03,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,thin bed,normally graded,,,,,Turbidite,,,Two sandy to clay thin turbidites.,,,
353-U1445A-2H-1-A,113,126,8.03,8.16,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-1-A,126,128.5,8.16,8.185,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-1-A,128.5,150,8.185,8.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-2-A,0,14,8.4,8.54,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-2-A,14,15,8.54,8.55,,silty,clay,,silty clay,silty clay,clay,,green,5Y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-2-A,15,27,8.55,8.67,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-2-A,27,28.5,8.67,8.685,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-2-A,28.5,62,8.685,9.02,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-2-A,62,62.5,9.02,9.025,,silty,clay,,silty clay,silty clay,clay,,green,5Y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-2-A,62.5,117,9.025,9.57,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-2-A,117,119,9.57,9.59,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-2-A,119,134,9.59,9.74,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-2-A,134,136,9.74,9.76,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,Turbidite is rich in many foraminifers.,,,
353-U1445A-2H-2-A,136,150,9.76,9.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-3-A,0,6,9.9,9.96,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-3-A,6,11,9.96,10.01,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),planar,sharp,,thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-3-A,11,18,10.01,10.08,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-3-A,18,19,10.08,10.09,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),irregular,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-3-A,19,89.5,10.09,10.795,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-3-A,89.5,94,10.795,10.84,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),erosive,,,thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-3-A,94,127,10.84,11.17,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,One shell fragment at 122 cm.,,,
353-U1445A-2H-3-A,127,129,11.17,11.19,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-3-A,129,150,11.19,11.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-4-A,0,13,11.4,11.53,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-4-A,13,14,11.53,11.54,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,Turbidite is rich in many foraminifers.,,,
353-U1445A-2H-4-A,14,59.5,11.54,11.995,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-4-A,59.5,61.5,11.995,12.015,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,Turbidite is rich in many foraminifers.,,,
353-U1445A-2H-4-A,61.5,82,12.015,12.22,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-4-A,82,83.5,12.22,12.235,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,Turbidite is rich in many foraminifers.,,,
353-U1445A-2H-4-A,83.5,94.5,12.235,12.345,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-4-A,94.5,99,12.345,12.39,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,,inclined,thin bed,normally graded,,,,,Turbidite,,,Turbidite is rich in many foraminifers.,,,
353-U1445A-2H-4-A,99,150,12.39,12.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-5-A,0,60,12.9,13.5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-5-A,60,62,13.5,13.52,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,Turbidite is rich in many foraminifers.,,,
353-U1445A-2H-5-A,62,93,13.52,13.83,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-5-A,93,103,13.83,13.93,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,white,10YR 8/1 (white),irregular,sharp,inclined,,,,,,,,,,,,,
353-U1445A-2H-5-A,103,119,13.93,14.09,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,,inclined,thin bed,normally graded,,,,,Turbidite,,,Two sandy to clay thin turbidites.,,,
353-U1445A-2H-5-A,119,150,14.09,14.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,
353-U1445A-2H-6-A,0,30,14.4,14.7,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),gradational,,,,,,,,,,,,,,,
353-U1445A-2H-6-A,30,32.5,14.7,14.725,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-2H-6-A,32.5,33.5,14.725,14.735,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,,inclined,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-6-A,33.5,130,14.735,15.7,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-2H-7-A,0,18.5,15.7,15.885,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-2H-7-A,18.5,20,15.885,15.9,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-2H-7-A,20,60,15.9,16.3,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-2H-CC-A,0,18,16.3,16.48,,,clay,with biosilica,clay,clay with biosilica,clay with biosilica,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-3H-1-A,0,150,16.4,17.9,,diatom rich,clay,with nannofossils,diatom rich clay,diatom rich clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-3H-2-A,0,150,17.9,19.4,,diatom rich,clay,with nannofossils,diatom rich clay,diatom rich clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-3H-3-A,0,150,19.4,20.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,"Between 100 and 120 cm, sediment more black due to the presence of iron sulfides. Mottling all along the core due to bioturbation. A bioturbated foram-rich sandy patch between 67 to 68.5 cm.",,,
353-U1445A-3H-4-A,0,16,20.9,21.06,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,"Between 100 and 120 cm, sediment more black due to the presence of iron sulfides. Mottling all along the core due to bioturbation. A bioturbated foram-rich sandy patch between 67 to 68.5 cm.",,,
353-U1445A-3H-4-A,16,17,21.06,21.07,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-4-A,17,36,21.07,21.26,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-3H-4-A,36,36.5,21.26,21.265,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-4-A,36.5,47,21.265,21.37,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,
353-U1445A-3H-4-A,47,57,21.37,21.47,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-4-A,57,58.5,21.47,21.485,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-4-A,58.5,81,21.485,21.71,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm. One burrow occurs between 69-75 cm and is filled by foraminifer rich sand.,,,
353-U1445A-3H-4-A,81,85.5,21.71,21.755,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-4-A,85.5,140,21.755,22.3,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-4-A,140,143,22.3,22.33,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-4-A,143,150,22.33,22.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-5-A,0,19.5,22.4,22.595,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-5-A,19.5,20.5,22.595,22.605,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-5-A,20.5,28,22.605,22.68,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-5-A,28,30.5,22.68,22.705,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-5-A,30.5,60,22.705,23,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-5-A,60,61,23,23.01,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-5-A,61,103,23.01,23.43,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-5-A,103,104,23.43,23.44,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-5-A,104,110,23.44,23.5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-5-A,110,111.5,23.5,23.515,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-5-A,111.5,150,23.515,23.9,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-6-A,0,7,23.9,23.97,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-6-A,7,14,23.97,24.04,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-6-A,14,19,24.04,24.09,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-6-A,19,21,24.09,24.11,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-6-A,21,38,24.11,24.28,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-6-A,38,39,24.28,24.29,,silty,sand,,silty sand,silty sand,sand,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-6-A,39,74,24.29,24.64,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-6-A,74,76,24.64,24.66,,clayey,silt,,clayey silt,clayey silt,silt,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-6-A,76,120,24.66,25.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-6-A,120,121,25.1,25.11,,clayey,silt,,clayey silt,clayey silt,silt,,green,5y 5/2 (olive gray),,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-3H-6-A,121,128,25.11,25.18,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-3H-CC-A,0,14,25.18,25.32,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm.,,,
353-U1445A-4H-1-A,0,36.5,25.9,26.265,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Color variations from dark green (GLEY 1 4/5GY) to gray (5Y 6/1) every 5 to 15 cm. White glauconite rich patches between 7-10 cm.,,,
353-U1445A-4H-1-A,36.5,37.5,26.265,26.275,,clayey,silt,,clayey silt,clayey silt,silt,,green,5y 5/2 (olive gray),erosive,sharp,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-4H-1-A,37.5,119.5,26.275,27.095,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,"Very faint color variations. Some black (iron sulphide), green (glauconite) and gray (foraminifers rich) dots and patches along the interval.",,,
353-U1445A-4H-1-A,119.5,120.5,27.095,27.105,,clayey,silt,,clayey silt,clayey silt,silt,,green,5y 5/2 (olive gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,
353-U1445A-4H-1-A,120.5,150,27.105,27.4,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,dark green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,"Very faint color variations. Some black (iron sulphide), green (glauconite) and gray (foraminifers rich) dots and patches along the interval.",,,
